"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G77A	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.9999088	0.0288328	0.8940541	0.9943972	0.0498160	0.3684075	0.9512702	0.8543082	0.1256014	0.2014715	0.9862746	0.8191450	0.5086579	0.9997509	0.9669893	0.2577018	0.3173951	0.2347958	0.9222629	0.4693106	0.4621027	0.1088697	0.5902775	0.0533495	0.2388397	0.7621045	0.9900612	0.6223763	0.6000607	0.4919012	0.9993296	0.6338799	0.1485632	0.9001413	0.8369897	0.3081687	0.3208221	0.8776454	0.8144965	0.7087695	0.9951739	0.8795286	0.9131603	0.2270740	0.9553966	0.9848692	0.3070037	0.9999810	0.7973626	0.9878500	0.6577317	0.4540448	0.1292870	0.2502578	0.9999246	0.9993399	0.1225379	0.2371181	0.0002199	0.0121477	0.8769826	0.4015843	0.0061624	0.6208954	0.9999862	0.3998078	0.8561971	0.5391832	0.7914437	0.3182222	0.2072286	0.4562379	0.5885503	0.7243209	0.1553428	0.8774497	0.0163637	0.0921253	0.0003510	0.4756280	0.0977554	0.6645262	0.5997724	0.4200129	0.0677327	0.5514875	0.0458745	0.4692553	0.7900393	0.4801275	0.0137116	0.1368976	0.8595459	0.4953720	0.0847603	0.8978843	0.0352002	0.6175096	0.1958653	0.2266548
50	0.9813537	0.0279486	0.8904836	0.7255049	0.0498251	0.3690111	0.9681553	0.8544842	0.2502427	0.2014830	0.9859794	0.8201797	0.5087452	0.8720754	0.9691411	0.2428470	0.3214122	0.2334414	0.7411192	0.4216696	0.4006862	0.1088040	0.5902902	0.2637139	0.2388898	0.8663645	0.9948291	0.6232072	0.6310125	0.4856256	0.9988485	0.6338561	0.1002668	0.9040980	0.8372753	0.3123214	0.3209194	0.9061458	0.8115046	0.6447453	0.9952029	0.8775133	0.9131484	0.2272710	0.9554131	0.8491297	0.3041621	0.9999797	0.6501181	0.8127350	0.6575871	0.4519183	0.1294365	0.2021458	0.9999348	0.9994264	0.1699337	0.2399588	0.0002220	0.0150613	0.8767542	0.4171031	0.1985618	0.6231450	0.9999856	0.4954869	0.8517349	0.6337140	0.8250201	0.3244294	0.2068651	0.5289507	0.6177955	0.7056798	0.1543962	0.8748435	0.0166655	0.0920919	0.0007484	0.4817333	0.0978105	0.6613149	0.5994776	0.4200530	0.2451897	0.5514891	0.0449135	0.4667203	0.7886587	0.4801414	0.1346652	0.0991244	0.8594692	0.4951383	0.0848328	0.8913904	0.1270621	0.6158219	0.1963932	0.1764574
100	0.9696068	0.0244154	0.8890718	0.4718567	0.0500054	0.3720204	0.9838013	0.8535148	0.3714852	0.2017559	0.9836079	0.8209658	0.5088697	0.7788069	0.9725817	0.1876758	0.3431707	0.2207476	0.6294411	0.3768414	0.3739671	0.1073015	0.5922360	0.5305863	0.2401723	0.9470868	0.9983017	0.6275158	0.6715054	0.4575384	0.9937768	0.6336074	0.0643335	0.9088795	0.8429385	0.3351462	0.3213318	0.9315860	0.7990330	0.6167023	0.9953309	0.8739529	0.9130374	0.2309976	0.9556830	0.6935703	0.2891332	0.9999626	0.4792221	0.6788502	0.6532189	0.4439118	0.1323756	0.1369275	0.9999610	0.9995390	0.2137671	0.2719031	0.0002507	0.0245189	0.8752776	0.4034591	0.3761036	0.6304103	0.9999813	0.5811623	0.8338427	0.7343309	0.9043651	0.3586416	0.2029458	0.6058485	0.7209594	0.6872087	0.1583340	0.8662441	0.0190281	0.0922178	0.0015178	0.6087999	0.0981378	0.6661072	0.5947186	0.4205452	0.4376970	0.5514987	0.0389978	0.4558120	0.7692234	0.4805188	0.3970561	0.0599402	0.8587577	0.4945907	0.0858126	0.8394643	0.2286697	0.6054162	0.1974691	0.1452652
150	0.9656884	0.0209333	0.9102043	0.3555534	0.0505686	0.3758010	0.9910887	0.8472969	0.4290075	0.2030140	0.9774516	0.8206807	0.5067078	0.7468501	0.9779444	0.1390779	0.3731452	0.1935268	0.5910722	0.3552079	0.3644396	0.1013635	0.6094546	0.7019373	0.2445428	0.9761290	0.9995120	0.6331178	0.6992055	0.4310744	0.9826465	0.6317415	0.0506730	0.9125587	0.8608250	0.3677585	0.3216202	0.9421858	0.7846632	0.6031236	0.9954561	0.8718790	0.9121587	0.2415249	0.9564393	0.6050676	0.2693857	0.9999096	0.4090284	0.6269845	0.6422860	0.4350689	0.1414482	0.0852520	0.9999792	0.9996281	0.2271778	0.3654977	0.0004166	0.0278366	0.8713999	0.3641378	0.4723985	0.6333677	0.9999737	0.5884933	0.8146202	0.7904337	0.9506406	0.4097236	0.1922048	0.6373069	0.8116046	0.6763892	0.1782650	0.8585861	0.0247604	0.0946370	0.0017842	0.7371816	0.0983197	0.6862507	0.5848443	0.4205116	0.5322851	0.5515135	0.0306829	0.4461849	0.7209440	0.4802808	0.6301514	0.0398113	0.8571454	0.4974362	0.0872850	0.7491496	0.2920308	0.5907388	0.1935284	0.1514261
200	0.9644922	0.0188372	0.9358152	0.3113560	0.0513780	0.3786748	0.9940146	0.8380562	0.4520268	0.2059384	0.9680997	0.8196888	0.5010598	0.7377627	0.9835034	0.1127493	0.3979587	0.1663541	0.5788941	0.3461306	0.3637396	0.0908560	0.6474256	0.7937453	0.2514098	0.9842304	0.9998675	0.6374466	0.7150407	0.4220269	0.9701963	0.6265603	0.0458573	0.9164437	0.8857289	0.3951482	0.3214574	0.9454608	0.7727959	0.5924738	0.9955193	0.8707517	0.9090553	0.2543214	0.9574188	0.5636850	0.2540497	0.9998352	0.3870374	0.6080112	0.6332338	0.4277759	0.1542904	0.0522436	0.9999883	0.9996851	0.2254398	0.4566644	0.0009555	0.0284471	0.8646966	0.3307156	0.5253457	0.6326739	0.9999668	0.5544030	0.7974602	0.8198312	0.9698027	0.4593186	0.1790870	0.6378194	0.8645285	0.6672539	0.1989035	0.8530566	0.0328527	0.1009853	0.0017104	0.8010936	0.0979714	0.7097586	0.5786989	0.4182505	0.5679702	0.5515251	0.0241095	0.4415718	0.6655816	0.4781749	0.7643646	0.0311895	0.8551054	0.5050577	0.0877857	0.6707461	0.3274039	0.5785629	0.1848146	0.1734640
250	0.9641350	0.0178627	0.9532656	0.2959298	0.0521567	0.3803908	0.9951194	0.8314055	0.4613992	0.2103398	0.9586770	0.8183101	0.4935060	0.7353569	0.9875495	0.1010136	0.4140787	0.1483224	0.5751447	0.3425050	0.3687528	0.0790361	0.6878935	0.8391373	0.2586519	0.9858379	0.9999650	0.6399949	0.7230934	0.4252456	0.9596838	0.6184060	0.0439022	0.9209422	0.9085396	0.4114364	0.3207569	0.9460503	0.7636170	0.5847154	0.9955488	0.8697010	0.9024092	0.2638700	0.9582627	0.5462114	0.2448620	0.9997714	0.3807551	0.6005479	0.6323543	0.4234765	0.1662475	0.0340747	0.9999925	0.9997095	0.2203682	0.5125260	0.0019176	0.0286123	0.8570892	0.3141699	0.5498242	0.6316331	0.9999630	0.5235699	0.7809382	0.8341031	0.9769385	0.4982419	0.1705106	0.6266564	0.8890411	0.6572499	0.2103843	0.8481590	0.0406361	0.1092383	0.0015049	0.8263829	0.0974338	0.7238037	0.5785227	0.4144238	0.5793848	0.5515304	0.0200463	0.4399551	0.6235388	0.4752706	0.8304788	0.0278224	0.8533620	0.5144565	0.0874050	0.6225573	0.3466046	0.5703916	0.1773891	0.1931436
300	0.9640294	0.0174958	0.9626022	0.2907751	0.0527465	0.3812833	0.9955269	0.8289765	0.4662834	0.2150463	0.9519050	0.8167292	0.4863059	0.7347412	0.9899253	0.0962035	0.4232711	0.1386366	0.5739985	0.3410859	0.3752418	0.0690359	0.7174487	0.8607185	0.2645553	0.9857311	0.9999908	0.6412364	0.7265873	0.4315435	0.9517047	0.6093239	0.0427890	0.9254253	0.9248641	0.4183239	0.3196047	0.9458300	0.7567189	0.5799930	0.9955769	0.8680906	0.8921296	0.2688068	0.9588296	0.5393283	0.2401277	0.9997306	0.3789359	0.5974180	0.6378992	0.4229820	0.1748976	0.0249249	0.9999943	0.9997131	0.2164734	0.5407933	0.0029447	0.0287982	0.8509729	0.3106717	0.5570450	0.6311339	0.9999631	0.5065812	0.7662133	0.8392747	0.9795698	0.5243994	0.1676554	0.6152882	0.8974280	0.6469117	0.2151387	0.8428756	0.0464258	0.1160532	0.0012965	0.8306718	0.0971537	0.7268215	0.5807369	0.4105871	0.5826108	0.5515316	0.0178124	0.4396908	0.5981018	0.4728550	0.8612235	0.0266340	0.8524761	0.5228166	0.0867787	0.5982175	0.3572084	0.5654098	0.1743615	0.2035869
350	0.9639982	0.0173968	0.9669945	0.2890829	0.0531287	0.3817093	0.9956866	0.8287586	0.4697618	0.2188273	0.9482983	0.8151362	0.4807674	0.7345940	0.9911232	0.0943020	0.4281742	0.1338257	0.5736424	0.3405355	0.3803696	0.0620341	0.7350991	0.8708118	0.2684297	0.9852891	0.9999976	0.6417372	0.7275400	0.4361245	0.9458770	0.6012729	0.0419574	0.9291973	0.9346966	0.4201281	0.3182210	0.9454459	0.7518285	0.5775582	0.9956096	0.8656185	0.8796038	0.2706064	0.9591500	0.5367685	0.2379093	0.9997085	0.3782578	0.5960891	0.6456678	0.4252329	0.1802512	0.0205516	0.9999951	0.9997102	0.2144855	0.5539249	0.0036826	0.0289888	0.8472978	0.3130243	0.5566986	0.6310201	0.9999662	0.4990447	0.7550599	0.8399456	0.9806044	0.5400319	0.1679551	0.6076690	0.8981160	0.6377751	0.2169990	0.8368682	0.0501294	0.1199688	0.0011378	0.8230133	0.0972968	0.7239317	0.5822474	0.4076203	0.5834826	0.5515313	0.0166766	0.4400176	0.5844213	0.4713081	0.8752170	0.0263199	0.8526664	0.5290067	0.0862505	0.5874318	0.3630556	0.5625295	0.1747318	0.2067241
400	0.9639890	0.0173978	0.9689011	0.2885247	0.0533509	0.3819029	0.9957582	0.8285008	0.4724773	0.2211864	0.9469160	0.8137203	0.4770692	0.7345664	0.9916359	0.0935617	0.4307411	0.1313347	0.5735323	0.3403230	0.3834645	0.0577273	0.7445357	0.8755103	0.2704332	0.9848765	0.9999993	0.6418822	0.7271463	0.4383379	0.9417351	0.5952115	0.0413016	0.9319599	0.9398455	0.4202764	0.3168546	0.9450991	0.7486311	0.5765007	0.9956395	0.8623566	0.8669764	0.2710670	0.9593071	0.5358687	0.2369319	0.9996975	0.3777947	0.5955380	0.6528583	0.4283570	0.1832411	0.0185256	0.9999954	0.9997086	0.2139213	0.5597937	0.0040691	0.0291388	0.8456466	0.3163372	0.5545367	0.6310490	0.9999704	0.4960013	0.7477994	0.8393655	0.9810682	0.5486097	0.1690359	0.6036890	0.8959429	0.6308855	0.2178857	0.8303267	0.0523692	0.1215933	0.0010341	0.8102456	0.0977851	0.7199923	0.5821772	0.4056585	0.5837537	0.5515311	0.0161553	0.4405804	0.5773311	0.4704554	0.8815419	0.0263506	0.8538066	0.5330073	0.0858966	0.5831085	0.3661198	0.5609085	0.1763582	0.2066249
