G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G71A	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.4227169	0.1374760	0.4416383	0.2975742	0.0638688	0.5411197	0.5649849	0.5574271	0.6008326	0.1964029	0.6035943	0.5726576	0.5538459	0.2190516	0.0475021	0.0534378	0.6779494	0.0460865	0.1805357	0.1826140	0.1918692	0.3433182	0.2312025	0.2417797	0.0471899	0.6322717	0.1902399	0.1853331	0.5955093	0.4363739	0.0286801	0.0860476	0.1102294	0.1105996	0.6138317	0.0782993	0.5255636	0.6954869	0.0768301	0.1887221	0.0072294	0.6539044	0.0446476	0.3447701	0.2525371	0.6026415	0.1008226	0.5361284	0.0827875	0.6290355	0.4280971	0.6478034	0.6904896	0.5339916	0.2606612	0.2715762	0.5700496	0.3970203	0.4276603	0.5375178	0.5055295	0.0170374	0.0861324	0.7314045	0.2068226	0.0680845	0.3597521	0.4082987	0.0954494	0.0598629	0.0073105	0.5948083	0.7498470	0.2589437	0.5545223	0.0198277	0.7820436	0.1304600	0.4444710	0.4292299	0.3272251	0.3832738	0.7300360	0.2098587	0.0104802	0.6870976	0.7448788	0.5457247	0.6771982	0.4847605	0.7222866	0.0033506	0.3572671	0.0839405	0.3873588	0.2873213	0.2583857	0.7041543	0.6292855	0.1865213
0.6405227	0.0348506	0.4461775	0.4716758	0.0600709	0.3753077	0.5832787	0.3401467	0.4984670	0.1448878	0.5195136	0.3659379	0.4199352	0.1302897	0.0471207	0.0995799	0.7476779	0.0223256	0.1939373	0.1568724	0.1726199	0.4819176	0.1966683	0.2156957	0.0432046	0.5870188	0.1544709	0.1549298	0.5181700	0.4710224	0.0224018	0.0747449	0.0858334	0.0761433	0.6968431	0.1698526	0.4893739	0.5601879	0.0949933	0.2042390	0.0019072	0.6861852	0.0468985	0.2910223	0.2333323	0.6742223	0.1178949	0.5384831	0.2398118	0.6879882	0.4157572	0.7136844	0.5580704	0.6395898	0.2295094	0.3473614	0.9034483	0.3207540	0.5005752	0.6664089	0.3342918	0.0214381	0.0748817	0.7409939	0.3443143	0.0142715	0.2927018	0.4323910	0.1592515	0.0316455	0.0022529	0.6986388	0.7428896	0.2280469	0.4828472	0.0158318	0.6536048	0.1018603	0.4787981	0.3334789	0.2381359	0.2855897	0.5977440	0.2527438	0.0044528	0.7639714	0.6865086	0.6102483	0.6840518	0.3958154	0.7980350	0.0628063	0.4554408	0.1237625	0.3117429	0.4594757	0.2571858	0.7234318	0.6189923	0.2846238
0.6435607	0.1883825	0.2801239	0.6305262	0.0745358	0.6074684	0.4268004	0.4823894	0.7036402	0.1019913	0.5921124	0.4741966	0.3543939	0.1981419	0.0632877	0.0723180	0.6585626	0.0626079	0.1896804	0.3465302	0.1911476	0.3911929	0.1957880	0.1745436	0.0392899	0.6888071	0.1329335	0.1355523	0.6690902	0.3800174	0.0619843	0.1362307	0.0667449	0.1245843	0.7593837	0.0295846	0.4817712	0.6361400	0.0612374	0.2042454	0.0331608	0.6728385	0.0413522	0.4880049	0.2462341	0.6732370	0.0895669	0.4965150	0.0815212	0.5928157	0.3137564	0.6690157	0.6956218	0.5626392	0.1795702	0.2634058	0.7143013	0.5749812	0.6196057	0.6096457	0.5017373	0.0373509	0.0598597	0.6394663	0.2409085	0.0194227	0.2887064	0.4657824	0.1748355	0.0407255	0.0049580	0.6307392	0.6036742	0.2368180	0.4931411	0.0065151	0.5978305	0.1274748	0.5898687	0.4664953	0.2427861	0.2852202	0.7157085	0.2409420	0.0062224	0.6623286	0.7624611	0.6960548	0.7677817	0.4415092	0.6201846	0.0361579	0.5977085	0.0723690	0.2713289	0.2578687	0.2597472	0.6715573	0.5233726	0.2417742
0.6495145	0.1288956	0.4814530	0.1680799	0.0845772	0.3716243	0.5390025	0.4827818	0.5222539	0.2284214	0.6453414	0.4520217	0.5125869	0.2625570	0.0692048	0.0799743	0.8379862	0.0639839	0.2797096	0.1344235	0.1349649	0.4338239	0.2635961	0.2468855	0.0033387	0.6383351	0.2026737	0.1080768	0.6376767	0.3459920	0.0237368	0.1618359	0.0768696	0.1794274	0.6561038	0.0361685	0.4809281	0.6267499	0.0779798	0.1698312	0.0204966	0.6311643	0.0479953	0.3081258	0.3291297	0.7736577	0.0790849	0.4880366	0.0673020	0.5772534	0.4331591	0.6407267	0.7400450	0.6822524	0.2445647	0.2616286	0.6612611	0.2611583	0.2198110	0.5707854	0.4685206	0.0122292	0.0838358	0.6709272	0.4399874	0.0462718	0.3700538	0.3828448	0.1535800	0.0538863	0.0010418	0.4830124	0.5855733	0.1912378	0.5965952	0.0148391	0.6030265	0.1256611	0.6052000	0.3714744	0.2287523	0.3316779	0.7312949	0.2228918	0.0016961	0.7696991	0.6260144	0.5920483	0.8530536	0.4283699	0.6659218	0.0318593	0.3883735	0.0806926	0.4145419	0.2257721	0.2475513	0.6151963	0.5535065	0.2301399
0.6651898	0.1392807	0.4370465	0.0989380	0.0563077	0.3541022	0.5031517	0.5105947	0.5460937	0.2118636	0.4996839	0.3677236	0.3301943	0.2294736	0.0490758	0.0424087	0.6543063	0.0419788	0.2117113	0.1807463	0.1768725	0.3810659	0.1578364	0.1946046	0.0043216	0.6604203	0.1625337	0.1559418	0.5299703	0.3420001	0.0585395	0.1656477	0.0660294	0.0997261	0.6075235	0.0740840	0.5687591	0.6777511	0.0682415	0.2719576	0.0116793	0.6606638	0.0219960	0.2719156	0.3424810	0.6794538	0.0959679	0.4091107	0.0759008	0.6545473	0.5144285	0.5748079	0.6323067	0.5495106	0.1732228	0.2735034	0.7109915	0.2969567	0.3682426	0.4991837	0.4410456	0.0205613	0.0953370	0.8414855	0.3801530	0.0479881	0.2789541	0.3982274	0.0978156	0.0359088	0.0019692	0.5714402	0.7833691	0.2570470	0.4522568	0.0178440	0.5498143	0.1274679	0.5904058	0.4056245	0.1818135	0.3832778	0.6705578	0.1884491	0.0063127	0.7032616	0.5754932	0.5784738	0.6537550	0.4798998	0.6747473	0.0067323	0.5107522	0.1047169	0.3309175	0.2181965	0.2353594	0.7068552	0.5284206	0.2351179
0.5690453	0.1853201	0.4745418	0.3661640	0.0805237	0.2380422	0.4368385	0.4730336	0.6103904	0.2649993	0.5983394	0.3784398	0.3972556	0.2472641	0.0479800	0.0569202	0.7389472	0.0141326	0.1141655	0.2545840	0.1814740	0.4205485	0.2494881	0.2251734	0.0302021	0.5935891	0.1396617	0.1294084	0.5839462	0.4208077	0.0286615	0.0969981	0.0903074	0.1021594	0.5548303	0.1171545	0.4670791	0.6974900	0.1239802	0.1860066	0.0116564	0.6842129	0.0799552	0.3738992	0.1969030	0.6356558	0.0983936	0.5518906	0.0809260	0.7246749	0.3847700	0.6356076	0.6141943	0.6357544	0.3267517	0.3069890	0.5989673	0.4232124	0.4643847	0.5790771	0.4062656	0.0217812	0.0798013	0.6032111	0.3303066	0.0207331	0.3427678	0.4820429	0.2044430	0.0486697	0.0058626	0.7476563	0.6523996	0.2524651	0.6172852	0.0177692	0.6547757	0.0748276	0.6021133	0.5717532	0.1902191	0.4026452	0.5850578	0.3538266	0.0174163	0.7459299	0.6413405	0.6885513	0.6004308	0.4232419	0.6074515	0.1378985	0.4661916	0.1321235	0.3344845	0.2959863	0.1626252	0.5969303	0.5788482	0.1811665
0.6524608	0.2121515	0.5034058	0.5646256	0.0485315	0.4887538	0.2304871	0.4475585	0.3937555	0.3126672	0.6193901	0.3392756	0.3413206	0.1682981	0.0447641	0.0622893	0.7243302	0.0598841	0.2821743	0.1806049	0.4040712	0.3188473	0.1531040	0.2411797	0.0213551	0.6326961	0.1048576	0.1730707	0.6345514	0.5099141	0.0100787	0.1337697	0.1200817	0.1906844	0.6674607	0.0238308	0.3990890	0.6811365	0.0595085	0.2882361	0.0264667	0.6360379	0.0656349	0.4466881	0.2234250	0.6745695	0.0601619	0.5045831	0.1079584	0.7019564	0.4755425	0.5925133	0.6316821	0.7634113	0.2910594	0.1156578	0.6386929	0.3422009	0.5224883	0.6794634	0.4626466	0.0125487	0.0782290	0.7434734	0.4092700	0.0116605	0.2883780	0.4560451	0.2091221	0.0157910	0.0034482	0.5891831	0.6419433	0.3986242	0.5804816	0.0403182	0.4697226	0.0777421	0.6631021	0.3757288	0.2165936	0.3055814	0.6854768	0.2259873	0.0157008	0.9465804	0.7659565	0.4935803	0.7497842	0.4042618	0.7731411	0.0339768	0.4061614	0.0775890	0.4424799	0.1424794	0.2509329	0.6730176	0.4651898	0.2166553
0.5279913	0.1492543	0.5170045	0.3836690	0.0747620	0.4749096	0.5571356	0.3333085	0.5778513	0.1481813	0.5757408	0.3623437	0.3557636	0.1794932	0.0686464	0.1098001	0.6341514	0.0345935	0.2248578	0.2153897	0.2322563	0.3766637	0.2044996	0.2461856	0.0150030	0.5196821	0.2150844	0.1229913	0.5696658	0.3304642	0.0162802	0.1277296	0.0923880	0.1568915	0.3982735	0.1200348	0.5331180	0.7203698	0.1128469	0.2468725	0.0067460	0.6804525	0.0434031	0.3443438	0.2650121	0.6752967	0.1179749	0.5739758	0.0712056	0.6621127	0.4138477	0.6109194	0.6427107	0.5677973	0.2261626	0.3586038	0.6506039	0.4519835	0.4879413	0.7009640	0.4034668	0.0057630	0.0597597	0.6895882	0.4678079	0.0837303	0.3343974	0.4676247	0.1636659	0.0427767	0.0132265	0.7111278	0.5697751	0.3139406	0.5970750	0.0143545	0.6710612	0.1291215	0.6097799	0.4297336	0.1401976	0.3172701	0.7148290	0.2664849	0.0039074	0.6607821	0.5941268	0.6774243	0.7175239	0.4318135	0.6460174	0.0271684	0.4077111	0.1260444	0.2942342	0.3416444	0.2941569	0.6537275	0.7209298	0.1111761
0.5997999	0.1019999	0.4569552	0.3586905	0.0854580	0.4221580	0.4202922	0.4427969	0.2892009	0.2342398	0.6056321	0.4298221	0.3910837	0.2504868	0.0252545	0.0558009	0.8750078	0.0200666	0.2059161	0.1659854	0.1889927	0.4241685	0.1978019	0.1646833	0.0167086	0.5352558	0.1688423	0.1649233	0.5658320	0.3808300	0.0400928	0.1123490	0.0720132	0.1212266	0.6696845	0.0903880	0.5973114	0.5732861	0.0743507	0.2157830	0.0179516	0.5921497	0.0463647	0.2402018	0.3059128	0.8419896	0.0787419	0.6115849	0.1225197	0.6586075	0.4132713	0.7894767	0.9659778	0.7343809	0.2837969	0.2683155	0.7557125	0.3950437	0.4784793	0.5398885	0.4360565	0.0104345	0.0792410	0.6020715	0.3205586	0.0348661	0.3175507	0.5261111	0.1388000	0.0300243	0.0032523	0.5883971	0.6746416	0.1780765	0.5372995	0.0350756	0.5440585	0.1298346	0.6056734	0.3109178	0.2670875	0.3440398	0.6185621	0.2364375	0.0044515	0.5523398	0.5891459	0.6642307	0.6556194	0.4829796	0.5732190	0.0980237	0.4902127	0.1179049	0.4107810	0.3113514	0.2833225	0.7101859	0.7036591	0.1430117
0.7918393	0.1483921	0.4947975	0.2756245	0.0394949	0.4424456	0.4678108	0.4434014	0.4903608	0.1377651	0.5931067	0.5268711	0.3883288	0.2407320	0.0747972	0.0778224	0.7033862	0.0445634	0.1619387	0.1834516	0.1583658	0.4733087	0.1773950	0.1974269	0.0127706	0.6324250	0.1724985	0.1337628	0.4728719	0.4926190	0.0331534	0.1744689	0.1061420	0.1281325	0.5157316	0.0871111	0.4597228	0.7960857	0.0935564	0.2372608	0.0420649	0.6249664	0.0402859	0.3395320	0.3089155	0.6735551	0.0751340	0.6091895	0.0695111	0.7930467	0.2898245	0.7271706	0.6431279	0.5598415	0.2117738	0.2122778	0.6051162	0.3358493	0.5916805	0.6786996	0.4944655	0.0165581	0.0673101	0.5672394	0.1753314	0.0431614	0.3846853	0.2978554	0.1088682	0.0091693	0.0033067	0.6609179	0.7613862	0.2175890	0.5806898	0.0239704	0.4753153	0.1308245	0.6638824	0.3733452	0.1542723	0.3996002	0.6463278	0.1802423	0.0041478	0.6966147	0.8454649	0.5733884	0.5454996	0.4798212	0.5474490	0.1468645	0.4602335	0.0869288	0.3181183	0.3069664	0.3135973	0.6068622	0.5050777	0.2896184
