Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G76A	G94	G95	G96	G97	G98	G99	G100
0	0.0561755	0.3885298	0.0418322	0.1592416	0.6570452	0.0602801	0.0026679	0.2987920	0.1760432	0.6259733	0.2459040	0.5606027	0.2205961	0.4982625	0.0205991	0.4790798	0.3107504	0.5131797	0.4864154	0.6026703	0.0894676	0.3568750	0.6450236	0.1917824	0.4171157	0.2047050	0.2947641	0.0275301	0.0477656	0.0082104	0.0826529	0.3736814	0.5514827	0.4252822	0.2463365	0.0032176	0.6576547	0.1022008	0.0967979	0.1207559	0.4793511	0.3884352	0.2296947	0.3917491	0.6358254	0.6975417	0.5520420	0.5752724	0.6530299	0.1206205	0.6968611	0.4042997	0.0851213	0.5069620	0.4188028	0.0445673	0.3836144	0.0491110	0.0011590	0.0425456	0.0874769	0.3097083	0.1220690	0.2042730	0.1560008	0.6730303	0.1398576	0.4278480	0.0508668	0.1086532	0.4669705	0.3615537	0.1875768	0.4394633	0.3789753	0.0599863	0.6238498	0.7198190	0.4842015	0.0001489	0.6281353	0.5042312	0.0079160	0.5570810	0.3539418	0.0401970	0.3709382	0.4336128	0.6038640	0.5378116	0.3330446	0.4302850	0.4846603	0.7026312	0.1167498	0.1888230	0.7679915	0.5072017	0.2702809	0.7364608
50	0.0597935	0.4860545	0.4300610	0.2791396	0.7673886	0.0850430	0.0042742	0.2667544	0.1710396	0.6422279	0.1313132	0.6156889	0.2079231	0.4357786	0.0294386	0.5182004	0.2322459	0.4050867	0.4024180	0.7629949	0.0659213	0.4265634	0.7991862	0.2088850	0.2503390	0.1599181	0.2688952	0.0268739	0.0250890	0.0204453	0.4861807	0.3764629	0.5861789	0.3753456	0.2289981	0.0001902	0.5670573	0.1185839	0.0826993	0.1300813	0.4761755	0.5399916	0.1627373	0.3360292	0.6227235	0.6722910	0.6996458	0.4669883	0.7285601	0.1358194	0.4721771	0.2678667	0.0769791	0.6601440	0.4888279	0.0565953	0.2955283	0.0078699	0.0005550	0.0996373	0.1770928	0.1171638	0.0666220	0.1529783	0.2294991	0.5535408	0.0768422	0.4011871	0.0351229	0.1279605	0.3580679	0.5797132	0.0562407	0.5990838	0.3172917	0.1151860	0.5039257	0.7225623	0.5413627	0.0003440	0.6478773	0.4949687	0.0368658	0.5064028	0.2965218	0.0560606	0.3994091	0.5574940	0.3695213	0.4382990	0.3781136	0.3950492	0.4253168	0.6114907	0.1070299	0.2268214	0.5960733	0.5433491	0.3027715	0.6341807
100	0.0365608	0.4963025	0.5407376	0.2730989	0.6009773	0.0567689	0.0003884	0.2727197	0.1905639	0.5775450	0.0457776	0.6642811	0.3306257	0.3994971	0.0271241	0.5582635	0.2867176	0.4335047	0.5752574	0.6555422	0.1075388	0.3107171	0.6481064	0.1194470	0.3635843	0.2063751	0.2204162	0.0317628	0.0289718	0.0068769	0.5223324	0.3991231	0.7305749	0.3328506	0.2690916	0.0000256	0.6218178	0.1557754	0.1017606	0.1633969	0.4834702	0.4214884	0.2445600	0.3780803	0.6360139	0.6091207	0.5995354	0.5033306	0.6322654	0.2536497	0.5691265	0.2832159	0.0353488	0.6725878	0.3295855	0.0420219	0.2800268	0.0108659	0.0018041	0.0299101	0.3684052	0.1817940	0.0418443	0.1366190	0.2351695	0.4897720	0.1344527	0.4577709	0.0123222	0.1651365	0.4105788	0.5494807	0.0551772	0.4302518	0.3211649	0.0784727	0.3515840	0.6158900	0.5721955	0.0000625	0.7525061	0.4084470	0.0197534	0.6258391	0.3314444	0.0187631	0.4240172	0.6257176	0.3586042	0.4665865	0.5602150	0.3658994	0.4291499	0.6282872	0.0900183	0.1541899	0.6384509	0.6352859	0.4451598	0.6084574
150	0.0147955	0.5045856	0.5928109	0.2337633	0.6866689	0.0613201	0.0007190	0.2854543	0.1833063	0.6478581	0.0640682	0.5581887	0.3738462	0.4771632	0.0288715	0.5560773	0.2705913	0.4936885	0.4750778	0.5988401	0.0604776	0.3609039	0.6351088	0.1406225	0.2082800	0.2169882	0.2321216	0.0098335	0.0567380	0.0056420	0.5785109	0.3775097	0.6464763	0.2438676	0.2803528	0.0000000	0.5968996	0.1108176	0.1394497	0.1418996	0.4828992	0.3878715	0.2283457	0.4858639	0.5738410	0.7499921	0.7122783	0.6456875	0.7353043	0.4076922	0.5585986	0.2371566	0.0974499	0.7395942	0.4880693	0.0567403	0.1872679	0.0045045	0.0099358	0.0471930	0.5337404	0.1604235	0.0233510	0.1553312	0.2322304	0.5411620	0.1676314	0.4877780	0.0351302	0.1167316	0.4312905	0.4290749	0.0503382	0.3961589	0.4291063	0.0886260	0.3681534	0.7279014	0.4657879	0.0012585	0.7206466	0.3971415	0.0216920	0.6790055	0.3122665	0.0258873	0.4972869	0.6332814	0.3058006	0.5304518	0.4844036	0.3587745	0.3639148	0.6772299	0.0344712	0.1772655	0.7171534	0.5619753	0.3576573	0.7050628
200	0.0264650	0.5347368	0.5618292	0.2238253	0.8288776	0.0575730	0.0037828	0.1659673	0.1443168	0.7328399	0.0594449	0.5948366	0.3591917	0.3123683	0.0263207	0.6150184	0.2707228	0.4830739	0.4845301	0.8065792	0.0791230	0.4055805	0.7263008	0.1486447	0.2488072	0.3121051	0.2566113	0.0265495	0.0497465	0.0027727	0.4758037	0.3762935	0.6652426	0.2949941	0.2224081	0.0000180	0.6026846	0.1499152	0.1169308	0.1778725	0.5068639	0.4844960	0.2514819	0.4265840	0.6817056	0.7534943	0.5804788	0.5214292	0.4924685	0.3777914	0.5017810	0.2711968	0.1494394	0.6232467	0.3634497	0.0539817	0.1639798	0.0027849	0.0013242	0.0483678	0.4719747	0.1461654	0.0310546	0.1131799	0.2283705	0.4356524	0.1710626	0.4445681	0.0173680	0.1041337	0.5430834	0.2691365	0.0968741	0.4018671	0.3095261	0.0881298	0.4010866	0.7764921	0.4206006	0.0022710	0.7397210	0.4637900	0.0208332	0.6799597	0.2857184	0.0253869	0.5049624	0.6881305	0.2610274	0.3724144	0.5112402	0.3948267	0.3990801	0.5960319	0.0793587	0.1949692	0.6139862	0.6244487	0.3424631	0.7089872
250	0.0618063	0.4525818	0.5648228	0.2971650	0.6208856	0.0889482	0.0030628	0.1814392	0.1328667	0.7051665	0.0049725	0.7000612	0.4260573	0.3009786	0.0348108	0.4506292	0.3549447	0.4074523	0.4970223	0.6848381	0.0958341	0.4066240	0.6600540	0.2343232	0.2761020	0.2580155	0.3251331	0.0116644	0.0887570	0.0233222	0.6675260	0.4092614	0.6033726	0.3521377	0.1372189	0.0000000	0.6101616	0.1448879	0.1674615	0.1591040	0.3633619	0.5418338	0.2267422	0.3810530	0.5939735	0.6874078	0.6367328	0.5692534	0.5211293	0.3398957	0.3940648	0.3362530	0.0545084	0.5856665	0.4739197	0.0783904	0.1773707	0.0021027	0.0002841	0.0195754	0.5849542	0.1323753	0.0683611	0.0924831	0.2772146	0.6254904	0.1846586	0.4553241	0.0660788	0.1259881	0.4957097	0.3042085	0.1508398	0.3913659	0.3207948	0.1058959	0.4035729	0.6297646	0.3852011	0.0012151	0.6455622	0.3843836	0.0244672	0.5211558	0.2617019	0.0254112	0.4224970	0.6938924	0.2281279	0.4954356	0.5353591	0.2755521	0.4143761	0.5999792	0.0610988	0.2228597	0.7056267	0.6360373	0.3043502	0.6361019
300	0.0133133	0.4537850	0.7524319	0.2854958	0.7838111	0.0576709	0.0037783	0.1631546	0.0908150	0.7240485	0.0040131	0.8107145	0.3857127	0.4475321	0.0369237	0.4786139	0.2401888	0.4130923	0.4456428	0.5871101	0.0833870	0.4224251	0.5546077	0.1531182	0.2431048	0.3076946	0.2045439	0.0140318	0.1782106	0.0182232	0.5515406	0.3919460	0.5912101	0.3976938	0.1892430	0.0000013	0.5604713	0.1868142	0.1296917	0.1015508	0.5062142	0.4262522	0.1959874	0.3357554	0.6412607	0.7085361	0.6393839	0.6231296	0.7077333	0.3218419	0.3984395	0.2549806	0.1098959	0.6556916	0.3882368	0.0875250	0.1061681	0.0073940	0.0022655	0.0325198	0.5491914	0.1393948	0.0653882	0.0891607	0.2123917	0.5504419	0.1338572	0.4937979	0.0368491	0.0871252	0.5783155	0.2218466	0.1446257	0.3732024	0.3065484	0.0951989	0.3689544	0.7018780	0.2669747	0.0024218	0.7077242	0.4817713	0.0088933	0.6610250	0.1981256	0.0311899	0.3607788	0.6315871	0.2980722	0.5194905	0.4523373	0.3297679	0.4589300	0.6021743	0.0319924	0.2042146	0.5641042	0.6526064	0.3922417	0.7217361
350	0.0405489	0.4472453	0.6544055	0.2465023	0.7349188	0.0389749	0.0012014	0.2413018	0.1605689	0.5256251	0.0143451	0.8069707	0.3726322	0.5295838	0.0621307	0.5313000	0.2952831	0.4793595	0.4450372	0.6609020	0.0917671	0.5739328	0.6945255	0.1097271	0.2696678	0.2209209	0.2509030	0.0151534	0.1257043	0.0188200	0.5324806	0.3442721	0.6338584	0.5293494	0.2414242	0.0000000	0.6131719	0.1503102	0.1110931	0.1432783	0.4133136	0.4248082	0.2303478	0.3212871	0.6241052	0.7048830	0.6255723	0.6359627	0.6357719	0.3176473	0.5044385	0.3647918	0.1997723	0.7200941	0.4212810	0.0692214	0.1855095	0.0167342	0.0004276	0.0585712	0.5203429	0.1644901	0.0523921	0.1179937	0.1506144	0.6207267	0.1523738	0.5129384	0.0100007	0.0527179	0.5673553	0.2781212	0.1542788	0.4055987	0.3201537	0.0774422	0.3585189	0.5776746	0.3166418	0.0002279	0.7311137	0.4849637	0.0052793	0.6192040	0.2765875	0.0584098	0.4087932	0.6152693	0.2859536	0.4003816	0.4731830	0.3385314	0.3218087	0.6658353	0.1134164	0.1817687	0.6275118	0.5148520	0.4178032	0.5430642
400	0.0309366	0.5499200	0.6955530	0.2302262	0.6380983	0.0663562	0.0016599	0.1993497	0.1240799	0.5826012	0.0140979	0.7164913	0.4884397	0.4803992	0.0112161	0.5529417	0.3294168	0.5607477	0.4753873	0.6271664	0.0866051	0.3611223	0.7144119	0.1269088	0.2529770	0.3583741	0.2669210	0.0233464	0.1496888	0.0309310	0.5905760	0.3410248	0.6404189	0.5217641	0.2331152	0.0000052	0.5669700	0.1602595	0.1587062	0.1026557	0.5062691	0.3893456	0.2061883	0.3410366	0.7178664	0.6850399	0.6115251	0.5903408	0.5975803	0.2863337	0.5604801	0.2308465	0.3206996	0.6902765	0.3507761	0.0797479	0.1863747	0.0102405	0.0010004	0.0568262	0.6297901	0.2263984	0.0387831	0.0939015	0.1940084	0.5700380	0.0996573	0.4557873	0.0113491	0.0860600	0.6270832	0.2119148	0.1542972	0.3456858	0.3565533	0.0810432	0.3738835	0.5830491	0.3839727	0.0001232	0.7443514	0.4476210	0.0008671	0.7602795	0.2861962	0.0256648	0.4022444	0.7000613	0.2619038	0.4517283	0.4790227	0.3125347	0.3828277	0.6917855	0.1219027	0.2610273	0.6685143	0.5707393	0.4316552	0.5837832
450	0.0194826	0.5100013	0.5747617	0.1977449	0.6138868	0.0653167	0.0031174	0.2003560	0.1732916	0.6072883	0.0275190	0.7458997	0.5065392	0.3662171	0.0047862	0.5817696	0.3822593	0.4422922	0.4986754	0.7255357	0.0789895	0.3961898	0.7194342	0.1481648	0.2586588	0.2661904	0.3437281	0.0236059	0.1284625	0.0109849	0.6375712	0.4118734	0.6528455	0.3729070	0.1767329	0.0000634	0.5500426	0.1277765	0.1320864	0.0863375	0.4165908	0.4536172	0.2142613	0.3083986	0.6881724	0.7624666	0.6417527	0.6482126	0.7136012	0.3117647	0.5125687	0.2279286	0.3453078	0.6792854	0.4306711	0.0916187	0.1513097	0.0026624	0.0001943	0.0467135	0.6208889	0.1933653	0.0639840	0.1572569	0.1409410	0.6566531	0.1448418	0.4341367	0.0103126	0.0968094	0.5233183	0.2036282	0.1412952	0.3599650	0.4996025	0.0786970	0.3767212	0.5524151	0.2954682	0.0000416	0.6571547	0.4466065	0.0158558	0.7478491	0.3547278	0.0203793	0.3843157	0.7242604	0.2366662	0.4712512	0.5277221	0.3281826	0.3046890	0.7007257	0.0758372	0.2373126	0.6898855	0.5681553	0.3128542	0.7030291
