Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G65A	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
450	0.4096621	0.5842404	0.9997235	0.8905951	0.8295274	0.2891367	0.4281975	0.0339386	0.0823492	0.3937205	0.9999093	0.8755677	0.1114131	0.9723647	0.1042119	0.3295974	0.0002499	0.9836524	0.0504522	0.2841015	0.9685413	0.2160330	0.5599137	0.2476824	0.2321135	0.9928951	0.0999826	0.4369304	0.2258417	0.0865661	0.8493349	0.6522151	0.2006448	0.5192617	0.2075891	0.3254191	0.5269852	0.9845657	0.0764278	0.6043261	0.4850821	0.8673234	0.1886816	0.9973091	0.4375097	0.1519000	0.3304933	0.1920030	0.6718801	0.2033588	0.3802482	0.2575576	0.2992986	0.9100506	0.9504648	0.6489138	0.8373162	0.9999542	0.3983994	0.9999281	0.0000322	0.6692047	0.8376192	0.7186946	0.5545610	0.2741783	0.5098864	0.5401521	0.7874197	0.4873641	0.6590126	0.0698246	0.9546122	0.4352237	0.8087788	0.8526704	0.0663885	0.0718905	0.9977809	0.3079355	0.2003964	0.0371038	0.2366133	0.9982580	0.0001834	0.4958588	0.3574659	0.8646146	0.4814710	0.5194801	0.8308964	0.6021869	0.9289960	0.4741028	0.3630479	0.8574553	0.9738198	0.4222932	0.3714517	0.4240552
500	0.4098489	0.5903658	0.9998416	0.8909210	0.8493218	0.2895642	0.4278072	0.0330576	0.0823492	0.3925245	0.9999094	0.8766268	0.1102667	0.9748830	0.1055468	0.3290942	0.0002385	0.9904390	0.0498402	0.2949234	0.9714329	0.1945261	0.5393984	0.2416762	0.2072210	0.9925940	0.1005517	0.4446391	0.2219226	0.0866646	0.8381910	0.6280876	0.1911106	0.5293367	0.2013771	0.3206872	0.5158527	0.9915931	0.0754725	0.6040374	0.4852629	0.8693286	0.1879514	0.9973346	0.4379300	0.1526108	0.3316303	0.2024308	0.6452873	0.1777522	0.3786509	0.2216107	0.3002148	0.9202989	0.9512724	0.6500757	0.8323530	0.9999529	0.3888775	0.9999064	0.0000252	0.6936631	0.8564020	0.7308718	0.5645795	0.2665740	0.5056625	0.5577884	0.7985186	0.4850807	0.6739637	0.0700691	0.9558409	0.4352212	0.8069870	0.8534830	0.0556325	0.0699308	0.9980474	0.3079454	0.2049015	0.0348121	0.2388128	0.9982075	0.0002604	0.4958739	0.3756749	0.8652615	0.4812778	0.5256235	0.8308783	0.6021821	0.9232198	0.4887749	0.3631932	0.8572462	0.9738501	0.4240862	0.3633319	0.4333108
550	0.4075038	0.5931525	0.9998765	0.8931285	0.8711242	0.7497358	0.2269381	0.4568732	0.0823492	0.7853412	0.9999375	0.8791918	0.1095174	0.9767141	0.1037757	0.3339938	0.0020576	0.9930709	0.0554527	0.4104414	0.9698372	0.1765359	0.5078391	0.2401096	0.1850031	0.9923818	0.1012790	0.4503951	0.2208530	0.0872888	0.8341007	0.4668557	0.1489868	0.5465461	0.1943976	0.3170993	0.5185771	0.9932671	0.0771793	0.8663550	0.4860730	0.8723823	0.2481857	0.9978564	0.3905488	0.0921153	0.1238358	0.3759313	0.3687604	0.1580475	0.3664685	0.4187601	0.3087747	0.9278480	0.9471048	0.6535907	0.7336754	0.9999516	0.3851199	0.9998942	0.0002885	0.7341469	0.8971205	0.3039014	0.5575871	0.6139211	0.4944964	0.5685300	0.7087260	0.4284909	0.6826936	0.0689259	0.8237433	0.4354070	0.6444363	0.8664416	0.3538868	0.0681284	0.9986045	0.3079290	0.2086188	0.0336062	0.3911300	0.9979280	0.0003146	0.4960278	0.3650338	0.7815094	0.4810910	0.4795523	0.5884281	0.6021766	0.9006645	0.5019805	0.1113711	0.3945927	0.9743810	0.4180877	0.3699368	0.4673474
600	0.4065700	0.5930927	0.9998189	0.8955190	0.8916200	0.8764644	0.2456238	0.5228286	0.0823492	0.8781659	0.9999827	0.8796229	0.1089321	0.9811870	0.1107727	0.4466164	0.0025343	0.9923086	0.1030081	0.5987348	0.9529042	0.1574719	0.4725059	0.2394565	0.1589972	0.9922305	0.1001806	0.4538073	0.2184097	0.0878763	0.8340190	0.4437427	0.0887758	0.5686266	0.1879939	0.3148105	0.5406014	0.9939080	0.0672282	0.9447676	0.4874340	0.8757202	0.2743731	0.9986858	0.2968856	0.0334925	0.0808046	0.4478733	0.3144919	0.1229091	0.3389601	0.4474888	0.3293150	0.9196663	0.9351660	0.6592443	0.7096859	0.9999527	0.3827793	0.9998920	0.0003660	0.7963605	0.9410551	0.2490003	0.5090376	0.7241767	0.4537048	0.5729316	0.7890143	0.3464231	0.6767499	0.0678251	0.8104990	0.4358538	0.5835958	0.8952859	0.5174853	0.0667099	0.9992723	0.3072322	0.2119995	0.0328270	0.3352810	0.9976755	0.0003349	0.4967521	0.4078423	0.7695419	0.4809420	0.4158532	0.5426698	0.6021710	0.8440209	0.5209240	0.0497062	0.2763039	0.9802459	0.4023536	0.4000605	0.5438353
650	0.4067661	0.5822419	0.9990360	0.8980419	0.9156117	0.8830072	0.2905632	0.5333388	0.0823492	0.8313962	0.9999959	0.8974297	0.1082054	0.9854724	0.1408170	0.5130132	0.0026376	0.9775538	0.2046021	0.6759878	0.9218940	0.1400140	0.4543522	0.2451828	0.1332582	0.9923422	0.0967579	0.4576672	0.2140904	0.0882638	0.8302278	0.4398981	0.0621426	0.5919803	0.1824128	0.3123012	0.5570836	0.9960780	0.0545272	0.9660401	0.4890102	0.8784082	0.2856236	0.9987558	0.2471887	0.0202784	0.1028549	0.4795197	0.3145628	0.0823356	0.3015243	0.4610510	0.3473721	0.9008822	0.9264277	0.6629773	0.7033190	0.9999426	0.3817400	0.9998965	0.0003888	0.8376507	0.9647949	0.2476051	0.3945001	0.8125606	0.4189118	0.5878688	0.8555094	0.3027338	0.6591957	0.0674744	0.8200272	0.4362120	0.5625544	0.9175308	0.5613625	0.0656273	0.9996217	0.3032003	0.2114517	0.0326579	0.2945405	0.9975906	0.0005420	0.4969351	0.4644840	0.7683931	0.4808289	0.3887258	0.5357407	0.6021674	0.7898438	0.5585578	0.0343362	0.2542617	0.9836287	0.4032470	0.4287997	0.6027647
700	0.4071984	0.5424994	0.9944234	0.9010905	0.9401834	0.8588258	0.3172642	0.5399247	0.0823492	0.7286064	0.9999990	0.9338518	0.1075090	0.9865541	0.1803101	0.5211869	0.0026687	0.9189639	0.3015990	0.7007263	0.8901030	0.1285344	0.4539940	0.2785681	0.1156123	0.9927751	0.0935045	0.4629437	0.2100512	0.0885723	0.8252015	0.4358682	0.0538726	0.6138546	0.1772473	0.3091265	0.5648589	0.9978354	0.0506420	0.9699499	0.4904706	0.8805799	0.2901457	0.9983613	0.2415372	0.0227703	0.1395421	0.4896564	0.3561868	0.0560072	0.2567861	0.4799090	0.3596263	0.8959673	0.9233432	0.6630848	0.6961218	0.9998927	0.3842351	0.9999136	0.0004151	0.8540763	0.9613805	0.2514356	0.2636349	0.8693968	0.3905664	0.6138030	0.8888353	0.2832989	0.6311619	0.0673735	0.8291783	0.4364198	0.5574827	0.9304708	0.5723538	0.0648808	0.9997741	0.2953632	0.2070246	0.0328785	0.2875484	0.9975913	0.0012947	0.4967512	0.5066107	0.7687522	0.4807502	0.3768814	0.5345227	0.6021652	0.7551323	0.6092199	0.0281681	0.2531829	0.9829131	0.4170943	0.4478686	0.6330134
750	0.4077150	0.4777169	0.9826534	0.9041838	0.9589068	0.8364985	0.3315331	0.5576098	0.0823492	0.6555151	0.9999998	0.9630951	0.1071410	0.9850502	0.2066548	0.4929691	0.0027803	0.8131383	0.3641765	0.7117401	0.8533600	0.1245890	0.4778301	0.3269956	0.1099804	0.9933404	0.0905897	0.4684166	0.2074116	0.0888789	0.8184428	0.4314167	0.0531456	0.6324511	0.1723815	0.3060440	0.5676337	0.9985111	0.0513052	0.9683128	0.4917353	0.8825146	0.2915120	0.9979472	0.2605921	0.0314869	0.1671184	0.4771892	0.4225977	0.0432886	0.2463509	0.5190055	0.3695423	0.8996305	0.9236891	0.6603245	0.6909995	0.9997788	0.3961149	0.9999439	0.0005051	0.8442886	0.9110049	0.2503813	0.1836174	0.8915230	0.3600739	0.6324049	0.9030706	0.2712959	0.5739231	0.0673284	0.8352177	0.4365228	0.5634025	0.9370758	0.5748458	0.0644338	0.9998361	0.2879983	0.2018188	0.0331397	0.2975289	0.9976356	0.0026209	0.4965509	0.5270399	0.7688838	0.4807530	0.3645871	0.5334863	0.6021640	0.7350028	0.6525357	0.0250491	0.2542780	0.9813095	0.4332216	0.4605616	0.6396733
800	0.4082836	0.4160400	0.9675429	0.9065497	0.9703924	0.8211141	0.3437589	0.5908413	0.0823492	0.6439450	0.9999999	0.9785939	0.1071575	0.9826915	0.2108575	0.4590780	0.0030830	0.7034696	0.3994818	0.7230342	0.8033714	0.1300265	0.5211045	0.3633052	0.1198576	0.9939069	0.0880552	0.4726212	0.2065880	0.0892520	0.8103300	0.4273285	0.0559769	0.6460234	0.1681344	0.3038325	0.5683834	0.9985997	0.0543712	0.9645255	0.4928447	0.8842464	0.2914548	0.9977928	0.2827028	0.0398841	0.1756954	0.4483718	0.4807417	0.0383233	0.2717912	0.5764613	0.3833649	0.9057707	0.9250153	0.6569678	0.6895027	0.9996393	0.4283836	0.9999681	0.0007484	0.8065627	0.8431108	0.2388740	0.1450296	0.8985540	0.3323578	0.6403824	0.9068536	0.2633015	0.4983426	0.0672887	0.8386444	0.4365668	0.5757227	0.9401683	0.5753450	0.0641900	0.9998562	0.2827594	0.1965700	0.0332309	0.3130741	0.9976983	0.0039495	0.4964958	0.5257781	0.7685009	0.4808313	0.3451208	0.5322143	0.6021633	0.7225808	0.6790902	0.0237696	0.2541486	0.9810396	0.4476085	0.4699070	0.6344822
850	0.4088293	0.3716189	0.9551470	0.9077438	0.9761615	0.8100071	0.3597309	0.6332896	0.0823492	0.6733033	1.0000000	0.9848984	0.1074093	0.9809120	0.2007335	0.4435413	0.0036428	0.6197387	0.4214473	0.7378648	0.7486337	0.1460420	0.5662170	0.3839619	0.1452495	0.9944054	0.0862969	0.4746098	0.2075873	0.0896976	0.8020293	0.4244783	0.0611307	0.6530669	0.1649328	0.3028869	0.5688965	0.9983193	0.0601388	0.9605240	0.4938164	0.8856531	0.2909179	0.9978041	0.2924150	0.0422421	0.1659705	0.4174717	0.5196954	0.0372975	0.3028279	0.6455013	0.4000864	0.9106780	0.9258204	0.6545841	0.6910728	0.9995637	0.4908591	0.9999811	0.0012562	0.7501652	0.8081608	0.2180379	0.1221886	0.9042820	0.3153433	0.6399882	0.9039420	0.2607724	0.4339157	0.0672463	0.8401604	0.4365810	0.5870288	0.9415406	0.5754424	0.0641236	0.9998543	0.2761817	0.1902540	0.0331240	0.3277502	0.9977545	0.0044402	0.4966901	0.5077313	0.7677943	0.4808597	0.3196201	0.5309528	0.6021632	0.7140266	0.6889094	0.0225712	0.2529882	0.9824009	0.4595249	0.4765564	0.6297060
900	0.4092799	0.3428179	0.9468588	0.9075749	0.9776863	0.8005543	0.3795951	0.6749352	0.0823492	0.7058656	1.0000000	0.9861688	0.1076989	0.9800302	0.1895802	0.4485776	0.0044543	0.5630508	0.4390318	0.7541432	0.7049631	0.1701375	0.6011120	0.3934677	0.1792057	0.9947893	0.0852716	0.4740601	0.2101400	0.0901695	0.7947440	0.4233332	0.0673962	0.6534615	0.1630699	0.3032537	0.5705011	0.9975814	0.0677898	0.9574776	0.4946171	0.8865919	0.2904118	0.9978086	0.2886991	0.0381893	0.1463552	0.3938207	0.5438702	0.0384361	0.3257738	0.7185102	0.4090270	0.9138161	0.9256623	0.6531813	0.6957711	0.9995766	0.5750458	0.9999871	0.0021042	0.6935000	0.7998999	0.1951480	0.1034125	0.9105303	0.3108782	0.6310944	0.8965048	0.2619614	0.3909856	0.0672032	0.8404572	0.4365819	0.5946663	0.9420987	0.5754818	0.0643427	0.9998400	0.2617967	0.1830639	0.0329175	0.3380526	0.9977990	0.0039440	0.4971899	0.4823735	0.7670661	0.4808092	0.2934792	0.5298920	0.6021636	0.7079502	0.6861729	0.0208617	0.2516059	0.9844108	0.4682721	0.4811169	0.6304879
