Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G68A	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0	0.6027962	0.5683480	0.4709929	0.0184491	0.6164496	0.3886526	0.2795887	0.6698804	0.3110613	0.1067898	0.1368268	0.5157184	0.0518279	0.3611657	0.0138776	0.2192703	0.3256497	0.0282899	0.2235090	0.0766375	0.4373293	0.0131647	0.7532571	0.7684967	0.0078473	0.0394001	0.0147360	0.4552583	0.4084045	0.1707923	0.2911075	0.0067854	0.0285707	0.5491449	0.1231831	0.6967061	0.7065198	0.4080857	0.4027420	0.4056726	0.0247989	0.6708618	0.7667699	0.2625580	0.4962995	0.1642442	0.4044378	0.0858176	0.6207664	0.0140429	0.4343992	0.1633727	0.3812042	0.5541600	0.5051875	0.0317622	0.3894217	0.5318775	0.3584084	0.6778733	0.3080896	0.5192065	0.2119987	0.3138738	0.3909503	0.0442655	0.6345640	0.3258135	0.1929709	0.5926382	0.0002006	0.5087677	0.5791067	0.4206606	0.4718022	0.5859169	0.1829676	0.5070531	0.3674597	0.6360850	0.2327601	0.5658353	0.6216737	0.2488223	0.3120913	0.0926551	0.7149763	0.1811303	0.0581163	0.5945819	0.6064919	0.3624271	0.6345100	0.6024343	0.3871065	0.5507838	0.1361907	0.3648577	0.5918312	0.1624017
50	0.5806840	0.6610219	0.1420238	0.0177664	0.1758615	0.6177185	0.2278223	0.7303297	0.4820533	0.0900174	0.1120990	0.6668438	0.0127152	0.3602011	0.0033206	0.2944622	0.2295334	0.0120069	0.5258094	0.2555882	0.4435050	0.0080269	0.5373590	0.2319030	0.0074943	0.0150879	0.0095118	0.4745300	0.5142664	0.0941002	0.3493568	0.0502464	0.2890722	0.2812973	0.0606371	0.6606194	0.7384073	0.4771836	0.3389577	0.4539613	0.0186262	0.4696583	0.4614144	0.4340877	0.5172417	0.2019449	0.4140450	0.2967227	0.7701820	0.0183409	0.2366980	0.2946842	0.3183875	0.5312057	0.4844664	0.0166679	0.3077496	0.7286588	0.3313259	0.6342491	0.2518218	0.4621083	0.3108700	0.3562946	0.3684253	0.0741114	0.5352843	0.3231033	0.1395941	0.4872971	0.1291975	0.6665792	0.6446738	0.3835084	0.4152367	0.6770831	0.1645409	0.5465913	0.4784734	0.4464489	0.2414053	0.5811512	0.4154068	0.1899463	0.2721908	0.5189759	0.7758591	0.4238687	0.0534007	0.6619088	0.6757255	0.5328644	0.5335516	0.6235122	0.4850762	0.5933140	0.1061376	0.2754531	0.7005878	0.2176700
100	0.6012050	0.6918993	0.0897534	0.0164701	0.0539212	0.6111565	0.1375425	0.6989562	0.4507070	0.1392271	0.1154443	0.5168056	0.0197236	0.2911847	0.0304926	0.2065706	0.3666861	0.1489519	0.6476951	0.2589553	0.3315542	0.0140870	0.6605717	0.1788839	0.0132725	0.0022817	0.0480176	0.5643765	0.5176672	0.1375192	0.2713141	0.0938515	0.2969312	0.1739356	0.1354662	0.8096917	0.6183190	0.4841388	0.2188128	0.4368514	0.0045820	0.3609331	0.4539443	0.5276421	0.5252094	0.1706492	0.5537023	0.2588405	0.9098975	0.0504850	0.4993117	0.2473613	0.2139956	0.5625232	0.4289582	0.0338772	0.3220328	0.6937145	0.2906393	0.5313088	0.3617315	0.4415542	0.2566129	0.2970218	0.5929979	0.0332213	0.5281546	0.2831904	0.1406818	0.2517918	0.2505832	0.6324843	0.6852700	0.3189873	0.2924266	0.5678560	0.1697814	0.6524192	0.4765796	0.4181468	0.2758889	0.5237480	0.4492112	0.2548629	0.3387994	0.6193643	0.8232554	0.4652445	0.0518263	0.7295696	0.4981984	0.5763325	0.5708749	0.6175849	0.5830677	0.5359045	0.0893137	0.2357186	0.6429210	0.1673705
150	0.5673997	0.6961942	0.0373050	0.0416793	0.0532914	0.7969623	0.2020946	0.7600896	0.2640176	0.1944785	0.1617431	0.6525532	0.0477326	0.2110943	0.0387271	0.2264971	0.2956038	0.2499098	0.6632434	0.2521554	0.3627611	0.0074283	0.6791991	0.1609762	0.0308227	0.0110483	0.0135002	0.5833102	0.5575221	0.1926850	0.3081979	0.0755473	0.3140376	0.0530752	0.1350270	0.6377216	0.6559954	0.5843524	0.2461900	0.3822678	0.0034495	0.3717282	0.4942488	0.5767945	0.4559813	0.1788695	0.5660910	0.3756476	0.7518884	0.0207257	0.3608932	0.3353883	0.1371776	0.4361076	0.5446660	0.0343152	0.2959915	0.7777952	0.3295197	0.5402154	0.3108476	0.3691312	0.3437299	0.4074319	0.6540754	0.0250127	0.4786596	0.2499749	0.2182125	0.2833669	0.3382279	0.6056900	0.6043899	0.3130838	0.2285081	0.5609153	0.1446118	0.4648860	0.5997743	0.4593528	0.3271516	0.6151746	0.3949669	0.1977433	0.3428607	0.5996314	0.7912069	0.6463181	0.0527761	0.7416672	0.5161990	0.5962177	0.6178434	0.4970943	0.6045639	0.6443863	0.0627703	0.1429521	0.7640679	0.2150052
200	0.4997159	0.6436362	0.0554683	0.0366782	0.0346210	0.6093834	0.2118773	0.6715376	0.2346379	0.2143138	0.1449322	0.6359947	0.1118699	0.2156443	0.0219518	0.1620818	0.2687446	0.4038198	0.7096364	0.3155001	0.4016804	0.0004654	0.7113867	0.1387763	0.0458137	0.0453832	0.0060620	0.8181375	0.5768055	0.0940546	0.1932295	0.0472035	0.4474218	0.0448179	0.0998077	0.6130316	0.7357218	0.5562648	0.1733152	0.4462406	0.0048444	0.3850860	0.3576653	0.4916347	0.4611872	0.2014807	0.5625888	0.2819386	0.7408258	0.0422723	0.3277344	0.5058952	0.0703863	0.6340898	0.5507290	0.0082304	0.3415886	0.6818807	0.2487801	0.5821506	0.5077663	0.4517462	0.2491463	0.3401324	0.5153373	0.0398263	0.5783129	0.2882543	0.2251478	0.1683245	0.3904753	0.6554208	0.6141386	0.2540005	0.2699933	0.4778662	0.1857186	0.5796542	0.6838836	0.5622456	0.3787639	0.5609062	0.3670853	0.2196609	0.2944915	0.6867367	0.6982724	0.6614966	0.0166924	0.7313535	0.4864462	0.5353493	0.5680001	0.4764181	0.5251241	0.5130540	0.0660259	0.1630186	0.5543863	0.1131235
250	0.5222170	0.5970204	0.0076855	0.1152501	0.0619397	0.6291782	0.2945447	0.6364963	0.1529006	0.1964152	0.1469341	0.7450326	0.1399981	0.1655234	0.0055706	0.1362547	0.3059880	0.3268729	0.6169160	0.3561759	0.4488017	0.0081844	0.6155123	0.1268626	0.0690231	0.0755007	0.0060738	0.7240953	0.5724579	0.1498318	0.1551249	0.0892005	0.4573743	0.0183242	0.0586917	0.6617820	0.6680712	0.4558116	0.1744437	0.3999911	0.0039023	0.4056210	0.3126147	0.4937811	0.4175543	0.2698181	0.5839011	0.3313264	0.6289983	0.0419687	0.3761207	0.4601170	0.0678451	0.4568038	0.5219835	0.0157130	0.3184412	0.6330089	0.3814852	0.7024235	0.3905110	0.4340797	0.2930963	0.2491899	0.3291410	0.0249139	0.5696700	0.2680219	0.2266709	0.0618685	0.4484866	0.7161200	0.7101625	0.2430461	0.2332484	0.7096292	0.2241602	0.5660470	0.6587892	0.5499143	0.2790598	0.3576744	0.3367542	0.1491818	0.3669445	0.7161766	0.7096613	0.7566822	0.0160681	0.6219071	0.6341057	0.6203027	0.6237993	0.4990314	0.6930949	0.5779514	0.0786151	0.0995938	0.6078239	0.0450267
300	0.6703003	0.6028399	0.0067235	0.0892344	0.0323305	0.6999736	0.1789157	0.6521047	0.1596395	0.1326155	0.0948836	0.6384242	0.0801767	0.2496615	0.0060541	0.1499403	0.3413481	0.2942247	0.6146833	0.4344608	0.4144667	0.0133421	0.6425074	0.0951443	0.1526111	0.1033143	0.0122463	0.6724762	0.4539180	0.1856109	0.2389189	0.0609918	0.4917802	0.0078524	0.1052771	0.7585980	0.6794195	0.6618152	0.1926053	0.3202832	0.0158489	0.3577393	0.3392701	0.4321833	0.4805417	0.2905193	0.6762222	0.3408799	0.5968625	0.0305387	0.4124398	0.5201107	0.0577799	0.4424136	0.5640840	0.0128406	0.3428231	0.7068291	0.3471561	0.5854364	0.3934619	0.3704344	0.3395211	0.1961897	0.4840709	0.0193920	0.4837446	0.2481818	0.2241083	0.1240796	0.5207102	0.6384158	0.7688464	0.2164060	0.2791972	0.6706522	0.1662465	0.6843513	0.5856672	0.4955980	0.3137403	0.5779903	0.3148848	0.2336797	0.3085389	0.7697637	0.7130737	0.5767473	0.0324640	0.5419545	0.6778082	0.6404354	0.6267474	0.4310038	0.7228348	0.4221597	0.0531299	0.1444048	0.7757612	0.0870822
350	0.5748877	0.6268416	0.0195882	0.0691547	0.0431327	0.4971916	0.2302552	0.7605275	0.1330001	0.1839096	0.0973794	0.7084019	0.0923390	0.3644682	0.0053943	0.2111361	0.2500734	0.3911064	0.5960072	0.4299233	0.3441764	0.0207517	0.6300293	0.0733122	0.1875993	0.0939975	0.0213179	0.5954235	0.4837469	0.1275178	0.1362214	0.0808692	0.3922506	0.0125088	0.1100724	0.8961856	0.6722709	0.5020101	0.1511240	0.3094375	0.0097415	0.4027543	0.4500599	0.5132117	0.3869332	0.1959576	0.6401456	0.3707444	0.6916920	0.0327310	0.4400119	0.6480425	0.0508085	0.4319610	0.6139425	0.0219144	0.3859315	0.5822180	0.3801838	0.7031523	0.5028694	0.2544582	0.2414589	0.2748180	0.3780261	0.0291220	0.4742237	0.0867650	0.2553066	0.0676321	0.5832397	0.5940963	0.7421158	0.3379775	0.2864303	0.5972595	0.1103565	0.5908039	0.8014290	0.5078540	0.4063045	0.6617543	0.3661306	0.1726933	0.2791571	0.7571091	0.6124951	0.6189809	0.0388042	0.6491383	0.5985250	0.6269890	0.6612516	0.4365108	0.6618706	0.4662185	0.0398803	0.1452087	0.6948132	0.0688367
400	0.6210293	0.5709480	0.0082030	0.0375152	0.0195257	0.7560673	0.2356189	0.6993197	0.1749452	0.1577697	0.1079003	0.7956359	0.1045248	0.2775735	0.0140355	0.1821800	0.3336682	0.3532784	0.6274464	0.4835707	0.3707317	0.0220230	0.6256189	0.1361654	0.1247164	0.0147458	0.0072048	0.5398810	0.5659898	0.1904004	0.1801911	0.0546642	0.3528907	0.0048937	0.1178166	0.7578395	0.5990405	0.4730023	0.2078067	0.3219745	0.0149739	0.4035434	0.4165130	0.4664750	0.5253377	0.2483009	0.5332268	0.3901634	0.6565399	0.0372974	0.4279397	0.5694849	0.0387853	0.4927496	0.6359196	0.0109164	0.4507076	0.5211127	0.4851232	0.5011576	0.5246931	0.3455604	0.2302886	0.3058282	0.3821585	0.0376433	0.4759694	0.0807309	0.3178884	0.0459275	0.4915164	0.6680625	0.7457036	0.2820150	0.2777481	0.6512238	0.0742213	0.5976015	0.7799216	0.6190599	0.3948361	0.6252486	0.4623375	0.1907813	0.3269197	0.6416114	0.6030518	0.5968997	0.0467226	0.4592734	0.5961756	0.5257230	0.4792329	0.4159857	0.6242822	0.4344256	0.0951824	0.1547155	0.7098180	0.0468219
450	0.5170634	0.7194732	0.0075561	0.0292827	0.0198160	0.7974020	0.2511939	0.6421311	0.1621074	0.1801967	0.0918089	0.7104426	0.0584058	0.2882534	0.0115228	0.1610881	0.3410668	0.2674490	0.6675473	0.5335185	0.4542055	0.0183261	0.5811473	0.1160782	0.0915971	0.0164439	0.0560569	0.5927584	0.6187633	0.1237484	0.1706155	0.0686647	0.4171963	0.0061289	0.1003414	0.7232358	0.6504667	0.5431004	0.1875726	0.3336940	0.0069155	0.4328039	0.4526595	0.4472335	0.5350560	0.1832169	0.6564575	0.3196236	0.6498454	0.0374500	0.3927615	0.5496560	0.0417605	0.6246401	0.5803908	0.0148873	0.3659838	0.6905169	0.3461639	0.5292082	0.5242210	0.2832241	0.2040554	0.2881715	0.4343756	0.0278604	0.6640193	0.0907001	0.2538555	0.0731052	0.4623052	0.8836518	0.6574838	0.2672713	0.1589028	0.7435330	0.1475147	0.5421847	0.6702495	0.5476183	0.3659588	0.4777352	0.4377627	0.1599109	0.2939537	0.6386315	0.6097897	0.6413159	0.0290519	0.4364281	0.6007177	0.5305648	0.6332900	0.3803049	0.7953535	0.5718296	0.0832845	0.1276615	0.6415496	0.0734478
