Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G93A	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.5554518	0.2572690	0.0972483	0.1223446	0.5006202	0.2446675	0.5445296	0.8008277	0.3244127	0.5767506	0.9503686	0.9657449	0.9106952	0.6240238	0.8256163	0.9471253	0.0047641	0.0005606	0.9999999	0.0170401	0.5283529	0.8957807	0.4660249	0.8535280	0.0226179	0.8830044	0.2245048	0.8115933	0.0894799	0.9906294	0.0739251	0.4519018	0.3625573	0.6732306	0.7410248	0.7375639	0.0124276	0.0759559	1.0000000	0.1296680	1.0000000	0.6370630	0.2417495	0.7719443	0.2315159	0.6444408	0.9398297	0.4286259	0.7211204	0.9803609	0.8027848	0.3863476	0.2722571	0.0104723	0.7459414	0.0023914	0.7421284	0.0001372	0.8018282	0.7255575	0.5876788	0.9998006	0.8127421	0.7002960	0.9927953	0.8729602	0.5549664	0.5758880	0.5843487	0.3243806	0.0003022	0.9658372	0.2368730	0.9943007	0.7053579	0.8142565	0.8560178	0.4725719	0.3753637	0.4343888	0.3157122	0.9995654	1.0000000	0.3908044	0.1499664	0.3599948	0.7243209	0.0625060	0.0073697	0.2579652	0.1546351	0.3880568	0.9033721	0.0487869	0.0328768	0.8802964	0.0323131	0.8249467	0.1744146	0.6009827
50	0.5601130	0.2588527	0.1058204	0.0954000	0.2999319	0.2441873	0.5445279	0.8008692	0.3263630	0.5707136	0.9504718	0.9636815	0.9199661	0.6241365	0.8282882	0.9491531	0.2537657	0.0005587	0.9997701	0.3218206	0.5347701	0.9276873	0.7234152	0.6976142	0.0226179	0.8784148	0.4362376	0.8007691	0.0894737	0.8747734	0.0736250	0.4327862	0.3624792	0.6813320	0.6621438	0.8553067	0.4433852	0.4372077	1.0000000	0.1591311	1.0000000	0.6386031	0.2353651	0.9300132	0.2692637	0.6450758	0.9471894	0.3908856	0.2354610	0.9803937	0.8018805	0.5481931	0.2876750	0.0100596	0.7086091	0.0023075	0.7622673	0.0025149	0.7920176	0.7600281	0.5428661	0.8094995	0.8140488	0.7713889	0.9947712	0.8769320	0.5474498	0.6232887	0.5841754	0.7507257	0.0003477	0.7955456	0.2418871	0.9942673	0.5063745	0.8086914	0.8543900	0.4746258	0.3698125	0.4537380	0.3163227	0.9998107	0.3052223	0.3883158	0.1135422	0.3786653	0.7178713	0.2426655	0.0024577	0.1109531	0.1481926	0.3880396	0.9023085	0.0482819	0.0295924	0.6415914	0.0340859	0.7648336	0.1518572	0.6005782
100	0.5608159	0.3841791	0.2456640	0.0721528	0.4479884	0.2385227	0.5445005	0.8011545	0.3266803	0.5613108	0.9509763	0.9611732	0.9466963	0.6263840	0.8348301	0.9726681	0.2930063	0.0005468	0.9934300	0.3825205	0.5427883	0.9649301	0.8111443	0.5518373	0.0226181	0.8561945	0.4903280	0.7722128	0.0893893	0.8581348	0.0728073	0.4003326	0.3618220	0.7017156	0.6523862	0.8099003	0.6948565	0.4821392	1.0000000	0.2206000	1.0000000	0.6391646	0.2453308	0.9461700	0.2697160	0.6487181	0.9484851	0.4817233	0.0793410	0.9805805	0.8017996	0.6520298	0.3313141	0.0093072	0.7151604	0.0016682	0.7767883	0.0096048	0.7417420	0.8203164	0.4840736	0.7661999	0.8180913	0.7963280	0.9976360	0.8961213	0.5458147	0.6159708	0.5829563	0.8428127	0.0003521	0.7163695	0.2403291	0.9921970	0.4354260	0.7991350	0.8273683	0.5162145	0.3574775	0.4719072	0.3202965	0.9999170	0.1683971	0.3731375	0.1943961	0.4235831	0.7061462	0.3126241	0.0021805	0.0774537	0.1414718	0.3879646	0.9015132	0.0434896	0.0257797	0.5885497	0.0442745	0.6080088	0.1408603	0.5888035
150	0.5506364	0.7161985	0.3523607	0.0869623	0.5230022	0.2189313	0.5444206	0.8011468	0.3173209	0.5561071	0.9508219	0.9637971	0.9690855	0.6300580	0.8319239	0.9888899	0.2991899	0.0005379	0.9781326	0.3950440	0.5371265	0.9807885	0.8314712	0.4818621	0.0226192	0.6923598	0.5077021	0.7522136	0.0890205	0.8555771	0.0719488	0.3876926	0.3604024	0.7269125	0.6402490	0.7489491	0.8080536	0.4879479	1.0000000	0.2623502	1.0000000	0.6393921	0.2720630	0.9558341	0.1591327	0.6490533	0.9169902	0.5898970	0.0293289	0.9805960	0.8045470	0.6183660	0.3614412	0.0115383	0.7233225	0.0009232	0.7526682	0.0114206	0.6731089	0.8533857	0.4905935	0.7563572	0.8246152	0.8060880	0.9988880	0.9145111	0.5675927	0.5874456	0.5794216	0.8599030	0.0002174	0.6623052	0.2338353	0.9893398	0.4126072	0.7991384	0.8101807	0.6108009	0.3487247	0.4608068	0.3513489	0.9999315	0.1414516	0.3389415	0.2635575	0.4496596	0.7021846	0.3511299	0.0114563	0.0825005	0.1450603	0.3882066	0.9093623	0.0332452	0.0270045	0.5753658	0.0342131	0.5234342	0.1421603	0.5077271
200	0.5496921	0.8602042	0.3739229	0.1141217	0.5500889	0.1882887	0.5444680	0.7995296	0.2982852	0.5518841	0.9480832	0.9676547	0.9809189	0.6267345	0.8005325	0.9956180	0.3001643	0.0005401	0.9643441	0.4030906	0.5281391	0.9863044	0.8309128	0.4617862	0.0226214	0.3842797	0.5159068	0.7414892	0.0883313	0.8551243	0.0722911	0.3964509	0.3590519	0.7593525	0.6206887	0.7094195	0.8489135	0.4887060	1.0000000	0.2834615	1.0000000	0.6394607	0.2912338	0.9656058	0.0827966	0.6309110	0.8558682	0.6572675	0.0133070	0.9796440	0.8116419	0.5685055	0.3650015	0.0167413	0.7239389	0.0004806	0.7136969	0.0110887	0.6001984	0.8419842	0.5030321	0.7541334	0.8337174	0.8103933	0.9992996	0.9235122	0.5965854	0.5602200	0.5667766	0.8613926	0.0001142	0.6233850	0.2352098	0.9903645	0.4053056	0.8042383	0.8086761	0.6704190	0.3427555	0.4380204	0.3928057	0.9997300	0.1361452	0.3044017	0.2860096	0.4383310	0.7025562	0.3774962	0.0383977	0.0974483	0.1532483	0.3890773	0.9207155	0.0223560	0.0319706	0.5714671	0.0119604	0.4957937	0.1480396	0.4195826
250	0.5020645	0.8981591	0.3734597	0.1363136	0.5595092	0.1606142	0.5450546	0.7956555	0.2798044	0.5475557	0.9418682	0.9703443	0.9861812	0.6018707	0.7318548	0.9982755	0.3003179	0.0005507	0.9539928	0.4211379	0.5222201	0.9879402	0.8270359	0.4569098	0.0226239	0.2483719	0.5207844	0.7349031	0.0877111	0.8550948	0.0764128	0.4165794	0.3593620	0.7877129	0.6026413	0.6860234	0.8630435	0.4888049	1.0000000	0.2934018	1.0000000	0.6393092	0.3015686	0.9715868	0.0521271	0.5852565	0.7943996	0.6903440	0.0081411	0.9771115	0.8226182	0.5527204	0.3649493	0.0213055	0.7177297	0.0002792	0.6786539	0.0106276	0.5540443	0.8244241	0.5083628	0.7536428	0.8431268	0.8113496	0.9994355	0.9259496	0.6174123	0.5421807	0.5582256	0.8606443	0.0000680	0.6007068	0.2386296	0.9912680	0.3989361	0.8103601	0.8133278	0.6958475	0.3369933	0.4114075	0.4180185	0.9993848	0.1351001	0.2800402	0.3004407	0.4169128	0.7031425	0.3942813	0.0499680	0.1091872	0.1608738	0.3903396	0.9265530	0.0146926	0.0389082	0.5702620	0.0028779	0.4867579	0.1531083	0.3773741
300	0.4399583	0.9066186	0.3695553	0.1497447	0.5627634	0.1414094	0.5464719	0.7905037	0.2682212	0.5441347	0.9331773	0.9716928	0.9883518	0.5448107	0.6489980	0.9993214	0.3003424	0.0005640	0.9423845	0.4496876	0.5192617	0.9882897	0.8241429	0.4557807	0.0226261	0.2023519	0.5239376	0.7301636	0.0879714	0.8552062	0.0879776	0.4359463	0.3636670	0.8044617	0.5908935	0.6716728	0.8679494	0.4888178	1.0000000	0.2982156	1.0000000	0.6388066	0.3069761	0.9745751	0.0411754	0.5198619	0.7512121	0.7051576	0.0064552	0.9730846	0.8324791	0.5652155	0.3712263	0.0242418	0.7067573	0.0002013	0.6531308	0.0108320	0.5360180	0.8145702	0.5054967	0.7535368	0.8495684	0.8074199	0.9994788	0.9235544	0.6286280	0.5322881	0.5551092	0.8601102	0.0000527	0.5864800	0.2413522	0.9913447	0.3817015	0.8160240	0.8218365	0.7016039	0.3313783	0.3857455	0.4306344	0.9990912	0.1348943	0.2659911	0.3097244	0.3997580	0.7030256	0.4034447	0.0537825	0.1145320	0.1663959	0.3911681	0.9246628	0.0100587	0.0461781	0.5698393	0.0008494	0.4844635	0.1563966	0.3661655
350	0.4126806	0.9072604	0.3661133	0.1566868	0.5638543	0.1299399	0.5485711	0.7856489	0.2626898	0.5425066	0.9241452	0.9721557	0.9892026	0.4659871	0.5846741	0.9997330	0.3003466	0.0005752	0.9264350	0.4784257	0.5179498	0.9882846	0.8225205	0.4555227	0.0226282	0.1827938	0.5260919	0.7263036	0.0905008	0.8553570	0.1090885	0.4502561	0.3759468	0.8122118	0.5868888	0.6628742	0.8696754	0.4888195	1.0000000	0.3007385	1.0000000	0.6378964	0.3099849	0.9759555	0.0372254	0.4528467	0.7264104	0.7115537	0.0058995	0.9683440	0.8389701	0.5961228	0.3803738	0.0260048	0.6930443	0.0001790	0.6359764	0.0116715	0.5323555	0.8109883	0.5009652	0.7535059	0.8520076	0.7957308	0.9994857	0.9165527	0.6330033	0.5275808	0.5541032	0.8600173	0.0000503	0.5773490	0.2428143	0.9908252	0.3572100	0.8205345	0.8335928	0.6992255	0.3272243	0.3648492	0.4364640	0.9988647	0.1348538	0.2596341	0.3122013	0.3890305	0.7021207	0.4080520	0.0570032	0.1147196	0.1700365	0.3913961	0.9188357	0.0072030	0.0522877	0.5696256	0.0004127	0.4847105	0.1584491	0.3714675
400	0.4042175	0.9060141	0.3634219	0.1599508	0.5641643	0.1236957	0.5508809	0.7820170	0.2605495	0.5428672	0.9166018	0.9721804	0.9895252	0.3919573	0.5467104	0.9998949	0.3003476	0.0005833	0.9077499	0.4995867	0.5174019	0.9882198	0.8217165	0.4554637	0.0226306	0.1733049	0.5276944	0.7220839	0.0979298	0.8554973	0.1353627	0.4614459	0.4015877	0.8154375	0.5901565	0.6582008	0.8702905	0.4888197	1.0000000	0.3021995	1.0000000	0.6366667	0.3118150	0.9765710	0.0357356	0.3981519	0.7137385	0.7142717	0.0057195	0.9638771	0.8425510	0.6346275	0.3877155	0.0271906	0.6793896	0.0001787	0.6248752	0.0126771	0.5327059	0.8098907	0.4988338	0.7534805	0.8515657	0.7753966	0.9994792	0.9058788	0.6340870	0.5256402	0.5538511	0.8602278	0.0000503	0.5718289	0.2433527	0.9899229	0.3366664	0.8237588	0.8462863	0.6976805	0.3257451	0.3491386	0.4388402	0.9986620	0.1348458	0.2580740	0.3128601	0.3830973	0.7005831	0.4103427	0.0614533	0.1124351	0.1723158	0.3914406	0.9135340	0.0053589	0.0564482	0.5695141	0.0002979	0.4855270	0.1597227	0.3844593
