Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G56A	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.4483255	0.8252428	0.1276845	0.4932182	0.5491446	0.3473369	0.1856481	0.4362258	0.3379899	0.5068958	0.6654618	0.6667921	0.6750204	0.3191449	0.5029967	0.7764052	0.3446471	0.4195857	0.4078275	0.0084002	0.0534911	0.3312037	0.6810988	0.6309159	0.3753164	0.3391966	0.1849631	0.3411745	0.6526400	0.4422306	0.7065957	0.1479283	0.2388872	0.4100368	0.5581287	0.5951314	0.2346275	0.4863174	0.4843704	0.1730364	0.1987650	0.4980497	0.5295030	0.7822491	0.1691455	0.4598577	0.8745515	0.7835272	0.5112000	0.4990785	0.6533916	0.3345734	0.0005713	0.2226361	0.0363256	0.0088872	0.0380673	0.5664234	0.2938193	0.1703914	0.5117572	0.3719614	0.4620294	0.0001417	0.5923169	0.3293484	0.7188731	0.1670681	0.6966137	0.0365293	0.1783800	0.1663959	0.3115279	0.5968608	0.2674557	0.3743024	0.6299042	0.0054263	0.0966038	0.7484633	0.6864631	0.4724285	0.2479034	0.1143474	0.4295293	0.6886089	0.3087649	0.5636938	0.2583646	0.2807780	0.3584924	0.0092042	0.5424275	0.2762913	0.7264844	0.2235698	0.5472176	0.5305437	0.0462341	0.1217111
50	0.4013027	0.5940218	0.1131715	0.5030720	0.4967411	0.3634968	0.1456855	0.4249907	0.3413313	0.5936761	0.7068809	0.4461314	0.6588392	0.2117538	0.5384268	0.6594965	0.4376518	0.4380886	0.3045614	0.1510908	0.0759725	0.2884755	0.6523696	0.5520877	0.2216353	0.5715117	0.1795232	0.2773549	0.7116927	0.3627429	0.2799056	0.1434905	0.3348430	0.5288235	0.5632767	0.3347091	0.2370248	0.5640355	0.3296467	0.2143693	0.1597891	0.6672870	0.5997161	0.5257292	0.2268800	0.4686004	0.6521561	0.3425924	0.5654276	0.4738983	0.5952028	0.4549120	0.0008466	0.2645246	0.0884680	0.0130976	0.0310774	0.6656147	0.3960946	0.1555452	0.4933019	0.3781231	0.5253864	0.0004020	0.5910384	0.3819985	0.6045994	0.1726797	0.7197835	0.0386198	0.0627574	0.1895988	0.3767157	0.5137814	0.2379032	0.3526100	0.5461835	0.0235022	0.1365404	0.6651943	0.6998681	0.4875045	0.2063614	0.0601287	0.5162291	0.4418409	0.3814932	0.5427050	0.2966015	0.1667341	0.3447152	0.4412477	0.5294949	0.3661668	0.5864267	0.1973897	0.5180785	0.4069286	0.0067016	0.1497209
100	0.3986459	0.5867941	0.1018371	0.5805785	0.3923993	0.4041528	0.1665954	0.4987971	0.3673152	0.5912843	0.6484692	0.3152472	0.7104285	0.2496380	0.5779112	0.8150132	0.5088809	0.4628420	0.3068228	0.2731168	0.0925990	0.3541645	0.6923235	0.4904244	0.1975347	0.5761778	0.2211872	0.3517639	0.7218408	0.2263999	0.1397639	0.0882266	0.2641434	0.3781335	0.5995744	0.2442540	0.2435266	0.5842395	0.2830719	0.2104146	0.0806029	0.5115251	0.5359547	0.3826951	0.2413674	0.3757468	0.5458432	0.2363072	0.4913364	0.4238341	0.4852446	0.3825757	0.0002428	0.2837116	0.2117589	0.0247393	0.0159374	0.6798304	0.2140926	0.1766216	0.5594592	0.3313108	0.4839936	0.0000309	0.6399549	0.4561260	0.5971546	0.1527266	0.7856135	0.0141030	0.0298743	0.2886821	0.2288223	0.6330178	0.1845005	0.3540488	0.6172271	0.0155302	0.4015903	0.5962143	0.5707048	0.6411621	0.1667398	0.0720791	0.4646707	0.2864267	0.4293829	0.5881608	0.1657392	0.1537871	0.4017136	0.3664825	0.5788122	0.4065357	0.6948444	0.2028327	0.5532747	0.3558761	0.0170347	0.2498156
150	0.4608541	0.7058385	0.1174336	0.6208264	0.4228702	0.3377039	0.1481823	0.4718434	0.3477734	0.6108783	0.6752547	0.3062601	0.6575691	0.2983031	0.5109197	0.6146309	0.4880928	0.4325068	0.3355657	0.2428201	0.0875946	0.3275466	0.7710238	0.3487128	0.1913733	0.5473145	0.2940597	0.2835234	0.6556554	0.2012345	0.1562292	0.0521284	0.2282929	0.3835397	0.5950393	0.2783747	0.2824282	0.6893039	0.2569765	0.1461840	0.0529946	0.4188216	0.6589565	0.3618626	0.2241414	0.4779942	0.7027086	0.2476639	0.4384378	0.5026713	0.3086104	0.3765418	0.0002987	0.3639541	0.1864197	0.0130654	0.0028552	0.6239257	0.3093995	0.1243093	0.5113428	0.3246561	0.4196239	0.0000077	0.7427761	0.3626070	0.7911885	0.0985162	0.7011271	0.0062520	0.0254364	0.3039561	0.3467243	0.4486442	0.1907952	0.3350698	0.5273249	0.0376262	0.4256319	0.6631274	0.5637996	0.3634529	0.2312721	0.0867928	0.4449467	0.3072754	0.2895516	0.7064468	0.1443886	0.2135354	0.4397869	0.3253629	0.6437163	0.2756343	0.6995878	0.2677016	0.4463057	0.4502993	0.0025291	0.3298707
200	0.5195334	0.5733529	0.1107671	0.5708359	0.3612650	0.2871020	0.1349501	0.4715484	0.3439115	0.4581222	0.6350320	0.3081622	0.6204886	0.2551519	0.4977199	0.6447377	0.4464453	0.3967239	0.3125435	0.3085143	0.1218020	0.4333206	0.6740099	0.4005532	0.2306403	0.6660100	0.2642011	0.3204190	0.6319323	0.1679565	0.2118013	0.0638198	0.3385624	0.3729601	0.7844652	0.2840130	0.2760495	0.5935522	0.3294336	0.1405594	0.1017408	0.4154016	0.4346743	0.2836240	0.2843524	0.4847963	0.6600700	0.2136075	0.4888596	0.3746298	0.3482795	0.4752389	0.0009668	0.3324294	0.2083069	0.0148869	0.0102426	0.6181043	0.1452365	0.0922567	0.5815011	0.3776773	0.4567153	0.0008446	0.5611087	0.3315233	0.6355927	0.1129645	0.8327516	0.0413275	0.0240157	0.4616443	0.3311059	0.5023170	0.2002098	0.3044319	0.4573305	0.0352969	0.4284191	0.7272546	0.6958616	0.4623371	0.2206482	0.0301273	0.4622436	0.3149966	0.3490786	0.5063131	0.1421425	0.1301809	0.3541094	0.4054894	0.6566124	0.2851483	0.7145042	0.3314682	0.5634615	0.3513511	0.0053446	0.3439571
250	0.5031134	0.5046082	0.0688900	0.6068388	0.3719378	0.2733048	0.1149158	0.3897769	0.3056220	0.6078570	0.6515612	0.4118995	0.7324466	0.2780961	0.6022163	0.5618924	0.4976904	0.5212328	0.3437360	0.2114532	0.0934085	0.3754228	0.8312769	0.4889662	0.2405207	0.7354051	0.3215722	0.3427390	0.7956761	0.1997280	0.1027519	0.0408270	0.2987629	0.3606702	0.6297750	0.2694553	0.3013520	0.5685733	0.3482002	0.2009115	0.0901778	0.4790831	0.4530890	0.3550190	0.2859992	0.4400216	0.6387371	0.2427381	0.4971669	0.3887951	0.3745530	0.4292004	0.0005364	0.4644654	0.1941452	0.0239484	0.0046329	0.6583517	0.2110900	0.1391429	0.6044754	0.3574135	0.4220310	0.0000689	0.6498876	0.5844069	0.6575501	0.0860503	0.7268094	0.0384904	0.0487399	0.4745886	0.4131994	0.5355447	0.1870027	0.2750930	0.3259912	0.0292265	0.5464918	0.5861463	0.6310969	0.4847022	0.1997459	0.0185561	0.5684634	0.3407033	0.3225810	0.5977780	0.1668193	0.1834531	0.4019344	0.2672874	0.5486349	0.3384552	0.6356928	0.3682633	0.5076659	0.3950520	0.0075042	0.3067520
300	0.4449191	0.6546133	0.1061119	0.6625860	0.2761945	0.2697707	0.1584403	0.4421367	0.3247109	0.4884609	0.6590013	0.3589477	0.7375780	0.2773224	0.5238144	0.7105134	0.4033923	0.4603423	0.3693874	0.2059206	0.1121325	0.4486987	0.7177112	0.3854269	0.2864733	0.6566485	0.3337852	0.2783387	0.6053371	0.0914793	0.1357530	0.0812378	0.3205214	0.3305832	0.6177355	0.2881338	0.2518017	0.4041670	0.6313617	0.2315765	0.1119906	0.5169701	0.4890314	0.3789801	0.3084861	0.3848387	0.6532395	0.2200824	0.4743378	0.3426499	0.3813876	0.4777942	0.0030561	0.5260609	0.1910614	0.0233224	0.0003435	0.7143665	0.1875792	0.1103240	0.5524724	0.3354420	0.5138624	0.0000932	0.5893796	0.3263607	0.6166990	0.0880809	0.6874914	0.0431675	0.0522633	0.5013396	0.3369950	0.4949093	0.2708775	0.1954633	0.2927843	0.0342721	0.7460094	0.6438514	0.6274547	0.4329879	0.1970203	0.0352482	0.4127384	0.3657496	0.4249212	0.7148587	0.2072987	0.1914008	0.3814591	0.3519270	0.6395180	0.3493901	0.6964703	0.4973887	0.5162184	0.3795367	0.0095617	0.2418207
350	0.3392312	0.6437934	0.0875065	0.5626650	0.2916035	0.2944403	0.1952804	0.4309292	0.4832652	0.5174467	0.6393507	0.2966297	0.7303984	0.2113387	0.4934044	0.7372354	0.4693385	0.3953734	0.3732110	0.2299800	0.1135968	0.2650587	0.6388444	0.4358908	0.2712046	0.6012496	0.3044647	0.2409065	0.6742295	0.1034765	0.1129412	0.0638666	0.2907402	0.3392849	0.5199028	0.2101790	0.2435434	0.3728338	0.4037499	0.1725752	0.0967198	0.4688673	0.4095402	0.3007287	0.2810025	0.3798310	0.6441099	0.2324736	0.4625700	0.4399566	0.3798360	0.4552271	0.0074449	0.5853070	0.1724302	0.0193304	0.0020785	0.5988017	0.1649157	0.1478699	0.4565862	0.4848135	0.4793551	0.0000000	0.6721476	0.3461392	0.6194182	0.1914419	0.6250541	0.0411621	0.0681592	0.4094623	0.3619936	0.4758648	0.2130479	0.2458800	0.3040859	0.0365183	0.5405574	0.5428120	0.5617404	0.3941954	0.2577322	0.0471371	0.3831450	0.2830288	0.3662798	0.6526947	0.2105093	0.1489066	0.4449309	0.3468745	0.5763247	0.2873981	0.8169929	0.4294816	0.5549976	0.3844366	0.0148612	0.2540814
400	0.3970349	0.6660089	0.1234035	0.6639127	0.3309759	0.2666020	0.0914557	0.6280245	0.2467599	0.5616404	0.8396847	0.3217437	0.7464956	0.2698008	0.4435544	0.6814920	0.3624845	0.3789280	0.2827237	0.2714610	0.0745515	0.4360688	0.5523065	0.4435238	0.2441832	0.6264778	0.3809279	0.3631406	0.7005229	0.1319992	0.1005028	0.0755635	0.3008321	0.2705394	0.5533242	0.3095477	0.1993477	0.3029017	0.5752634	0.1756836	0.1014741	0.4288419	0.5083525	0.2729107	0.2265328	0.4444695	0.6319865	0.2746026	0.3972414	0.4048204	0.4060735	0.5197432	0.0004175	0.5271033	0.1590075	0.0152108	0.0034981	0.6429074	0.2182632	0.1646006	0.5613054	0.3472224	0.4019226	0.0000219	0.5461084	0.2713306	0.6507279	0.1797177	0.7735851	0.0431894	0.0641653	0.3930581	0.3686001	0.5885506	0.2765103	0.1705928	0.2986529	0.0366989	0.5738801	0.4926409	0.5773483	0.4617691	0.2157842	0.0316492	0.3902177	0.3366517	0.3169150	0.7219057	0.1564848	0.1827565	0.4162191	0.3317600	0.6280879	0.3430748	0.6865494	0.4662345	0.5865007	0.3363330	0.0267207	0.2545167
