Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G63A	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.6692073	0.7053171	1.0203505	0.5217364	0.2061604	0.4543655	0.0175333	0.5111574	0.4770984	1.0503666	1.0305700	0.4568574	0.2426363	0.0812944	0.8489411	0.4101474	0.3102960	0.6023903	0.4433293	0.0144014	1.0703674	0.0494770	0.0508283	0.0171723	0.6229577	0.4060592	0.3210762	0.5062436	0.9694796	0.9025193	0.2998492	0.2862928	0.4295372	0.3754241	0.5918229	0.5968679	0.0116039	0.2302848	0.0774548	0.6366698	0.5867436	0.3217224	0.9871805	0.8571586	0.2835938	0.4599199	0.2438264	0.6546580	0.7970465	0.9779937	0.8943679	1.0374271	0.0017336	0.2516957	0.6344644	0.5335439	0.8225768	0.5464237	0.9273171	1.0362683	0.9642400	0.3134517	0.2563936	0.0422291	0.2305538	0.7246033	0.0519996	0.0467936	0.3359836	0.3784734	0.7494212	0.5582173	0.0190012	0.2307766	0.6557407	0.6276197	0.1306001	1.0423994	0.2666360	0.5110302	0.3597606	0.6699293	0.8504544	0.9940324	0.9076574	0.8583556	0.4149102	0.6298391	0.3218860	0.2418341	1.0029071	0.2459162	0.0596753	0.4413417	0.3745337	0.3503784	0.3101902	0.8170136	0.4939534	1.0469840
50	0.3422196	0.5896303	0.9514698	0.4696427	0.2391351	0.3698461	0.0063095	0.2295476	0.4436636	0.8730880	1.0788303	0.4993368	0.1587517	0.0547174	0.8423295	0.4719270	0.6516783	0.9887630	0.4334767	0.0044450	0.9962822	0.0287130	0.7382287	0.0052402	0.1873744	0.3723109	0.3695708	0.4874685	0.8566842	0.9058166	0.2969145	0.2729590	0.3789196	0.3461519	0.6036590	0.4927161	0.5664304	0.0418535	0.0900327	0.5239198	0.5960223	0.3083704	1.0231289	0.3841854	0.5161682	0.3878952	0.0497848	0.7493894	0.5233174	0.6610947	0.8392326	0.9223760	0.0079477	0.3464014	0.6615014	0.4460933	0.9003598	0.6325305	0.8541452	0.4799701	0.9651475	0.1776420	0.3764993	0.0426970	0.2898319	0.7659412	0.0925946	0.2080441	0.4475773	0.5284534	0.8617209	0.6077715	0.0334010	0.2488801	0.6673246	0.6642281	0.0749637	0.9286234	0.2980963	0.7966376	0.3364994	0.5175749	0.9072960	0.4527493	0.8862402	0.8344230	0.4227889	0.7323014	0.5433489	0.0747533	0.9505687	0.2399034	0.0494587	0.3641030	0.1881219	0.1029312	0.3186584	0.7634073	0.5666742	0.3092903
100	0.2741338	0.5676300	1.0127425	0.5781139	0.2386864	0.2184836	0.0192374	0.2243377	0.4275834	0.9560307	0.9891557	0.4848148	0.2060814	0.0357564	0.8815178	0.5623717	0.6351350	0.9182774	0.5186220	0.0043870	0.9806911	0.0995319	0.7276854	0.0101381	0.1379883	0.4278603	0.3318478	0.4693564	0.8916927	0.9815772	0.4284683	0.2875862	0.3403287	0.3726588	0.5233744	0.2351998	0.8372340	0.0144890	0.1066317	0.5702116	0.5745421	0.3256630	0.8695565	0.1808649	0.7341584	0.3863214	0.0136217	0.7192274	0.4436584	0.6384500	0.7274906	0.9876267	0.0024519	0.3058972	0.5316047	0.2624683	0.8955985	0.5798082	0.9644844	0.3364807	0.9626763	0.1885135	0.4702154	0.0405592	0.2674698	0.7513603	0.0895181	0.2624252	0.6627001	0.4705071	0.8482173	0.5854788	0.0186179	0.2686303	0.6957480	0.7304221	0.0300578	0.9261478	0.3007074	0.8552106	0.3439117	0.3945673	0.8486837	0.2459013	0.8557432	0.7968249	0.4509839	0.6796415	0.4832997	0.0286688	0.9960381	0.2406772	0.0342951	0.3617767	0.1269868	0.0639642	0.3316668	0.8053069	0.4807108	0.1995513
150	0.2859875	0.5345170	0.9657903	0.5405440	0.1922394	0.1285704	0.0440881	0.2211149	0.5854887	0.9423171	0.9557915	0.4532058	0.2174340	0.0627365	0.8913975	0.6155300	0.7304988	0.9460070	0.6363305	0.0042743	0.9753020	0.2761656	0.8197830	0.0421868	0.1142474	0.5212780	0.3234854	0.5086954	0.9273532	1.0437085	0.5109944	0.3544321	0.4285571	0.4656417	0.3880893	0.0883228	0.9008243	0.0059809	0.0811376	0.4254973	0.6454233	0.3076648	0.5671217	0.1209600	0.8164530	0.3226201	0.0056061	0.7960484	0.4732246	0.5650167	0.5847367	1.0152979	0.0043207	0.3035146	0.4620305	0.1426678	0.8957181	0.6192528	0.9856318	0.3304363	0.9341942	0.2139938	0.4390405	0.0399152	0.2288647	0.7426621	0.1238150	0.2458256	0.7765401	0.4018949	0.8862762	0.5297042	0.0101713	0.2992213	0.7413435	0.7859473	0.0149558	0.9467959	0.3051158	0.9511762	0.2131211	0.4576325	0.9966542	0.4071663	0.8759122	0.6608704	0.4817945	0.5608467	0.4543594	0.0282883	1.0192913	0.2839724	0.0308326	0.3020323	0.0988297	0.0339423	0.2935720	0.7377252	0.4840740	0.1760897
200	0.3175536	0.5903356	0.9230019	0.5419539	0.2158233	0.1296027	0.0386355	0.1955713	0.6514699	0.9566414	0.8641066	0.4722251	0.2087391	0.0865273	0.7973087	0.6893851	0.6731363	1.0394475	0.7404756	0.0099395	1.0369215	0.2867144	0.7265821	0.0728450	0.1212702	0.5056901	0.3289970	0.5187472	0.8779608	1.0970631	0.6051753	0.2906788	0.4341502	0.4313597	0.1722216	0.0487719	0.8618212	0.0047688	0.1633248	0.4897901	0.6813675	0.3059470	0.2700831	0.1244653	0.8277181	0.3071311	0.0046172	0.8917058	0.4355288	0.5568619	0.3804734	0.9834012	0.0297222	0.3520073	0.4228426	0.0945137	0.9728709	0.6171812	1.0038886	0.3245218	0.9938354	0.2123442	0.5681116	0.0547294	0.2930249	0.7187845	0.1574396	0.2394795	0.8853393	0.3605582	0.7468418	0.5195191	0.0077533	0.3248035	0.7787402	0.8354554	0.0057910	0.8903075	0.2535332	0.9085049	0.1386204	0.4604583	0.8663988	0.7838122	0.8647995	0.5680835	0.5300773	0.4693976	0.5370008	0.0367015	0.9915404	0.3273531	0.0390283	0.2413018	0.0915807	0.0068805	0.3041532	0.7770868	0.4914943	0.1742641
250	0.3036143	0.5149472	1.0234295	0.5521837	0.2228605	0.1063821	0.0372175	0.2020474	0.6821764	0.8778450	0.8490568	0.4857213	0.2293618	0.0919238	0.8377676	0.5963571	0.6898035	1.0138649	0.7515096	0.0312507	0.9598406	0.3376797	0.8225333	0.2617450	0.1070740	0.5714516	0.3349450	0.5335733	0.7966003	1.0161218	0.6175792	0.3289068	0.4412141	0.4503989	0.0698105	0.0223812	0.9391795	0.0050950	0.4151524	0.4898327	0.6135182	0.3321454	0.1155930	0.0566155	0.8233444	0.2709361	0.0023600	0.9715743	0.4031491	0.5770559	0.2752121	1.0168177	0.0387419	0.3202817	0.5597518	0.1355000	0.9392527	0.5708454	0.9470748	0.3288269	1.0015976	0.2500539	0.5449486	0.0478609	0.3684374	0.6888725	0.1625484	0.2814078	0.8930130	0.4290207	0.8064089	0.4776871	0.0060490	0.3181429	0.6950126	0.7667486	0.0043504	0.9526277	0.2819859	0.9616476	0.1391263	0.4548798	0.8902489	1.0273759	0.9351576	0.5624840	0.5255126	0.3958344	0.5952119	0.0318771	0.9149580	0.5409168	0.0356990	0.2173093	0.1090586	0.0036435	0.3082637	0.6288667	0.5240264	0.2197821
300	0.2612006	0.5652963	0.9065140	0.5237883	0.2125569	0.1033937	0.0149034	0.2154277	0.7304985	0.8096518	0.8189088	0.5527749	0.2857122	0.1043174	0.7596303	0.6089760	0.5798321	0.9409028	0.8745406	0.0251542	0.9955370	0.3874652	0.7553426	0.2958093	0.1327421	0.4878368	0.3016207	0.5265445	0.8971066	0.9844402	0.6142023	0.3341388	0.4459189	0.4562294	0.0298440	0.0150143	0.9295031	0.0057055	0.7224697	0.4571127	0.5285952	0.3304504	0.0862489	0.0656043	0.8240171	0.3063183	0.0037022	0.9563481	0.3257038	0.5871674	0.2100378	0.9466112	0.0414476	0.3133672	0.5544658	0.2185715	0.9335214	0.5970224	1.0200578	0.3029856	1.0171641	0.2762862	0.4950965	0.0439537	0.5137240	0.7219403	0.1578123	0.2938716	1.0006489	0.6137331	0.8283598	0.4677529	0.0080505	0.3101395	0.8085055	0.8464733	0.0076957	0.9309425	0.4349425	0.9232895	0.1419193	0.4780709	0.9452240	0.9976121	0.8875023	0.5527537	0.5214474	0.3350330	0.6991295	0.0216013	0.9931524	0.4697124	0.0410228	0.1665546	0.0887997	0.0000000	0.3628106	0.5840538	0.5152941	0.1517211
350	0.2528277	0.5843431	0.9543059	0.5402952	0.2486366	0.1070902	0.0262218	0.1838899	0.7565954	0.8112262	0.8646199	0.5495205	0.2847965	0.1007980	0.8190073	0.6727948	0.5897132	0.9743589	0.8162123	0.0265919	0.9588094	0.4245916	0.8916609	0.1726607	0.1671259	0.5519836	0.2920753	0.4737041	0.8245374	0.9847315	0.6407785	0.3269621	0.4567534	0.3939314	0.0134660	0.0274804	0.8986432	0.0010608	0.8248148	0.5047021	0.5477423	0.2994672	0.0738477	0.0659355	0.8644545	0.3431753	0.0045378	0.8957485	0.3818654	0.5835376	0.1983969	0.9575562	0.0488360	0.3151669	0.5812247	0.3880558	0.9763022	0.5661054	1.1139797	0.3035532	1.0000699	0.2923276	0.5872527	0.0442837	0.5481403	0.7472142	0.1208760	0.3563388	0.9120010	0.6246629	0.8970424	0.5204156	0.0020440	0.2730735	0.7218502	0.8065923	0.0015825	0.9254064	0.4538364	0.9916348	0.1869369	0.4409700	0.9651791	1.0318646	0.8744965	0.4988033	0.5057933	0.2628414	0.7038007	0.0321206	0.9659275	0.3287476	0.0493765	0.1273803	0.0821662	0.0071987	0.4106269	0.4733793	0.5145425	0.1889609
400	0.2663896	0.5930993	0.9517655	0.4655830	0.2264329	0.0972513	0.0149761	0.1991778	0.8253739	0.8051925	0.8195112	0.5451989	0.2467777	0.0937178	0.7841819	0.6335878	0.6101964	0.9685582	0.7053554	0.0286599	0.9201250	0.5101021	0.7799386	0.1259509	0.1331076	0.5388017	0.3610493	0.4559937	0.9368530	1.0182102	0.6292423	0.3024349	0.4776088	0.3303086	0.0115984	0.0374696	0.8729728	0.0033808	0.9637187	0.4953154	0.4720692	0.3768053	0.0623265	0.0850951	0.8713618	0.4469703	0.0038419	0.8529551	0.3720955	0.5158749	0.1592630	0.9258410	0.0575051	0.3902655	0.6007920	0.5356065	0.9525116	0.5322098	1.0162909	0.3222600	0.9949275	0.2957750	0.5689782	0.0363415	0.5974730	0.7028298	0.1365110	0.3585449	0.9108797	0.6716400	0.8561740	0.5264747	0.0004711	0.2738970	0.7868070	0.9042302	0.0037377	0.9711764	0.4234736	0.9037764	0.1991670	0.5524483	0.9131117	0.9999057	0.8157358	0.5094400	0.5328191	0.1682725	0.6965457	0.0190410	1.0147249	0.1320164	0.0475652	0.1187658	0.0805914	0.0015337	0.4617169	0.4483849	0.5271322	0.1639826
