Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G71A	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.9967820	0.2314525	0.7807304	0.5193876	0.1028367	0.6417170	0.7130600	0.7119359	0.8208399	0.2832277	0.8422034	0.6578954	0.6029603	0.2923605	0.0679319	0.0975690	0.9606169	0.0385446	0.2732012	0.2558913	0.2785284	0.6063067	0.3019396	0.3068761	0.0297358	0.9267809	0.2229813	0.1996195	0.8421721	0.6054550	0.0439174	0.1687415	0.1444195	0.1722909	0.9003347	0.1120106	0.7183066	0.9224404	0.1215334	0.3127728	0.0103585	0.9409504	0.0638165	0.5164916	0.3549434	0.9999444	0.1135433	0.7688273	0.1265458	1.0000000	0.5805672	0.9720643	0.9389463	0.8705122	0.3309172	0.4160335	0.9928081	0.5502566	0.7886244	0.8322931	0.6568377	0.0186248	0.1244560	0.9454706	0.5075650	0.0303660	0.4889131	0.6928498	0.1950665	0.0461887	0.0040665	0.9284813	0.9952448	0.3623032	0.7393115	0.0226243	0.8756391	0.1878451	0.8786893	0.5998676	0.2887983	0.5331079	0.9588877	0.3556097	0.0065799	0.9999352	1.0000000	0.9193255	0.9950889	0.6606444	0.9609390	0.0434042	0.6800957	0.1579529	0.5715454	0.4308709	0.3779161	0.9967440	0.8854411	0.2537605
50	0.9967885	0.2292005	0.7771077	0.6624942	0.3196004	0.3910199	0.6847795	0.3257619	0.8789109	0.2828369	0.8506343	0.8644302	0.5949935	0.2920935	0.0678600	0.0337426	0.9036903	0.0810008	0.2037400	0.2575202	0.2749652	0.6175535	0.3019504	0.3070494	0.0294750	0.9945231	0.2229989	0.1996186	0.8421869	0.6059823	0.6543623	0.1091846	0.3577806	0.1114699	0.9002804	0.1119250	0.7178481	0.9242465	0.1047603	0.1770649	0.2737963	0.7463874	0.0638128	0.5165396	0.3549809	0.7622152	0.1227774	0.3179782	0.1265441	0.6726723	0.5753502	0.9595425	0.9445900	0.8272453	0.3533783	0.8793171	0.9887998	0.5507899	0.4772680	0.6410405	0.6572594	0.0212774	0.1174346	0.9802449	0.2720145	0.0312857	0.4980530	0.3905485	0.1930175	0.0473011	0.0035399	0.7620768	0.9955072	0.3591926	0.7386694	0.0837654	0.9511754	0.1870167	0.5604955	0.5756890	0.2722412	0.7908379	0.9572556	0.3488548	0.0095495	0.9872629	0.9999959	0.9197216	0.9912664	0.6606251	0.9623039	0.0644107	0.6801794	0.1607520	0.5744143	0.4123256	0.3779170	0.9201107	0.8956608	0.0852349
100	0.9970160	0.2067049	0.7086938	0.7084236	0.3589023	0.3058599	0.5762882	0.1857749	0.9057387	0.2785490	0.8694661	0.9045661	0.5291919	0.2894192	0.0677835	0.0149840	0.7558188	0.0909963	0.1874002	0.2627041	0.2703219	0.6429723	0.3009816	0.3144367	0.0290384	0.9995899	0.2229533	0.1996199	0.8425539	0.6097411	0.8685779	0.0447264	0.4105814	0.1078263	0.9011939	0.1092878	0.7087702	0.9369758	0.0852025	0.1960985	0.5137420	0.6231413	0.0638104	0.5165899	0.3541560	0.6805428	0.1550062	0.2310917	0.1265288	0.5650689	0.5668454	0.9172047	0.9574444	0.5713878	0.4106185	0.9741709	0.9672690	0.5561755	0.4549281	0.6120426	0.6618830	0.0348515	0.1105154	0.9928380	0.1608407	0.0356889	0.5304702	0.2951009	0.1875970	0.0528778	0.0068585	0.7147390	0.9953095	0.3844504	0.7349190	0.1129346	0.9788315	0.1808559	0.4624315	0.5356942	0.2326856	0.7825720	0.9446694	0.3477702	0.0331614	0.8474808	0.9999240	0.8936496	0.9558096	0.6605461	0.9671111	0.1743063	0.6815764	0.1783735	0.5863958	0.3968429	0.3779148	0.8985513	0.9110865	0.0715352
150	0.9977884	0.1729924	0.4530948	0.5475407	0.3659948	0.2788029	0.4384843	0.1350136	0.9177153	0.2690510	0.8832989	0.8920585	0.4413326	0.2841446	0.0677595	0.0113930	0.6177263	0.0907996	0.1835048	0.2745191	0.2791548	0.6630691	0.2906248	0.3465740	0.0287860	0.9999688	0.2215064	0.1996702	0.8456434	0.6187708	0.9437099	0.0220420	0.4226826	0.1437110	0.9104292	0.0968409	0.6765313	0.9473265	0.1188478	0.2762700	0.6581895	0.5080550	0.0638054	0.5175129	0.3487334	0.6524758	0.1915811	0.2133628	0.1263291	0.5296961	0.5625078	0.8804974	0.9656021	0.4154433	0.4567348	0.9934549	0.9375130	0.5681644	0.4569080	0.6284170	0.6730068	0.0607862	0.1087030	0.9973920	0.1536503	0.0422430	0.5698206	0.2652953	0.1828717	0.0606485	0.0500256	0.6976031	0.9945529	0.5263054	0.7286067	0.1292094	0.9885537	0.1641864	0.3989754	0.5310939	0.2203644	0.7589534	0.8992434	0.3580199	0.0587384	0.6770627	0.9997801	0.7671502	0.8923661	0.6603367	0.9713482	0.3198278	0.6861386	0.2244777	0.5984148	0.3619215	0.3778866	0.8909112	0.9175918	0.0686324
200	0.9986388	0.1492220	0.2861625	0.3719208	0.3672573	0.2731366	0.3358020	0.1165206	0.9213862	0.2581181	0.8893282	0.8618172	0.3952260	0.2788051	0.0677532	0.0137852	0.5368404	0.0923615	0.1816636	0.3460131	0.3029246	0.6741116	0.2604945	0.3931571	0.0286754	0.9999971	0.2131757	0.2007470	0.8555837	0.6302906	0.9700683	0.0150455	0.4256137	0.2023438	0.9349051	0.0802730	0.6396936	0.9199641	0.2190710	0.3464557	0.7057025	0.4236889	0.0637693	0.5217851	0.3373864	0.6427867	0.2095070	0.2061636	0.1251876	0.5180679	0.5637614	0.8614472	0.9689802	0.3724112	0.4824344	0.9972491	0.9110162	0.5940344	0.4153943	0.6512863	0.6933314	0.0968821	0.1130512	0.9990176	0.1700375	0.0490233	0.6018046	0.2435099	0.1879078	0.0639977	0.1394792	0.6906710	0.9939522	0.6603608	0.7343892	0.1393141	0.9906784	0.1411059	0.3440581	0.5622309	0.2696324	0.7382286	0.8244663	0.3687126	0.0691171	0.5871584	0.9995782	0.6743593	0.8531313	0.6599763	0.9697049	0.4097780	0.6914386	0.2826016	0.6049674	0.3078648	0.3778185	0.8839991	0.9169715	0.0645267
250	0.9991874	0.1394414	0.2342882	0.2660707	0.3674741	0.2749605	0.2769480	0.1094925	0.9208837	0.2493504	0.8897836	0.8381543	0.3764321	0.2751882	0.0677516	0.0182400	0.4967349	0.0974114	0.1814164	0.5841837	0.3291128	0.6837564	0.2201717	0.4306074	0.0286322	0.9999993	0.1930640	0.2093827	0.8710509	0.6404550	0.9793188	0.0127724	0.4287725	0.2612495	0.9605183	0.0681878	0.6157588	0.8300752	0.3163372	0.3867115	0.7042355	0.3712749	0.0636396	0.5316779	0.3226406	0.6393208	0.2031703	0.1995204	0.1220946	0.5142453	0.5657263	0.8493983	0.9704789	0.3857026	0.4944926	0.9979940	0.8901926	0.6687155	0.3310263	0.6717884	0.7494726	0.1506014	0.1263229	0.9995474	0.1826145	0.0578371	0.6194767	0.2115518	0.2125759	0.0601918	0.1931922	0.6889535	0.9935819	0.7195614	0.7451550	0.1461410	0.9889731	0.1199883	0.3131434	0.6060516	0.3643036	0.7124620	0.7572220	0.3754440	0.0742197	0.5495365	0.9968672	0.6569739	0.7907418	0.6595632	0.9579529	0.4485859	0.7099753	0.3272111	0.6072651	0.2564918	0.3777079	0.8693007	0.9127201	0.0602280
300	0.9994433	0.1431604	0.2409990	0.2107874	0.3675078	0.2783460	0.2452884	0.1062549	0.9189931	0.2440865	0.8877542	0.8254252	0.3694412	0.2735761	0.0677512	0.0224248	0.4785644	0.1037453	0.1827732	0.7737332	0.3487553	0.7057213	0.1853295	0.4528795	0.0286164	0.9999995	0.1653951	0.2283593	0.8847450	0.6476084	0.9825658	0.0118520	0.4356350	0.3077641	0.9773789	0.0584796	0.6033648	0.7171713	0.3716621	0.4031764	0.6852402	0.3407287	0.0633626	0.5472777	0.3084736	0.6379849	0.1841347	0.1927379	0.1172751	0.5129887	0.5654096	0.8393111	0.9713347	0.4260740	0.4993837	0.9982849	0.8764117	0.7413280	0.2411370	0.6865240	0.8337461	0.2068891	0.1447196	0.9996356	0.1892868	0.0740341	0.6206686	0.1740985	0.2652442	0.0509592	0.1960168	0.6898342	0.9933626	0.7401495	0.7559227	0.1512525	0.9856855	0.1043512	0.3034930	0.6409441	0.4558853	0.6802117	0.7002981	0.3778850	0.0794512	0.5358641	0.9567948	0.6629947	0.6856227	0.6592145	0.9314282	0.4616299	0.7693402	0.3533067	0.6074219	0.2199590	0.3774542	0.8440211	0.9078820	0.0571806
350	0.9994762	0.1617803	0.2838481	0.1809291	0.3675115	0.2809242	0.2269677	0.1040356	0.9172054	0.2419130	0.8853913	0.8196617	0.3669993	0.2733837	0.0677511	0.0253630	0.4708463	0.1092452	0.1851225	0.8235144	0.3607187	0.7303920	0.1615405	0.4640997	0.0286108	0.9999997	0.1387028	0.2330940	0.8905937	0.6519630	0.9837056	0.0112197	0.4453555	0.3293057	0.9871949	0.0500228	0.5983348	0.6341595	0.3886029	0.4058550	0.6645115	0.3240580	0.0629480	0.5662016	0.2978426	0.6375013	0.1644639	0.1866375	0.1124479	0.5125756	0.5636011	0.8304429	0.9719505	0.4710703	0.5008454	0.9984938	0.8685714	0.7738153	0.1768522	0.6955388	0.8943031	0.2302080	0.1620009	0.9995343	0.1925628	0.1010277	0.6069759	0.1429513	0.3391010	0.0455521	0.1728677	0.6914642	0.9932442	0.7458214	0.7694437	0.1551151	0.9824444	0.0939209	0.3047862	0.6608454	0.5192919	0.6616011	0.6422960	0.3782941	0.0863126	0.5323994	0.8416495	0.6716167	0.6217658	0.6589883	0.8911723	0.4639158	0.8273252	0.3665919	0.6069687	0.1949792	0.3767385	0.8313992	0.9041780	0.0554830
400	0.9992369	0.1964734	0.3398106	0.1632428	0.3675112	0.2821670	0.2150383	0.1019919	0.9159832	0.2417137	0.8835878	0.8172855	0.3661522	0.2738693	0.0677512	0.0270841	0.4676655	0.1132442	0.1876983	0.7728552	0.3663421	0.7437224	0.1473365	0.4691971	0.0286088	0.9999997	0.1170545	0.2184954	0.8888010	0.6543568	0.9841057	0.0106089	0.4540590	0.3363351	0.9927287	0.0439129	0.5964752	0.5931540	0.3830979	0.4023104	0.6480715	0.3147542	0.0624690	0.5848736	0.2915515	0.6373979	0.1528835	0.1817660	0.1093574	0.5124398	0.5616158	0.8227933	0.9724882	0.5066832	0.5008584	0.9985915	0.8642419	0.7866910	0.1395270	0.7008471	0.9256461	0.2157998	0.1748766	0.9993613	0.1940662	0.1327405	0.5844408	0.1223448	0.4051140	0.0454627	0.1491805	0.6929210	0.9931914	0.7458799	0.7827212	0.1578155	0.9800213	0.0872480	0.3092162	0.6687882	0.5558126	0.6552039	0.5865178	0.3787582	0.0934936	0.5330421	0.7481892	0.6779170	0.6095968	0.6588811	0.8543503	0.4623756	0.8514429	0.3728359	0.6067167	0.1770281	0.3746935	0.8388968	0.9020089	0.0547106
