G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G77A	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.4999544	0.0288355	0.8939420	0.9970922	0.0387011	0.3260398	0.8209463	0.8542975	0.1256394	0.2015094	0.9862009	0.7960747	0.4980563	0.9997496	0.9669229	0.2579940	0.3219812	0.2347916	0.9238966	0.4694793	0.4621367	0.1088472	0.5902807	0.0544139	0.2406183	0.7621035	0.9900612	0.6223763	0.5999792	0.4919168	0.9993285	0.6337942	0.1485400	0.9001952	0.8370891	0.3082007	0.3207866	0.8776453	0.8144962	0.7087696	0.9951741	0.8792413	0.9131259	0.2270643	0.9553981	0.9848692	0.3070037	0.9999808	0.7941750	0.9878500	0.6641863	0.4552910	0.1293148	0.2487523	0.9999161	0.9993422	0.1226196	0.2370667	0.0002197	0.0123825	0.8769980	0.4015459	0.0061257	0.6175544	0.9999862	0.4060512	0.8107590	0.5473696	0.7933833	0.3143992	0.2072369	0.4552771	0.5886764	0.7243492	0.1552749	0.8774286	0.0163716	0.0921213	0.0003708	0.4754385	0.0977458	0.6645017	0.5996785	0.4200399	0.0677727	0.5514875	0.0454264	0.4694056	0.7897771	0.4801515	0.0142541	0.1369050	0.8570021	0.4953934	0.0847733	0.8979668	0.0351946	0.6175017	0.1959177	0.2265787
0.9999864	0.0144182	0.8940533	0.9943968	0.0498170	0.3684104	0.9512775	0.8543057	0.1256032	0.2014726	0.9862732	0.8191442	0.5086375	0.9997512	0.9669834	0.2577132	0.3174000	0.2347901	0.9222521	0.4693154	0.4621060	0.1088480	0.5902805	0.0532917	0.2388053	0.7621035	0.9900612	0.6223763	0.5999838	0.4919163	0.9993293	0.6337992	0.1485413	0.9001920	0.8370830	0.3081985	0.3207886	0.8776453	0.8144962	0.7087696	0.9951741	0.8795410	0.9131275	0.2270647	0.9553966	0.9848692	0.3070039	0.9999811	0.7976321	0.9878500	0.6577347	0.4540227	0.1292868	0.2502362	0.9999245	0.9993406	0.1226155	0.2371469	0.0012503	0.0121164	0.8769959	0.4015558	0.0061619	0.6209001	0.9999862	0.3997945	0.8562039	0.5392282	0.7912699	0.3182292	0.2072347	0.4562666	0.5885604	0.7243700	0.1553396	0.8774294	0.0163617	0.0921210	0.0003490	0.4754439	0.0977434	0.6645028	0.5997482	0.4200131	0.0677366	0.5514875	0.0459166	0.4692777	0.7900888	0.4801275	0.0136583	0.1369466	0.8595572	0.4954053	0.0847589	0.8978845	0.0351951	0.6175108	0.1958871	0.2266309
0.9999050	0.0292620	0.4468231	0.9946691	0.0488357	0.3647683	0.9396398	0.7809711	0.1256401	0.2015109	0.9861974	0.8172866	0.5078337	0.9985893	0.9670453	0.2577423	0.3177515	0.2521654	0.9223312	0.4693337	0.4582795	0.1145145	0.5897154	0.0533847	0.2389956	0.7621035	0.9900611	0.6223763	0.5999182	0.4917062	0.9993271	0.6334908	0.1484893	0.9003807	0.8377558	0.3086057	0.3207245	0.8776453	0.8144962	0.7087696	0.9951728	0.8806020	0.9172202	0.2271499	0.9553960	0.9849150	0.3067345	0.9999811	0.7975569	0.9878513	0.6087959	0.3913634	0.1270895	0.2034190	0.9999239	0.9993378	0.1195574	0.2116403	0.0000920	0.0103937	0.8813021	0.4011236	0.0935214	0.6144210	0.9999857	0.4005592	0.8537405	0.4680906	0.7914325	0.3169433	0.2072277	0.4788873	0.6371887	0.8381823	0.1545592	0.8789899	0.0163438	0.0839579	0.0010422	0.4931589	0.1128106	0.6647268	0.3446988	0.6093341	0.0679421	0.5514877	0.0510180	0.4692699	0.7908301	0.7701453	0.0137017	0.1352899	0.8586896	0.3269381	0.1501451	0.9043030	0.0352232	0.6302965	0.3116254	0.0719205
0.9999088	0.0288263	0.9376081	0.4972009	0.0498358	0.3684943	0.9515733	0.8564846	0.1256028	0.2014720	0.9862744	0.8191782	0.5086469	0.9997726	0.9669824	0.2577131	0.3173957	0.2343282	0.9222507	0.4693152	0.4621787	0.1087211	0.5902907	0.0532898	0.2388023	0.7621035	0.9900612	0.6223763	0.5999829	0.4919206	0.9993293	0.6338016	0.1485415	0.9001906	0.8370742	0.3081921	0.3207886	0.8776453	0.8144962	0.7087696	0.9951741	0.8795282	0.9130557	0.2270629	0.9553966	0.9848685	0.3070087	0.9999811	0.7976368	0.9878500	0.6621489	0.4584043	0.1293440	0.2530164	0.9999245	0.9993407	0.1227439	0.2385845	0.0002332	0.0121692	0.8766684	0.4015630	0.0261844	0.6210829	0.9999862	0.3236939	0.8562423	0.5441355	0.7912659	0.3182594	0.2072349	0.4558664	0.5826545	0.7199176	0.2201281	0.8774088	0.0243309	0.0928563	0.0003098	0.4751066	0.0965301	0.6644982	0.6258516	0.4100540	0.0677308	0.5514875	0.0419391	0.4447871	0.7657117	0.4733410	0.0136571	0.1370408	0.8595687	0.5048201	0.0792338	0.8977086	0.0351944	0.6169662	0.1838228	0.2463408
0.9999087	0.0288352	0.8938691	0.9990536	0.0249247	0.3684087	0.9512718	0.8542970	0.1256031	0.2014725	0.9862732	0.8191436	0.5086383	0.9997511	0.9669836	0.2577126	0.3173999	0.2347917	0.9222526	0.4693151	0.4621058	0.1088493	0.5902804	0.0532944	0.2388070	0.7621035	0.9900612	0.6223763	0.5999875	0.4919155	0.9993293	0.6338030	0.1485424	0.9001896	0.8370785	0.3081971	0.3207902	0.8776453	0.8144962	0.7087696	0.9951741	0.8795404	0.9131291	0.2270652	0.9553966	0.9848692	0.3070039	0.9999811	0.7976195	0.9878500	0.6577174	0.4540071	0.1292867	0.2502250	0.9999245	0.9993406	0.1226113	0.2371399	0.0002197	0.0121177	0.8769965	0.4015572	0.0060994	0.6208992	0.9999862	0.3998942	0.8562023	0.5392077	0.7912780	0.3182287	0.2072344	0.4562670	0.5885805	0.7243844	0.1551937	0.8774304	0.0163388	0.0921182	0.0003493	0.4754531	0.0977487	0.6645039	0.5996478	0.4200505	0.0677365	0.5514875	0.0459443	0.4694931	0.7902044	0.4801605	0.0136608	0.1369439	0.8595566	0.4953660	0.0847810	0.8978851	0.0351953	0.6175130	0.1959299	0.2265550
0.9999087	0.0288355	0.8938246	0.9998967	0.0107617	0.1841724	0.9510660	0.8542832	0.1257725	0.2016443	0.9859363	0.7091725	0.4484415	0.9997412	0.9666903	0.2590657	0.3404130	0.2347951	0.9317123	0.4701033	0.4622507	0.1088475	0.5902807	0.0599777	0.2490863	0.7621035	0.9900612	0.6223763	0.5999788	0.4919153	0.9993258	0.6337922	0.1485397	0.9001964	0.8370938	0.3082036	0.3207862	0.8776453	0.8144962	0.7087696	0.9951741	0.8778015	0.9131262	0.2270649	0.9554065	0.9848694	0.3070023	0.9999791	0.7764002	0.9878500	0.6937329	0.4627460	0.1294044	0.2427262	0.9998726	0.9993496	0.1226190	0.2366413	0.0002198	0.0140379	0.8770009	0.4015138	0.0060906	0.6038391	0.9999862	0.3954673	0.7914806	0.5793826	0.8043872	0.2987774	0.2070310	0.4506015	0.5890717	0.7242279	0.1553086	0.8774286	0.0164852	0.0921291	0.0004936	0.4754671	0.0977491	0.6645030	0.5996081	0.4200686	0.0679068	0.5514871	0.0434228	0.4695342	0.7876919	0.4801720	0.0175946	0.1367212	0.8408900	0.4954093	0.0847885	0.8983465	0.0351943	0.6174617	0.1959427	0.2265276
0.9999087	0.0288355	0.8938355	0.9996507	0.0171658	0.2254913	0.4755633	0.8542861	0.1257344	0.2016057	0.9860120	0.7344692	0.4645161	0.9997439	0.9667582	0.2587531	0.3348527	0.2347943	0.9291492	0.4699214	0.4622181	0.1088475	0.5902807	0.0581578	0.2463657	0.7621035	0.9900612	0.6223763	0.5999789	0.4919158	0.9993266	0.6337928	0.1485398	0.9001960	0.8370923	0.3082027	0.3207863	0.8776453	0.8144962	0.7087696	0.9951741	0.8782502	0.9131262	0.2270647	0.9554036	0.9848694	0.3070028	0.9999797	0.7822142	0.9878500	0.6843660	0.4600388	0.1293791	0.2445513	0.9998876	0.9993472	0.1226192	0.2367871	0.0002197	0.0134415	0.8770003	0.4015231	0.0060930	0.6082679	0.9999862	0.4317719	0.6605057	0.5698775	0.8007702	0.3035160	0.2073949	0.4520975	0.5889620	0.7242652	0.1552761	0.8774289	0.0164464	0.0921264	0.0004517	0.4754566	0.0977488	0.6645026	0.5996140	0.4200659	0.0678685	0.5514872	0.0440184	0.4695238	0.7884000	0.4801701	0.0165167	0.1367775	0.8474620	0.4953995	0.0847872	0.8982240	0.0351944	0.6174736	0.1959421	0.2265315
0.9999087	0.0288354	0.8940894	0.9960694	0.0434576	0.3446331	0.8770996	0.4304446	0.1256230	0.2014928	0.9862334	0.8064870	0.5029653	0.9997515	0.9678055	0.2578682	0.3198959	0.3810727	0.9231335	0.4694060	0.4194959	0.1681993	0.5807526	0.0538738	0.2397712	0.7621035	0.9900612	0.6223763	0.5999795	0.4919172	0.9993288	0.6337948	0.1485401	0.9001948	0.8370879	0.3082000	0.3207867	0.8776453	0.8144962	0.7087696	0.9951741	0.8878736	0.9441439	0.2270642	0.9553930	0.9848693	0.3070030	0.9999811	0.7974639	0.9878540	0.6547757	0.4322817	0.0977783	0.2481959	0.9999200	0.9993348	0.1226200	0.2371085	0.0001847	0.0046995	0.8766360	0.4018316	0.0072367	0.5881114	0.9999811	0.4031748	0.8337190	0.5388256	0.7923422	0.3147473	0.2072568	0.4540433	0.5886095	0.7390570	0.1459701	0.8893603	0.0163278	0.0920877	0.0003672	0.6019641	0.1021534	0.6645016	0.5997682	0.4200045	0.0677565	0.5514875	0.0456588	0.4693576	0.7991539	0.4013927	0.0139548	0.1369254	0.8527018	0.4955507	0.0847544	0.9485511	0.0347001	0.6175395	0.1959107	0.2266461
0.9999087	0.0288352	0.8940532	0.9943974	0.0498147	0.3684012	0.9512474	0.8541256	0.0628023	0.2014726	0.9862731	0.8191399	0.5086357	0.9997512	0.9669823	0.2577172	0.3174009	0.2347441	0.9222515	0.4693177	0.3811182	0.1088333	0.5902819	0.0532909	0.2388050	0.7621035	0.9900612	0.6223763	0.5999826	0.4919165	0.9999327	0.6337979	0.1485410	0.9001928	0.8370844	0.3081990	0.3207881	0.8776453	0.8144962	0.7087696	0.9951741	0.8795389	0.9131170	0.2270646	0.9553966	0.9848692	0.3070039	0.9999811	0.7976358	0.9878596	0.6577369	0.4540267	0.1292659	0.2502334	0.9999245	0.9993402	0.1226167	0.2371376	0.0002197	0.0121189	0.8771576	0.4116920	0.0061621	0.6209446	0.9999862	0.3997955	0.8561933	0.5392314	0.7912683	0.3182289	0.2072348	0.4562675	0.4428934	0.7569325	0.1362009	0.8774257	0.0177862	0.0921210	0.0003490	0.4753964	0.0977429	0.6645027	0.5998133	0.4200132	0.0317139	0.5514876	0.0411890	0.4692781	0.8043585	0.4801387	0.0136575	0.1369473	0.8595584	0.4954059	0.0847589	0.8782657	0.0351951	0.6236807	0.1958874	0.2266308
0.9999087	0.0288352	0.8940520	0.9943176	0.0501216	0.3695803	0.9550811	0.8822178	0.0503379	0.1007360	0.9862747	0.8197072	0.5088379	0.9997512	0.9669623	0.2577133	0.3173082	0.2287183	0.9222172	0.4693148	0.3725709	0.1069680	0.5904488	0.0532814	0.2387792	0.7621035	0.9900612	0.6223763	0.5999817	0.4919167	0.9999843	0.6337970	0.1485407	0.9001934	0.8370855	0.3081993	0.3207877	0.8776453	0.8144962	0.7087696	0.9951741	0.8792318	0.9117968	0.2270645	0.9553967	0.9848692	0.3070039	0.9999811	0.7976099	0.9878612	0.6578372	0.4545582	0.1300193	0.2503452	0.9999247	0.9993403	0.1226176	0.2371385	0.0002206	0.0128600	0.8771985	0.4128590	0.0061391	0.6233388	0.9999865	0.3996322	0.8572672	0.5392430	0.7912565	0.3183305	0.2072336	0.4563362	0.4825365	0.7616652	0.1337883	0.8769675	0.0179679	0.0925770	0.0003488	0.4695107	0.0977136	0.6645024	0.5998135	0.4200135	0.0304896	0.5514877	0.0447904	0.4692751	0.8058722	0.4809323	0.0136545	0.1369488	0.8598049	0.4668687	0.0847590	0.8723343	0.0352066	0.6244042	0.1958873	0.2266301
