"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G63A	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.7258686	0.6235855	0.9827491	0.4649843	0.2290939	0.5031855	0.0244701	0.5029758	0.4488219	0.9863454	0.9993821	0.4744101	0.1821475	0.0712842	0.8268491	0.4371496	0.4062143	0.5921730	0.3838393	0.0097468	0.9999985	0.0390060	0.0389247	0.0150291	0.6261265	0.3837781	0.2997309	0.5267693	0.8849893	0.9920547	0.2759727	0.3058062	0.3532311	0.3267386	0.6246211	0.6122170	0.0111087	0.1904705	0.0879279	0.6531631	0.6204154	0.3393386	0.9589213	0.8740502	0.2192156	0.4876054	0.2586978	0.6101023	0.7421846	1.0000000	0.9194271	0.9970779	0.0029449	0.3289927	0.6025402	0.4451878	0.9081212	0.5559563	0.8605330	0.9987733	0.9743845	0.2279363	0.2599875	0.0472801	0.2231353	0.7756660	0.0472062	0.0377620	0.3497430	0.4809434	0.8260126	0.5354262	0.0196880	0.2261347	0.5760059	0.6182950	0.1305019	0.9363653	0.2545517	0.5229325	0.3580700	0.6039469	0.9171891	0.9694201	0.9600112	0.8286888	0.3661054	0.6829677	0.3077771	0.2111713	0.9956985	0.2507160	0.0502970	0.4473127	0.4470553	0.3952573	0.3178103	0.8960564	0.4924196	0.9650883
50	0.3542571	0.6062333	0.9805637	0.4689656	0.2290938	0.4370939	0.0244701	0.2896708	0.4507894	0.9860647	0.9982970	0.4743167	0.1808468	0.0685164	0.8268569	0.4781043	0.5466845	0.8816059	0.4278376	0.0097424	0.9999992	0.0498571	0.7177498	0.0043852	0.1944179	0.3980804	0.2997280	0.5265245	0.8818542	0.9921258	0.3311530	0.3124203	0.3537270	0.3331961	0.6211561	0.5146496	0.5904259	0.0464640	0.0887492	0.5242376	0.6204089	0.3392830	0.9301585	0.3687693	0.4210677	0.4688207	0.0655811	0.6139512	0.5285319	0.7072462	0.8606807	0.9980816	0.0029192	0.3807830	0.5866237	0.4640475	0.9618513	0.5541931	0.8995727	0.5139044	0.9674265	0.1752033	0.3487230	0.0472772	0.2265506	0.7545092	0.0771040	0.1779953	0.4085905	0.4497236	0.8290957	0.6411010	0.0174857	0.2357916	0.5960227	0.6457207	0.1099582	0.9597101	0.2547399	0.7495990	0.3531163	0.5517425	0.9171844	0.5041961	0.9065369	0.8181321	0.3831620	0.6826327	0.3073963	0.0809479	0.9956078	0.2492762	0.0469546	0.4351058	0.2085547	0.1427028	0.3177293	0.8789741	0.4924905	0.3483014
100	0.2824919	0.5621974	0.9701917	0.4896547	0.2290928	0.2874027	0.0244701	0.2304158	0.4769114	0.9834729	0.9817181	0.4740648	0.1865075	0.0688799	0.8265410	0.5621749	0.5861188	0.9480623	0.5621512	0.0097387	0.9999997	0.1528013	0.7306094	0.0103086	0.1341446	0.4731489	0.2999425	0.5248821	0.8770300	0.9925128	0.4951057	0.3233877	0.3621258	0.3451211	0.5472804	0.2232050	0.8007235	0.0115703	0.0916609	0.4924327	0.6203506	0.3392601	0.7626330	0.1914911	0.7386926	0.3887041	0.0231119	0.6874361	0.4441392	0.6091113	0.7398931	0.9984278	0.0044877	0.3734006	0.5098904	0.3442646	0.9817353	0.5579171	0.9337340	0.3765826	0.9484048	0.1685936	0.4763899	0.0472669	0.2374290	0.7387571	0.0858837	0.2357290	0.6830909	0.3502285	0.8379865	0.6011753	0.0141174	0.2606377	0.6571754	0.7088849	0.0596957	0.9616861	0.2582204	0.8411621	0.2898942	0.5472162	0.9171130	0.2597037	0.8710262	0.7613650	0.4304092	0.6621607	0.3175625	0.0361389	0.9937970	0.2460011	0.0378647	0.3924931	0.1230638	0.0779823	0.3147619	0.8227902	0.4925599	0.2249554
150	0.2736500	0.5301038	0.9505070	0.5000769	0.2290866	0.1861209	0.0244701	0.2133810	0.5712585	0.9697416	0.9213243	0.4766768	0.2029291	0.0770003	0.8253087	0.6191066	0.5973316	0.9653002	0.6885702	0.0097732	0.9999879	0.2656930	0.7402194	0.0586668	0.1262410	0.5136465	0.3007717	0.5221981	0.8743655	0.9907931	0.5782651	0.3281962	0.3862548	0.3542731	0.3575689	0.0968409	0.8770683	0.0031709	0.1017143	0.4847980	0.6201553	0.3393365	0.4323118	0.1174777	0.8426529	0.3169668	0.0107949	0.7844220	0.3985591	0.5762152	0.6122830	0.9983217	0.0114865	0.3426536	0.4331006	0.1285416	0.9911609	0.5741598	0.9665627	0.3376934	0.9369590	0.1904479	0.5190553	0.0472819	0.2584134	0.7268908	0.0953439	0.2736568	0.8306394	0.2572911	0.8461145	0.5351185	0.0102633	0.2818049	0.7078867	0.7464386	0.0267447	0.9508098	0.2599674	0.8846982	0.1847702	0.5350009	0.9188439	0.5631725	0.8612379	0.6741592	0.4734109	0.5592768	0.3717291	0.0386798	0.9922717	0.2987297	0.0310369	0.3369997	0.0937252	0.0255428	0.3023242	0.7629918	0.4925971	0.1764899
200	0.2771406	0.5158954	0.9283690	0.4999957	0.2290749	0.1387684	0.0244701	0.2070058	0.6867902	0.9286550	0.8629654	0.4841929	0.2210789	0.0880507	0.8232420	0.6456363	0.6009392	0.9717233	0.7611184	0.0106445	0.9990845	0.3352662	0.7665330	0.1339080	0.1266214	0.5317783	0.3021552	0.5197944	0.8732836	0.9853034	0.6168356	0.3275916	0.4167492	0.3653895	0.1830910	0.0560073	0.9047841	0.0012373	0.1559021	0.4835671	0.6197110	0.3397586	0.1980287	0.0865882	0.8603378	0.2796146	0.0058972	0.8450213	0.3715001	0.5651879	0.4142572	0.9980954	0.0239559	0.3304085	0.4053515	0.0814930	0.9945548	0.5861998	0.9840373	0.3266792	0.9359955	0.2223050	0.5323165	0.0472675	0.2961555	0.7194477	0.1160932	0.3078127	0.8885947	0.2115060	0.8503125	0.5024521	0.0070129	0.2941784	0.7403059	0.7804684	0.0116004	0.9389226	0.2386958	0.9164072	0.1323867	0.5199431	0.9237987	0.8710931	0.8588556	0.6044618	0.4999865	0.4442198	0.4567754	0.0418806	0.9919522	0.3710969	0.0294235	0.2697434	0.0879245	0.0077863	0.2871035	0.6940436	0.4924313	0.1557800
250	0.2810577	0.5107195	0.9112143	0.5004015	0.2290656	0.1201407	0.0244701	0.2039295	0.7571899	0.8727247	0.8396809	0.4940317	0.2355102	0.0971846	0.8210405	0.6544592	0.6027340	0.9750831	0.7930114	0.0139991	0.9930066	0.3821188	0.7860010	0.1817694	0.1285469	0.5414383	0.3036219	0.5182272	0.8730442	0.9781458	0.6331333	0.3236029	0.4416686	0.3787410	0.0871319	0.0412682	0.9148458	0.0009215	0.3903600	0.4843446	0.6192487	0.3408217	0.1126438	0.0738015	0.8542257	0.2749695	0.0038922	0.8700632	0.3570660	0.5614915	0.2902012	0.9979294	0.0375000	0.3388151	0.4147350	0.1285215	0.9958589	0.5872210	0.9920789	0.3235595	0.9395101	0.2492514	0.5357098	0.0470228	0.3456658	0.7147729	0.1394465	0.3387389	0.9125783	0.2721039	0.8514428	0.4847792	0.0053331	0.2998860	0.7593546	0.8343242	0.0058496	0.9324794	0.2214931	0.9364694	0.1220693	0.5130514	0.9260723	0.9664128	0.8581112	0.5632232	0.5139595	0.3957513	0.5328068	0.0396384	0.9916562	0.4028771	0.0335680	0.2048667	0.0896569	0.0035532	0.2953914	0.5607686	0.4915264	0.1500014
300	0.2833795	0.5086019	0.9010164	0.5043122	0.2290606	0.1137300	0.0244701	0.2027697	0.7875620	0.8315673	0.8361566	0.5030388	0.2455069	0.1029609	0.8192805	0.6555479	0.6041515	0.9770977	0.8043606	0.0181568	0.9832242	0.4137185	0.7934298	0.1983488	0.1302260	0.5471063	0.3047875	0.5174368	0.8731510	0.9723339	0.6384275	0.3181110	0.4531039	0.3918568	0.0442891	0.0352643	0.9184986	0.0009148	0.7168775	0.4857367	0.6191532	0.3417715	0.0871479	0.0686123	0.8490907	0.3142122	0.0031557	0.8645395	0.3504259	0.5602524	0.2235675	0.9978366	0.0482075	0.3545016	0.4447629	0.2802730	0.9965492	0.5815920	0.9957411	0.3226720	0.9436285	0.2670000	0.5383098	0.0465526	0.3942796	0.7108382	0.1530362	0.3630499	0.9289210	0.4624331	0.8513111	0.4757234	0.0047540	0.3016689	0.7703311	0.8779146	0.0037849	0.9332324	0.2736096	0.9467086	0.1253656	0.5089444	0.9232174	0.9913733	0.8577070	0.5421519	0.5208212	0.3770434	0.5831600	0.0328157	0.9912857	0.4072354	0.0417442	0.1590919	0.0911526	0.0024733	0.3549585	0.4918510	0.4897012	0.1494024
350	0.2845361	0.5075723	0.8963236	0.5106990	0.2290583	0.1118475	0.0244701	0.2023507	0.7958364	0.8095835	0.8387303	0.5099517	0.2519889	0.1061425	0.8181504	0.6543607	0.6053768	0.9783437	0.8073196	0.0206879	0.9766508	0.4316568	0.7950741	0.1997723	0.1312728	0.5500744	0.3055292	0.5171473	0.8732670	0.9687725	0.6385464	0.3141347	0.4450066	0.4037328	0.0265695	0.0332060	0.9198246	0.0007437	0.8908458	0.4870742	0.6191949	0.3420799	0.0791170	0.0665309	0.8559651	0.3908079	0.0030340	0.8485057	0.3478802	0.5598370	0.1897746	0.9977840	0.0548139	0.3685862	0.4840734	0.4131609	0.9968628	0.5730232	0.9974369	0.3224070	0.9469149	0.2770512	0.5484157	0.0459915	0.4335351	0.7072057	0.1559663	0.3793490	0.9367821	0.5747130	0.8515535	0.4746582	0.0046081	0.3015312	0.7766372	0.9054795	0.0030518	0.9391147	0.3278169	0.9501450	0.1317951	0.5055161	0.9183693	0.9977726	0.8573693	0.5325017	0.5240292	0.3511323	0.6066992	0.0271398	0.9909637	0.3895122	0.0492959	0.1323401	0.0911905	0.0021372	0.4258634	0.4713593	0.4877163	0.1422524
400	0.2850893	0.5071332	0.8949238	0.5161570	0.2290574	0.1114408	0.0244701	0.2021203	0.7964795	0.7993808	0.8418573	0.5148106	0.2559861	0.1077826	0.8175551	0.6531942	0.6063384	0.9790906	0.8074912	0.0215006	0.9745480	0.4400161	0.7947892	0.1969383	0.1318047	0.5513490	0.3059142	0.5170851	0.8733189	0.9669571	0.6367309	0.3148993	0.4201167	0.4124058	0.0195824	0.0338452	0.9203060	0.0004668	0.9594807	0.4880887	0.6191147	0.3422907	0.0762166	0.0653990	0.8748051	0.4639492	0.0031642	0.8372297	0.3470550	0.5596978	0.1736899	0.9977421	0.0578117	0.3784401	0.5214708	0.4593493	0.9969672	0.5645483	0.9982539	0.3223165	0.9493096	0.2821181	0.5689577	0.0454528	0.4616820	0.7041916	0.1535352	0.3887010	0.9388850	0.6229941	0.8534394	0.4817327	0.0045089	0.3007203	0.7801239	0.9215596	0.0027959	0.9464516	0.3470556	0.9490327	0.1388414	0.5035299	0.9141115	0.9994064	0.8570687	0.5287634	0.5254911	0.3235139	0.6097876	0.0239491	0.9907528	0.3332450	0.0539763	0.1183145	0.0905050	0.0020258	0.4746687	0.4684639	0.4862540	0.1225553
