Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G71A	G95	G96	G97	G98	G99	G100

0	0.4260845	0.8085088	0.2160117	0.2960338	0.7693707	0.9698872	0.9759881	0.9997272	0.9999586	0.0216118	0.6688386	0.9448046	0.7834040	0.4460165	0.8871352	0.7746276	0.6764106	0.9997115	0.9701837	0.4909942	0.0468731	0.9999564	0.0771195	0.5783065	0.5345638	0.6515737	0.9919567	0.9975601	0.6449943	0.6834658	0.5849059	0.0677581	0.0714069	0.3454329	0.0168902	0.8239822	0.1035679	0.5428804	0.9856835	0.0305058	0.6890895	0.1795721	0.7019250	0.0033016	0.0927555	0.9359050	0.4623510	0.3758301	0.1739607	0.3804800	0.5571232	0.9940719	0.4829050	0.3550019	0.9618431	0.5381954	0.9278450	0.2214300	0.0103140	0.8571540	0.9746090	0.2055966	0.9849542	0.6797465	0.7689073	0.9596627	0.4134763	0.1977310	0.8113214	0.1306173	0.4422416	0.3914684	0.8931561	0.1114488	0.1568840	0.1664850	0.8652727	0.0006333	0.0169157	0.9035071	0.9328850	0.5112374	0.0022999	0.1481708	0.9542746	0.8787443	0.2226050	0.2090880	0.4526459	0.9334574	0.3406511	0.8266061	0.0712172	0.5721880	0.4568308	0.0796708	1.0000000	0.0124626	0.1463752	0.9698363
50	0.4674202	0.8097922	0.2802833	0.3348678	0.8976818	0.9625256	0.9814293	0.7916918	0.9999364	0.0342585	0.6948208	0.9396889	0.6779235	0.4474700	0.8855034	0.9250510	0.6765066	0.9997580	0.9282111	0.4910489	0.0468384	0.9999326	0.1960186	0.5688794	0.6586388	0.6516603	0.9889919	0.6766502	0.6451366	0.7336446	0.5786432	0.2624993	0.0714069	0.3485718	0.0168895	0.3688489	0.4391220	0.5446032	0.9872412	0.0203906	0.6933322	0.1805719	0.7064105	0.0035121	0.1061605	0.3215890	0.4623206	0.3757245	0.1540207	0.4948181	0.4077190	0.9945315	0.4732376	0.3418965	0.9604647	0.5322351	0.9272168	0.2130982	0.0103823	0.8711859	0.9754336	0.2056178	0.8943707	0.6956990	0.7689075	0.9637341	0.4065783	0.1637791	0.8053255	0.0635134	0.4478508	0.3914104	0.9025574	0.1151858	0.1618588	0.0612566	0.8720907	0.0025714	0.0171587	0.8990530	0.9345556	0.4950236	0.0025245	0.1134654	0.5488933	0.8278315	0.2233351	0.2093548	0.2949156	0.9222827	0.3596075	0.6530409	0.0324356	0.6872761	0.5440618	0.3819065	1.0000000	0.0269715	0.1712493	0.9884814
100	0.6120160	0.8160600	0.3607407	0.4146713	0.9546056	0.9073064	0.9726701	0.7224775	0.9976826	0.0604729	0.6439219	0.9238295	0.6444197	0.4474553	0.8794040	0.9749803	0.6764781	0.9998669	0.7300671	0.4909876	0.0467188	0.9998279	0.2373864	0.5435678	0.7084463	0.6516564	0.9734672	0.5654914	0.6449939	0.7501265	0.5742256	0.2901880	0.0714069	0.3575863	0.0168870	0.1386723	0.5591927	0.5427818	0.9827526	0.0452302	0.6915492	0.1830960	0.7112437	0.0036076	0.1887364	0.1771963	0.4620807	0.3859344	0.1184275	0.5286294	0.2604653	0.9953183	0.4753913	0.3185884	0.9526901	0.5043200	0.9204751	0.1987634	0.0106979	0.9249830	0.9817630	0.2056938	0.8743363	0.7308778	0.7693688	0.9643215	0.3790288	0.0862210	0.7861026	0.0382302	0.5034275	0.3905206	0.8729721	0.1297877	0.3230733	0.0262784	0.8717660	0.0131257	0.0178063	0.8897110	0.9383850	0.4632841	0.0032984	0.1164094	0.3990352	0.7900094	0.2687052	0.2109575	0.2721533	0.9084278	0.3969668	0.6473644	0.0239952	0.7162889	0.6239131	0.4656684	1.0000000	0.0759885	0.3159226	0.9956014
150	0.7077210	0.8218215	0.3997272	0.4795732	0.9798592	0.8408829	0.9585040	0.6994471	0.9582743	0.0758752	0.5755819	0.9067433	0.6344192	0.4433268	0.8721386	0.9915495	0.6760835	0.9999364	0.5196411	0.4907308	0.0465569	0.9996844	0.2514771	0.5261456	0.7280871	0.6504177	0.9446611	0.5255975	0.6446012	0.7555172	0.5726933	0.2941647	0.0714069	0.3666484	0.0168904	0.0582466	0.6018767	0.5386046	0.9800665	0.0753299	0.6841964	0.1865204	0.7152186	0.0066102	0.3278226	0.1412923	0.4620851	0.4025573	0.0949880	0.5393081	0.2082774	0.9955074	0.4737968	0.3053262	0.9402804	0.4758548	0.8930939	0.1931955	0.0111655	0.9698855	0.9864274	0.2074136	0.8694552	0.7596461	0.7704874	0.9609091	0.3582643	0.0435129	0.7639351	0.0327049	0.6648139	0.3868027	0.8466012	0.1413882	0.4405649	0.0144869	0.8255863	0.0205641	0.0183328	0.8810523	0.9405492	0.4458231	0.0042440	0.1304231	0.3458198	0.7935011	0.4823533	0.2159642	0.2784971	0.9366111	0.4190414	0.6543554	0.0236670	0.7240747	0.6937025	0.4949618	1.0000000	0.1181109	0.5969532	0.9983203
200	0.7486184	0.8274419	0.4227114	0.5174626	0.9910627	0.8049728	0.9454885	0.6917658	0.8477873	0.0803031	0.5399027	0.8947693	0.6336467	0.4401675	0.8625868	0.9970431	0.6754083	0.9999662	0.3899366	0.4903117	0.0464385	0.9995604	0.2563603	0.5213056	0.7358269	0.6471255	0.9147360	0.5094720	0.6440484	0.7571806	0.5743985	0.2948672	0.0714069	0.3729735	0.0169002	0.0315613	0.6166604	0.5361540	0.9792440	0.0951357	0.6730905	0.1899890	0.7173690	0.0139853	0.4305345	0.1316785	0.4626619	0.4151458	0.0825245	0.5427570	0.1934630	0.9952356	0.4659566	0.3003676	0.9323925	0.4599448	0.7817142	0.1939545	0.0115424	0.9895924	0.9871834	0.2197969	0.8650221	0.7853506	0.7717348	0.9486899	0.3489462	0.0285103	0.7469135	0.0337471	0.7928096	0.3789706	0.8287408	0.1464864	0.4569258	0.0105118	0.7465901	0.0221954	0.0186186	0.8755678	0.9405945	0.4426975	0.0049679	0.1400602	0.3273165	0.8063217	0.6354420	0.2231748	0.2829247	0.9590824	0.4273426	0.6537756	0.0258108	0.7455011	0.7372458	0.5072454	1.0000000	0.1411839	0.7238161	0.9993586
250	0.7644175	0.8329110	0.4357180	0.5367656	0.9960330	0.7879744	0.9365694	0.6891596	0.7535922	0.0798156	0.5265235	0.8887202	0.6358018	0.4385714	0.8481934	0.9988572	0.6747494	0.9999742	0.3237196	0.4897217	0.0463794	0.9994698	0.2580457	0.5227492	0.7389769	0.6421998	0.8929530	0.5018777	0.6434680	0.7575459	0.5789359	0.2951485	0.0714070	0.3764396	0.0169101	0.0227932	0.6215917	0.5353308	0.9791216	0.1056431	0.6610154	0.1926194	0.7171798	0.0222339	0.4819762	0.1288435	0.4635212	0.4222399	0.0764142	0.5436972	0.1902560	0.9949224	0.4584458	0.2991161	0.9301696	0.4530345	0.6817318	0.1960533	0.0118147	0.9965634	0.9866226	0.2502987	0.8601804	0.8082822	0.7726980	0.9365033	0.3454008	0.0244804	0.7372672	0.0357546	0.8487070	0.3694407	0.8170539	0.1470234	0.4608950	0.0093353	0.6806180	0.0202039	0.0187506	0.8739910	0.9396566	0.4458536	0.0053749	0.1444874	0.3209481	0.8154803	0.6910794	0.2297004	0.2842977	0.9690396	0.4298826	0.6505209	0.0280789	0.8056841	0.7583175	0.5122841	1.0000000	0.1516338	0.7570556	0.9997551
300	0.7705915	0.8374434	0.4423092	0.5460056	0.9982380	0.7796482	0.9314647	0.6882265	0.7184247	0.0782628	0.5217615	0.8866973	0.6380704	0.4379166	0.8322691	0.9994450	0.6742605	0.9999703	0.2926037	0.4889022	0.0463552	0.9994018	0.2586184	0.5257287	0.7403360	0.6368644	0.8797945	0.4979928	0.6430080	0.7574714	0.5852063	0.2953192	0.0714071	0.3779133	0.0169165	0.0199201	0.6231864	0.5351786	0.9791501	0.1106680	0.6510435	0.1937327	0.7146979	0.0279950	0.5038037	0.1278840	0.4643060	0.4257903	0.0735661	0.5437696	0.1907917	0.9947171	0.4546524	0.2988934	0.9303376	0.4502892	0.6363479	0.1976128	0.0120476	0.9988752	0.9860416	0.2868381	0.8565973	0.8244112	0.7733152	0.9308686	0.3441039	0.0239204	0.7332557	0.0370412	0.8695212	0.3613773	0.8097588	0.1455855	0.4629564	0.0093341	0.6400339	0.0172268	0.0188272	0.8745926	0.9386748	0.4500010	0.0055604	0.1461294	0.3187921	0.8204867	0.7093152	0.2343849	0.2850847	0.9735603	0.4312672	0.6475780	0.0296940	0.8456963	0.7674080	0.5139852	1.0000000	0.1561360	0.7673659	0.9999065
350	0.7732255	0.8406979	0.4453645	0.5502919	0.9992162	0.7752280	0.9288435	0.6878701	0.7208510	0.0769969	0.5199629	0.8866090	0.6396284	0.4377101	0.8209956	0.9996223	0.6739489	0.9999609	0.2786703	0.4879227	0.0463459	0.9993460	0.2588025	0.5283563	0.7409456	0.6321861	0.8725233	0.4959909	0.6427940	0.7572855	0.5916405	0.2954080	0.0714072	0.3783143	0.0169197	0.0189806	0.6236986	0.5351932	0.9791808	0.1129437	0.6457314	0.1930412	0.7105318	0.0313514	0.5122284	0.1274978	0.4648981	0.4274935	0.0722999	0.5435985	0.1926330	0.9945975	0.4542620	0.2985857	0.9309214	0.4491753	0.6162827	0.1985060	0.0122528	0.9996274	0.9857294	0.3128628	0.8544890	0.8337857	0.7736827	0.9291766	0.3436184	0.0242046	0.7323128	0.0375218	0.8767480	0.3559484	0.8054061	0.1437268	0.4641851	0.0097880	0.6182741	0.0151085	0.0189079	0.8758186	0.9380259	0.4532351	0.0056313	0.1466227	0.3180827	0.8229746	0.7153853	0.2373845	0.2856157	0.9756661	0.4328584	0.6456052	0.0306647	0.8617773	0.7711528	0.5142467	1.0000000	0.1583371	0.7714837	0.9999643
400	0.7745055	0.8427958	0.4466608	0.5522460	0.9996502	0.7727990	0.9275813	0.6877391	0.7352851	0.0762135	0.5192196	0.8871331	0.6404932	0.4376784	0.8168268	0.9996648	0.6737761	0.9999512	0.2726499	0.4870151	0.0463421	0.9993018	0.2588499	0.5302161	0.7411929	0.6286223	0.8686766	0.4949854	0.6428874	0.7571106	0.5965788	0.2954481	0.0714073	0.3782712	0.0169210	0.0186737	0.6238681	0.5352201	0.9791952	0.1139431	0.6464350	0.1907338	0.7057244	0.0331247	0.5151528	0.1273145	0.4653430	0.4282961	0.0717688	0.5434090	0.1947013	0.9945212	0.4558516	0.2981693	0.9313512	0.4486843	0.6068183	0.1989725	0.0124173	0.9998708	0.9856159	0.3240872	0.8533879	0.8386463	0.7739038	0.9289123	0.3434264	0.0245618	0.7325960	0.0375250	0.8789161	0.3527982	0.8028890	0.1423820	0.4648920	0.0102836	0.6073747	0.0142218	0.0190143	0.8769507	0.9377150	0.4553274	0.0056537	0.1467129	0.3178604	0.8241476	0.7175950	0.2392094	0.2858915	0.9766359	0.4344225	0.6444261	0.0312061	0.8672017	0.7726654	0.5139826	1.0000000	0.1596450	0.7735243	0.9999864
