Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G63A	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
450	0.6665446	0.0321076	0.1828385	0.5604827	0.6385634	0.9256292	0.2881637	0.1425725	0.6348403	0.4490692	0.4471045	0.8739061	0.0609056	0.3700831	0.3146860	0.0081354	0.3661202	0.5311205	0.0844456	0.4311206	0.9591742	0.8458529	0.6233276	0.6814841	0.2919996	0.9574252	0.8807407	0.4736414	0.1143862	0.9576337	0.0203176	0.7639777	0.3722862	0.9353311	0.9584258	0.8205891	0.9984964	0.1499071	0.4218544	0.9302584	0.7398287	0.2712354	0.2151703	0.4876627	0.3042486	0.1140783	0.9999998	0.5686290	0.3756211	1.0000000	0.0964643	0.1401420	0.6433277	0.2629949	0.1052056	0.4758732	0.4274189	0.3670648	0.8346535	0.9967119	0.7282026	0.3254261	0.6075855	0.8502006	0.0502454	0.1884231	0.9611785	0.8073462	0.9557195	0.3855194	0.2911336	0.3048413	0.9416446	0.0142880	0.8680932	0.0770738	0.3935649	0.3086964	0.9937091	0.6952509	0.7507208	0.0595538	0.2452963	0.0367933	0.2706733	0.3291358	0.0018889	0.6513741	0.0071793	0.9881007	0.2782214	0.9454412	0.3895602	0.8798187	0.8521852	0.3185912	0.7824095	0.4587938	0.5955843	0.0637966
500	0.6665485	0.0321805	0.1839799	0.5577734	0.6370535	0.9319756	0.2950596	0.1419721	0.6356524	0.4471547	0.4482708	0.8745768	0.0609818	0.3708803	0.3133299	0.0081560	0.3654074	0.5317445	0.0838991	0.4183664	0.9595896	0.8626441	0.6293266	0.6829252	0.2919714	0.9579509	0.8815817	0.4725454	0.1162891	0.9580525	0.0203194	0.7600500	0.3734153	0.9369851	0.9584062	0.8190091	0.9984990	0.1503857	0.4205916	0.9240019	0.7294360	0.2693995	0.2257677	0.4935721	0.3031210	0.1162471	0.9999998	0.5682655	0.3777734	1.0000000	0.0835649	0.1389645	0.6456119	0.2600821	0.1063976	0.4750034	0.4437671	0.3624445	0.8354792	0.9966906	0.7256799	0.3270434	0.6083746	0.8506408	0.0511681	0.1871868	0.9648360	0.8093168	0.9571307	0.3851329	0.2892465	0.3076882	0.9420943	0.0143770	0.8693643	0.0825973	0.3965559	0.3067783	0.9937376	0.6938347	0.7512898	0.0547759	0.2467593	0.0370252	0.2692934	0.3240090	0.0019136	0.6467591	0.0067985	0.9892862	0.2831700	0.9463610	0.3909680	0.8708038	0.8454046	0.3172461	0.7884691	0.4562084	0.5689930	0.0646110
550	0.2267013	0.2055026	0.1925395	0.5625471	0.6362353	0.9202988	0.2976344	0.1402084	0.6321357	0.4480724	0.4303037	0.7952339	0.4858293	0.3505629	0.3806022	0.0082038	0.3604928	0.5343988	0.1059300	0.4165826	0.9152299	0.8723349	0.6304513	0.6385286	0.7594454	0.9589071	0.8937438	0.7761826	0.1176610	0.9580248	0.0365599	0.7433046	0.4670930	0.9168970	0.9114442	0.8151876	0.9984903	0.1509630	0.3935960	0.9173193	0.7244504	0.2711977	0.2258210	0.4385266	0.1085458	0.1247987	0.9999986	0.5708097	0.3951112	1.0000000	0.0757006	0.1317492	0.6013365	0.1083166	0.1134044	0.2555544	0.5887911	0.3818645	0.6170604	0.9242491	0.7223977	0.3339562	0.5366094	0.8582509	0.4299663	0.1916783	0.9663021	0.8112786	0.9589879	0.3851749	0.2873142	0.2534587	0.9418973	0.2961347	0.8889511	0.0872727	0.4008242	0.3485824	0.9937548	0.8991904	0.8738792	0.0470154	0.2511176	0.2258340	0.2787410	0.5818820	0.1589211	0.3942458	0.0313769	0.9900318	0.2835960	0.9506244	0.3865704	0.8561781	0.9134437	0.4092768	0.7919430	0.8127687	0.6165806	0.0615346
600	0.1054046	0.2694053	0.2135251	0.5949909	0.6400163	0.8686496	0.2988317	0.1324780	0.5998823	0.4673739	0.4073889	0.7191734	0.4778559	0.3215037	0.4790200	0.0084798	0.3716974	0.5290000	0.2117085	0.4669748	0.8981011	0.8764355	0.6202776	0.5363552	0.9182702	0.9574210	0.7582029	0.8968931	0.1188386	0.9568185	0.0748417	0.7077353	0.4746064	0.9102974	0.9019932	0.8103515	0.9984754	0.1514503	0.3853875	0.9015001	0.7244548	0.2742529	0.2052170	0.3778814	0.0403593	0.1444239	0.9999984	0.5794854	0.4393837	1.0000000	0.0715857	0.1299656	0.4804372	0.0401303	0.1410322	0.1701969	0.6349931	0.4424256	0.5612243	0.8893501	0.7039578	0.3277578	0.5255568	0.8671153	0.5462356	0.2263396	0.9637965	0.8094111	0.9620791	0.3856684	0.2831615	0.2904989	0.9410581	0.3555345	0.9138371	0.0920905	0.4193227	0.4252929	0.9937667	0.9547503	0.9466180	0.0375110	0.2636929	0.3537863	0.3154363	0.5940508	0.1985257	0.2343930	0.0412054	0.9904880	0.2620149	0.9561604	0.3708484	0.7071738	0.9311490	0.4319542	0.7883839	0.7775453	0.6333981	0.0461928
650	0.0726574	0.3150632	0.2314739	0.6355199	0.6642468	0.8357243	0.3052566	0.1058188	0.5059562	0.5123358	0.3976541	0.6998514	0.4655184	0.3074725	0.5241688	0.0090603	0.4242709	0.4934774	0.3241825	0.5839909	0.8770239	0.8736896	0.5965044	0.4554612	0.9722306	0.9481337	0.6070445	0.9448418	0.1156716	0.9544413	0.0907295	0.6884241	0.4793178	0.9041039	0.8994434	0.8068230	0.9984581	0.1521561	0.3879691	0.8821376	0.7281736	0.2969853	0.1733063	0.3230057	0.0167351	0.1613315	0.9999985	0.5897262	0.4513494	1.0000000	0.0744523	0.1525785	0.3787917	0.0148744	0.1746334	0.1480972	0.5979273	0.5027756	0.5269674	0.8762400	0.6703719	0.3232721	0.5667118	0.8660485	0.5292196	0.2595389	0.9551566	0.8355491	0.9621603	0.3864456	0.2801364	0.4218020	0.9390997	0.3831538	0.9176564	0.0952870	0.4502940	0.4202895	0.9937419	0.9594557	0.9710446	0.0373685	0.2552789	0.4943042	0.3613783	0.6071328	0.1532487	0.1972521	0.0480455	0.9908655	0.2110204	0.9573501	0.3378392	0.5433501	0.9315042	0.4322973	0.7644154	0.7223718	0.6672614	0.0340884
700	0.0649743	0.3518698	0.2468653	0.6602044	0.7285553	0.8774648	0.3270398	0.0648060	0.3769207	0.5575890	0.3956960	0.6973634	0.4612808	0.3044569	0.5411136	0.0096290	0.4975630	0.4287843	0.3915242	0.7114399	0.8519815	0.8613053	0.5588585	0.4071919	0.9905635	0.9314634	0.5109360	0.9649077	0.1053239	0.9518044	0.0940984	0.6882358	0.4831899	0.8909591	0.8982580	0.8041968	0.9984354	0.1531191	0.4015303	0.8690017	0.7415883	0.3441062	0.1435720	0.2822277	0.0091826	0.1682207	0.9999987	0.5988561	0.4237845	1.0000000	0.0790285	0.1783898	0.3079961	0.0055238	0.1863666	0.1366677	0.3533062	0.5457883	0.4866658	0.8715791	0.6307780	0.3192814	0.7115217	0.8583180	0.4972184	0.2766699	0.9453108	0.8755492	0.9559876	0.3877808	0.2793624	0.5220877	0.9326214	0.3946931	0.9144734	0.0998898	0.4799290	0.3892828	0.9936295	0.9584854	0.9786937	0.0474052	0.2274580	0.6045888	0.4108186	0.6202254	0.1099449	0.1878532	0.0531986	0.9913111	0.1531334	0.9577352	0.2974529	0.5024506	0.9211440	0.4237512	0.7221130	0.7212034	0.7196465	0.0301798
750	0.0646688	0.3804367	0.2618646	0.6733192	0.8190707	0.9418531	0.3647294	0.0388133	0.2765270	0.5915182	0.3996684	0.6980054	0.4631758	0.3076623	0.5476373	0.0100376	0.5610400	0.3620858	0.4241646	0.8054005	0.8291510	0.8354286	0.5170002	0.3815874	0.9967925	0.9126361	0.4604603	0.9753365	0.0918280	0.9503165	0.0951074	0.7027298	0.4841024	0.8720044	0.8974014	0.8005969	0.9984060	0.1540790	0.4229555	0.8653610	0.7665419	0.3859583	0.1220734	0.2498417	0.0080743	0.1655423	0.9999988	0.6046326	0.3904196	1.0000000	0.0806525	0.1930004	0.2645132	0.0020645	0.1695796	0.1276867	0.1591611	0.5693615	0.4517682	0.8696476	0.5969647	0.3133209	0.8411820	0.8496561	0.4825335	0.2841582	0.9428616	0.9041304	0.9445280	0.3899657	0.2872368	0.5727876	0.9216231	0.3937666	0.9133154	0.1228757	0.5043065	0.3591116	0.9934133	0.9740606	0.9810606	0.0610820	0.2001349	0.6811614	0.4550719	0.6400945	0.0810791	0.1698723	0.0591965	0.9916913	0.1085594	0.9581073	0.2714681	0.5003075	0.8999205	0.4140207	0.6770491	0.7320161	0.7720103	0.0305511
800	0.0666348	0.4027298	0.2747841	0.6829038	0.8962997	0.9776509	0.4021513	0.0282927	0.2197138	0.6181623	0.4080108	0.6990184	0.4683474	0.3138926	0.5505612	0.0103962	0.6032389	0.3134405	0.4384847	0.8621121	0.8124112	0.7959518	0.4850152	0.3688754	0.9989092	0.8966962	0.4347656	0.9823444	0.0800290	0.9510008	0.0969158	0.7241368	0.4825756	0.8518763	0.8965176	0.7959875	0.9983744	0.1547293	0.4467622	0.8703022	0.7932802	0.4082631	0.1080294	0.2232445	0.0104068	0.1581450	0.9999989	0.6060238	0.3653352	1.0000000	0.0843292	0.1997389	0.2398966	0.0007877	0.1425919	0.1248769	0.0964474	0.5797153	0.4295659	0.8688312	0.5720800	0.3049670	0.9051794	0.8429418	0.4823519	0.2875746	0.9451088	0.9192830	0.9311391	0.3928765	0.3043575	0.5928486	0.9105279	0.3882180	0.9163069	0.1961017	0.5244116	0.3311136	0.9931277	0.9889655	0.9819476	0.0714840	0.1803302	0.7379777	0.4879359	0.6661642	0.0616823	0.1459870	0.0674853	0.9917138	0.0807045	0.9582493	0.2643665	0.5044337	0.8757095	0.4087890	0.6374700	0.7361394	0.8141870	0.0321745
850	0.0692446	0.4191483	0.2835735	0.6918368	0.9435883	0.9917922	0.4278084	0.0251956	0.1947357	0.6397078	0.4174859	0.7001285	0.4746119	0.3211364	0.5522003	0.0107628	0.6279722	0.2838627	0.4443878	0.8930488	0.8019680	0.7509371	0.4666189	0.3628386	0.9996287	0.8852762	0.4207303	0.9873895	0.0716952	0.9539613	0.0996411	0.7443225	0.4800690	0.8342387	0.8954984	0.7916519	0.9983487	0.1548403	0.4698746	0.8797892	0.8132905	0.4161021	0.0992339	0.2047049	0.0148651	0.1501910	0.9999989	0.6036806	0.3480163	1.0000000	0.0948691	0.2030915	0.2265669	0.0003189	0.1196437	0.1278721	0.0778034	0.5842139	0.4180712	0.8686949	0.5572556	0.2954487	0.9315686	0.8383860	0.4888360	0.2895353	0.9473277	0.9260534	0.9187934	0.3960453	0.3237142	0.5982739	0.9022105	0.3832642	0.9221454	0.2988661	0.5403819	0.3083060	0.9928327	0.9958487	0.9824793	0.0800727	0.1664637	0.7801536	0.5097398	0.6912065	0.0471534	0.1274808	0.0779511	0.9911948	0.0651708	0.9580684	0.2686403	0.5074347	0.8584251	0.4086609	0.6054953	0.7303031	0.8476003	0.0338010
900	0.0718126	0.4302333	0.2882662	0.6997232	0.9674379	0.9967946	0.4415685	0.0250624	0.1883119	0.6555349	0.4254472	0.7011618	0.4806324	0.3280770	0.5532626	0.0110858	0.6421687	0.2671401	0.4467141	0.9090196	0.7961614	0.7114682	0.4581358	0.3600645	0.9998733	0.8777026	0.4122796	0.9908407	0.0664669	0.9576368	0.1026841	0.7592275	0.4776045	0.8207417	0.8944508	0.7886243	0.9983368	0.1544619	0.4907025	0.8895795	0.8250686	0.4170748	0.0940171	0.1950847	0.0199120	0.1435243	0.9999989	0.5990987	0.3361359	1.0000000	0.1108594	0.2050913	0.2195138	0.0001489	0.1035586	0.1311362	0.0796998	0.5861702	0.4129364	0.8689434	0.5514845	0.2863477	0.9418237	0.8353084	0.4968228	0.2910065	0.9485182	0.9283524	0.9088977	0.3989828	0.3395306	0.5980955	0.8968546	0.3801115	0.9283514	0.3681451	0.5519074	0.2924891	0.9925760	0.9983896	0.9829225	0.0887779	0.1566745	0.8086255	0.5234597	0.7096543	0.0359532	0.1162392	0.0896246	0.9901622	0.0570863	0.9576679	0.2765065	0.5089831	0.8505287	0.4114959	0.5802683	0.7191030	0.8753938	0.0351000
