Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G71A	G95	G96	G97	G98	G99	G100
0	0.2568193	0.5130349	0.1515838	0.2216122	0.5718981	0.5933377	0.6343848	0.7026099	0.5701326	0.0143789	0.5029240	0.8024593	0.5782097	0.2921519	0.5194361	0.5409823	0.5359995	0.6472772	0.6170404	0.4353814	0.0878430	0.6115420	0.0733297	0.3823180	0.3511886	0.3790830	0.5068901	0.6783302	0.5104152	0.3891933	0.5073739	0.0453613	0.0292521	0.2463508	0.0124035	0.5934736	0.0533285	0.3748482	0.8341541	0.0068968	0.3947233	0.1637023	0.4202369	0.0016140	0.0852327	0.6402916	0.3005720	0.3359089	0.0593039	0.3257933	0.4089426	0.6882856	0.3567551	0.2608881	0.7021154	0.3836759	0.7037188	0.1254960	0.0135999	0.5510634	0.7366931	0.1288357	0.7745960	0.4395258	0.5693633	0.7553253	0.3037036	0.1815325	0.6221948	0.1083407	0.3059884	0.2373884	0.5128454	0.0552426	0.1156321	0.1394889	0.7203713	0.0008020	0.0058036	0.6940803	0.4984550	0.3784643	0.0016866	0.0605002	0.5905849	0.5768965	0.1345486	0.1643523	0.3348272	0.6415948	0.2122331	0.5911298	0.0360629	0.4911438	0.3356881	0.0362834	0.7668218	0.0064751	0.1026968	0.7651284
50	0.2971035	0.5007804	0.1873570	0.2318897	0.5706344	0.7356159	0.7427722	0.5368886	0.5331079	0.0170374	0.5297226	0.5534639	0.3415655	0.3757359	0.5243266	0.5914837	0.5094098	0.6505868	0.5570526	0.2887446	0.0142162	0.7371681	0.1183992	0.4330700	0.4509875	0.4099953	0.6213383	0.4106407	0.4637438	0.6272323	0.3929730	0.1083727	0.0574312	0.2199730	0.0164813	0.2404253	0.2505337	0.3760056	0.7535649	0.0105682	0.5790643	0.1009403	0.4849761	0.0023571	0.0676487	0.2023736	0.3833359	0.2296611	0.1552769	0.2928143	0.4214048	0.6379551	0.3851109	0.2293559	0.5680505	0.3892746	0.5983420	0.0951316	0.0090420	0.5222371	0.6492712	0.1172278	0.6537323	0.4556891	0.5378891	0.5923788	0.2458872	0.1389246	0.5567207	0.0486834	0.3011784	0.2933206	0.5592616	0.0472003	0.0817408	0.0266331	0.5824693	0.0133669	0.0252648	0.5603455	0.5965241	0.4814637	0.0001315	0.0521403	0.3933867	0.5716437	0.1677205	0.1764471	0.2151298	0.6455106	0.2601139	0.4073832	0.0093014	0.5070283	0.2850494	0.2159069	0.6412042	0.0146109	0.0930010	0.6148532
100	0.3973972	0.5725032	0.2682878	0.2588317	0.6793079	0.6723021	0.7142769	0.4964835	0.6092889	0.0255979	0.4542853	0.5018581	0.3625734	0.2572754	0.5526238	0.6130840	0.5226633	0.6637040	0.4204439	0.3685323	0.0371312	0.6745028	0.1706671	0.3113732	0.5113164	0.3437272	0.6198274	0.3706445	0.4898990	0.4629209	0.3291812	0.1787574	0.0489534	0.2715845	0.0075360	0.0783588	0.3382658	0.2268038	0.6530286	0.0186690	0.4920954	0.1161089	0.4801114	0.0010577	0.1362178	0.1082507	0.3583237	0.3138638	0.1045399	0.2685005	0.2288473	0.6799765	0.3465253	0.2964663	0.6488534	0.3361584	0.6659661	0.1577696	0.0111039	0.6495714	0.6313992	0.1836989	0.6331076	0.5044842	0.5329802	0.6201299	0.2045568	0.0840794	0.5297740	0.0278683	0.3500652	0.2899625	0.6316473	0.1142715	0.1545359	0.0317853	0.5751107	0.0101809	0.0341703	0.6571824	0.6115845	0.3727367	0.0014237	0.0847888	0.2806975	0.4191867	0.1523449	0.1094874	0.1996946	0.6143391	0.2317428	0.4817695	0.0150409	0.5023598	0.4195032	0.3249355	0.6888923	0.0733647	0.1737515	0.7726615
150	0.4390054	0.5964320	0.3405066	0.2920715	0.7891670	0.6084061	0.6260984	0.4421110	0.6275692	0.0691816	0.4184743	0.5492510	0.4548332	0.2787369	0.6322587	0.6648771	0.3974945	0.6879072	0.3709187	0.3577946	0.0288121	0.6507705	0.1935589	0.2530770	0.4353116	0.3619374	0.5926842	0.3192224	0.3899451	0.4847561	0.2351295	0.2890589	0.0550025	0.2455848	0.0198956	0.0351440	0.4228051	0.2427962	0.6836216	0.0325387	0.5415531	0.1648621	0.5427356	0.0192996	0.2930344	0.1164526	0.3154576	0.2315263	0.1044687	0.4144386	0.2162952	0.6500234	0.2755534	0.3155263	0.6138464	0.4278274	0.6800152	0.1360356	0.0037450	0.5601793	0.7132805	0.1482430	0.5479248	0.6518073	0.5380406	0.5632670	0.2533860	0.0486868	0.5791151	0.0243140	0.5664662	0.2745829	0.5364604	0.1141826	0.2628991	0.0036526	0.5112063	0.0123195	0.0036910	0.5776702	0.5616301	0.3970472	0.0000804	0.0810335	0.2383142	0.5660737	0.2704635	0.1723736	0.1673594	0.6315358	0.2696791	0.5991178	0.0073419	0.4464503	0.4498719	0.3606297	0.7352806	0.1078740	0.3797181	0.6263321
200	0.5545099	0.5139136	0.3355969	0.3150683	0.6736970	0.6057182	0.5801916	0.4665712	0.4505620	0.0290257	0.3325344	0.7118604	0.4301372	0.2493064	0.7001111	0.7359810	0.4625932	0.7610326	0.3035171	0.3465817	0.0565544	0.6771326	0.2099117	0.2660939	0.4959213	0.5145192	0.6020438	0.3095834	0.3990889	0.5406478	0.3470455	0.2213148	0.0321605	0.2273664	0.0066715	0.0159336	0.4101577	0.3051271	0.6963216	0.0414352	0.3884414	0.2488154	0.4520364	0.0080882	0.2641553	0.0395411	0.3692185	0.2685379	0.0685554	0.4043991	0.1526410	0.5916400	0.3336473	0.2817189	0.5796494	0.3113331	0.6048868	0.1436471	0.0127450	0.6771771	0.6304144	0.1343964	0.6210503	0.5705909	0.5424583	0.6626517	0.2178523	0.0306851	0.5473406	0.0254218	0.5894029	0.2302810	0.5742075	0.1566817	0.2988127	0.0033480	0.5485608	0.0100116	0.0084488	0.6569905	0.6160964	0.3326101	0.0016288	0.1014273	0.2370087	0.6086351	0.3988722	0.1313672	0.2449816	0.6334410	0.3395420	0.3860549	0.0122654	0.4907931	0.4747184	0.3611786	0.7021282	0.0950376	0.4294220	0.5270206
250	0.5464553	0.6147202	0.3026627	0.3997474	0.6242271	0.6364895	0.5553300	0.4745595	0.4946072	0.0700182	0.4074201	0.5681564	0.4597823	0.2529443	0.6311532	0.6092865	0.4598104	0.7795834	0.1854317	0.3167627	0.0386818	0.6934488	0.1452874	0.3296368	0.5025833	0.4449694	0.5933132	0.4181585	0.4724135	0.5435575	0.3975615	0.1966613	0.0434386	0.3505548	0.0068319	0.0042687	0.3899524	0.3735483	0.6822187	0.0575295	0.3714150	0.1818214	0.5244379	0.0073846	0.3070382	0.0758214	0.2940446	0.3369187	0.0345154	0.3744591	0.1822859	0.7079144	0.2766724	0.2176506	0.4984793	0.4007947	0.4604636	0.1021863	0.0093307	0.7013833	0.6658594	0.2340497	0.6636735	0.6158515	0.5593075	0.9105573	0.2340742	0.0322686	0.4097905	0.0295025	0.6007454	0.3004269	0.5653913	0.1003027	0.3627520	0.0022385	0.5612006	0.0251794	0.0173395	0.5396796	0.5080607	0.3312108	0.0043836	0.0597976	0.3018194	0.6650822	0.4712550	0.1923763	0.1726938	0.7327922	0.3247846	0.3363459	0.0170425	0.6250342	0.5297945	0.3131574	0.6943983	0.1965228	0.5513640	0.6452869
300	0.5148243	0.5854389	0.3332206	0.4210834	0.6085991	0.6397833	0.5550108	0.5282349	0.2679695	0.0737460	0.3075660	0.6677223	0.4148978	0.2603651	0.5956076	0.6805292	0.4709356	0.6567725	0.2134733	0.2724370	0.0510448	0.6305265	0.2555462	0.3258517	0.4661771	0.4117549	0.5692562	0.3852719	0.4929537	0.7188042	0.4361637	0.2125264	0.0732083	0.2658277	0.0060238	0.0043398	0.5316181	0.3964907	0.5973777	0.0957355	0.3339573	0.1312812	0.4198053	0.0117662	0.2784647	0.0862548	0.3085847	0.2214878	0.0189474	0.4447706	0.1617077	0.7739996	0.3569584	0.1891279	0.5859322	0.2137869	0.4895544	0.1253130	0.0025399	0.5945359	0.6520149	0.2367548	0.5573229	0.5910798	0.5628609	0.7241067	0.1984276	0.0188633	0.4534213	0.0210508	0.5407058	0.2910634	0.5697864	0.1258441	0.2405495	0.0052991	0.3592399	0.0114492	0.0222826	0.4599494	0.6460861	0.2869477	0.0063411	0.0740521	0.2023264	0.5989247	0.4124080	0.1485468	0.1593331	0.7550687	0.2763657	0.3316449	0.0188302	0.6010684	0.5212641	0.2358892	0.6643356	0.1320826	0.5667898	0.5877433
350	0.5135595	0.4838407	0.2664015	0.3824634	0.7660223	0.5430234	0.6130517	0.4822536	0.2251526	0.0681074	0.3256675	0.6289691	0.4900134	0.2332605	0.5190322	0.5703660	0.4324160	0.7171303	0.1656431	0.2338485	0.0159084	0.5954906	0.2052530	0.3418104	0.4357964	0.3905978	0.6093918	0.3261735	0.4385435	0.5693478	0.3870552	0.1975823	0.0549358	0.2051116	0.0367224	0.0106392	0.4724867	0.2948229	0.6569348	0.1041416	0.4295993	0.1072081	0.5701089	0.0182999	0.3837207	0.0949210	0.2806126	0.2622986	0.0464584	0.4100656	0.1746364	0.8240951	0.3696080	0.1605973	0.6725116	0.2986319	0.4200439	0.1170162	0.0144160	0.6866104	0.7204292	0.3039233	0.5432353	0.5918008	0.5542117	0.4958042	0.2633456	0.0181702	0.4806736	0.0290992	0.4960485	0.2374311	0.5850308	0.1101891	0.3282871	0.0068016	0.4130331	0.0027788	0.0199594	0.5333079	0.5730823	0.3574015	0.0044894	0.0961896	0.3226307	0.5328996	0.5533415	0.1538055	0.1852772	0.5471594	0.3564184	0.3771833	0.0319763	0.6427630	0.5133436	0.3331675	0.6282383	0.1212411	0.4564509	0.5726283
400	0.5162791	0.6214090	0.2956277	0.3423032	0.7434264	0.5120737	0.5943225	0.3764543	0.2252264	0.0424731	0.3201806	0.5486426	0.4837081	0.2571666	0.4667112	0.7258379	0.4303699	0.6131663	0.1616798	0.3279846	0.0248590	0.7754961	0.2186573	0.3821911	0.4832900	0.6059807	0.5597465	0.3259316	0.5346948	0.4844919	0.2846418	0.1373048	0.0521528	0.2369872	0.0109968	0.0146412	0.3860954	0.3959050	0.8439665	0.0750654	0.4583580	0.1209771	0.5569609	0.0257811	0.3875048	0.0983361	0.3171736	0.2785961	0.0208869	0.4521218	0.1557749	0.6038750	0.2799484	0.2256704	0.7106482	0.2756914	0.4468122	0.1422362	0.0332206	0.7617166	0.6582088	0.2574214	0.5473009	0.6578742	0.5413075	0.7404269	0.3371173	0.0371783	0.4555876	0.0467466	0.5872471	0.3305541	0.4893524	0.1361224	0.3013525	0.0161057	0.3916372	0.0060968	0.0314987	0.5519709	0.6175551	0.4217168	0.0021744	0.0693142	0.2344205	0.5110851	0.4270550	0.1358459	0.1687498	0.6658158	0.2814542	0.4448523	0.0352845	0.5724480	0.5860458	0.3594837	0.7512450	0.1299645	0.5917813	0.5986650
450	0.4302127	0.5136824	0.3309247	0.2424309	0.6529533	0.4869487	0.5998742	0.4894139	0.2500488	0.0400807	0.3266899	0.4838903	0.4187483	0.2599454	0.4543802	0.6296903	0.5186930	0.6214191	0.1261715	0.4651934	0.0366755	0.7479090	0.1875627	0.2567677	0.4930039	0.5802226	0.6643591	0.2954421	0.4130710	0.4625754	0.2702905	0.2643448	0.0383917	0.2782650	0.0119926	0.0163648	0.4109933	0.4644749	0.5998576	0.0546086	0.4942922	0.1060225	0.4609230	0.0293281	0.2968381	0.1103049	0.2811372	0.3251661	0.0198574	0.3675691	0.1814494	0.7710260	0.3284800	0.2527972	0.6478029	0.3101807	0.4519899	0.1594775	0.0102677	0.8147592	0.8238607	0.2611828	0.5916435	0.5366315	0.5023189	0.5456830	0.2426468	0.0327422	0.4428978	0.0309774	0.6041401	0.2350804	0.6043412	0.2087601	0.3167682	0.0111279	0.4046959	0.0022656	0.0143032	0.5158379	0.7288644	0.2337721	0.0076738	0.0908918	0.2253296	0.5527073	0.4047598	0.1853382	0.2510847	0.6779166	0.2810482	0.3894727	0.0174654	0.5572223	0.5602067	0.3279282	0.8459752	0.1148635	0.5572984	0.6976182
500	0.5740405	0.6046112	0.3146987	0.3860075	0.5609830	0.4272469	0.6513116	0.5441495	0.2514936	0.0592453	0.5015634	0.6411411	0.4904238	0.3442386	0.4773498	0.8276466	0.4889560	0.6921401	0.1808213	0.3761538	0.0171726	0.6651661	0.1117845	0.2824062	0.4868085	0.4350396	0.4798104	0.3829978	0.3567550	0.5099593	0.3757561	0.1787183	0.0526870	0.3025806	0.0107891	0.0089354	0.4573339	0.3851177	0.6616062	0.0503657	0.5051343	0.1436889	0.6420915	0.0102778	0.3882339	0.0844627	0.2816628	0.3104278	0.0243901	0.2801381	0.1785654	0.6402340	0.2946729	0.2168947	0.6865565	0.3126595	0.5016211	0.1672686	0.0151863	0.6796463	0.6903579	0.2577248	0.5032222	0.6004378	0.5658091	0.7750008	0.2233459	0.0154789	0.4579354	0.0212655	0.6277314	0.2571344	0.6196830	0.0701451	0.3107252	0.0080112	0.3432866	0.0052317	0.0119456	0.5293937	0.6917875	0.2708239	0.0023236	0.1084043	0.2593568	0.5020923	0.4420662	0.1489104	0.1910630	0.6939018	0.2974940	0.4411682	0.0158457	0.6095868	0.7193828	0.3613795	0.6487925	0.0931348	0.4912530	0.6676599
550	0.4515654	0.5227623	0.2373625	0.3526540	0.7148085	0.4819440	0.6154833	0.6018780	0.4667464	0.0377907	0.3095360	0.5911550	0.5107546	0.3468105	0.5050422	0.5284425	0.4709032	1.0000000	0.1610364	0.4022461	0.0233618	0.5835554	0.0758891	0.3969417	0.4710417	0.3952859	0.7407238	0.5567489	0.4108400	0.4762797	0.3548632	0.1303033	0.0476462	0.2536953	0.0060452	0.0724948	0.2221567	0.4863066	0.5768495	0.0967068	0.4331923	0.1591019	0.5931508	0.0215468	0.3430284	0.4989667	0.3046074	0.2638259	0.0449791	0.2783762	0.0913035	0.7451693	0.3199867	0.2113233	0.5856678	0.2422323	0.3556050	0.1322242	0.0109552	0.6625592	0.7049043	0.2980836	0.5623566	0.5473113	0.5484485	0.6450550	0.1996033	0.0178268	0.5632437	0.1365911	0.5821992	0.2244284	0.4895110	0.1207994	0.2779425	0.0626032	0.4248789	0.0058986	0.0058322	0.6599793	0.7051508	0.3875483	0.0053630	0.1708579	0.4615766	0.5395701	0.5063550	0.1683565	0.2987513	0.6227077	0.2853822	0.6976523	0.0538382	0.5464200	0.4466040	0.2019409	0.5506454	0.0822595	0.4745809	0.5360311
