Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G64A	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0	0.1078327	0.5005457	0.5004650	0.5217585	0.2716447	0.3256094	0.2469514	0.2690305	0.2807580	0.0193990	0.1276210	0.8303279	0.5485049	0.2964034	0.3430741	0.3160101	0.3932031	0.5812045	0.2247479	0.1322354	0.4371190	0.6154302	0.0603247	0.1770771	0.0721989	0.0035659	0.0000832	0.3799134	0.1999591	0.1625280	0.0753874	0.6918963	0.4960985	0.6544383	0.6934550	0.0068747	0.6664535	0.0039843	0.5276841	0.0152774	0.0139532	0.5250173	0.4683648	0.4968191	0.0380674	0.4349533	0.5445856	0.6619632	0.3694457	0.7643906	0.0301739	0.5256038	0.4183157	0.6169658	0.1562035	0.0512049	0.0513295	0.2908139	0.1134706	0.2948224	0.3480941	0.4601961	0.2886658	0.2810959	0.1944931	0.3720628	0.1967778	0.0713648	0.6938532	0.6224656	0.5654540	0.3535247	0.0023033	0.5773444	0.4116970	0.4909806	0.4641283	0.5669493	0.3860486	0.5622388	0.0037659	0.1292917	0.5665379	0.4223740	0.1543651	0.7546971	0.5447691	0.1302073	0.7219948	0.3758295	0.3093784	0.3988610	0.4504104	0.6282509	0.2515231	0.0901652	0.0052729	0.4252762	0.0143981	0.2907559
50	0.2524584	0.5550858	0.4138199	0.3844088	0.2898263	0.2963705	0.0998085	0.3105356	0.2663432	0.0316954	0.1148713	0.4551251	0.4640583	0.4335026	0.4186614	0.2947084	0.4186282	0.2060660	0.1723178	0.0566766	0.4664168	0.6030992	0.0212942	0.2130717	0.0250970	0.0058423	0.0007510	0.3271358	0.2877710	0.1526895	0.0630708	0.6121670	0.4488062	0.6240405	0.6248858	0.0030034	0.2617132	0.0003717	0.6529238	0.1016553	0.4437601	0.5315817	0.4891644	0.3775026	0.0566747	0.4779841	0.7988532	0.3868114	0.3212844	0.5305846	0.0387138	0.5584430	0.5429274	0.6466120	0.2096056	0.2764712	0.0448790	0.4794754	0.1220897	0.3306803	0.3131120	0.5359401	0.2840005	0.3323720	0.1728042	0.3993146	0.1324256	0.1318988	0.4283334	0.4430192	0.5351847	0.5506933	0.0018843	0.5249964	0.5873669	0.3462223	0.5717879	0.6756371	0.4052336	0.6569115	0.0020144	0.1216713	0.6070862	0.4788245	0.1791923	0.5192647	0.4539782	0.0391367	0.6875578	0.3519528	0.3730135	0.3012324	0.1271262	0.5994233	0.3707754	0.0572330	0.0040137	0.5121832	0.0497489	0.3493474
100	0.2834650	0.5011363	0.3742958	0.3766284	0.3289619	0.4027289	0.0422502	0.3539513	0.4072003	0.0637557	0.1626055	0.3733533	0.2396457	0.5677366	0.3882939	0.3494610	0.4563738	0.1790004	0.1374006	0.0572377	0.2465036	0.5990421	0.0371264	0.3819878	0.0312036	0.0102542	0.0000000	0.2637750	0.3043818	0.0676571	0.0796843	0.6653008	0.5080234	0.4915759	0.6486393	0.1566111	0.2540346	0.0002881	0.4081114	0.2244515	0.5170528	0.4497642	0.5312098	0.2352479	0.0744799	0.3883327	0.7636379	0.3294487	0.3923490	0.4800411	0.0569522	0.7041034	0.4571609	0.5507923	0.2087896	0.3032046	0.0193059	0.4917077	0.1931872	0.2261481	0.4288548	0.3642727	0.2696681	0.2881317	0.1469952	0.4004980	0.0823600	0.0755272	0.5299870	0.4963873	0.6034707	0.4278936	0.0008002	0.5731628	0.5476501	0.3354217	0.4106260	0.7321326	0.3657825	0.5807999	0.0010264	0.1281656	0.6586453	0.4757763	0.1333420	0.7091240	0.3812170	0.0684008	0.6304892	0.4019587	0.2850286	0.2401401	0.0868136	0.6694084	0.2301324	0.0291215	0.0051729	0.4582287	0.0669460	0.2795560
150	0.2156198	0.5512919	0.3318869	0.2153095	0.4000841	0.2378376	0.0376731	0.2653986	0.4292637	0.1022603	0.1422528	0.3985028	0.1386523	0.6307787	0.2482101	0.2179249	0.4076399	0.1852485	0.0736401	0.0439179	0.3327971	0.6604739	0.0748244	0.5361971	0.0191970	0.0004977	0.0010729	0.3999190	0.2227411	0.0498440	0.1523848	0.5859207	0.7050236	0.5555751	0.4797180	0.3421407	0.1171431	0.0000000	0.5841345	0.2364493	0.6803015	0.4924842	0.4131056	0.2523228	0.0754597	0.4119593	0.5939930	0.3948211	0.3494265	0.3570227	0.0538180	0.7099618	0.4269872	0.5779797	0.1958550	0.3637409	0.0520129	0.3861925	0.3309160	0.1053377	0.3820851	0.4469987	0.2597015	0.3573797	0.1281076	0.3700135	0.1046214	0.0760658	0.5006190	0.5716642	0.5207556	0.2972926	0.0525723	0.6173613	0.6238724	0.2411956	0.4210891	0.7141995	0.3338607	0.4839124	0.0031225	0.2292014	0.5708746	0.5390828	0.0853021	0.5652208	0.4037615	0.0873175	0.5908591	0.4010975	0.3253143	0.3063991	0.0348810	0.7789584	0.1990504	0.0110216	0.0067214	0.5115498	0.1058070	0.3835349
200	0.2278497	0.6306390	0.2510484	0.1719232	0.3288578	0.1128061	0.0407149	0.3372180	0.3029310	0.1183753	0.1030242	0.4231253	0.0850706	0.5146320	0.1538100	0.2072003	0.3797459	0.2096441	0.0627076	0.0224425	0.3135525	0.6637616	0.2084598	0.6345991	0.0075177	0.0066176	0.0003284	0.3736829	0.3139392	0.0730422	0.2427026	0.5943639	0.5904619	0.5557041	0.5237504	0.5667382	0.1402584	0.0003282	0.4961999	0.2031229	0.7008116	0.4634070	0.4012023	0.1918391	0.0084482	0.4189492	0.6828177	0.3471826	0.5871488	0.5058301	0.0295536	0.6742480	0.3320680	0.8267949	0.2875338	0.3563637	0.0595679	0.5371823	0.2115649	0.0398622	0.4222550	0.5263196	0.2570761	0.3281037	0.1706029	0.2509231	0.1429973	0.2626145	0.4213136	0.4150053	0.4654541	0.4654436	0.1166032	0.5463605	0.5796583	0.1147842	0.3672874	0.6235969	0.4117634	0.4995171	0.0000000	0.3072586	0.5603367	0.4800408	0.0708717	0.6244862	0.4518838	0.0843207	0.5434945	0.1620914	0.2766272	0.2456010	0.0331463	0.7477644	0.2310409	0.0229566	0.0008985	0.6923731	0.1095798	0.3474456
250	0.2570612	0.6450628	0.2381667	0.2243580	0.2881490	0.0682832	0.0599350	0.2875615	0.3268794	0.1834237	0.0833808	0.3498854	0.0758402	0.6865938	0.0472285	0.2214129	0.3856453	0.2169458	0.0995736	0.0507578	0.3608728	0.5154007	0.4801088	0.6605413	0.0213133	0.0049192	0.0086319	0.3237289	0.3129781	0.1154337	0.2701018	0.6406399	0.5297879	0.6768489	0.4350077	0.4697164	0.1359254	0.0029438	0.5375135	0.2693160	0.5601674	0.4366635	0.4551971	0.2659308	0.0141806	0.4104776	0.7079841	0.4244418	0.4644841	0.4668529	0.0252439	0.5567801	0.5507779	0.7307191	0.2779261	0.3422717	0.2561968	0.5512166	0.1860673	0.1312914	0.4537060	0.7119623	0.3110013	0.3368390	0.1211843	0.2438230	0.2882987	0.4404248	0.4735650	0.2756381	0.5037725	0.5076070	0.1759517	0.4791912	0.6278841	0.1969545	0.3811541	0.6219492	0.3654854	0.4273270	0.0007608	0.5147852	0.7039379	0.6018059	0.0417533	0.6029594	0.3711881	0.1177070	0.6203965	0.1467883	0.2507086	0.2699259	0.0148828	0.7568772	0.1207244	0.0432924	0.0044455	0.6912912	0.0765721	0.5020439
300	0.2712980	0.6605382	0.4115410	0.2682613	0.3125628	0.0406547	0.0566528	0.2428858	0.3544615	0.2849483	0.0181848	0.3759717	0.1118877	0.6074303	0.1011801	0.2328688	0.3280032	0.1911111	0.0510629	0.0573259	0.2415791	0.4197977	0.4565842	0.5634251	0.0249941	0.0037593	0.0000000	0.2677711	0.3202157	0.1675133	0.2776248	0.7154712	0.5179850	0.6912570	0.3900428	0.6069665	0.1304103	0.0082429	0.5013795	0.2438844	0.6679991	0.5062782	0.4099120	0.3622011	0.0050110	0.4016057	0.8007773	0.3532443	0.4478005	0.4990072	0.0318492	0.5531640	0.7478140	0.5750853	0.2747994	0.3450024	0.3808870	0.6005223	0.2415616	0.3647525	0.3420621	0.6275274	0.2874825	0.3148234	0.1882966	0.2642620	0.3167973	0.5861257	0.5013555	0.3173143	0.5018096	0.4640954	0.1694694	0.4708520	0.7855265	0.1751518	0.2329489	0.6970454	0.3484236	0.4735359	0.0013309	0.6227407	0.6767072	0.5864834	0.0235105	0.6794871	0.3045128	0.1227546	0.6705599	0.2663315	0.2629366	0.2721221	0.0168860	0.7068646	0.1548138	0.0657404	0.0000692	0.6409538	0.0748535	0.5080124
350	0.2584064	0.5839753	0.2511587	0.1595575	0.3330385	0.0532735	0.1143639	0.1907255	0.4835452	0.2720806	0.0209842	0.3463959	0.0956323	0.6388286	0.0778578	0.2930886	0.2673470	0.2281696	0.0728236	0.0682752	0.1456107	0.4098790	0.4950509	0.7970206	0.0513747	0.0126726	0.0014765	0.3422088	0.2776194	0.2001809	0.2986242	0.6359528	0.5068516	0.5626864	0.3928422	0.6914793	0.1255359	0.0000707	0.4183101	0.2801704	0.5419053	0.5263349	0.5535018	0.3350054	0.0060219	0.4786393	0.6514349	0.3297727	0.5293920	0.5311498	0.0137524	0.4941790	0.7736560	0.4710886	0.1823969	0.2711539	0.2612182	0.6360788	0.1455022	0.4653927	0.3677497	0.5217525	0.3534029	0.2862957	0.0988405	0.2213289	0.3296156	0.5205089	0.5010416	0.4407539	0.5024378	0.5516029	0.2316890	0.4671632	0.7143911	0.2100633	0.2610067	0.6500283	0.4336057	0.3209824	0.0005360	0.4454679	0.6434899	0.5695673	0.0197636	0.6330191	0.2931916	0.1032975	0.6188830	0.3084444	0.2427410	0.2668432	0.0021739	0.5920969	0.1234750	0.0358174	0.0001559	0.5978987	0.1137227	0.5504594
400	0.3088715	0.7031791	0.2811964	0.1986226	0.3089538	0.0424323	0.1073356	0.1820504	0.3193230	0.2955453	0.0212906	0.4081202	0.0597994	0.6436036	0.1098392	0.4083963	0.4264667	0.1886362	0.1112746	0.0621465	0.1541749	0.3577348	0.4678169	0.6160079	0.0374519	0.0079278	0.0004872	0.3062610	0.2995643	0.1879910	0.3176704	0.6806155	0.3192801	0.4553212	0.2802814	0.5979934	0.1461745	0.0077579	0.4904576	0.3568926	0.5501465	0.3673607	0.4578890	0.2983722	0.0019034	0.6224659	0.6622212	0.3592702	0.4621122	0.4958942	0.0171635	0.4804928	0.5170904	0.5678143	0.2178980	0.3093862	0.1478415	0.5656421	0.1446638	0.4198256	0.3475300	0.6024247	0.4000447	0.2709951	0.1230806	0.2996206	0.4225443	0.6398159	0.4684996	0.4191049	0.6336805	0.5927225	0.1598251	0.6141656	0.6152148	0.3396731	0.2475933	0.6937700	0.2827071	0.2205412	0.0006642	0.5387250	0.6569009	0.6276226	0.0318703	0.7668745	0.3041208	0.1388451	0.5574557	0.3014281	0.2586303	0.2483851	0.0015284	0.6606601	0.1889942	0.0543197	0.0000355	0.6012024	0.0879218	0.5062158
450	0.3315159	0.6318513	0.2414694	0.1695985	0.3835059	0.0784868	0.1032838	0.1547227	0.4952069	0.3266620	0.0134119	0.3628597	0.0461422	0.7056085	0.1847349	0.3924745	0.2444542	0.2082038	0.1195583	0.0851560	0.1527737	0.3216092	0.5499724	0.5793868	0.0165004	0.0115584	0.0002366	0.3789041	0.4199629	0.2394232	0.2851690	0.6361169	0.3624753	0.5692317	0.1912774	0.5534553	0.1341539	0.0070871	0.4461090	0.3277569	0.6044264	0.4035636	0.4753261	0.2969205	0.0052500	0.5024209	0.5787460	0.3719285	0.5146784	0.5002094	0.0156362	0.4572959	0.6437376	0.3851360	0.2286650	0.3195077	0.0612789	0.5613427	0.2445078	0.5767457	0.2543036	0.6798010	0.4280004	0.2326359	0.1541521	0.3141556	0.4060899	0.6539637	0.5210639	0.3707573	0.4595694	0.5728986	0.2201860	0.3778079	0.6210705	0.4049123	0.2965432	0.6996785	0.2576364	0.2050208	0.0008357	0.4953978	0.6783240	0.5330085	0.0519553	0.7531706	0.2943045	0.1856590	0.5343958	0.3391049	0.1669392	0.2073369	0.0006340	0.6892030	0.1303673	0.0300167	0.0000674	0.5751919	0.0463695	0.4586983
