G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G71A	G95	G96	G97	G98	G99	G100
0.3529489	0.5871735	0.1962325	0.1647631	0.4889085	0.5791839	0.6463430	0.7211605	0.6877655	0.0506743	0.0000000	0.6145687	0.4922297	0.3061048	0.6930905	0.4405728	0.5040415	0.7275094	0.7752910	0.3480846	0.0131421	0.8250255	0.0260842	0.3350788	0.3619035	0.4553791	0.7142626	0.7787996	0.4306357	0.4816873	0.4599479	0.0416820	0.0531990	0.2028992	0.0051855	0.0000000	0.0978052	0.5181725	0.7541582	0.0201802	0.4155977	0.1170110	0.3841310	0.0064026	0.0581828	0.6893007	0.3276416	0.3639397	0.1492591	0.2954290	0.1603283	0.5897197	0.3044282	0.1186906	0.6796277	0.4202081	0.5601232	0.1817453	0.0139021	0.8159091	0.8064535	0.1312907	0.6593568	0.5746645	0.5080528	0.6942518	0.3026271	0.1304172	0.5851283	0.1092558	0.3302927	0.2982438	0.6508213	0.0722953	0.2980719	0.1201292	0.4421812	0.0075495	0.0050931	0.5228037	0.6540776	0.3220789	0.0046109	0.1628863	0.5786509	0.2992409	0.4369927	0.1448453	0.3104002	0.6438167	0.3032500	0.6034480	0.0466592	0.4352044	0.2861064	0.1198344	0.6336012	0.0046959	0.3559357	0.6558303
0.3273544	0.5602129	0.1280011	0.1554823	0.5020370	0.0000000	0.5507790	0.7265937	0.6441214	0.0111625	0.4352743	0.6221369	0.5937078	0.3789548	0.5349651	0.4891137	0.4391634	0.8475393	0.6883908	0.2705221	0.0346627	0.5421492	0.1144229	0.4398908	0.4431350	0.4082513	0.7085409	0.5485959	0.4901663	0.4712831	0.5656018	0.0938024	0.0558707	0.1881203	0.0116874	0.6133352	0.1227012	0.2889649	0.6580612	0.0278282	0.4304007	0.0841504	0.2694358	0.0012080	0.1130227	0.6589955	0.3667067	0.0375949	0.7859716	0.0000000	0.2284293	0.6987174	0.4131419	0.3018001	0.6057956	0.4598711	0.5084910	0.4116453	0.0053051	0.6989987	0.6138227	0.0003918	0.5128841	0.4857212	0.7092636	0.6952734	0.3256524	0.3694430	0.4785600	0.2088415	0.1034131	0.3332762	0.6138348	0.0341051	0.2895982	0.1046728	0.3217033	0.0001644	0.0068619	0.7174431	0.8063339	0.1661186	0.0019901	0.1431077	0.5674702	0.4979620	0.1566570	0.0958648	0.1531037	0.5714014	0.1712983	0.6986613	0.2169777	0.4534559	0.3597574	0.0660756	0.7194622	0.0081693	0.0913856	0.7442773
0.2401007	0.4875416	0.1290169	0.1854800	0.5329047	0.6763067	0.7470200	0.7374368	0.5832691	0.0021693	0.0000000	0.5706640	0.5333746	0.2786485	0.5921158	0.5023472	0.5182374	0.7508900	0.7294971	0.0054946	0.0691350	0.0000000	0.0174552	0.3517921	0.3488747	0.4187690	0.6060596	0.7311644	0.4176387	0.4758646	0.6367140	0.0253631	0.0509362	0.2150194	0.0187917	0.4578271	0.1233133	0.3012984	0.6587719	0.0848036	0.3346083	0.1291842	0.4028520	0.0078474	0.0548687	0.5494163	0.3693881	0.2719934	0.1366612	0.3424159	0.1318572	0.7688207	0.3020562	0.5356129	0.6532719	0.3488832	0.4383299	0.1704565	0.3839822	0.5911491	0.5744840	0.1416274	0.4993927	0.5709739	0.5272857	0.6863544	0.2283408	0.0844334	0.4799948	0.1125507	0.2999993	0.1669962	0.6485188	0.0203879	0.0191421	0.1264753	0.4983452	0.0012550	0.0084094	0.7973841	0.7076513	0.3665714	0.0065209	0.1579667	0.5232151	0.2814385	0.0037090	0.1388771	0.4270781	0.5985459	0.3559748	0.6086723	0.0552911	0.2904756	0.4541554	0.0459066	0.6705371	0.0713884	0.1151558	0.5918639
0.2997759	0.6063215	0.1574686	0.2035027	0.5117087	0.8482628	0.7196541	0.7279655	0.8496762	0.0202316	0.4874249	0.5141944	0.5432973	0.3459128	0.5689201	0.5163250	0.5357869	0.7698943	0.7930082	0.3601685	0.0405048	0.7287295	0.0456298	0.3849102	0.4066248	0.4402479	0.7797845	0.5494057	0.3536571	0.5206186	0.4655751	0.0430367	0.0000000	0.1620212	0.0082135	0.5752073	0.0811415	0.4484346	0.7497822	0.0154258	0.2972444	0.1711133	0.4935271	0.0195241	0.0697332	0.5479081	0.3680557	0.0000000	0.1060022	0.2861497	0.4463062	0.5285565	0.3967225	0.2682615	0.6760078	0.3704985	0.7950632	0.1720654	0.0123418	0.5358714	0.6832552	0.1699111	0.6747617	0.3609383	0.6161304	0.6283070	0.3407697	0.0114911	0.5821232	0.0834567	0.3397290	0.3775816	0.6781132	0.0442904	0.1104909	0.1239632	0.6271902	0.0014708	0.0376963	0.5319507	0.5696562	0.0929945	0.0099358	0.1441761	0.7658760	0.5506907	0.1560728	0.1123728	0.3846393	0.7092077	0.3780396	0.7626207	0.0473542	0.4514419	0.2934968	0.0576752	0.6677492	0.0439805	0.0601071	0.0335070
0.2601246	0.6165253	0.1241447	0.1214561	0.4793468	0.0000000	0.6279605	0.7233250	0.6214736	0.0370873	0.3879079	0.6026772	0.4953702	0.3050345	0.5488066	0.5198183	0.4533271	0.5745565	0.7943064	0.4058130	0.0317341	0.7736340	0.0437817	0.3979888	0.3751475	0.4641873	0.6398455	0.7467297	0.4854095	0.3751252	0.3867341	0.0418664	0.0862259	0.2220720	0.0198274	0.4806848	0.0473852	0.3025101	0.7118389	0.0278350	0.4525853	0.1032977	0.5082395	0.0058474	0.1006038	0.6189518	0.3663504	0.0000000	0.1775859	0.2857265	0.3448924	0.5604942	0.4259469	0.0692994	0.6537100	0.3707356	0.7372890	0.2885251	0.0106642	0.5684300	0.5841363	0.0005274	0.6658130	0.7261952	0.5378149	0.6037997	0.3785222	0.3606483	0.5352070	0.2247339	0.2929908	0.2487439	0.6288838	0.0522835	0.1327221	0.1092341	0.2943980	0.0020064	0.0160481	0.3992973	0.5489654	0.0776275	0.0070666	0.0951821	0.6349714	0.5638711	0.1397089	0.2225438	0.2795640	0.7201563	0.4100444	0.6251179	0.3127656	0.3520403	0.2940385	0.0660768	0.7473563	0.0014922	0.1544042	0.1060202
0.3913455	0.5585899	0.2964052	0.1887407	0.5241385	0.1338823	0.6702189	0.5094426	0.8384322	0.0235891	0.3220866	0.4961086	0.2154324	0.4804663	0.5624082	0.3916228	0.0000000	0.5705147	0.2957223	0.3303859	0.0491035	0.7621266	0.1342577	0.3010367	0.4029057	0.5361212	0.7151614	0.6283689	0.4573407	0.0093813	0.5263969	0.0482733	0.7492222	0.3301418	0.0086636	0.4950646	0.1099169	0.3684608	0.5503475	0.0806319	0.2360478	0.1581874	0.4456849	0.0045536	0.3735003	0.0000000	0.0014544	0.0472883	0.5313864	0.1727617	0.2395596	0.8126744	0.1224271	0.1253589	0.8158396	0.3615016	0.5813627	0.6116224	0.0092408	0.2953841	0.7151833	0.0000475	0.6907738	0.5821367	0.3489236	0.7397498	0.3037206	0.1864129	0.3862329	0.1879339	0.6691266	0.2127739	0.3682280	0.0311784	0.2570204	0.4751490	0.1713126	0.0012938	0.0382187	0.3824424	0.5849400	0.1393117	0.0008200	0.1112615	0.6492393	0.6143937	0.1536841	0.0555390	0.2030127	0.7664352	0.2559892	0.6729032	0.0431517	0.4434946	0.3639970	0.0782019	0.7392231	0.2597068	0.1381289	0.0924216
0.4059843	0.6230661	0.1279175	0.2326310	0.4628845	0.6718018	0.8205336	0.6505427	0.8043562	0.0210973	0.4668838	0.7752803	0.5492021	0.2986251	0.5738934	0.4798254	0.4165741	0.5862069	0.6723623	0.0010814	0.0355471	0.0000000	0.0525836	0.3907321	0.3520343	0.4602957	0.6815548	0.6822916	0.4957747	0.4985930	0.4520474	0.0767098	0.0530151	0.1982237	0.0094606	0.0000000	0.1678059	0.4645052	0.7227152	0.0185814	0.2949864	0.1405117	0.3993197	0.0173098	0.1443740	0.6884948	0.3162780	0.3263271	0.1011679	0.2692297	0.2965607	0.6698063	0.2645230	0.6208974	0.6592246	0.2880123	0.5455640	0.1651853	0.3683477	0.7708198	0.7949475	0.1383437	0.6654658	0.4573040	0.5865724	0.7302274	0.2331954	0.1043469	0.5430275	0.1205388	0.3737576	0.3180251	0.6514675	0.0248413	0.0767605	0.1534627	0.5406208	0.0012791	0.0127259	0.6248091	0.6984901	0.3158959	0.0026239	0.2803565	0.7323801	0.7449272	0.3534749	0.1088345	0.2809626	0.4797287	0.2373581	0.6464118	0.0907428	0.3533981	0.4529470	0.0724457	0.6544876	0.3443430	0.2931821	0.8636363
0.2705644	0.4275357	0.1402055	0.3547293	0.6297073	0.7157068	0.8357847	0.6645907	0.7156385	0.0040524	0.2339046	0.5856966	0.5368412	0.5008706	0.6262492	0.7137591	0.5110575	0.5811357	0.6217708	0.3363590	0.0659867	0.6066914	0.0430031	0.4129879	0.0577683	0.5061056	0.6918300	0.7382933	0.4247922	0.4374214	0.2777819	0.0522359	0.0758538	0.2852726	0.0813483	0.6786574	0.0278613	0.1053312	0.0000000	0.0152245	0.3604444	0.1145549	0.4535483	0.0005170	0.0362993	0.8187428	0.0000000	0.2722073	0.0192365	0.6180643	0.3673861	0.8147614	0.1011449	0.1976600	0.4538856	0.6257780	0.6697118	0.1248944	0.0023759	0.2765891	0.8045813	0.0047761	0.7066246	0.0794363	0.5320877	0.3507622	0.2882583	0.1814776	0.5913597	0.0145586	0.3174589	0.2355278	0.5735668	0.0510940	0.0457572	0.1325499	0.3303146	0.0001087	0.0039137	0.5122900	0.5710805	0.1070340	0.0040991	0.0878425	0.7162979	0.6598907	0.3015951	0.0897589	0.4067608	0.7154242	0.1347252	0.5093289	0.0141925	0.3771745	0.4996576	0.0634412	0.6597216	0.0085200	0.1408773	0.0671084
0.3583246	0.5639101	0.1577645	0.2431555	0.5587359	0.7257362	0.5056974	0.5463908	0.7566755	0.0229299	0.4051924	0.8384762	0.6059828	0.3259124	0.4453933	0.6571917	0.4016752	0.5667408	0.7579603	0.2147892	0.0584033	0.7038534	0.0375028	0.4437890	0.4101933	0.4920918	0.6761749	0.7757972	0.4050089	0.4063916	0.4287231	0.0480705	0.0681191	0.1783574	0.0045643	0.7263525	0.0913125	0.3223303	0.8471237	0.0692543	0.3893183	0.1863248	0.3899426	0.0032499	0.0848893	0.7284011	0.3224123	0.0000000	0.6038362	0.0000000	0.3050052	0.4605491	0.3361685	0.5795278	0.5567095	0.3428616	0.5976861	0.2965695	0.0117882	0.5930178	0.7400997	0.1133604	0.4779634	0.2917877	0.5086346	0.5936852	0.2621079	0.0302445	0.5713996	0.1017630	0.1090294	0.2281092	0.6698705	0.0621611	0.1960058	0.1281334	0.5309091	0.0006381	0.0068216	0.7145552	0.5942265	0.5210239	0.0070507	0.1997438	0.6786475	0.6476866	0.1672121	0.0474875	0.1309170	0.6495268	0.1479136	0.5344706	0.0796755	0.3811579	0.4290876	0.0895085	0.6051389	0.0024317	0.0679301	0.1280656
0.2309053	0.4806279	0.0000000	0.2051977	0.5349541	0.5480914	0.7676105	0.6518579	0.6928365	0.0192698	0.3152953	0.4569440	0.3113711	0.6055754	0.6165626	0.4406091	0.0000000	0.6806969	0.2025139	0.3651674	0.0651206	0.5959381	0.1694752	0.2669456	0.3435796	0.4293105	0.5837177	0.7020458	0.4357322	0.0057804	0.3163552	0.0449313	0.7107284	0.3205134	0.0119823	0.4926375	0.0690346	0.5127863	0.7345139	0.0348035	0.6215483	0.1175291	0.6211222	0.0049420	0.0557366	0.5631090	0.0018348	0.0461153	0.4106029	0.0980569	0.1210937	0.7851103	0.1425026	0.1075929	0.6277939	0.2849167	0.6316357	0.6178702	0.0017303	0.3317278	0.6743786	0.0215069	0.6540772	0.3245721	0.3836304	0.5345044	0.2025164	0.0521726	0.4309170	0.1569323	0.3104149	0.2386825	0.4428937	0.0480833	0.1932508	0.3806105	0.3547475	0.0022747	0.0148699	0.6265951	0.5536844	0.0945523	0.0000358	0.1265773	0.6268625	0.6452580	0.0856077	0.1373304	0.2008407	0.7019808	0.1278771	0.5966996	0.0217918	0.4778752	0.3905490	0.0408678	0.6792919	0.0023763	0.3520595	0.1198056
