Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G56A	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.2796853	0.6251049	0.1293530	0.4942163	0.5434586	0.3332259	0.1671265	0.4671807	0.2853418	0.5898044	0.6223646	0.5679867	0.6672287	0.2439282	0.5201636	0.7189847	0.3522967	0.4353416	0.3987732	0.0312601	0.0575007	0.2466171	0.9432090	0.5514968	0.3285748	0.3768821	0.2638460	0.2398732	0.7175077	0.3793329	0.6212131	0.0836339	0.3373094	0.3628867	0.5755892	0.6000567	0.1930999	0.4392182	0.5401131	0.2576973	0.1323840	0.5361074	0.6668328	0.7431156	0.1785303	0.3794896	0.6522214	0.8192967	0.5108979	0.3843385	0.6163582	0.4665078	0.0037811	0.2538462	0.0266072	0.0310922	0.0461287	0.6181804	0.2152993	0.1317442	0.5550024	0.4272219	0.4877616	0.0000379	0.6995791	0.3618121	0.6635988	0.1109234	0.6419232	0.0185009	0.1672050	0.3122578	0.3447436	0.6454476	0.3211551	0.3192919	0.6986716	0.0073784	0.0934318	0.7071135	0.6589762	0.4649818	0.2187937	0.1381542	0.4052343	0.7160472	0.2112348	0.5287590	0.2039422	0.2095786	0.2729437	0.0165605	0.4074192	0.4234586	0.6682037	0.1977347	0.6918365	0.4582074	0.0704853	0.1243531
50	0.3997203	0.5375443	0.1192699	0.5299328	0.5816452	0.2608918	0.1749044	0.4474866	0.3713074	0.6614298	0.7179049	0.6392449	0.7245676	0.1687071	0.6045323	0.7986479	0.3558801	0.4126843	0.2781548	0.1541375	0.0498737	0.3225372	0.8340955	0.5554316	0.2973056	0.4110457	0.2570743	0.3007852	0.8175710	0.3046863	0.5168720	0.1279619	0.3833069	0.4569413	0.5874819	0.4306632	0.2710028	0.5177433	0.4503348	0.2209840	0.1241959	0.5833363	0.8195970	0.6411967	0.1611552	0.3990695	0.6591966	0.4365294	0.5491191	0.3605157	0.5268639	0.4809844	0.0000695	0.2368927	0.0540984	0.0270161	0.0237326	0.6377740	0.2883691	0.0983385	0.4614992	0.3143154	0.4046604	0.0002241	0.6039531	0.4444627	0.6352634	0.1114079	0.7111443	0.0249203	0.0933718	0.1880960	0.3661040	0.5416227	0.3026062	0.4275384	0.5199661	0.0243868	0.2417975	0.6549812	0.6476486	0.4489594	0.1706695	0.1197920	0.5287881	0.5363917	0.2852004	0.4672750	0.3275592	0.2133291	0.3444957	0.1312835	0.6312279	0.3333828	0.6681177	0.1144818	0.6285967	0.4328678	0.0208959	0.1270517
100	0.3452960	0.5218162	0.1024815	0.5402173	0.4846195	0.3340719	0.1838439	0.4458373	0.3349352	0.6222212	0.5849306	0.5334000	0.7305945	0.2133001	0.4805453	0.7098565	0.4852864	0.4489097	0.3281943	0.1890611	0.0711297	0.4167563	0.6894830	0.5488016	0.2193201	0.5454225	0.2420856	0.3214084	0.8763737	0.3415287	0.3516942	0.1197230	0.2629831	0.4361148	0.5478903	0.2624912	0.2759753	0.6376178	0.3445583	0.2540980	0.1366945	0.4741639	0.6827376	0.5099890	0.2537826	0.3123942	0.7029606	0.3444400	0.4804309	0.4690036	0.3631774	0.3868214	0.0005918	0.2890524	0.1527058	0.0090465	0.0247056	0.7203059	0.2275019	0.0754073	0.5520922	0.4198866	0.4257969	0.0029319	0.5950821	0.3776948	0.7522946	0.1103161	0.7143417	0.0230900	0.0661740	0.2734329	0.3408028	0.5389665	0.1677288	0.3342765	0.6073226	0.0334884	0.2760173	0.5856294	0.6348485	0.4180235	0.2570946	0.1165108	0.4513746	0.4669237	0.4040583	0.5477863	0.2570289	0.1737403	0.5119053	0.3538858	0.5349390	0.3149880	0.7823618	0.1638260	0.5440263	0.3994867	0.0426152	0.1971026
150	0.4637589	0.6004632	0.0800274	0.6668915	0.4849260	0.3367691	0.2066840	0.4396609	0.3178838	0.6118967	0.5386628	0.4165052	0.7390864	0.2034311	0.5301076	0.7264028	0.4899604	0.4177577	0.3205190	0.2102711	0.0810680	0.4184678	0.5588651	0.4900687	0.2176321	0.4884314	0.1996958	0.2874402	0.8119471	0.3217617	0.1723782	0.0845164	0.2363203	0.3390278	0.7941925	0.2728520	0.1943388	0.7369139	0.2506656	0.3005450	0.0793680	0.4709708	0.6402864	0.5247694	0.1823724	0.3702402	0.7785717	0.2086825	0.4948004	0.4204791	0.4121854	0.3955134	0.0025358	0.2792096	0.1766446	0.0266007	0.0128358	0.6202898	0.2817532	0.1307919	0.5310632	0.3891238	0.4336894	0.0002031	0.5099159	0.3186731	0.7417900	0.0944393	0.7809530	0.0096922	0.0306187	0.3006041	0.3306358	0.4480522	0.1577784	0.2924204	0.5592349	0.0452335	0.4310060	0.6834570	0.5316267	0.4447140	0.2044817	0.1149850	0.5306533	0.3513179	0.3103077	0.6127192	0.2168274	0.1557444	0.4751559	0.3454398	0.6934338	0.3588117	0.6856854	0.2401652	0.4735472	0.5425978	0.0071185	0.3253408
200	0.4507004	0.5709967	0.0964712	0.6349584	0.3264078	0.3388277	0.1969927	0.4639130	0.3386439	0.4582366	0.5880373	0.2966036	0.7042698	0.1963793	0.4845294	0.5646303	0.5447612	0.4743775	0.3545915	0.3128937	0.1003636	0.4219402	0.5147539	0.4756001	0.1830736	0.5539978	0.2382940	0.3050409	0.7777774	0.2556764	0.0981906	0.0896301	0.2741072	0.4063023	0.6340036	0.2691270	0.3490630	0.7071199	0.2903360	0.2206447	0.1093852	0.4624345	0.5344198	0.3983218	0.2971392	0.5072504	0.6420090	0.1863028	0.5417760	0.3645495	0.2860518	0.4102004	0.0044366	0.3864123	0.1726008	0.0197434	0.0189776	0.6740832	0.3265829	0.1119349	0.4952996	0.3226266	0.3869752	0.0003796	0.6666247	0.3884170	0.6998228	0.1393499	0.7345072	0.0228528	0.0160700	0.4145867	0.2874712	0.4990174	0.2304297	0.3013961	0.4567230	0.0601339	0.4712345	0.7892151	0.5707724	0.5151162	0.2254026	0.0396001	0.6090533	0.2494974	0.4261957	0.5224845	0.2090199	0.1579868	0.4897254	0.3742832	0.5062958	0.3327113	0.6194350	0.3033254	0.4887649	0.3941239	0.0046421	0.2610233
250	0.4986051	0.6288082	0.0950609	0.5670076	0.3429608	0.2992837	0.1536493	0.4004902	0.3224426	0.5876452	0.5647843	0.3323890	0.9180835	0.2703915	0.4930013	0.6764034	0.4399070	0.4943963	0.2627190	0.2334813	0.0985855	0.3416081	0.6261079	0.3620413	0.2331833	0.7169410	0.2930595	0.2833759	0.6697981	0.2075534	0.1621491	0.0552239	0.3757199	0.3927258	0.6072360	0.2437692	0.3420770	0.5009818	0.3371204	0.2253975	0.1216368	0.4721110	0.6636163	0.3971800	0.3111575	0.4886884	0.6706348	0.2285198	0.4707810	0.3662154	0.2908745	0.4652910	0.0009993	0.4515843	0.2030927	0.0236105	0.0040534	0.5378658	0.2007654	0.0881767	0.5825585	0.3131813	0.4388277	0.0001914	0.5946176	0.3818772	0.8116693	0.1125800	0.7622437	0.0330630	0.0271048	0.4774089	0.3298396	0.5265453	0.2471998	0.3101994	0.3802836	0.0400454	0.5341738	0.7279307	0.5393056	0.4139240	0.1795011	0.0577384	0.4453476	0.3026921	0.3669752	0.5897882	0.2182482	0.2067587	0.4563553	0.2905037	0.6446618	0.3068761	0.6375465	0.4670877	0.5764478	0.3705848	0.0086981	0.2919670
300	0.4505479	0.5355896	0.1339903	0.6098648	0.3913354	0.3412723	0.1804962	0.4598328	0.3495358	0.6199368	0.5965677	0.3125969	0.6454956	0.2434250	0.4955562	0.7005194	0.4457427	0.3539360	0.3198183	0.1973807	0.0992627	0.3767164	0.6494441	0.4192095	0.3031884	0.6571488	0.2935755	0.2810112	0.6733258	0.1710593	0.1419599	0.0386028	0.3726857	0.4589639	0.7784174	0.2336366	0.2465396	0.4171261	0.4607558	0.2123867	0.1099204	0.4462902	0.4879307	0.3490285	0.2189117	0.2912421	0.6238404	0.2473586	0.5064310	0.4375115	0.3329553	0.4823857	0.0002572	0.5457954	0.1458332	0.0356993	0.0084026	0.6877332	0.1404328	0.1411122	0.4830621	0.3316607	0.3731409	0.0003379	0.6183198	0.4038807	0.7528820	0.1034651	0.6216348	0.0554785	0.0569377	0.5663422	0.3297923	0.4619432	0.2694536	0.1885455	0.2049805	0.0483511	0.5763790	0.6891665	0.5955018	0.5187323	0.2064085	0.0746696	0.4374204	0.2814498	0.3511175	0.5599170	0.2176011	0.1984768	0.5296097	0.2349617	0.6225248	0.3541392	0.8008534	0.4524976	0.5674817	0.4363351	0.0041111	0.2351609
350	0.3869863	0.7188455	0.1223622	0.6038466	0.3689003	0.2662928	0.2128683	0.4754324	0.2993486	0.4997166	0.5957594	0.3297749	0.7375791	0.2999782	0.4946857	0.6457572	0.5226955	0.3937060	0.3233228	0.2559126	0.1273552	0.3669654	0.5940125	0.3546452	0.2515995	0.4672338	0.3322077	0.2634993	0.6836438	0.1660875	0.1889748	0.0462792	0.3908915	0.2880096	0.4790528	0.3137622	0.2061848	0.3737352	0.5297816	0.1368669	0.1309748	0.4141901	0.4778661	0.4213138	0.2567092	0.3793183	0.6040102	0.1912609	0.5976076	0.4296253	0.2977365	0.6094053	0.0005579	0.4627026	0.2031558	0.0418972	0.0014076	0.6794118	0.1372482	0.1476666	0.5451507	0.3490037	0.4726642	0.0003674	0.6686603	0.4413284	0.6156170	0.1098861	0.7150748	0.0723471	0.0753965	0.5224084	0.3395150	0.4730846	0.2536500	0.1984124	0.3353979	0.0586098	0.5428813	0.5752261	0.6316672	0.5186387	0.2367834	0.0363319	0.4502376	0.3376082	0.3245211	0.5723449	0.2064381	0.2114087	0.3731587	0.3171654	0.6287611	0.3305792	0.6754032	0.4462071	0.4645785	0.3420117	0.0143515	0.3073869
400	0.3910432	0.5959343	0.0970402	0.6896500	0.2834371	0.2703724	0.1351390	0.3737725	0.3207629	0.5121484	0.8833377	0.4055349	0.8488478	0.1983559	0.4956129	0.5993896	0.4253140	0.5156174	0.3660135	0.1568421	0.1090091	0.3147159	0.6576281	0.3741816	0.3314368	0.5752491	0.3366417	0.3061178	0.7224385	0.1054274	0.1527973	0.0608369	0.3459567	0.3039038	0.5883459	0.2654249	0.1941531	0.3556930	0.5099608	0.1758584	0.1099748	0.4388053	0.5161441	0.3155532	0.3248698	0.5158315	0.5925805	0.3029301	0.5252417	0.2966213	0.3600405	0.5088921	0.0031830	0.5327876	0.2232735	0.0205966	0.0094073	0.6307122	0.1280177	0.1761915	0.6484284	0.4192052	0.3776176	0.0006672	0.6713563	0.3866278	0.6287123	0.1833084	0.7299343	0.0940746	0.0323065	0.4280872	0.3557918	0.4782709	0.2465968	0.2065959	0.3143362	0.0299191	0.4603937	0.5218134	0.5555993	0.4465925	0.1458389	0.0330086	0.4303017	0.2890261	0.4220191	0.6235864	0.1738196	0.1077538	0.3771826	0.2664178	0.6731471	0.2982963	0.7481094	0.4702668	0.5443129	0.3845530	0.0080431	0.2435455
