Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G77A	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.9957580	0.0396820	0.9513652	0.9746718	0.0463613	0.4164449	1.0460305	0.8533722	0.1493128	0.2053497	1.0055118	0.8226307	0.5216882	1.0028095	0.8976910	0.2797586	0.3023301	0.2236623	0.8640167	0.4787093	0.4102159	0.0867810	0.6072609	0.0635288	0.2668015	0.8566208	1.0024222	0.6020850	0.5232191	0.5004439	1.0770228	0.6400551	0.1651362	0.9301197	0.9637209	0.4051497	0.3440668	0.9292499	0.7878627	0.6763982	0.9628285	0.8199065	0.9013550	0.2532579	0.9103811	0.9611101	0.2882096	1.0336711	0.6558203	0.9313286	0.6262476	0.4339329	0.1940315	0.2755744	0.9495958	1.0232530	0.1714587	0.2461353	0.0019973	0.0425912	0.9198529	0.3883426	0.0102981	0.5713953	0.9784596	0.3899803	0.9064516	0.6058185	0.8738110	0.3684228	0.2100499	0.4608323	0.5485723	0.7524175	0.1945171	0.8868123	0.0091531	0.0959122	0.0004136	0.5001498	0.0887142	0.6913415	0.5987880	0.4078376	0.0701368	0.5440798	0.0610661	0.4523737	0.7907184	0.5300282	0.0718919	0.1924227	0.8780571	0.5023567	0.0745765	0.9535639	0.0211007	0.5915784	0.1912388	0.2892675
50	0.8965250	0.0352251	0.8710743	0.5599577	0.0422701	0.3742595	1.0588424	0.9522527	0.3444008	0.1354479	1.0539658	0.7784363	0.5169781	0.7935726	0.9960372	0.2266427	0.3493986	0.2534912	0.5455627	0.3843239	0.3849236	0.1259010	0.6055350	0.4930841	0.2043411	0.9511580	0.9661631	0.6519865	0.7067334	0.5027698	1.0093793	0.6343933	0.0959850	0.8670462	0.8099725	0.2633070	0.3083290	0.9223438	0.7788559	0.5893836	0.9156350	0.8319149	0.9357573	0.2354494	0.9307550	0.6734384	0.3310640	1.0195416	0.4990680	0.6533168	0.6312076	0.4208766	0.1154793	0.1567008	1.0429317	0.9746890	0.2278686	0.2604248	0.0048627	0.0319086	0.8054993	0.4788093	0.3322423	0.5780780	0.9728663	0.6002425	0.7759330	0.6410265	0.8871338	0.3058171	0.1980749	0.5856462	0.7730488	0.7314738	0.2022542	0.8671923	0.0163575	0.1371879	0.0040100	0.4820169	0.0921885	0.6399115	0.6290921	0.4389674	0.4022075	0.6290516	0.0416077	0.4579423	0.7184885	0.3905346	0.3884916	0.0743720	0.9497824	0.4704767	0.0723507	0.9240704	0.2208538	0.6109861	0.1925524	0.1699924
100	0.9379411	0.0186902	0.8574180	0.3441475	0.0400181	0.3172978	1.0050893	0.9174666	0.4254570	0.1733422	1.0743629	0.7488194	0.5133066	0.7602738	1.0235638	0.1576150	0.3357955	0.2556844	0.5847658	0.3893217	0.4006425	0.0911255	0.6142930	0.7215110	0.1918384	0.9737465	0.9079259	0.6566048	0.6999435	0.5229468	1.0383251	0.6387986	0.0415750	0.8033763	0.7919013	0.3386034	0.3023238	0.9043054	0.8040884	0.5670811	1.0177474	0.8468109	0.9051507	0.2219055	0.9216964	0.5359805	0.3035416	0.9782723	0.4153438	0.5677793	0.6900239	0.4540036	0.1344891	0.1086594	0.9348406	0.9689056	0.2542730	0.2720673	0.0036129	0.0312257	0.8771810	0.4623217	0.4793675	0.5846986	0.9159635	0.6118004	0.7560641	0.7583295	0.8976893	0.3323669	0.1963654	0.6688349	0.8841513	0.7402776	0.1748970	0.8194793	0.0082909	0.1093598	0.0053654	0.7128660	0.0624593	0.5772134	0.6106237	0.4159855	0.5192839	0.5700290	0.0389413	0.4520919	0.7489652	0.4619693	0.6316732	0.0582848	0.9252505	0.4938907	0.1031628	0.7760672	0.2619724	0.5621429	0.1904945	0.1386040
150	0.9652994	0.0241792	0.9152182	0.2931098	0.0247191	0.3002595	0.9856572	0.9151221	0.4479557	0.1496224	1.0136682	0.7797712	0.5090679	0.6814570	0.9067652	0.1721835	0.3218333	0.1740936	0.6247576	0.3752680	0.3608361	0.0816390	0.6531814	0.8253569	0.1886533	0.9795569	1.0306632	0.6586251	0.6368019	0.4813417	1.0209489	0.6298393	0.0511432	0.8523523	0.8174040	0.3839269	0.2521681	0.9086390	0.8010762	0.5847010	1.0134103	0.8574184	0.9514448	0.2102242	1.0210149	0.5609303	0.2650367	0.9990852	0.3994433	0.6339922	0.6902051	0.4249154	0.1258411	0.0626039	1.0674161	0.9547899	0.2374315	0.4589892	0.0031892	0.0187808	0.8111987	0.3441043	0.4655223	0.6437685	0.8812558	0.5936925	0.7722123	0.7766376	0.9661642	0.3370878	0.2148480	0.6976888	0.9715341	0.7275670	0.1810403	0.8989960	0.0288031	0.0830368	0.0011346	0.8000591	0.0837937	0.6156155	0.5330390	0.4436991	0.5765219	0.5467755	0.0222461	0.4342797	0.6338899	0.4594969	0.7644395	0.0394719	0.8761566	0.5079265	0.0500427	0.7516604	0.3254969	0.5334370	0.2431366	0.1308965
200	0.8979333	0.0208251	0.9960082	0.3158964	0.0474846	0.3321360	0.9524482	0.8205434	0.4102711	0.1748432	1.0148613	0.8218746	0.4794957	0.7320081	0.9606187	0.1481363	0.4006759	0.1647424	0.5510514	0.3569329	0.4366306	0.0786760	0.7341196	0.8581900	0.2367373	0.9662178	0.9804769	0.6161255	0.6329491	0.3965062	1.0023591	0.6306129	0.0640416	0.8896961	0.8490304	0.4361063	0.2916841	0.9245769	0.7179128	0.5960977	1.0055693	0.8137911	0.8810190	0.2125748	1.0037308	0.6581774	0.2162520	0.9792471	0.4282096	0.6056793	0.6551172	0.3907210	0.1661384	0.0428324	1.0429676	1.0015785	0.2901593	0.5878648	0.0014628	0.0258876	0.8842749	0.2625277	0.4900845	0.6384449	0.9157559	0.5544026	0.8521993	0.8485953	1.0031954	0.5117005	0.2339251	0.7296149	0.9444491	0.6579861	0.1575768	0.8595561	0.0217861	0.0731887	0.0002709	0.7966315	0.0806503	0.6886679	0.5470518	0.4111222	0.6392341	0.5688710	0.0201092	0.4907738	0.6632934	0.4622045	0.9693497	0.0519940	0.8762658	0.4147346	0.1070850	0.6092672	0.3251555	0.5455162	0.1761208	0.1778102
250	0.9482585	0.0230188	1.0902456	0.2857792	0.0339955	0.4320364	1.0037306	0.7553619	0.4017559	0.1474135	0.9818283	0.7715828	0.5194813	0.7058019	1.0371582	0.0752477	0.3893595	0.1162977	0.5744021	0.2848226	0.3666406	0.0411912	0.6721938	0.8803218	0.2788128	0.9806118	1.1013352	0.6611829	0.6323473	0.4923677	1.0549355	0.5999567	0.0522721	0.9316579	1.0516207	0.5186234	0.3216315	0.9413334	0.7777043	0.5785184	1.0067368	0.8282166	0.8314686	0.2791558	0.9400868	0.6332530	0.2463385	0.9123788	0.3593853	0.5678097	0.6714068	0.4405886	0.1980317	0.0494623	1.0287961	0.9743262	0.2733762	0.5950103	0.0010017	0.0318644	0.9348742	0.2067161	0.5917210	0.6591964	0.9359586	0.4681351	0.8482128	0.8897291	1.0372929	0.6245532	0.1779328	0.6247985	0.9309728	0.6561100	0.2398119	0.7461628	0.0448341	0.0756402	0.0024627	0.8052186	0.0949112	0.7143904	0.5651342	0.3840001	0.6354829	0.5390814	0.0492920	0.4234874	0.5686193	0.4894417	0.9474083	0.0367155	0.8621821	0.5670115	0.0732429	0.6205751	0.3563934	0.5984244	0.1967421	0.1887081
300	0.8576496	0.0265670	0.9965530	0.2947941	0.0499226	0.4462373	1.0919824	0.7471021	0.3944813	0.1332451	0.9718671	0.8140464	0.4649740	0.7453859	0.9691043	0.0634907	0.4632163	0.1091911	0.5197102	0.3375383	0.4231170	0.0562772	0.6625884	0.9001965	0.2715622	1.0329102	0.8949157	0.6511575	0.7446920	0.5329025	0.9374708	0.5622609	0.0592237	0.9404481	1.0039596	0.4259492	0.3264140	0.9774666	0.6931655	0.5113008	1.0911889	0.8476198	0.7774921	0.3096264	0.9085849	0.5146531	0.2376296	0.9654623	0.3273693	0.5580249	0.6935251	0.4596053	0.1509436	0.0429809	0.9920545	0.9910973	0.2319225	0.6096573	0.0027887	0.0230512	0.7885058	0.2915159	0.4937034	0.6656331	1.0083274	0.5253391	0.7410823	0.8353621	1.0397059	0.5832509	0.1931717	0.5180781	0.9019863	0.6155235	0.2359137	0.7546405	0.0416633	0.1445898	0.0019843	0.7306284	0.0932267	0.6968562	0.6499967	0.3943872	0.6131620	0.5215220	0.0297663	0.4048994	0.5342630	0.5162808	0.9154701	0.0364524	0.7449867	0.5277230	0.1087910	0.5913134	0.3371577	0.5850846	0.1943169	0.2326504
350	0.8807259	0.0302437	0.9210892	0.2742018	0.0800190	0.4227960	1.0132195	0.8455915	0.4653661	0.2001874	0.9233105	0.8500952	0.4503629	0.7238243	0.9434083	0.0761627	0.4403804	0.1350399	0.5541312	0.3366460	0.3938868	0.0483950	0.7186237	0.9066570	0.3577247	1.0012281	1.0442510	0.6464908	0.8144851	0.4763619	1.0093062	0.5756936	0.0243042	0.9555918	0.9651159	0.3279898	0.3201184	1.0510593	0.7294517	0.5050325	1.0268441	0.8100831	0.8350098	0.2634689	0.9741287	0.5440530	0.2324628	1.0372210	0.3646870	0.6085337	0.6586331	0.4567335	0.1357987	0.0250293	1.0398126	1.1188174	0.1978045	0.5654831	0.0059946	0.0229373	0.7622689	0.3673815	0.5027195	0.6884866	1.0030798	0.4793191	0.7619248	0.7633438	0.9361869	0.4986568	0.2042311	0.5535302	0.8850682	0.7112453	0.2143918	0.7630809	0.0463423	0.1857897	0.0013783	0.7691153	0.1020187	0.7347634	0.6302518	0.3820751	0.6302501	0.4743145	0.0363076	0.4063380	0.5806202	0.5071672	0.8764420	0.0346861	0.8220670	0.4947571	0.0744299	0.6484436	0.4041133	0.5342506	0.2325082	0.1758705
400	0.9011804	0.0174525	0.9813299	0.3211479	0.0643970	0.4201596	0.9731273	0.8043354	0.4450907	0.2200161	0.9300933	0.8560696	0.4577870	0.6542557	0.9624570	0.0771088	0.4346564	0.0969431	0.5600359	0.3478752	0.3960328	0.0637177	0.8183408	0.9087163	0.4020150	1.0189842	0.9684283	0.5993213	0.8569914	0.3779554	0.8541318	0.5635221	0.0209407	1.0429952	0.9678965	0.3748574	0.3244203	0.9455140	0.6805893	0.6237184	1.0275179	0.9732868	0.8822014	0.2593564	0.9358336	0.5029090	0.2476037	1.0010778	0.4008603	0.5621912	0.7037741	0.5057115	0.1601256	0.0121338	1.0217470	1.0077141	0.1611526	0.5814993	0.0008310	0.0188707	0.8341620	0.3468932	0.5406363	0.6489427	1.0114767	0.5131504	0.7483288	0.8128340	0.9503818	0.5681835	0.1854106	0.5837135	0.9053691	0.6076138	0.2111279	0.7969530	0.0733913	0.0923999	0.0001478	0.8438016	0.1240051	0.7716319	0.5217201	0.3826109	0.6171941	0.5611358	0.0104595	0.3818758	0.5380764	0.5139015	0.8144342	0.0346552	0.8053820	0.4431706	0.0886286	0.6487213	0.3984060	0.5136166	0.2419407	0.2169893
