Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G66A	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.4547164	0.0938054	0.8101924	0.9068715	0.4879340	0.0088194	0.1563960	0.6934362	0.0444210	1.0315668	0.1482232	1.1179059	0.3943367	0.7695501	0.0371963	0.2708034	0.7494685	1.0065814	0.0648039	0.0036324	0.5292140	0.3648660	0.3174784	0.6694553	0.4250632	0.2161950	0.5402803	0.5058996	0.8263022	0.2047339	0.2538345	0.0662445	0.4304522	0.0585419	0.0998684	0.1734521	0.0611049	0.6025927	0.5051470	0.2515900	0.0012059	0.4810280	0.2663113	0.0915979	0.6722883	0.1090981	0.3618301	0.7088481	0.6661390	0.2110534	0.8739635	0.2125124	0.7565025	0.5756366	0.5095127	0.7714709	0.4347196	0.2317871	1.0696955	0.0769832	0.5483272	0.1137206	0.2340384	0.0364611	0.1724046	0.5174863	0.3047459	0.6350790	0.3297837	0.5532918	0.8759630	0.6456399	0.4225898	0.4583475	0.0027477	0.0434908	0.5639279	0.0274048	0.9602974	0.5081772	0.2071565	0.5343312	0.0003768	0.6925954	1.0478293	0.5778420	0.9813538	0.9991747	0.5568725	0.5626537	0.8972125	0.8988339	0.3411344	0.9646611	0.0035463	0.2942042	0.1740464	0.2751644	0.2724695	0.0002147
50	0.4036212	0.4630803	0.8081142	0.9254826	0.4413638	0.0057800	0.1447056	0.7550149	0.0078799	0.8372078	0.6737902	0.9170535	0.3356234	0.6645092	0.6296267	0.2972231	0.2254600	0.9113477	0.2288530	0.0064767	0.3833977	0.3346690	0.3188185	0.6998907	0.4892373	0.1913148	0.6111125	0.5775214	0.7773054	0.1979108	0.2457714	0.0454438	0.5218493	0.0780555	0.0922042	0.2325248	0.1594110	0.5290517	0.5564361	0.2470684	0.0013078	0.4719605	0.3190027	0.3668456	0.6244256	0.3000333	0.3401417	0.6722079	0.3257063	0.4526046	0.8432305	0.2704401	0.7627703	0.5471026	0.5356912	0.8721383	0.4567516	0.2104688	0.8536507	0.1047100	0.4176640	0.1176688	0.0558257	0.0284044	0.4739025	0.5549470	0.3770355	0.7516974	0.0529838	0.5993911	0.8741573	0.6056630	0.5940829	0.5469190	0.0760290	0.0298349	0.7521358	0.3702393	1.0470459	0.5439219	0.2504791	0.3972537	0.0036131	0.4800136	0.9163220	0.5799921	1.0589305	0.9314726	0.5075720	0.5516080	0.8644886	0.8918555	0.2559161	0.9410668	0.0048444	0.4492619	0.1827990	0.2737445	0.1872568	0.0000000
100	0.4141124	0.6652225	0.6982432	0.6890576	0.4856868	0.0318643	0.1652997	0.7795064	0.0310507	0.9578732	0.9041279	0.5934043	0.3198246	0.5360462	0.8078159	0.2961071	0.1760831	0.8119094	0.3488524	0.0032528	0.3842683	0.2856519	0.2891575	0.6609312	0.5900248	0.2452044	0.6323527	0.5937830	0.7854940	0.1040669	0.2343463	0.0635946	0.8939981	0.1361510	0.1099189	0.2677715	0.2230997	0.4601277	0.4656821	0.2795265	0.0000054	0.3695493	0.5439942	0.4689752	0.6434954	0.2897546	0.3033635	0.6292668	0.1449470	0.6639087	0.7823423	0.1869176	0.7494907	0.8003677	0.4747663	0.6752597	0.3723934	0.1781521	1.0268256	0.1058798	0.3696456	0.0556278	0.0080789	0.0232378	0.4398677	0.4958563	0.4515412	0.8820472	0.0196136	0.6058214	0.9269247	0.3583932	0.6443626	0.5771697	0.0885354	0.0493696	0.7264256	0.3875851	0.9820396	0.5631836	0.3153003	0.1525318	0.0091286	0.4924900	0.8540832	0.5333256	1.0280774	0.7817978	0.5639566	0.5885338	0.7591237	0.7777214	0.3342253	0.9443084	0.0000137	0.5866170	0.2236596	0.3425112	0.1618587	0.0001166
150	0.3747032	0.6907641	0.5734473	0.4522347	0.5808085	0.0550364	0.1207519	0.7224178	0.0975410	0.9323473	1.0225846	0.3387570	0.2089907	0.3925273	0.9018046	0.3415291	0.1719268	0.6733053	0.3216111	0.0028003	0.3288798	0.3281882	0.2397654	0.7046516	0.6825420	0.2121223	0.6336389	0.6003715	0.8074307	0.1116945	0.2501682	0.0317380	0.9647090	0.1621709	0.1036132	0.3138460	0.2718085	0.6474287	0.4841654	0.3235083	0.0002933	0.1788438	0.6681183	0.4687635	0.5809124	0.2682920	0.3360310	0.5418221	0.0823756	0.6999615	0.7668829	0.1117628	0.7997335	0.8287960	0.6437348	0.4995311	0.3930088	0.2276445	1.0726665	0.0814773	0.3469879	0.1113165	0.0004459	0.0187921	0.4056193	0.4549187	0.6641656	0.7588341	0.0245854	0.5825214	0.9351251	0.2118524	0.6234144	0.6251158	0.0872200	0.0367546	0.6143736	0.3732215	0.9351588	0.5422462	0.2729510	0.1429480	0.0024295	0.4917307	0.6800040	0.4911319	1.0211091	0.7574351	0.5544772	0.5956137	0.7316390	0.7774797	0.4407022	0.8097922	0.0011966	0.6156798	0.3280686	0.4001076	0.2493693	0.0002212
200	0.3337890	0.7460267	0.3904049	0.2969521	0.6256155	0.0536066	0.1591003	0.6898679	0.1288228	0.9712784	1.1025028	0.2236150	0.1513631	0.3866485	0.9178005	0.4230536	0.1290060	0.6097161	0.3022070	0.0011011	0.3467346	0.2145818	0.2480589	0.7637018	0.7262308	0.2946168	0.6964707	0.6869938	0.6556598	0.1091761	0.2541032	0.0422600	1.0324717	0.1251065	0.1299735	0.3572495	0.3059762	0.5768131	0.4376282	0.3440170	0.0000664	0.1424484	0.7479533	0.4354655	0.6093086	0.2833502	0.2196908	0.4624328	0.0604747	0.7033940	0.8959688	0.1498082	0.8569612	0.9875236	0.6033333	0.5755698	0.3016974	0.3204629	0.9555642	0.0789443	0.3394226	0.2183505	0.0000653	0.0033509	0.4941600	0.4467311	0.7559836	0.8675583	0.0460605	0.7249390	0.9287800	0.1416310	0.5835149	0.7031769	0.0769874	0.0709544	0.6697601	0.4191883	0.9135439	0.5662099	0.2905076	0.1487009	0.0019386	0.5605125	0.5736673	0.4980405	0.9896556	0.7609230	0.5778418	0.5515919	0.6041099	0.7446880	0.6281969	0.9175741	0.0006134	0.6483797	0.4426046	0.4095872	0.2411527	0.0004006
250	0.3122886	0.7231127	0.2190973	0.2785287	0.6344507	0.0801830	0.1953327	0.6510120	0.1073384	0.9307774	1.0168766	0.1568153	0.1084983	0.2948188	0.8563001	0.5121094	0.1425025	0.5009112	0.3353246	0.0029212	0.3578758	0.1869997	0.2293592	0.7821548	0.7023880	0.2694879	0.7611309	0.8025855	0.5283447	0.0924546	0.2491764	0.0538596	0.9556473	0.0998223	0.1220508	0.4646330	0.2931519	0.6053033	0.3521059	0.4166456	0.0006641	0.1356473	0.7853971	0.4473740	0.5187830	0.3101078	0.1460430	0.4515080	0.0528523	0.8082185	0.9124776	0.2090380	0.8055243	0.8587380	0.6791209	0.5221580	0.2482068	0.4186449	1.0316602	0.1101621	0.3996236	0.3647383	0.0002587	0.0016070	0.6043211	0.4131646	0.8041017	0.8660959	0.0356570	0.7305134	0.9005872	0.1416305	0.6182720	0.7056140	0.0807120	0.0878146	0.6392593	0.3368303	0.8962381	0.5727956	0.2819154	0.2584807	0.0064223	0.5789531	0.5921581	0.4318921	0.9702390	0.7415398	0.5602748	0.6911884	0.5989850	0.6215741	0.6947492	0.9135842	0.0001935	0.6337796	0.5077149	0.3935986	0.3446009	0.0000419
300	0.3697242	0.8011340	0.1469250	0.2631820	0.5389423	0.0866422	0.1697849	0.5942681	0.1184453	0.8504925	0.9991969	0.1313377	0.1037184	0.2683615	0.8517863	0.5736903	0.0864073	0.4870675	0.3752604	0.0016483	0.3920204	0.1898373	0.2517646	0.7830764	0.7997063	0.3459080	0.8894820	0.8742133	0.4464668	0.0421927	0.2388259	0.0553702	0.9798747	0.1335538	0.1505512	0.5162793	0.2912856	0.5833753	0.3780653	0.4031126	0.0025676	0.0831070	0.9684898	0.4416875	0.5552916	0.3185299	0.1227251	0.2951663	0.0508277	0.7871739	0.9202885	0.3709514	0.7879812	0.8344165	0.6836227	0.5277548	0.1752130	0.4279033	1.0037683	0.1500915	0.3692992	0.3707538	0.0000814	0.0024995	0.5820193	0.3553608	0.8175597	0.7729656	0.0454198	0.6548809	0.9484258	0.1923541	0.5455068	0.7299794	0.0621689	0.2056414	0.5873135	0.3640331	0.8260284	0.5350652	0.3727503	0.2418193	0.0179743	0.5325571	0.5702425	0.3606256	0.9197743	0.7852711	0.6417705	0.7353116	0.5308734	0.6034001	0.7017112	1.0123012	0.0007698	0.5803935	0.6625805	0.3784187	0.4629146	0.0000000
350	0.3506565	0.8264190	0.1007400	0.2284955	0.6061546	0.0942250	0.1620314	0.5436643	0.1425145	0.7415084	0.9614650	0.1397390	0.1226242	0.3149137	0.8492749	0.6119725	0.0760489	0.4249289	0.3403522	0.0030044	0.4662227	0.1646600	0.2812694	0.8240598	0.8102280	0.4164048	0.8538892	0.9399033	0.3819201	0.0453269	0.2118909	0.0657159	0.8899969	0.1066917	0.2243823	0.5220637	0.2930510	0.6214004	0.3334182	0.4821006	0.0025082	0.0750112	0.9115570	0.5211898	0.5666135	0.3543376	0.0713996	0.2523345	0.0351572	0.8038470	0.9714864	0.4980475	0.8156466	0.8922991	0.7221391	0.4894121	0.0949576	0.4379661	0.8952918	0.2267298	0.2641155	0.4623692	0.0000507	0.0029031	0.7157223	0.3850223	0.8902934	0.7552804	0.0370988	0.6721828	0.8832776	0.1807808	0.5210073	0.7225653	0.0774411	0.1775214	0.5534527	0.4141498	0.8317254	0.5310052	0.4093117	0.2026547	0.0179606	0.4840415	0.5953085	0.2856942	0.9197105	0.7908464	0.6278146	0.7401046	0.4456887	0.5756124	0.7314852	0.9461396	0.0011710	0.4891410	0.6491287	0.4405027	0.4862566	0.0000993
400	0.3475469	0.8345034	0.1067455	0.2039300	0.7056061	0.0812927	0.2021331	0.5548016	0.1317326	0.7439731	0.9384278	0.1438657	0.1002888	0.2726366	0.8576191	0.6654896	0.0698652	0.4581304	0.3655099	0.0055856	0.4621827	0.1520839	0.2228350	0.9259725	0.8578202	0.4326150	0.8759943	0.9946178	0.4097409	0.0282783	0.2946215	0.0865064	1.0192652	0.0799201	0.1912424	0.6056544	0.2785998	0.6592265	0.2463531	0.4852079	0.0017755	0.0798091	0.9379145	0.5955910	0.5422788	0.3043252	0.0631420	0.2131619	0.0171721	0.8087408	1.0121989	0.4945594	0.7543077	0.8815067	0.7417637	0.4895437	0.0405607	0.4910567	0.9757158	0.2459872	0.2223899	0.4142316	0.0003144	0.0004743	0.5504952	0.3474418	0.9456253	0.6662993	0.0362680	0.7406101	0.9686052	0.2182376	0.5227270	0.7325262	0.0629694	0.2744753	0.5976345	0.3454451	0.8550431	0.5269081	0.4708702	0.3093375	0.0162288	0.4730580	0.6060504	0.2493451	0.8795858	0.7506852	0.5662631	0.6889276	0.4334896	0.5546602	0.7576423	1.0207939	0.0023057	0.3578393	0.6920530	0.4461779	0.6564472	0.0008015
