G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G71A	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.2254450	0.7957158	0.8983961	0.1641694	0.4235575	0.3519470	0.4779968	0.2253169	0.4197400	0.0729859	0.0000000	0.9946577	0.0388462	0.7207828	0.8926446	0.1983825	0.9982936	0.0345178	0.1154190	0.8952294	0.5221694	0.9671640	0.0029123	0.2063209	0.3852678	0.0289848	0.0609295	0.0387880	0.5521783	0.4179905	0.7477976	0.8306359	0.6749582	0.5186501	0.2980618	0.5293128	0.5689271	0.7068993	0.2518924	0.4878128	0.1312337	0.9885349	0.1662195	0.8859993	0.5047170	0.1399607	0.3995771	0.0711719	0.5349906	0.2672892	0.9999236	0.6877265	0.7758969	0.9711199	0.7838007	0.6268713	0.0774397	0.0220956	0.6342007	0.4194704	0.1130765	0.3039238	0.4781104	0.4776324	0.5032822	0.0786080	0.4115854	0.0575237	0.0257805	0.7305734	0.5099823	0.7312310	0.2296026	0.0025459	0.9768686	0.9741227	0.8503609	0.6434726	0.3872933	0.9806688	0.5369429	0.2955136	0.3589666	0.4025056	0.2855467	0.5985728	0.0008244	0.1126424	0.5048615	0.8631792	0.0520307	0.1710031	0.4869372	1.0000000	0.7856650	0.5198857	0.4275494	0.5691886	0.7739860	0.0007981
0.3922337	0.7959796	0.8990561	0.2388333	0.4988321	0.3115777	0.5242564	0.2530186	0.4046195	0.0630277	0.7447217	0.0000000	0.0777055	0.4099422	0.9474679	0.2489455	0.4530914	0.3775169	0.1063579	0.8881998	0.5070328	0.9816180	0.0060647	0.1785809	0.7990290	0.7033338	0.0609296	0.0389723	0.5864951	0.4166098	0.7451016	0.2047734	0.6648182	0.3828253	0.3179055	0.4930880	0.5485281	0.4970212	0.2549780	0.3683231	0.4999970	0.9908318	0.1252356	0.8958949	0.4707492	0.1292897	0.3975804	0.0724633	0.5383668	0.3215984	0.9815159	0.6798927	0.7174635	0.9125014	0.9598082	0.8739212	0.8754472	0.1333000	0.9348265	0.2690698	0.1685756	0.3723033	0.4204752	0.4589259	0.4778388	0.4926784	0.5290470	0.3083202	0.0585419	0.7316658	0.9867099	0.4498875	0.3371656	0.0024566	0.9054180	0.9894988	0.8013088	0.6413404	0.3937886	0.9413869	0.6823504	0.1170862	0.5338623	0.9088370	0.2810455	0.4934875	0.0495909	0.3045283	0.5340748	0.3857529	0.3932256	0.4428636	0.4766389	1.0000000	0.9164603	0.8110938	0.5442717	0.5687613	0.2266446	0.0009151
0.2291197	0.7957764	0.8985555	0.1656260	0.4246501	0.3503703	0.4799114	0.2264627	0.4190725	0.0725571	0.3118378	0.9944611	0.0000000	0.7206780	0.8924281	0.1981865	0.9237598	0.1321263	0.1154450	0.8949293	0.5215291	0.9676581	0.0060820	0.1785068	0.8147992	0.7132663	0.0609295	0.0387932	0.5533945	0.4179050	0.7476249	0.7788022	0.6748301	0.5153509	0.2980981	0.5292442	0.5688953	0.6899565	0.2519596	0.4850793	0.1314406	0.9886449	0.1641245	0.8863000	0.5040321	0.1394241	0.3995775	0.0712203	0.5350356	0.2688129	0.9903308	0.6782027	0.7736502	0.9676682	0.9577900	0.6343002	0.3295262	0.0226386	0.6841508	0.4225156	0.1371796	0.3054279	0.4703138	0.4740429	0.4487419	0.0783768	0.2233414	0.0635181	0.0256751	0.7306157	0.9896354	0.7440564	0.2135619	0.0025435	0.9763280	0.9021605	0.8487232	0.6434048	0.1891239	0.9809853	0.5769015	0.2823586	0.5510591	0.4020109	0.2785350	0.6539638	0.0130523	0.1085229	0.4437043	0.8679454	0.3308417	0.1688818	0.4874080	1.0000000	0.9227852	0.8089634	0.3945656	0.5691729	0.3787581	0.0007999
0.2257022	0.7957236	0.8984171	0.1642596	0.4235860	0.3518382	0.4781633	0.2254272	0.4196730	0.0729570	0.3117637	0.9946536	0.0383554	0.0000000	0.8932961	0.1987618	0.9235791	0.1319565	0.1152980	0.8951992	0.5221048	0.9672105	0.0060751	0.1785480	0.8149805	0.7137522	0.0609295	0.0387877	0.5523068	0.4178968	0.7476081	0.7785535	0.6749747	0.5184661	0.2980604	0.5293189	0.5689329	0.6898569	0.2519532	0.4877462	0.1312391	0.9886413	0.1641131	0.8860301	0.5046276	0.1394439	0.3995761	0.0711759	0.5349821	0.2673142	0.9902795	0.6775733	0.7743289	0.9678741	0.9575349	0.1572815	0.3479957	0.0218799	0.7019906	0.7501428	0.1371299	0.3038483	0.4805922	0.4743960	0.4483745	0.0780220	0.4228385	0.0605025	0.0273170	0.7305766	0.9896491	0.6952953	0.2129405	0.0025458	0.8609750	0.9736325	0.9550966	0.6433881	0.1692893	0.9809817	0.5968903	0.2829049	0.5515556	0.8568951	0.2793699	0.6538514	0.0129686	0.5600509	0.4461555	0.8679317	0.3312657	0.1709697	0.4877799	1.0000000	0.9228849	0.8089762	0.4970040	0.5691876	0.3794901	0.0007977
0.2231703	0.7956961	0.8983258	0.1630711	0.4223519	0.3523773	0.4773796	0.2248831	0.4200377	0.0730946	0.3117481	0.9947629	0.0525493	0.4184310	0.0000000	0.1994518	0.9233177	0.1320524	0.1966237	0.8953646	0.5225197	0.9667862	0.0060728	0.1785682	0.8151123	0.7140786	0.0609296	0.0393829	0.5519716	0.4178916	0.7475966	0.7784107	0.6750831	0.5210862	0.2981920	0.5290909	0.5688141	0.6898435	0.2519476	0.4898261	0.1310838	0.9886394	0.1641160	0.8858873	0.5050807	0.1394556	0.3995416	0.0711577	0.5349803	0.2669453	0.9944332	0.8985129	0.3654338	0.9788114	0.9574182	0.6269400	0.3199688	0.0305730	0.6990034	0.5919451	0.1279268	0.5706907	0.4607999	0.4960496	0.3263580	0.0783958	0.4218411	0.0556349	0.0287357	0.7305587	0.9896592	0.7242996	0.2128409	0.0025482	0.9314028	0.9834624	0.8482941	0.6433913	0.1722655	0.9809595	0.5912682	0.2832183	0.5520066	0.4575577	0.2798839	0.6538143	0.0255831	0.3164725	0.4485559	0.8679152	0.0782281	0.1725988	0.4880735	1.0000000	0.9229095	0.8089590	0.5227970	0.5691927	0.3800880	0.0007989
0.2231670	0.7956959	0.8983256	0.1630700	0.4223519	0.3523791	0.4773771	0.2248815	0.4200387	0.0730950	0.3117482	0.9947629	0.0525524	0.4197880	0.0080933	0.0000000	0.9233164	0.1320527	0.1966237	0.8953650	0.5225206	0.9667856	0.0060728	0.1785683	0.8151123	0.7140787	0.0609296	0.0393828	0.5519709	0.4178916	0.7475966	0.7784094	0.6750832	0.5210881	0.2981919	0.5290911	0.5688141	0.6898430	0.2519476	0.4898267	0.1310837	0.9886394	0.1641160	0.8858869	0.5050813	0.1394556	0.3995416	0.0711576	0.5349804	0.2669446	0.9874137	0.8985082	0.3685305	0.9731927	0.9577056	0.6269469	0.3199687	0.0305724	0.6989791	0.7113176	0.1278195	0.5706904	0.4684508	0.4744351	0.3788882	0.0777733	0.4191424	0.0492031	0.0232165	0.7305587	0.9896684	0.6879042	0.2128410	0.0025482	0.9322893	0.9834639	0.8482937	0.6460710	0.1723055	0.9809593	0.5560484	0.2832191	0.5520068	0.2700877	0.2798840	0.6538139	0.0255835	0.3180487	0.4485569	0.8679152	0.1072824	0.1704044	0.4880738	1.0000000	0.9227116	0.8069702	0.5224259	0.5691927	0.3800881	0.0007989
0.2202828	0.7956695	0.8982500	0.1617390	0.4208667	0.3534039	0.4762400	0.2242197	0.4204357	0.0733835	0.3116308	0.9947656	0.0522723	0.7335271	0.9989994	0.8287388	0.0000000	0.0597948	0.0967824	0.8955432	0.5229298	0.9664037	0.0056935	0.1807589	0.6953100	0.4835872	0.0609295	0.0386801	0.9706387	0.0653503	0.1541739	0.0382358	0.6709036	0.4428025	0.2977272	0.5300075	0.5693523	0.4750899	0.2536065	0.4932217	0.1308135	0.9911263	0.1188541	0.8853883	0.5076163	0.1279567	0.3996028	0.0711289	0.5348996	0.2656413	0.9710649	0.7012533	0.5807578	0.8983542	0.9682668	0.6270417	0.3195239	0.0517035	0.9522960	0.7430973	0.2559829	0.2808759	0.4016836	0.4749636	0.4793992	0.0804413	0.8399734	0.3944379	0.3090197	0.7323784	0.9771256	0.9669596	0.1624216	0.0025506	0.8806641	0.9840031	0.7350385	0.6034399	0.3087426	0.9418891	0.9480971	0.1344275	0.7952283	0.4683409	0.3040842	0.4920413	0.0239618	0.0281997	0.5267905	0.4911222	0.3554579	0.3292552	0.4850465	1.0000000	0.9350736	0.8676397	0.4350756	0.5692031	0.3383474	0.0008989
0.2231077	0.7956954	0.8983236	0.1630417	0.4223210	0.3523909	0.4773602	0.2248698	0.4200467	0.0730980	0.3117475	0.9947655	0.0528782	0.7209769	0.8937329	0.1990724	1.0000000	0.0000000	0.1152387	0.8953686	0.5225299	0.9667757	0.0060732	0.1785662	0.8152617	0.7140991	0.0609295	0.0387851	0.5519237	0.4179301	0.7476717	0.8316099	0.6750821	0.5211544	0.2982188	0.5290354	0.5687810	0.7071999	0.2518856	0.4898793	0.1310848	0.9885316	0.1662569	0.8858763	0.5051381	0.1399787	0.3995411	0.0711572	0.5349801	0.2669353	0.9911807	0.6768352	0.7747639	0.9713590	0.9574354	0.6273486	0.3198213	0.0211090	0.6841544	0.4188766	0.0912930	0.3022602	0.4915925	0.4744443	0.4480803	0.0788534	0.4170372	0.0574214	0.0319152	0.7305498	0.9896707	0.7506540	0.2297796	0.0025483	0.9768839	0.9836188	0.8503235	0.6435772	0.1685392	0.9806407	0.5462993	0.2959974	0.5388182	0.4030990	0.2797137	0.6576792	0.0114236	0.1160428	0.4349956	0.8681623	0.3298958	0.1726177	0.4880675	1.0000000	0.9231285	0.8089474	0.4316514	0.5691928	0.3843074	0.0007989
0.2231040	0.7956954	0.8983235	0.1630392	0.4223177	0.3523899	0.4773607	0.2248697	0.4200470	0.0730977	0.3117477	0.9947656	0.0528859	0.7210990	0.8944031	0.1994721	0.9233108	0.1320554	0.0000000	0.8953688	0.5225305	0.9667748	0.0060727	0.1785687	0.8151159	0.7140873	0.0609295	0.0386121	0.5519638	0.4178915	0.7475963	0.7784073	0.6750859	0.5211562	0.2981971	0.5290818	0.5688093	0.6898434	0.2519475	0.4898821	0.1310797	0.9886393	0.1641161	0.8858837	0.5050926	0.1394559	0.3995404	0.0711573	0.5349803	0.2669373	0.9902483	0.6760550	0.7747328	0.9680596	0.9574388	0.6273493	0.3198185	0.0213040	0.6955833	0.4216617	0.0876297	0.3021430	0.4894052	0.4744434	0.4481350	0.0788485	0.4206429	0.0643120	0.0319590	0.7305488	0.9896594	0.7443733	0.2128390	0.0025483	0.9777882	0.9836256	0.9550692	0.6435487	0.1873419	0.9809589	0.5789737	0.2832262	0.5520188	0.3618822	0.2800836	0.6538134	0.0129667	0.1159980	0.4486235	0.8679146	0.3315760	0.1726351	0.4880812	1.0000000	0.9229101	0.8089585	0.4316328	0.5691928	0.3801043	0.0007989
0.2229896	0.7956945	0.8983204	0.1629834	0.4222551	0.3524167	0.4773269	0.2248476	0.4200615	0.0731049	0.3117447	0.9947774	0.0529545	0.8863011	0.8950272	0.1998087	0.8538482	0.1656152	0.4291377	0.0000000	0.5225471	0.9667570	0.0060681	0.1785850	0.8141592	0.7125112	0.0609308	0.0448818	0.5566390	0.4132850	0.7381739	0.7721676	0.7624132	0.5204903	0.2977311	0.5299822	0.5693248	0.1984814	0.9993669	0.4899951	0.1305382	0.9986830	0.0213736	0.8443166	0.8733804	0.0658773	0.3996033	0.0711090	0.5349793	0.2669089	0.9893382	0.7154461	0.7743491	0.9638190	0.9582170	0.7504426	0.3197807	0.0245526	0.7136435	0.3947241	0.0131698	0.3019604	0.3795635	0.4744202	0.4483428	0.0781398	0.4286926	0.0203920	0.0339318	0.7307038	0.9895715	0.7507696	0.1878067	0.0025708	0.9597364	0.9830834	0.8031565	0.6433603	0.0983640	0.9839040	0.5940860	0.2776971	0.4241943	0.5647324	0.2157399	0.6526757	0.0337528	0.0716384	0.5244334	0.8693910	0.3317895	0.1726871	0.4881414	1.0000000	0.9249549	0.8088774	0.4106684	0.5691998	0.1912765	0.0008035
