Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G93A	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.4338543	0.2103142	0.0491251	0.0508340	0.3379068	0.1583705	0.4121225	0.4563094	0.3020866	0.4027933	0.7198029	0.6135900	0.4743686	0.4226038	0.4976130	0.6740551	0.0025657	0.0043609	0.6881822	0.0382731	0.4604470	0.5664141	0.2973327	0.5595287	0.0229572	0.7020748	0.1663193	0.5371863	0.0349580	0.7107409	0.0693901	0.2432729	0.2586098	0.5516461	0.4681657	0.5704328	0.0032123	0.0512796	0.5753541	0.1052051	0.6657923	0.4055954	0.2106471	0.4374372	0.2178317	0.3478690	0.5768577	0.2995853	0.5530998	0.6435589	0.5612649	0.2980898	0.1917179	0.0045948	0.5136657	0.0005895	0.5289334	0.0017982	0.4997787	0.5000000	0.4631070	0.6351492	0.5081394	0.4971173	0.6502185	0.6542573	0.3578787	0.4246471	0.4261198	0.2232397	0.0008032	0.6598631	0.1672058	0.6885026	0.5022324	0.5552278	0.5561164	0.3814055	0.2459918	0.2335963	0.1780569	0.6268397	0.6800230	0.2566936	0.1179902	0.2243710	0.4512005	0.0617884	0.0064164	0.1795473	0.1121037	0.2957495	0.6163752	0.0333490	0.0179419	0.6310964	0.0098439	0.5367612	0.0709678	0.4199551
50	0.3692157	0.1579846	0.0635095	0.0671834	0.1798374	0.1125742	0.3961472	0.5162839	0.3379414	0.3455371	0.6156452	0.6985575	0.6327703	0.3755872	0.5653014	0.7327866	0.1998791	0.0009011	0.7303360	0.2579584	0.4021447	0.5869881	0.5489731	0.4848082	0.0123333	0.6189092	0.3281076	0.4378574	0.0233508	0.5356161	0.0643411	0.2729374	0.2156378	0.4693023	0.4817727	0.4975248	0.2967982	0.2179943	0.6055538	0.1322257	0.7051098	0.3497274	0.1561233	0.6683649	0.1548787	0.3175993	0.5839784	0.2144961	0.1434053	0.6110952	0.5877174	0.3106178	0.2586432	0.0058303	0.4530367	0.0021444	0.6116987	0.0073531	0.5081363	0.4893441	0.3105307	0.5092281	0.5071245	0.4968576	0.6810848	0.7145231	0.4323238	0.3427849	0.4546968	0.4963632	0.0006559	0.6060722	0.1438802	0.8256823	0.2989511	0.6191220	0.6552630	0.3043382	0.1812948	0.3424877	0.1806823	0.7780724	0.2309404	0.2682223	0.1078583	0.2364628	0.5122547	0.2052815	0.0014422	0.0994829	0.1019979	0.2566983	0.6775953	0.0150805	0.0143792	0.4315259	0.0013120	0.4596436	0.1071751	0.3261657
100	0.3876207	0.2839687	0.1684134	0.0328480	0.3212928	0.1386540	0.3881912	0.4788930	0.2110928	0.4298998	0.5605358	0.7427073	0.6717696	0.4405333	0.5205152	0.7468664	0.2021637	0.0006087	0.6951285	0.3009646	0.4498097	0.6793908	0.6049686	0.3706388	0.0330540	0.6327206	0.3005119	0.5049426	0.0342767	0.5338121	0.0716843	0.3083361	0.1629773	0.6113742	0.4401605	0.6508027	0.4830240	0.3262041	0.6340230	0.2161793	0.7250369	0.3934653	0.1190067	0.6216799	0.1729773	0.4390529	0.6063131	0.3342551	0.0569323	0.6635640	0.6839748	0.3823683	0.1801118	0.0033745	0.4332071	0.0003570	0.4873076	0.0111168	0.4754568	0.4909748	0.2924941	0.5012191	0.5274578	0.4443445	0.6286588	0.5825571	0.2880097	0.4962065	0.3473394	0.5776906	0.0005519	0.4555780	0.1250956	0.6854358	0.2671346	0.4522582	0.5944557	0.4561681	0.1912521	0.3895500	0.2914468	0.7049029	0.1174881	0.2245946	0.1569417	0.3199128	0.3711005	0.2732458	0.0016824	0.0673228	0.0735781	0.2164175	0.6360895	0.0541850	0.0280284	0.4264611	0.0078930	0.4878265	0.0617084	0.3960937
150	0.3700337	0.4302662	0.2444162	0.0525464	0.3504209	0.1330880	0.3477369	0.5611211	0.2480263	0.2905118	0.6921536	0.6292949	0.5466185	0.4068601	0.5778929	0.6525662	0.2080319	0.0000000	0.6557403	0.3298506	0.3976185	0.6026802	0.5528165	0.3035384	0.0151112	0.5021015	0.3263533	0.4936318	0.0427580	0.6137851	0.0704136	0.2161826	0.2589333	0.5039884	0.4685260	0.4344962	0.5335234	0.2518581	0.6893474	0.1987471	0.5650947	0.3730648	0.1868903	0.7075133	0.1005404	0.4542826	0.5759192	0.4049216	0.0203174	0.6189335	0.5808772	0.5523041	0.3342152	0.0058241	0.4243184	0.0098316	0.4625479	0.0096888	0.4792921	0.5136427	0.3294676	0.4661393	0.5321246	0.5460084	0.7750162	0.6235823	0.4508703	0.3879285	0.3214500	0.5840998	0.0015784	0.4055262	0.1232055	0.6728599	0.2960721	0.5265242	0.6223239	0.5113154	0.2089714	0.2563212	0.2669479	0.6355197	0.0863619	0.2180112	0.1974905	0.3179737	0.4659634	0.2347547	0.0097987	0.0506909	0.0873215	0.3016554	0.5778755	0.0343338	0.0146971	0.4006459	0.0096292	0.3507741	0.0750872	0.3874097
200	0.3495979	0.5331530	0.2089977	0.0990598	0.3549202	0.1095629	0.3421628	0.4515931	0.1932395	0.3428229	0.7238314	0.7722639	0.7655945	0.3569966	0.4924565	0.6566449	0.2122358	0.0001035	0.5617482	0.2805604	0.4263790	0.6392613	0.5867015	0.2773971	0.0107090	0.3582408	0.3097719	0.4305800	0.0410178	0.4204051	0.0824751	0.2443897	0.2130081	0.5333540	0.4375248	0.4118204	0.5797786	0.2625475	0.6478006	0.1617355	0.7386321	0.4008978	0.2094496	0.6984981	0.0490572	0.3868266	0.5977988	0.4929518	0.0122048	0.7541145	0.5932733	0.3987621	0.3154934	0.0104927	0.6066635	0.0009053	0.4909628	0.0038043	0.5084145	0.6250537	0.3266382	0.6455596	0.5156151	0.4829570	0.6684532	0.4595523	0.3852558	0.3226337	0.4961901	0.6139478	0.0000000	0.4845334	0.1454866	0.6643636	0.2821281	0.4751195	0.5953159	0.5108698	0.2714097	0.3453476	0.2119546	0.6379705	0.0848036	0.2091279	0.3199643	0.2701694	0.4293342	0.2694772	0.0283268	0.0600098	0.1394298	0.3094050	0.7034943	0.0068178	0.0092343	0.3205187	0.0151731	0.3971289	0.0805096	0.2548854
250	0.3438452	0.5839305	0.2349891	0.0877163	0.4640295	0.1143921	0.3495257	0.5419701	0.2027629	0.3847833	0.7259429	0.6843541	0.6546039	0.4087605	0.4243344	0.5499991	0.2167431	0.0008326	0.5920515	0.3188933	0.3195421	0.5084943	0.5365595	0.3253382	0.0150185	0.1573211	0.3722055	0.5165549	0.0632317	0.4999187	0.0428051	0.3214508	0.2321930	0.5028215	0.3476378	0.5638735	0.5397559	0.3167674	0.6527616	0.1704113	0.5608390	0.3632383	0.1506863	0.7372165	0.0381239	0.4196056	0.5637242	0.5172112	0.0045263	0.7147529	0.5801503	0.3910667	0.2483137	0.0108770	0.4894157	0.0002691	0.4341414	0.0355927	0.3491150	0.5088825	0.3406647	0.4979001	0.5264439	0.6375954	0.5707592	0.5275670	0.3403232	0.3461574	0.3554230	0.6066153	0.0001619	0.2792618	0.2060456	0.6651767	0.2730521	0.5171964	0.5568007	0.6291016	0.2441935	0.2967471	0.2714522	0.7566518	0.0628729	0.2694364	0.1877935	0.2154084	0.4147427	0.2632077	0.0083657	0.0780730	0.1660504	0.2953550	0.6065264	0.0098135	0.0403114	0.3821748	0.0034778	0.2436224	0.1091268	0.3656465
300	0.2618044	0.7022054	0.1743931	0.1085164	0.4490650	0.0609805	0.3382284	0.4850239	0.2181956	0.3586437	0.5993005	0.6578828	0.7165021	0.3111817	0.3860839	0.6622550	0.1766317	0.0029665	0.7071937	0.3495613	0.3374099	0.5832655	0.4896911	0.2801221	0.0088508	0.1333022	0.3600385	0.5553536	0.0995465	0.6261077	0.0949402	0.2968962	0.2141301	0.5087645	0.3218990	0.3747290	0.6312492	0.3198770	0.7960000	0.1862887	0.7212020	0.4210077	0.2392405	0.6389735	0.0412985	0.3409669	0.4901955	0.4810861	0.0078031	0.6492038	0.4674423	0.4170750	0.2386816	0.0134728	0.4525993	0.0001509	0.3722188	0.0048324	0.3453186	0.5322344	0.3772946	0.5840977	0.4995127	0.5687383	0.7895836	0.6162690	0.3395853	0.3775433	0.5010250	0.6080722	0.0001992	0.4674200	0.1624368	0.6406594	0.2458751	0.5040217	0.5965668	0.4506017	0.2193252	0.2384859	0.2228807	0.7144089	0.1087351	0.1698076	0.2791879	0.2402610	0.4048738	0.2082540	0.0360886	0.0629505	0.0755375	0.2515252	0.6314180	0.0008238	0.0066918	0.3907328	0.0008651	0.3519141	0.1633126	0.2753755
350	0.3803730	0.6430645	0.2688622	0.0978389	0.3296305	0.0974629	0.3620251	0.5997876	0.1476746	0.4046025	0.6902447	0.6588009	0.7685183	0.2386714	0.2935011	0.7249529	0.2219355	0.0000000	0.5969893	0.2553360	0.3757356	0.7291107	0.4674930	0.2851007	0.0150316	0.0773794	0.2920485	0.5997628	0.0609607	0.5267539	0.1228330	0.2222306	0.2685302	0.4487129	0.4443267	0.3894453	0.5598049	0.3947338	0.7406695	0.1805905	0.6211743	0.3702773	0.2647517	0.7460366	0.0228027	0.4071221	0.5980824	0.5582069	0.0034126	0.6216573	0.5663092	0.3935006	0.2018691	0.0235106	0.4889640	0.0004490	0.3148173	0.0027036	0.3586878	0.4757336	0.3287227	0.4754101	0.5168962	0.5054565	0.6931504	0.6883784	0.4109604	0.3298174	0.3420632	0.6120364	0.0000092	0.4886759	0.1337541	0.6363419	0.2528079	0.6769083	0.6271927	0.4606656	0.2190120	0.3051240	0.2202497	0.6624530	0.0892761	0.1807270	0.2311838	0.2710610	0.4352162	0.2868143	0.0433425	0.1110166	0.1283342	0.2561445	0.6490326	0.0059056	0.0497888	0.2997111	0.0022517	0.3802615	0.1249688	0.3139273
400	0.2733167	0.4882892	0.2945892	0.1659419	0.4456293	0.0859872	0.3258061	0.4936802	0.1600427	0.4001801	0.5467751	0.6076718	0.5794623	0.1784778	0.3867970	0.7031408	0.1666307	0.0002568	0.6152213	0.3055955	0.3302910	0.7186184	0.6297870	0.3360011	0.0175647	0.1021511	0.3669379	0.5741890	0.0255705	0.5147529	0.1189261	0.2320005	0.3091422	0.4283615	0.4737071	0.4553849	0.5454491	0.3418287	0.7523935	0.2338787	0.7197183	0.3621965	0.2050837	0.7635936	0.0265312	0.3161789	0.4527642	0.4586576	0.0054802	0.6114313	0.4944522	0.4079044	0.1387617	0.0584895	0.5038717	0.0000000	0.4114370	0.0392313	0.3089077	0.4164767	0.3103875	0.5500887	0.5009241	0.5403815	0.6952710	0.7014769	0.3440650	0.3887095	0.3342741	0.7196291	0.0022883	0.2729665	0.1429017	0.7026278	0.1930556	0.4435197	0.5570455	0.3492129	0.2279805	0.2983747	0.2797348	0.6245188	0.1004928	0.1970027	0.2013331	0.2197435	0.4592238	0.2146975	0.0189086	0.0689687	0.1646081	0.2450046	0.5676047	0.0000000	0.0368507	0.3817886	0.0012682	0.3703406	0.0613369	0.2422926
450	0.2388222	0.6178927	0.2563026	0.0904892	0.2921899	0.1050550	0.3292189	0.4942189	0.2879331	0.4179418	0.5940298	0.6769527	0.7189314	0.2590661	0.3106016	0.9055217	0.1663471	0.0003013	0.6257692	0.3405768	0.3530409	0.6709866	0.5474911	0.3343557	0.0191528	0.0962670	0.2893691	0.5314867	0.0800993	0.4405635	0.0968403	0.2277450	0.3130840	0.6142368	0.4035420	0.4504942	0.6573895	0.2382409	0.6622866	0.1490351	0.6678516	0.4072484	0.1941919	0.7113547	0.0195364	0.1863691	0.5188508	0.4100761	0.0040999	0.6933897	0.5734873	0.5970027	0.1770940	0.0142962	0.4910045	0.0078421	0.5099846	0.0095522	0.3091056	0.5521139	0.2909506	0.6313440	0.5327606	0.6031765	0.7678373	0.6414440	0.4280466	0.3654839	0.3661904	0.5510012	0.0000285	0.2532478	0.1379853	0.7286481	0.1591970	0.5711584	0.5915650	0.4209956	0.2091348	0.2536702	0.3174519	0.6786334	0.0764499	0.2231217	0.2368017	0.2884975	0.4587513	0.2209633	0.0465502	0.0629367	0.1205988	0.2723759	0.5126834	0.0004642	0.0760155	0.4040443	0.0005999	0.3741603	0.0945665	0.2987826
500	0.1777688	0.5966576	0.2402540	0.1621856	0.3955470	0.1004498	0.3497663	0.5391903	0.1745155	0.3618342	0.5512540	0.6545446	0.8573450	0.3090094	0.3643884	0.6891035	0.1715332	0.0032886	0.6070327	0.3596559	0.3181256	0.7073425	0.5340794	0.3522138	0.0081938	0.1306056	0.3734366	0.4506216	0.1423600	0.5771296	0.1174698	0.2883094	0.2962450	0.4600738	0.3290189	0.4011228	0.5862084	0.2988816	0.6831863	0.1570295	0.7489024	0.4754931	0.1579196	0.5834001	0.0114182	0.1790707	0.5502970	0.4819931	0.0171218	0.6363712	0.5516696	0.5557516	0.2956258	0.0070787	0.4705640	0.0003261	0.4746575	0.0157853	0.4329310	0.5828730	0.3313194	0.5839548	0.5583376	0.5107903	0.6850060	0.6155356	0.5177489	0.3641735	0.3720950	0.5872285	0.0001413	0.2752316	0.1766938	0.6638452	0.1505528	0.3709598	0.6764601	0.4198698	0.1675690	0.2700702	0.3194120	0.6532066	0.1221462	0.1967863	0.1826047	0.3004380	0.6336968	0.2859735	0.0367481	0.0815565	0.1053115	0.2819940	0.5928304	0.0012117	0.0429981	0.4367648	0.0002146	0.4470146	0.0998872	0.2881858
