Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G56A	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.5397336	0.9467448	0.1906858	0.8428348	0.7595327	0.4224657	0.2408146	0.6629690	0.4585974	0.8154533	0.9774046	0.9465749	0.9965513	0.3275088	0.7347147	0.9999999	0.4983179	0.6578347	0.5055541	0.0353640	0.1088043	0.4972842	0.9826681	0.8320929	0.4759484	0.4747583	0.3884045	0.4602472	0.9981427	0.5705064	0.9893237	0.1470066	0.4467332	0.6557994	0.8273147	0.8383156	0.3586234	0.6743235	0.5933413	0.3287399	0.2515140	0.9304903	0.8527582	0.9966699	0.2826489	0.6469669	1.0000000	1.0000000	0.7360342	0.6120760	0.8229235	0.6119651	0.0004548	0.3495132	0.0481514	0.0239101	0.0471332	0.9548913	0.3737138	0.2212758	0.7382891	0.5114110	0.6952903	0.0000093	0.9087283	0.5264785	0.9741975	0.1864589	0.9999435	0.0278733	0.1971017	0.2572211	0.5371824	0.9999737	0.3867123	0.4539156	0.8871617	0.0024690	0.1465011	0.9888026	0.9424355	0.7597177	0.3071825	0.2463935	0.7297754	1.0000000	0.4468572	0.6945602	0.4137638	0.3751522	0.5726970	0.0165935	0.6778466	0.5021919	0.9794365	0.2310554	0.8204540	0.7862408	0.0542196	0.1776234
50	0.6109836	0.9467390	0.1657355	0.8473059	0.7459997	0.4227197	0.2410478	0.6629518	0.4586137	0.8154526	0.9774136	0.8027038	0.9965434	0.3256743	0.7700762	0.9999998	0.5490747	0.6578320	0.5054361	0.1307077	0.1087900	0.4942391	0.9826424	0.8215951	0.3891454	0.6033777	0.3881834	0.4602469	0.9981399	0.5640859	0.7471719	0.1480678	0.4467225	0.6555611	0.8284817	0.5565070	0.3601859	0.7508739	0.5596316	0.3271275	0.1612852	0.9107684	0.8569465	0.8353672	0.2859990	0.6469680	1.0000000	0.7263488	0.7360414	0.6120744	0.8187147	0.6142417	0.0004479	0.3546625	0.1247460	0.0237359	0.0346093	0.9537884	0.3759631	0.2212957	0.7605749	0.5113982	0.6811791	0.0000091	0.9099765	0.5265483	0.9742370	0.1864591	0.9999320	0.0278995	0.1422467	0.3025389	0.5371668	0.9032483	0.3856277	0.4517252	0.8884151	0.0175752	0.1673252	0.9831404	0.9423311	0.7596799	0.3028743	0.1988301	0.7288036	0.8342154	0.5251685	0.7089780	0.3870221	0.3447920	0.5727374	0.2368749	0.8054937	0.5022026	0.9794286	0.2489741	0.8201949	0.7400112	0.0392097	0.1808108
100	0.6722945	0.9472565	0.1488907	0.8683740	0.6834474	0.4230493	0.2423909	0.6629339	0.4587113	0.8154713	0.9775768	0.6488506	0.9962208	0.3190472	0.7929111	0.9999991	0.6038968	0.6579048	0.5042745	0.2430821	0.1093614	0.4925786	0.9820792	0.7668252	0.3235463	0.7348466	0.3882787	0.4602498	0.9980511	0.5180684	0.4690755	0.1456767	0.4466696	0.6498839	0.8512610	0.3953192	0.3672914	0.8020065	0.4266991	0.3184136	0.1233224	0.8103936	0.8347508	0.6585738	0.3089747	0.6469694	1.0000000	0.4727300	0.7360508	0.6120712	0.7859008	0.6258910	0.0004230	0.3874813	0.2043961	0.0228454	0.0205876	0.9490605	0.3779325	0.2205563	0.7809921	0.5114921	0.6596093	0.0000082	0.9173523	0.5276915	0.9743669	0.1866628	0.9997727	0.0287089	0.0835546	0.3794183	0.5371021	0.8012935	0.3808577	0.4437889	0.8825246	0.0336407	0.3209338	0.9773549	0.9399032	0.7584691	0.2932254	0.1391644	0.7211091	0.6565397	0.5851588	0.7541536	0.2808780	0.3030083	0.5730141	0.4200198	0.8565634	0.5022361	0.9793519	0.3274309	0.8191517	0.6705239	0.0253467	0.2281210
150	0.7008858	0.9485067	0.1452294	0.8930857	0.6079964	0.4196835	0.2339371	0.6628955	0.4587311	0.8155961	0.9779922	0.5654194	0.9950424	0.3164192	0.7916826	0.9999982	0.6333349	0.6583237	0.5015303	0.3095215	0.1125429	0.4955909	0.9801025	0.6965789	0.3109758	0.8133992	0.3942100	0.4602867	0.9975455	0.4319491	0.3095733	0.1256948	0.4466679	0.6293355	0.8984966	0.3645950	0.3758126	0.8551752	0.3557565	0.3063605	0.1216915	0.7039309	0.7838075	0.5627414	0.3381674	0.6469725	1.0000000	0.3562264	0.7360715	0.6120457	0.7164508	0.6420386	0.0004010	0.4459455	0.2425343	0.0216410	0.0126668	0.9447787	0.3618306	0.2184640	0.7898918	0.5111227	0.6431430	0.0000072	0.9296581	0.5306488	0.9738799	0.1869369	0.9990788	0.0321232	0.0542766	0.4661603	0.5367927	0.7484415	0.3753472	0.4354311	0.8136442	0.0421259	0.5264166	0.9744237	0.9325903	0.7529283	0.2926381	0.0994053	0.7047055	0.5607072	0.5962520	0.8036634	0.2184066	0.2664957	0.5730015	0.4943188	0.8598674	0.5022657	0.9790907	0.4445687	0.8183942	0.6104740	0.0188600	0.3255612
200	0.7131913	0.9494260	0.1445106	0.9116826	0.5485596	0.4101991	0.2090119	0.6629169	0.4578419	0.8158924	0.9785014	0.5259524	0.9931237	0.3200269	0.7848503	0.9999981	0.6466129	0.6593513	0.4976531	0.3422741	0.1182858	0.5002261	0.9767770	0.6407286	0.3184958	0.8596449	0.4100873	0.4604686	0.9958401	0.3391568	0.2341544	0.1010638	0.4472699	0.5979679	0.9339822	0.3657015	0.3848818	0.8926962	0.4151432	0.2962530	0.1295868	0.6641900	0.7289513	0.5199286	0.3604433	0.6469682	1.0000000	0.3108877	0.7360409	0.6119328	0.6415229	0.6584117	0.0003772	0.5106038	0.2545248	0.0205699	0.0089810	0.9429714	0.3279294	0.2185105	0.7987547	0.5061705	0.6335443	0.0000065	0.9425976	0.5320694	0.9719349	0.1829847	0.9976070	0.0386676	0.0450677	0.5453437	0.5360761	0.7257849	0.3707209	0.4213762	0.6766630	0.0457758	0.6581074	0.9732700	0.9215706	0.7408840	0.2978656	0.0782979	0.6915022	0.5170046	0.5836756	0.8375108	0.2201235	0.2393884	0.5702054	0.5176148	0.8571365	0.5022895	0.9786412	0.5365039	0.8188347	0.5647157	0.0164727	0.3987404
250	0.7184139	0.9492140	0.1436472	0.9242365	0.5080674	0.3964624	0.1846013	0.6633001	0.4551962	0.8163122	0.9789594	0.5075194	0.9910544	0.3260429	0.7798154	0.9999986	0.6523486	0.6610145	0.4932178	0.3571794	0.1241729	0.5019866	0.9729582	0.6043175	0.3288444	0.8860740	0.4337762	0.4610836	0.9912092	0.2651069	0.2021039	0.0858124	0.4491384	0.5664340	0.9322850	0.3694497	0.3917888	0.8619418	0.5698910	0.2896683	0.1343663	0.6699662	0.6873986	0.5025672	0.3740752	0.6469242	1.0000000	0.2943821	0.7357451	0.6115823	0.5916659	0.6733631	0.0003488	0.5687065	0.2551358	0.0197370	0.0074298	0.9423912	0.2891542	0.2238534	0.8103983	0.4923449	0.6290491	0.0000058	0.9536284	0.5283654	0.9686973	0.1725141	0.9957309	0.0470361	0.0447411	0.6002314	0.5352692	0.7169047	0.3691388	0.4006072	0.5597035	0.0469496	0.7335811	0.9730737	0.9097186	0.7234661	0.3025055	0.0688792	0.6859685	0.4984146	0.5686750	0.8555855	0.2488035	0.2318412	0.5619761	0.5208494	0.8542562	0.5023246	0.9780706	0.5862779	0.8200984	0.5371365	0.0163243	0.4205728
300	0.7205121	0.9480426	0.1428421	0.9327135	0.4816560	0.3825329	0.1722492	0.6644308	0.4507455	0.8167608	0.9793302	0.4986141	0.9893340	0.3313812	0.7769950	0.9999989	0.6550435	0.6631653	0.4884272	0.3637179	0.1281085	0.4989568	0.9695081	0.5828032	0.3368313	0.9001507	0.4587496	0.4627671	0.9809123	0.2157328	0.1895191	0.0790292	0.4524332	0.5413832	0.8765894	0.3717869	0.3895850	0.7257139	0.7085439	0.2859612	0.1350179	0.6833909	0.6619104	0.4959235	0.3815584	0.6468012	1.0000000	0.2885603	0.7349179	0.6106949	0.5708197	0.6844321	0.0003324	0.6166037	0.2524113	0.0191227	0.0068280	0.9415762	0.2554927	0.2327939	0.8213090	0.4726577	0.6272160	0.0000048	0.9620199	0.5203975	0.9650475	0.1607710	0.9939929	0.0552816	0.0468527	0.6225223	0.5348504	0.7135972	0.3742285	0.3814185	0.4929703	0.0466544	0.7795623	0.9733747	0.8997821	0.7041653	0.3037549	0.0654067	0.6851101	0.4907728	0.5655960	0.8642340	0.2739989	0.2373732	0.5480398	0.5176447	0.8469387	0.5023704	0.9774849	0.6136098	0.8209765	0.5265644	0.0175107	0.4072433
350	0.7211801	0.9465155	0.1424515	0.9383865	0.4646384	0.3715185	0.1697456	0.6664875	0.4453320	0.8171738	0.9796337	0.4941199	0.9881338	0.3350928	0.7754291	0.9999990	0.6566550	0.6656459	0.4832968	0.3665467	0.1294665	0.4923283	0.9668687	0.5708123	0.3419017	0.9071404	0.4787600	0.4665781	0.9631576	0.1862889	0.1849333	0.0765821	0.4566605	0.5241767	0.7876049	0.3732022	0.3700541	0.5794600	0.7869802	0.2840006	0.1340815	0.6898570	0.6482818	0.4934754	0.3854377	0.6465859	1.0000000	0.2865398	0.7334430	0.6088764	0.5680821	0.6882237	0.0003531	0.6538979	0.2495727	0.0186779	0.0066261	0.9398111	0.2303157	0.2427440	0.8293026	0.4555354	0.6262787	0.0000042	0.9678368	0.5117678	0.9617826	0.1531943	0.9926545	0.0621169	0.0497861	0.6134071	0.5349816	0.7124052	0.3890125	0.3704505	0.4603247	0.0456267	0.8072425	0.9738536	0.8929638	0.6864684	0.3017154	0.0644857	0.6866023	0.4876880	0.5847257	0.8676892	0.2859543	0.2450588	0.5309598	0.5143770	0.8308950	0.5024115	0.9770179	0.6282053	0.8205038	0.5261872	0.0193614	0.3819118
400	0.7212093	0.9451136	0.1424060	0.9420363	0.4538772	0.3644201	0.1717060	0.6692792	0.4401310	0.8175316	0.9798945	0.4917432	0.9873915	0.3373836	0.7744525	0.9999991	0.6579443	0.6683470	0.4779812	0.3677523	0.1287647	0.4846003	0.9650786	0.5643986	0.3447789	0.9104756	0.4909163	0.4735778	0.9399037	0.1699334	0.1834089	0.0759184	0.4610199	0.5134404	0.7055155	0.3741056	0.3354833	0.4869958	0.8227593	0.2829270	0.1330894	0.6900645	0.6416479	0.4925964	0.3873682	0.6463040	1.0000000	0.2858444	0.7314511	0.6060276	0.5716424	0.6834854	0.0004158	0.6807898	0.2474880	0.0183587	0.0065906	0.9373151	0.2130801	0.2528576	0.8343051	0.4459518	0.6254023	0.0000042	0.9715645	0.5049973	0.9592946	0.1511139	0.9917191	0.0672127	0.0528280	0.5895086	0.5354141	0.7119875	0.4102659	0.3653627	0.4445016	0.0447203	0.8224388	0.9742882	0.8890388	0.6723477	0.2983579	0.0644477	0.6888358	0.4864552	0.6223118	0.8684663	0.2858209	0.2508164	0.5140896	0.5124842	0.8084869	0.5024390	0.9767400	0.6353315	0.8185364	0.5292695	0.0212743	0.3587240
