name,__glayCluster
ptsg,3
puua,24
puub,24
puuc,24
puud,24
puue,24
puup,24
rhat,1
rplb,24
rplc,24
rpld,24
rplp,24
rplv,24
rplw,24
rpmc,24
rpos,5
rpsc,24
rpsj,24
rpsq,24
rpss,24
sdha,24
sdhb,24
sdhc,24
sdhd,24
soda,0
ssb,14
suca,24
sucb,24
succ,24
sucd,24
tpx,24
treb,15
trec,15
ubia,24
ubic,24
uvra,14
ybdn,24
ydea,24
argo,25
dapb,25
dapd,25
dnan,25
gdha,26
lysa,25
lysc,25
lysp,25
nrda,25
nrdb,25
recf,25
yfae,25
argr,26
arga,26
argb,26
argc,26
argd,15
arge,26
argf,26
argg,26
argh,26
argi,26
arti,26
artj,26
artm,26
artp,26
artq,26
asta,26
astb,26
astc,26
astd,26
aste,26
cara,26
carb,26
hisj,26
hism,26
hisp,26
hisq,26
infb,26
mety,3
nusa,3
pnp,3
rbfa,3
rpso,3
trub,26
arsr,27
arsb,27
arsc,27
ascb,1
ascf,1
htpg,1
ybit,1
asna,26
mioc,26
atoc,28
atoa,28
atob,28
atod,28
atoe,28
acrd,29
baes,29
mdta,29
mdtb,29
mdtc,29
mdtd,29
spy,29
csge,30
csgf,30
csgg,30
cspi,30
dgka,30
fimb,3
hha,30
qsec,30
yrbl,30
bira,31
bioa,31
biob,31
bioc,31
biod,31
biof,31
ampc,30
dacc,30
aaea,1
aaeb,1
aaer,1
aaex,1
acs,3
actp,3
aer,1
agp,1
aldb,3
ampd,1
ampe,1
ansb,3
aroa,11
aspa,8
bglb,11
bglf,11
bglg,11
cdd,2
chba,13
chbb,13
chbc,13
chbf,13
chbg,13
cira,1
cpdb,1
crr,13
csie,1
cspd,1
cspe,1
csta,1
cyaa,1
cysg,8
dada,11
dadx,11
dcua,8
dcub,8
deoa,2
deob,2
deoc,2
deod,2
dksa,1
dsda,1
dsdx,1
dusb,3
ebga,1
ebgc,1
enta,5
entb,5
entc,5
entd,5
ente,5
envz,1
epd,1
exut,6
fbaa,1
feab,26
feca,5
fecb,5
fecc,5
fecd,5
fece,5
fepa,5
fiu,5
fixa,24
fixb,24
fixc,24
fixx,24
focb,12
fuca,1
fuci,1
fuck,1
fuco,1
fucp,1
fucu,1
gabd,26
gabp,26
gabt,26
gale,10
galk,10
galm,10
galp,10
galt,10
gapa,1
gcd,1
gcvh,25
gcvp,25
gcvt,25
glga,15
glgc,15
glgp,15
glgs,1
glna,3
glnl,3
glpe,1
glpf,1
glpg,1
glpk,1
glpq,1
glpt,1
glpx,1
gntk,4
gntp,6
gntt,4
gntu,4
gntx,4
gpsa,1
grpe,1
guaa,25
guab,25
gutq,1
gyra,3
hflc,1
hflk,1
hflx,1
hfq,1
hlye,3
hofb,1
hofc,1
hpt,1
hyfa,12
hyfb,12
hyfc,12
hyfd,12
hyfe,12
hyff,12
hyfg,12
hyfh,12
hyfi,12
hyfj,12
idnd,4
idnk,4
idno,4
idnt,4
ilvb,1
ilvn,1
ivbl,1
laca,1
lacy,1
lacz,1
lamb,13
lsra,1
lsrb,1
lsrc,1
lsrd,1
lsrf,1
lsrg,1
lsrk,1
male,13
malf,13
malg,13
malk,13
malm,13
mals,13
malx,1
maly,1
mana,1
manx,13
many,13
manz,13
mdte,18
mdtf,18
mela,1
melb,1
metk,15
mgla,10
mglb,10
mglc,10
mhpa,1
mhpb,1
mhpc,1
mhpd,1
mhpe,1
mhpf,1
moda,12
modb,12
modc,12
mpl,1
mtla,3
mtld,3
murp,1
nadc,1
naga,15
nagb,13
nage,13
nana,3
nane,3
nank,3
nant,3
narq,1
nirb,8
nirc,8
nird,8
nlpe,1
nmpc,0
nupc,2
nupg,2
ompa,1
ompf,30
osmy,11
paaa,1
paab,1
paac,1
paad,1
paae,1
paaf,1
paag,1
paah,1
paai,1
paaj,1
paak,1
pck,1
pgk,1
pncb,39
ppdd,1
ppia,2
prib,1
prop,3
prpb,1
prpc,1
prpd,1
prpe,1
ptsh,13
ptsi,13
putp,30
rbsa,15
rbsb,15
rbsc,15
rbsd,15
rbsk,15
rela,9
rhaa,1
rhab,1
rhad,1
rmf,1
rof,1
rpli,1
rplm,3
rpoh,2
rpsf,1
rpsi,3
rpsr,1
sbmc,14
secb,1
sera,26
serc,11
sfsa,1
sgbe,1
sgbh,1
sgbu,1
sodb,1
sohb,1
spec,1
spf,1
srla,1
srlb,1
srld,1
srle,1
tam,1
tdcb,17
tdcc,17
tdcd,17
tdce,17
tdcf,17
tdcg,17
tnaa,18
tnab,18
tnac,18
trg,3
trxa,1
tsx,2
ubig,1
udp,2
ugpa,19
ugpb,19
ugpc,19
ugpe,19
ugpq,19
uhpt,13
uida,6
uidb,6
uidc,6
ulaa,1
ulab,1
ulac,1
ulad,1
ulae,1
ulaf,1
uxaa,6
uxab,6
uxac,6
uxua,6
uxub,6
xsea,1
xylf,23
xylg,23
xylh,23
yaep,1
yaeq,1
ybfn,13
ycdz,2
ychh,1
yeip,1
yeiw,1
yhch,3
yhfa,1
yiak,1
yial,1
yiam,1
yian,1
yiao,1
yjch,3
yjiy,1
ynfk,1
zras,1
ssua,7
ssub,7
ssuc,7
ssud,7
ssue,7
taua,7
taub,7
tauc,7
taud,7
cdar,5
gard,5
gark,5
garl,5
garp,5
garr,5
gudd,5
gudp,5
gudx,5
rnpb,5
arog,43
baca,29
chea,29
chew,29
cpxa,29
cpxp,29
csga,30
csgb,30
csgc,30
degp,29
dsba,29
dsbc,29
fabz,29
lpxa,29
lpxd,29
mota,29
motb,29
ompc,30
ppid,29
psd,29
rpoe,29
rpra,29
rsea,29
rseb,29
rsec,29
sbma,29
slt,29
tsr,29
ung,29
yaiw,29
ycca,29
yebe,29
ygau,29
yidq,29
yqae,29
yqja,29
cred,13
tala,13
flgm,30
flgn,30
flia,30
flie,30
flif,30
flig,30
flih,30
flii,30
flij,30
flik,30
nlpa,30
pepd,30
wrba,30
yccj,30
ycct,30
yhbs,30
yhbt,30
csir,26
cuer,12
copa,12
cueo,12
moaa,12
moab,12
moac,12
moad,12
moae,12
cusa,19
cusb,19
cusc,19
cusf,19
cuss,19
yedx,19
cynr,32
cyns,32
cynt,32
cynx,32
cysa,7
cysc,7
cysd,7
cysh,7
cysi,7
cysj,7
cysk,7
cysm,7
cysn,7
cysp,7
cysu,7
cysw,7
hslj,7
yciw,7
yfbr,7
ygeh,7
yoac,7
frda,8
frdb,8
frdc,8
frdd,8
deor,2
dhar,33
dhak,33
dhal,33
dica,34
dicb,34
dicc,34
intq,34
ydfd,34
ydfe,34
ydfw,34
ydfx,34
pola,25
dsdc,1
ebgr,1
envr,0
envy,30
emrk,29
emry,29
evgs,29
frc,29
oxc,29
ydep,13
yegr,29
yfde,29
yfdv,29
yfdx,29
acre,24
acrf,24
adhe,11
amtb,5
aspc,5
bcsb,24
bcsz,24
ccma,12
ccmb,12
ccmc,12
ccmd,12
ccme,12
ccmf,12
ccmg,12
ccmh,12
cheb,24
cher,24
chey,24
chez,24
dcus,8
dmsa,8
dmsb,12
dmsc,8
dmsd,8
dppa,24
dppb,24
dppc,24
dppd,24
dppf,24
entf,5
fdhf,8
fdng,8
fdnh,8
fdni,8
feoa,13
feob,13
fepe,5
fes,5
glnd,5
glnk,5
gnd,5
hcp,5
hcr,5
hmp,15
hypb,12
hypc,12
hypd,12
hype,12
katg,5
malp,13
malq,13
napa,5
napb,5
napc,5
napd,5
napf,5
napg,5
naph,5
narg,30
narh,30
nari,30
narj,30
nark,8
narx,12
nika,8
nikb,8
nikc,8
nikd,8
nike,8
norv,8
norw,8
nrdd,24
nrdg,24
nrfa,8
nrfb,8
nrfc,8
nrfd,8
nrfe,8
nrff,8
nrfg,8
ompw,24
ompx,24
pept,24
phem,24
phou,19
pita,24
psta,19
pstb,19
pstc,19
psts,19
purm,25
purn,25
rimm,24
rpls,24
rplt,24
rpsp,24
tap,24
tar,24
trmd,24
upp,24
uraa,24
xdha,24
xdhb,24
xdhc,24
ybdz,5
ydej,24
ydht,8
ydhu,8
ydhv,8
ydhw,8
ydhx,8
ydhy,8
yecr,24
ygba,24
yhja,5
ynfe,8
ynff,8
ynfg,8
ynfh,8
ysga,24
ytfe,8
zwf,0
fabr,9
faba,9
fabb,9
acca,9
accd,9
fabd,9
fabg,9
fabh,9
fabi,9
uspa,9
tyna,26
hyca,12
hycb,12
hycc,12
hycd,12
hyce,12
hycf,12
hycg,12
hych,12
hyci,12
hydn,12
hypa,12
hypf,12
apag,3
apah,3
argu,3
argw,3
argx,3
cbpa,3
cbpm,3
dps,5
flxa,3
glnq,3
gltx,3
glyt,3
glyu,3
gyrb,3
hisr,3
kate,5
leup,3
leuw,3
leux,3
mazg,3
msra,3
ogt,8
osme,3
pdxa,3
prok,3
prol,3
prom,3
pyrd,25
quea,3
rrfa,11
rrla,11
rrsc,11
rrsg,11
rrsh,11
sert,3
sra,3
ssrs,11
thrt,3
thru,3
thrv,11
thrw,3
topa,3
trma,3
tyru,3
year,8
yoag,8
hdea,18
hdeb,18
yhid,18
crl,5
exbb,5
exbd,5
feci,5
fecr,5
fepb,5
fepc,5
fepd,5
fepg,5
fhua,5
fhub,5
fhuc,5
fhud,5
fhue,5
fhuf,5
gpma,5
gspc,5
gspd,5
gspe,5
gspf,5
gspg,5
gsph,5
gspi,5
gspj,5
gspk,5
gspl,5
gspm,5
gspo,5
meth,15
mnth,5
nrde,5
nrdf,5
nrdh,5
nrdi,5
pyrc,25
ryhb,5
sufa,5
sufb,5
sufc,5
sufd,5
sufe,5
sufs,5
tonb,5
ygac,5
yhhy,5
yjjz,5
yqjh,5
flic,18
hded,18
pura,25
gady,18
slp,18
asnb,18
btub,18
lon,18
muri,18
uspe,18
ybas,18
ybat,18
gcva,25
gcvb,25
eda,4
edd,4
hcar,35
hcab,35
hcac,35
hcad,35
hcae,35
hcaf,35
ilvy,36
ilvc,36
iscr,5
isca,5
iscs,5
iscu,5
ydiu,5
kdgr,4
kdpe,37
kdpa,37
kdpb,37
kdpc,37
kdpf,37
dsra,11
leua,11
leub,11
leuc,11
leud,11
leul,11
ddlb,14
dinb,14
dind,14
dinf,14
ding,14
dini,13
dnag,14
ftsa,14
ftsi,14
ftsk,14
ftsl,14
ftsq,14
ftsw,14
ftsz,14
hoke,14
insk,14
lpxc,14
mray,14
murc,14
murd,14
mure,14
murf,14
murg,14
phr,14
polb,14
reca,14
recb,14
recd,14
recn,14
recx,14
rpod,14
rpsu,14
ruva,14
ruvb,14
sula,14
umuc,14
umud,14
uvrb,14
uvrc,14
uvrd,14
yafn,14
yafo,14
yafp,14
ybfe,14
ydjm,14
yebg,14
fime,11
avta,11
fima,11
fimc,11
fimd,11
fimf,11
fimg,11
fimh,11
fimi,11
ilva,11
ilvd,11
ilve,11
ilvh,11
ilvi,11
ilvl,11
ilvm,11
kbl,11
livf,11
livg,11
livh,11
livj,11
livk,11
livm,11
lysu,11
osmc,11
sdaa,11
tdh,11
yoji,11
lysr,25
malz,13
fpr,0
inaa,0
nfo,0
nfsa,0
poxb,0
pqia,0
pqib,0
rimk,0
tolc,0
ybao,0
ybjc,0
ybjn,0
ygib,0
ygic,0
ynce,0
ahpc,15
ahpf,15
fole,15
meta,15
metb,15
metc,15
mete,15
metf,15
meti,15
metl,15
metn,15
metq,15
yeib,15
glya,15
rplu,30
rpma,30
mngr,38
mnga,38
mngb,38
mntr,5
ryba,5
mpra,0
emra,0
emrb,0
coda,25
codb,25
ydcs,26
ydct,26
ydcu,26
ydcv,26
nadr,39
nada,39
nadb,39
pnuc,39
crea,13
crec,13
glms,13
glmu,13
nanr,3
yjhb,3
yjhc,3
tora,18
torc,18
tord,18
narp,8
nhar,11
nhaa,11
norr,8
ecnb,30
dsbg,5
flu,5
gor,5
grxa,5
hemh,5
isrc,5
oxys,5
trxc,5
ychf,5
paax,1
paay,1
heml,15
pepa,26
adic,19
amn,19
asr,30
mipa,19
phnc,19
phnd,19
phnf,19
phng,19
phnh,19
phni,19
phnj,19
phnk,19
phnl,19
phnm,19
phnn,19
phno,19
phnp,19
phoa,19
phoe,19
phoh,19
phoq,15
phor,19
pitb,19
psif,19
sbcc,19
sbcd,19
tktb,19
yegh,19
yhjc,19
bord,15
dcud,15
glgb,15
glgx,15
mgta,15
ompt,15
purd,15
purh,15
rstb,15
slyb,15
ybjg,15
pspf,40
pspa,40
pspb,40
pspc,40
pspd,40
pspe,40
cvpa,25
glnb,25
hfld,25
purb,25
purc,25
pure,25
purf,25
purk,25
purl,25
spea,25
speb,25
ubix,25
add,15
bdm,18
lola,18
osmb,18
rara,18
hokd,16
aslb,0
rtcr,41
rtca,41
rtcb,41
ydiv,14
sgrr,42
seta,42
sgrs,42
tbpa,42
thip,42
thiq,42
slya,3
flda,0
fldb,0
ompn,0
pgi,0
riba,0
ydbk,0
trpr,43
aroh,43
arol,43
arom,43
mtr,43
trpa,43
trpb,43
trpc,43
trpd,43
trpe,43
trpl,43
yaia,43
tyrr,43
arof,43
arop,43
fola,43
tyra,43
tyrb,43
tyrp,43
uhpa,13
uidr,6
ular,1
ulag,1
xapr,44
xapa,44
xapb,44
yiis,8
yeht,1
ybhl,30
yfib,30
yfir,30
ypdb,45
yhjx,45
yqhc,46
dkga,46
yqhd,46
zntr,47
znta,47
zrap,1
zur,48
ykgm,48
ykgo,48
znua,48
znub,48
znuc,48
