name,__glayCluster
acrr,0
mara,0
marr,0
soxr,0
soxs,0
ada,11
aidb,11
adiy,18
gadx,18
arca,24
beti,24
fnr,24
gade,18
lldr,24
puur,24
xylr,23
argp,25
dnaa,25
ascg,1
prpr,1
basr,30
csgd,30
puta,30
qseb,30
crp,1
arac,23
caif,24
chbr,13
cytr,2
dcur,8
fear,26
fis,3
flhc,30
flhd,30
fucr,1
fur,5
gals,10
glcc,14
glng,3
glpr,1
gutm,1
hupa,3
hupb,3
hyfr,12
idnr,4
laci,1
lsrr,1
mali,1
malt,13
melr,1
mhpr,1
mtlr,3
nagc,13
ompr,30
oxyr,5
pdhr,14
rbsr,15
rhar,1
rhas,1
srlr,1
tdca,17
uxur,6
yiaj,1
zrar,1
cpxr,29
baer,29
fliz,30
cspa,3
hns,3
cysb,7
cbl,7
evga,29
ydeo,8
exur,6
cadc,11
fhla,12
gadw,18
nac,26
narl,8
nikr,8
yeil,11
yqji,5
fadr,9
accb,9
iclr,9
mlra,30
metj,15
purr,25
lrp,11
rcsa,18
galr,10
gntr,4
hdfr,26
hipb,9
hipa,9
leuo,11
bglj,11
yjjq,30
lexa,14
dinj,14
uvry,13
yafq,14
lrha,30
stpa,11
rob,0
metr,15
mode,12
asnc,26
creb,13
bola,30
mraz,14
phob,19
cusr,19
ydfh,19
phop,15
rsta,30
trer,15
rcsb,18
relb,16
rele,16
sdia,14
tdcr,17
torr,18
yedw,19
yefm,20
yoeb,20
accc,9
acra,0
acrb,0
marb,0
micf,0
alka,11
alkb,11
adia,18
gada,18
gadb,18
gadc,18
gltb,26
gltd,26
gltf,26
agar,21
agaa,21
agab,21
agac,21
agad,21
agai,21
agas,21
agav,21
agaw,21
kbay,21
kbaz,21
allr,22
alla,22
allb,22
gcl,22
glxk,22
glxr,22
hyi,22
ybbw,22
ybby,22
appy,8
appa,8
appb,8
appc,8
hyaa,8
hyab,8
hyac,8
hyad,8
hyae,8
hyaf,8
araa,23
arab,23
arad,23
arae,23
araf,23
arag,23
arah,23
araj,23
xyla,23
xylb,23
ydem,13
yden,23
ygea,23
acea,9
aceb,9
acee,24
acef,24
acek,9
acka,24
acna,0
acnb,1
alda,24
beta,24
betb,24
bett,24
cada,11
cadb,11
caia,24
caib,24
caic,24
caid,24
caie,24
cait,24
citc,24
citd,24
cite,24
citf,24
citg,24
citx,24
cyda,24
cydb,24
cydc,24
cydd,24
cyoa,19
cyob,19
cyoc,19
cyod,19
cyoe,19
dcta,8
dcuc,24
fada,9
fadb,9
fadd,9
fade,9
fadh,9
fadl,9
foca,24
fuma,24
fumb,8
fumc,0
gata,1
gatb,1
gatc,1
gatd,1
gaty,1
gatz,1
glcb,14
glcd,14
glcf,14
glcg,14
glpa,24
glpb,24
glpc,24
glpd,1
glta,1
hema,24
hyba,8
hybb,8
hybc,8
hybd,8
hybe,8
hybf,8
hybg,8
hybo,8
icd,24
lldd,24
lldp,24
lpd,24
mdh,1
moea,24
moeb,24
ndh,24
nuoa,24
nuob,24
nuoc,24
nuoe,24
nuof,24
nuog,24
nuoh,24
nuoi,24
nuoj,24
nuok,24
nuol,24
nuom,24
nuon,24
oppa,11
oppb,11
oppc,12
oppd,12
oppf,11
pflb,24
prfa,24
prmc,24
