acrr	mara	-	[BPP, GEA, HIBSCS]	Strong	
acrr	marr	-	[BPP, GEA, HIBSCS]	Strong	
acrr	soxr	-	[BPP, GEA, HIBSCS]	Strong	
acrr	soxs	-	[BPP, GEA, HIBSCS]	Strong	
ada	aidb	+	[BPP, GEA, HIBSCS]	Strong	
adiy	gadx	+	[BPP]	Strong	
allr	alls	-	[BCE, BPP, GEA, SM]	Weak	
alsr	rpir	-	[GEA]	Weak	
arca	beti	-	[BCE, GEA]	Weak	
arca	dpia	+	[AIBSCS]	Weak	
arca	fnr	-	[GEA]	Weak	
arca	gade	+	[BPP, GEA]	Strong	
arca	gadx	+	[AIBSCS, GEA]	Weak	
arca	lldr	-	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
arca	puur	-	[AIBSCS, GEA]	Weak	
arca	xylr	+	[AIBSCS, GEA]	Weak	
argp	dnaa	+	[BPP, GEA, IC]	Strong	
ascg	prpr	-	[AIBSCS, BPP, GEA]	Weak	
basr	csgd	+	[BPP, GEA, HIBSCS]	Strong	
basr	puta	-	[BPP, HIBSCS]	Strong	
basr	qseb	+	[BPP, GEA]	Strong	
crp	arac	+	[BPP, GEA, HIBSCS, SM]	Strong	
crp	caif	+	[BCE, GEA]	Weak	
crp	chbr	+	[AIBSCS, BPP, GEA, HIBSCS]	Weak	
crp	comr	-	[BPP, GEA, HIBSCS]	Strong	
crp	csgd	+	[AIBSCS, GEA]	Weak	
crp	cytr	+-	[BPP, GEA, HIBSCS]	Strong	
crp	dcur	+	[BPP, HIBSCS]	Strong	
crp	dpia	-	[AIBSCS]	Weak	
crp	fear	+	[HIBSCS]	Weak	
crp	fis	+	[AIBSCS, GEA]	Weak	
crp	flhc	+	[BPP, GEA, HIBSCS]	Strong	
crp	flhd	+	[BPP, GEA, HIBSCS]	Strong	
crp	fucr	+	[AIBSCS, BPP, GEA, SM]	Weak	
crp	fur	+	[HIBSCS, SM]	Weak	
crp	gade	-	[BPP, HIBSCS]	Strong	
