name,__glayCluster,,
zwf,0,,
zur,67,,
zras,7,,
zrar,7,,
zrap,7,,
znuc,67,,
znub,67,,
znua,67,,
zntr,66,,
znta,66,,
ytfe,12,,
ysga,42,,
yrbl,8,,
yqji,4,,
yqjh,4,,
yqja,37,,
yqhd,65,,
yqhc,65,,
yqae,37,,
ypdb,64,,
yoji,44,,
yoeb,23,,
yoag,12,,
yoac,9,,
ynfk,1,,
ynfh,12,,
ynfg,12,,
ynff,12,,
ynfe,12,,
ynce,0,,
ykgo,67,,
ykgm,67,,
yjjz,4,,
yjjq,8,,
yjiy,1,,
yjhc,3,,
yjhb,3,,
yjch,3,,
yiis,26,,
yidq,37,,
yiao,1,,
yian,1,,
yiam,1,,
yial,1,,
yiak,1,,
yiaj,1,,
yhjx,64,,
yhjc,22,,
yhja,5,,
yhid,19,,
yhhy,4,,
yhfa,1,,
yhch,3,,
yhbt,8,,
yhbs,8,,
ygic,0,,
ygib,0,,
ygeh,9,,
ygea,27,,
ygba,42,,
ygau,37,,
ygac,4,,
yfir,8,,
yfib,8,,
yfdx,10,,
yfdv,10,,
yfde,10,,
yfbr,9,,
yfae,32,,
yeiw,1,,
yeip,1,,
yeil,44,,
yeib,16,,
yeht,1,,
yegr,10,,
yegh,22,,
yefm,23,,
yedx,22,,
yedw,22,,
yecr,42,,
yebg,18,,
yebe,37,,
year,12,,
ydjm,18,,
ydiv,18,,
ydiu,5,,
ydhy,12,,
ydhx,12,,
ydhw,12,,
ydhv,12,,
ydhu,12,,
ydht,12,,
ydfx,52,,
ydfw,52,,
ydfh,22,,
ydfe,52,,
ydfd,52,,
ydep,10,,
ydeo,26,,
yden,27,,
ydem,39,,
ydej,42,,
ydea,42,,
ydcv,11,,
ydcu,11,,
ydct,11,,
ydcs,11,,
ydbk,0,,
yciw,9,,
ychh,1,,
ychf,5,,
ycdz,2,,
ycct,8,,
yccj,8,,
ycca,37,,
ybjn,0,,
ybjg,31,,
ybjc,0,,
ybit,35,,
ybhl,8,,
ybfn,39,,
ybfe,18,,
ybdz,4,,
ybdn,42,,
ybby,25,,
ybbw,25,,
ybat,19,,
ybas,19,,
ybao,0,,
yaiw,37,,
yaia,61,,
yafq,18,,
yafp,18,,
yafo,18,,
yafn,18,,
yaeq,1,,
yaep,1,,
xylr,27,,
xylh,27,,
xylg,27,,
xylf,27,,
xylb,27,,
xyla,27,,
xsea,1,,
xdhc,42,,
xdhb,42,,
xdha,42,,
xapr,63,,
xapb,63,,
xapa,63,,
wrba,8,,
uxur,6,,
uxub,6,,
uxua,6,,
uxac,6,,
uxab,6,,
uxaa,6,,
uvry,10,,
uvrd,18,,
uvrc,18,,
uvrb,18,,
uvra,18,,
uspe,19,,
uspa,13,,
uraa,42,,
upp,42,,
ung,37,,
umud,18,,
umuc,18,,
ular,62,,
ulag,62,,
ulaf,62,,
ulae,62,,
ulad,62,,
ulac,62,,
ulab,62,,
ulaa,62,,
uidr,6,,
uidc,6,,
uidb,6,,
uida,6,,
uhpt,10,,
uhpa,10,,
ugpq,22,,
ugpe,22,,
ugpc,22,,
ugpb,22,,
ugpa,22,,
udp,2,,
ubix,14,,
ubig,1,,
ubic,42,,
ubia,42,,
tyru,3,,
tyrr,61,,
tyrp,61,,
tyrb,61,,
tyra,61,,
tyna,11,,
tsx,2,,
tsr,37,,
trxc,5,,
trxa,1,,
trub,33,,
trpr,61,,
trpl,61,,
trpe,61,,
trpd,61,,
trpc,61,,
trpb,61,,
trpa,61,,
trmd,42,,
trma,3,,
trg,1,,
trer,31,,
trec,31,,
treb,31,,
tpx,42,,
torr,19,,
tord,19,,
torc,19,,
tora,19,,
topa,3,,
tonb,4,,
tolc,0,,
tnac,19,,
tnab,19,,
tnaa,19,,
tktb,22,,
thrw,3,,
thrv,44,,
thru,3,,
thrt,3,,
thiq,60,,
thip,60,,
tdh,44,,
tdcr,21,,
tdcg,21,,
tdcf,21,,
tdce,21,,
tdcd,21,,
tdcc,21,,
tdcb,21,,
tdca,21,,
tbpa,60,,
taud,9,,
tauc,9,,
taub,9,,
taua,9,,
tar,42,,
tap,42,,
tam,1,,
tala,17,,
sula,18,,
sufs,5,,
sufe,5,,
sufd,5,,
sufc,5,,
sufb,5,,
sufa,5,,
sucd,42,,
succ,42,,
sucb,42,,
suca,42,,
stpa,15,,
ssue,9,,
ssud,9,,
ssuc,9,,
ssub,9,,
ssua,9,,
ssrs,15,,
ssb,18,,
srlr,1,,
srle,1,,
srld,1,,
srlb,1,,
srla,1,,
sra,8,,
spy,37,,
spf,1,,
spec,1,,
speb,14,,
spea,14,,
soxs,0,,
soxr,0,,
sohb,1,,
sodb,1,,
soda,0,,
slyb,31,,
slya,3,,
slt,37,,
slp,19,,
sgrs,60,,
sgrr,60,,
sgbu,1,,
sgbh,1,,
