name,__glayCluster,,
zwf,10,,
zur,56,,
zras,26,,
zrar,26,,
zrap,26,,
znuc,56,,
znub,56,,
znua,56,,
zntr,55,,
znta,55,,
ytfe,41,,
ysga,0,,
yrbl,5,,
yqji,42,,
yqjh,42,,
yqja,23,,
yqhd,54,,
yqhc,54,,
yqae,23,,
ypdb,53,,
yoji,25,,
yoeb,9,,
yoag,41,,
yoac,37,,
ynfk,26,,
ynfh,0,,
ynfg,0,,
ynff,0,,
ynfe,0,,
ynce,10,,
ykgo,56,,
ykgm,56,,
yjjz,42,,
yjjq,5,,
yjiy,26,,
yjhc,11,,
yjhb,11,,
yjch,11,,
yiis,41,,
yidq,23,,
yiao,26,,
yian,26,,
yiam,26,,
yial,26,,
yiak,26,,
yiaj,26,,
yhjx,53,,
yhjc,16,,
yhja,1,,
yhid,12,,
yhhy,42,,
yhfa,26,,
yhch,11,,
yhbt,5,,
yhbs,5,,
ygic,10,,
ygib,10,,
ygeh,37,,
ygea,15,,
ygba,0,,
ygau,23,,
ygac,42,,
yfir,5,,
yfib,5,,
yfdx,33,,
yfdv,33,,
yfde,33,,
yfbr,37,,
yfae,19,,
yeiw,26,,
yeip,26,,
yeil,25,,
yeib,6,,
yeht,26,,
yegr,33,,
yegh,16,,
yefm,9,,
yedx,16,,
yedw,16,,
yecr,0,,
yebg,2,,
yebe,23,,
year,41,,
ydjm,2,,
ydiv,2,,
ydiu,1,,
ydhy,41,,
ydhx,41,,
ydhw,41,,
ydhv,41,,
ydhu,41,,
ydht,41,,
ydfx,39,,
ydfw,39,,
ydfh,16,,
ydfe,39,,
ydfd,39,,
ydep,33,,
ydeo,41,,
yden,30,,
ydem,15,,
ydej,0,,
ydea,17,,
ydcv,3,,
ydcu,3,,
ydct,3,,
ydcs,3,,
ydbk,10,,
yciw,37,,
ychh,26,,
ychf,1,,
ycdz,40,,
ycct,5,,
yccj,5,,
ycca,23,,
ybjn,10,,
ybjg,7,,
ybjc,10,,
ybit,31,,
ybhl,5,,
ybfn,30,,
ybfe,2,,
ybdz,42,,
ybdn,37,,
ybby,14,,
ybbw,14,,
ybat,12,,
ybas,12,,
ybao,10,,
yaiw,23,,
yaia,51,,
yafq,2,,
yafp,2,,
yafo,2,,
yafn,2,,
yaeq,26,,
yaep,26,,
xylr,15,,
xylh,15,,
xylg,15,,
xylf,15,,
xylb,15,,
xyla,15,,
xsea,26,,
xdhc,0,,
xdhb,0,,
xdha,0,,
xapr,52,,
xapb,52,,
xapa,52,,
wrba,5,,
uxur,34,,
uxub,34,,
uxua,34,,
uxac,34,,
uxab,34,,
uxaa,34,,
uvry,33,,
uvrd,2,,
uvrc,2,,
uvrb,2,,
uvra,2,,
uspe,12,,
uspa,18,,
uraa,0,,
upp,0,,
ung,23,,
umud,2,,
umuc,2,,
ular,35,,
ulag,35,,
ulaf,35,,
ulae,35,,
ulad,35,,
ulac,35,,
ulab,35,,
ulaa,35,,
uidr,34,,
uidc,34,,
uidb,34,,
uida,34,,
uhpt,33,,
uhpa,33,,
ugpq,16,,
ugpe,16,,
ugpc,16,,
ugpb,16,,
ugpa,16,,
udp,40,,
ubix,4,,
ubig,26,,
ubic,17,,
ubia,17,,
tyru,11,,
tyrr,51,,
tyrp,51,,
tyrb,51,,
tyra,51,,
tyna,3,,
tsx,40,,
tsr,23,,
trxc,1,,
trxa,26,,
trub,20,,
