name,__glayCluster,
gabp,2,
gabt,2,
gcvh,2,
gcvp,2,
gcvt,2,
glna,2,
glnl,2,
guaa,2,
guab,2,
gyra,2,
hlye,2,
mtla,2,
mtld,2,
nana,2,
nane,2,
nank,2,
nant,2,
prop,2,
rplm,2,
rpoh,2,
rpsi,2,
sera,2,
serc,2,
trg,2,
yhch,2,
yjch,2,
csir,2,
pola,2,
purm,2,
purn,2,
alat,2,
alau,2,
alav,2,
alaw,2,
alax,2,
apag,2,
apah,2,
argu,2,
argw,2,
argx,2,
aspv,2,
cbpa,2,
cbpm,2,
flxa,2,
glnq,2,
glnu,2,
glnv,2,
glnw,2,
glnx,2,
gltt,2,
gltu,2,
gltv,2,
gltw,2,
gltx,2,
glyt,2,
glyu,2,
gyrb,2,
hisr,2,
ilet,2,
ileu,2,
ilev,2,
leup,2,
leuq,2,
leut,2,
leuv,2,
leuw,2,
leux,2,
lyst,2,
lysv,2,
lysw,2,
mazg,2,
mett,2,
metu,2,
msra,2,
osme,2,
pdxa,2,
pheu,2,
phev,2,
prok,2,
prol,2,
prom,2,
pyrd,2,
quea,2,
rrfa,2,
rrfb,2,
rrfc,2,
rrfd,2,
rrfe,2,
rrff,2,
rrfg,2,
rrfh,2,
rrla,2,
rrlb,2,
rrlc,2,
rrld,2,
rrle,2,
rrlg,2,
rrlh,2,
rrsa,2,
rrsb,2,
rrsc,2,
rrsd,2,
rrse,2,
rrsg,2,
rrsh,2,
sert,2,
serx,2,
ssrs,2,
thrt,2,
thru,2,
thrv,2,
thrw,2,
topa,2,
tpr,2,
trma,2,
tufb,2,
tyrt,2,
tyru,2,
tyrv,2,
valt,2,
valu,2,
valx,2,
valy,2,
pyrc,2,
gcva,2,
gcvb,2,
dsra,2,
leua,2,
leub,2,
leuc,2,
leud,2,
leul,2,
avta,2,
fima,2,
fimc,2,
fimd,2,
fimf,2,
fimg,2,
fimh,2,
fimi,2,
ilva,2,
ilvd,2,
ilve,2,
ilvh,2,
ilvi,2,
ilvl,2,
ilvm,2,
kbl,2,
livf,2,
livg,2,
livh,2,
livj,2,
livk,2,
livm,2,
lysu,2,
sdaa,2,
tdh,2,
yoji,2,
lysr,2,
coda,2,
codb,2,
ydcs,2,
ydct,2,
ydcu,2,
ydcv,2,
nanr,2,
yjhb,2,
yjhc,2,
pepa,2,
cvpa,2,
glnb,2,
hfld,2,
purb,2,
purc,2,
pure,2,
purf,2,
purk,2,
purl,2,
spea,2,
speb,2,
ubix,2,
slya,2,
fur,3,
oxyr,3,
yqji,3,
metj,3,
metr,3,
cira,3,
enta,3,
entb,3,
entc,3,
entd,3,
ente,3,
feca,3,
fecb,3,
fecc,3,
fecd,3,
fece,3,
fepa,3,
fiu,3,
metk,3,
cdar,3,
gard,3,
gark,3,
garl,3,
garp,3,
garr,3,
gudd,3,
gudp,3,
gudx,3,
rnpb,3,
aspc,3,
entf,3,
fepe,3,
fes,3,
glnd,3,
hcp,3,
hcr,3,
hmp,3,
katg,3,
ybdz,3,
yhja,3,
dps,3,
kate,3,
crl,3,
exbb,3,
exbd,3,
feci,3,
fecr,3,
fepb,3,
fepc,3,
fepd,3,
fepg,3,
fhua,3,
fhub,3,
fhuc,3,
fhud,3,
fhue,3,
fhuf,3,
gpma,3,
gspc,3,
gspd,3,
gspe,3,
gspf,3,
gspg,3,
gsph,3,
gspi,3,
gspj,3,
gspk,3,
gspl,3,
gspm,3,
gspo,3,
meth,3,
mnth,3,
noha,3,
ryhb,3,
sufa,3,
sufb,3,
sufc,3,
sufd,3,
sufe,3,
sufs,3,
tfaq,3,
tonb,3,
ygac,3,
yhhy,3,
yjjz,3,
yqjh,3,
ahpc,3,
ahpf,3,
fole,3,
meta,3,
metb,3,
metc,3,
mete,3,
metf,3,
meti,3,
metl,3,
metn,3,
metq,3,
yeib,3,
glya,3,
mntr,3,
ryba,3,
dsbg,3,
flu,3,
gor,3,
grxa,3,
hemh,3,
isrc,3,
oxys,3,
trxc,3,
ychf,3,
glcc,4,
pdhr,4,
lexa,4,
dinj,4,
yafq,4,
mraz,4,
sdia,4,
glcb,4,
glcd,4,
glce,4,
glcf,4,
glcg,4,
ssb,4,
uvra,4,
sbmc,4,
ddlb,4,
dinb,4,
dind,4,
dinf,4,
ding,4,
dnag,4,
ftsa,4,
ftsi,4,
ftsk,4,
ftsl,4,
ftsq,4,
ftsw,4,
ftsz,4,
hoke,4,
insk,4,
lpxc,4,
mray,4,
murc,4,
murd,4,
mure,4,
murf,4,
murg,4,
phr,4,
polb,4,
reca,4,
recb,4,
recd,4,
recn,4,
recx,4,
rpod,4,
rpsu,4,
ruva,4,
ruvb,4,
sula,4,
umuc,4,
umud,4,
uvrb,4,
uvrc,4,
uvrd,4,
yafn,4,
yafo,4,
yafp,4,
ybfe,4,
ydjm,4,
yebg,4,
ydiv,4,
relb,5,
rele,5,
hokd,5,
phob,6,
cusr,6,
ydfh,6,
yedw,6,
cyoa,6,
cyob,6,
cyoc,6,
cyod,6,
cyoe,6,
ugpa,6,
ugpb,6,
ugpc,6,
ugpe,6,
ugpq,6,
cusa,6,
cusb,6,
cusc,6,
cusf,6,
cuss,6,
yedx,6,
phou,6,
psta,6,
pstb,6,
pstc,6,
psts,6,
adic,6,
amn,6,
mipa,6,
phnc,6,
phnd,6,
phne_1,6,
phne_2,6,
phnf,6,
phng,6,
phnh,6,
phni,6,
phnj,6,
phnk,6,
phnl,6,
phnm,6,
phnn,6,
phno,6,
phnp,6,
phoa,6,
phoe,6,
phoh,6,
phor,6,
pitb,6,
psif,6,
sbcc,6,
sbcd,6,
tktb,6,
yegh,6,
yhjc,6,
yefm,7,
yoeb,7,
fadr,8,
accb,8,
accc,8,
fada,8,
fadb,8,
fadd,8,
fade,8,
fabr,8,
faba,8,
fabb,8,
acca,8,
accd,8,
fabd,8,
fabg,8,
fabh,8,
fabi,8,
uspa,8,
allr,9,
alla,9,
allb,9,
gcl,9,
glxk,9,
glxr,9,
hyi,9,
ybbw,9,
ybby,9,
arsr,10,
arsb,10,
arsc,10,
atoc,11,
atoa,11,
atob,11,
atod,11,
atoe,11,
basr,12,
csgd,12,
puta,12,
qseb,12,
flhc,12,
flhd,12,
ompr,12,
cpxr,12,
baer,12,
fliz,12,
mlra,12,
yjjq,12,
lrha,12,
bola,12,
rsta,12,
fadl,12,
baes,12,
mdta,12,
mdtb,12,
mdtc,12,
mdtd,12,
spy,12,
csge,12,
csgf,12,
csgg,12,
cspi,12,
dgka,12,
fimb,12,
hha,12,
qsec,12,
yrbl,12,
ampc,12,
dacc,12,
ompf,12,
osmy,12,
putp,12,
baca,12,
chea,12,
chew,12,
cpxa,12,
cpxp,12,
csga,12,
csgb,12,
csgc,12,
degp,12,
dsba,12,
dsbc,12,
mota,12,
motb,12,
ompc,12,
ppid,12,
psd,12,
rpoe,12,
rsea,12,
rseb,12,
rsec,12,
sbma,12,
slt,12,
tsr,12,
ung,12,
yaiw,12,
ycca,12,
yebe,12,
ygau,12,
yidq,12,
yqae,12,
yqja,12,
flgm,12,
flgn,12,
flia,12,
flie,12,
flif,12,
flig,12,
flih,12,
flii,12,
flij,12,
flik,12,
nlpa,12,
pepd,12,
wrba,12,
yccj,12,
ycct,12,
yhbs,12,
yhbt,12,
envy,12,
narg,12,
narh,12,
nari,12,
narj,12,
sra,12,
fime,12,
rplu,12,
rpma,12,
ecnb,12,
asr,12,
ybhl,12,
yfib,12,
yfir,12,
bira,13,
bioa,13,
biob,13,
bioc,13,
biod,13,
biof,13,
xylr,14,
ascg,14,
prpr,14,
crp,14,
arac,14,
chbr,14,
cytr,14,
fear,14,
fucr,14,
gals,14,
glpr,14,
gutm,14,
idnr,14,
laci,14,
lsrr,14,
mali,14,
malt,14,
melr,14,
mhpr,14,
nagc,14,
rbsr,14,
rhar,14,
rhas,14,
srlr,14,
tdca,14,
uxur,14,
yiaj,14,
zrar,14,
exur,14,
iclr,14,
galr,14,
gntr,14,
hipb,14,
hipa,14,
creb,14,
trer,14,
tdcr,14,
agar,14,
agaa,14,
agab,14,
agac,14,
agad,14,
agai,14,
agas,14,
agav,14,
agaw,14,
kbay,14,
kbaz,14,
araa,14,
arab,14,
arad,14,
arae,14,
araf,14,
arag,14,
arah,14,
araj,14,
xyla,14,
xylb,14,
ydem,14,
yden,14,
ygea,14,
acea,14,
aceb,14,
acek,14,
fadh,14,
gata,14,
gatb,14,
gatc,14,
gatd,14,
gaty,14,
gatz,14,
glpd,14,
glta,14,
mdh,14,
rhat,14,
treb,14,
trec,14,
argg,14,
ascb,14,
ascf,14,
htpg,14,
ybit,14,
aaea,14,
aaeb,14,
aaer,14,
aaex,14,
acs,14,
actp,14,
aer,14,
agp,14,
aldb,14,
ampd,14,
ampe,14,
aroa,14,
cdd,14,
chba,14,
chbb,14,
chbc,14,
chbf,14,
chbg,14,
cpdb,14,
crr,14,
csie,14,
cspd,14,
cspe,14,
csta,14,
cyaa,14,
dada,14,
deoa,14,
deob,14,
deoc,14,
deod,14,
dksa,14,
dsda,14,
dsdx,14,
ebga,14,
ebgc,14,
envz,14,
epd,14,
exut,14,
fbaa,14,
feab,14,
fuca,14,
fuci,14,
fuck,14,
fuco,14,
fucp,14,
fucu,14,
gale,14,
galk,14,
galm,14,
galp,14,
galt,14,
gapa,14,
gcd,14,
glgs,14,
glpe,14,
glpf,14,
glpg,14,
glpk,14,
glpq,14,
glpt,14,
glpx,14,
gntk,14,
gntp,14,
gntt,14,
gntu,14,
gntx,14,
gpsa,14,
grpe,14,
gutq,14,
hflc,14,
hflk,14,
hflx,14,
hfq,14,
hofb,14,
hofc,14,
hpt,14,
idnd,14,
idnk,14,
idno,14,
idnt,14,
ilvb,14,
ilvn,14,
ivbl,14,
laca,14,
lacy,14,
lacz,14,
lamb,14,
lsra,14,
lsrb,14,
lsrc,14,
lsrd,14,
lsrf,14,
lsrg,14,
lsrk,14,
lyxk,14,
male,14,
malf,14,
malg,14,
malk,14,
malm,14,
mals,14,
malx,14,
maly,14,
mana,14,
manx,14,
many,14,
manz,14,
mela,14,
melb,14,
mgla,14,
mglb,14,
mglc,14,
mhpa,14,
mhpb,14,
mhpc,14,
mhpd,14,
mhpe,14,
mhpf,14,
mpl,14,
murp,14,
nadc,14,
nagb,14,
nage,14,
narq,14,
nlpe,14,
nupc,14,
nupg,14,
ompa,14,
paaa,14,
paab,14,
paac,14,
paad,14,
paae,14,
paaf,14,
paag,14,
paah,14,
paai,14,
paaj,14,
paak,14,
pck,14,
pgk,14,
ppdd,14,
ppia,14,
prib,14,
prpb,14,
prpc,14,
prpd,14,
prpe,14,
ptsh,14,
ptsi,14,
rbsa,14,
rbsb,14,
rbsc,14,
rbsd,14,
rbsk,14,
rela,14,
rhaa,14,
rhab,14,
rhad,14,
rmf,14,
rof,14,
rpli,14,
rpsf,14,
rpsr,14,
secb,14,
sfsa,14,
sgbe,14,
sgbh,14,
sgbu,14,
sodb,14,
sohb,14,
spec,14,
spf,14,
srla,14,
srlb,14,
srld,14,
srle,14,
tam,14,
tdcb,14,
tdcc,14,
tdcd,14,
tdce,14,
tdcf,14,
tdcg,14,
trxa,14,
tsx,14,
ubig,14,
udp,14,
uida,14,
uidb,14,
uidc,14,
ulaa,14,
ulab,14,
ulac,14,
ulad,14,
ulae,14,
ulaf,14,
uxaa,14,
uxab,14,
uxac,14,
uxua,14,
uxub,14,
xsea,14,
xylf,14,
xylg,14,
xylh,14,
yaep,14,
yaeq,14,
ybfn,14,
ycdz,14,
ychh,14,
yeip,14,
yeiw,14,
yhfa,14,
yiak,14,
yial,14,
yiam,14,
yian,14,
yiao,14,
yjiy,14,
ynfk,14,
zras,14,
cred,14,
tala,14,
deor,14,
dsdc,14,
ebgr,14,
feoa,14,
feob,14,
malp,14,
malq,14,
tyna,14,
eda,14,
edd,14,
kdgr,14,
dini,14,
malz,14,
crea,14,
crec,14,
glms,14,
glmu,14,
paax,14,
paay,14,
purd,14,
purh,14,
add,14,
uidr,14,
ular,14,
ulag,14,
yeht,14,
zrap,14,
cynr,15,
cyns,15,
cynt,15,
cynx,15,
dhar,16,
dhak,16,
dhal,16,
dica,17,
dicb,17,
dicc,17,
intq,17,
ydfd,17,
ydfe,17,
ydfw,17,
ydfx,17,
hcar,18,
hcab,18,
hcac,18,
hcad,18,
hcae,18,
hcaf,18,
ilvy,19,
ilvc,19,
arca,20,
beti,20,
fnr,20,
lldr,20,
puur,20,
caif,20,
dcur,20,
hyfr,20,
ydeo,20,
fhla,20,
narl,20,
nikr,20,
mode,20,
gada,20,
appy,20,
appa,20,
appb,20,
appc,20,
hyaa,20,
hyab,20,
hyac,20,
hyad,20,
hyae,20,
hyaf,20,
acee,20,
acef,20,
acka,20,
alda,20,
beta,20,
betb,20,
bett,20,
caia,20,
caib,20,
caic,20,
caid,20,
caie,20,
cait,20,
citc,20,
citd,20,
cite,20,
citf,20,
citg,20,
citx,20,
cyda,20,
cydb,20,
cydc,20,
cydd,20,
dcta,20,
dcuc,20,
foca,20,
fuma,20,
fumb,20,
glpa,20,
glpb,20,
glpc,20,
hema,20,
hyba,20,
hybb,20,
hybc,20,
hybd,20,
hybe,20,
hybf,20,
hybg,20,
hybo,20,
icd,20,
lldd,20,
lldp,20,
lpd,20,
moea,20,
moeb,20,
ndh,20,
nuoa,20,
nuob,20,
nuoc,20,
nuoe,20,
nuof,20,
nuog,20,
nuoh,20,
nuoi,20,
nuoj,20,
nuok,20,
nuol,20,
nuom,20,
nuon,20,
oppa,20,
oppb,20,
oppc,20,
oppd,20,
oppf,20,
pflb,20,
prfa,20,
prmc,20,
puua,20,
puub,20,
puuc,20,
puud,20,
puue,20,
puup,20,
rplb,20,
rplc,20,
rpld,20,
rplp,20,
rplv,20,
rplw,20,
rpmc,20,
rpsc,20,
rpsj,20,
rpsq,20,
rpss,20,
sdha,20,
sdhb,20,
sdhc,20,
sdhd,20,
suca,20,
sucb,20,
succ,20,
sucd,20,
tpx,20,
ubia,20,
ubic,20,
ybdn,20,
ydea,20,
aspa,20,
cysg,20,
dcua,20,
dcub,20,
fixa,20,
fixb,20,
fixc,20,
fixx,20,
focb,20,
hyfa,20,
hyfb,20,
hyfc,20,
hyfd,20,
hyfe,20,
hyff,20,
hyfg,20,
hyfh,20,
hyfi,20,
hyfj,20,
moda,20,
modb,20,
modc,20,
nirb,20,
nirc,20,
nird,20,
cuer,20,
copa,20,
cueo,20,
moaa,20,
moab,20,
moac,20,
moad,20,
moae,20,
frda,20,
frdb,20,
frdc,20,
frdd,20,
acre,20,
acrf,20,
adhe,20,
bcsb,20,
bcsz,20,
ccma,20,
ccmb,20,
ccmc,20,
ccmd,20,
ccme,20,
ccmf,20,
ccmg,20,
ccmh,20,
cheb,20,
cher,20,
chey,20,
chez,20,
dcus,20,
dmsa,20,
dmsb,20,
dmsc,20,
dmsd,20,
dppa,20,
dppb,20,
dppc,20,
dppd,20,
dppf,20,
fdhf,20,
fdng,20,
fdnh,20,
fdni,20,
hypb,20,
hypc,20,
hypd,20,
hype,20,
napa,20,
napb,20,
napc,20,
napd,20,
napf,20,
napg,20,
naph,20,
nark,20,
narx,20,
nika,20,
nikb,20,
nikc,20,
nikd,20,
nike,20,
norv,20,
norw,20,
nrdd,20,
nrdg,20,
nrfa,20,
nrfb,20,
nrfc,20,
nrfd,20,
nrfe,20,
nrff,20,
nrfg,20,
ompw,20,
ompx,20,
pept,20,
phem,20,
pita,20,
rimm,20,
rpls,20,
rplt,20,
rpsp,20,
tap,20,
tar,20,
trmd,20,
upp,20,
uraa,20,
xdha,20,
xdhb,20,
xdhc,20,
ydej,20,
ydht,20,
ydhu,20,
ydhv,20,
ydhw,20,
ydhx,20,
ydhy,20,
yecr,20,
ygba,20,
ynfe,20,
ynff,20,
ynfg,20,
ynfh,20,
ysga,20,
ytfe,20,
hyca,20,
hycb,20,
hycc,20,
hycd,20,
hyce,20,
hycf,20,
hycg,20,
hych,20,
hyci,20,
hydn,20,
hypa,20,
hypf,20,
ogt,20,
year,20,
yoag,20,
nrde,20,
nrdf,20,
nrdh,20,
nrdi,20,
iscr,20,
isca,20,
iscs,20,
iscu,20,
ydiu,20,
narp,20,
norr,20,
yiis,20,
kdpe,21,
kdpa,21,
kdpb,21,
kdpc,21,
kdpf,21,
mngr,22,
mnga,22,
mngb,22,
pncb,23,
nadr,23,
nada,23,
nadb,23,
pnuc,23,
pspf,24,
pspa,24,
pspb,24,
pspc,24,
pspd,24,
pspe,24,
rtcr,25,
rtca,25,
rtcb,25,
sgrr,26,
seta,26,
sgrs,26,
tbpa,26,
thip,26,
thiq,26,
arog,27,
trpr,27,
aroh,27,
arol,27,
arom,27,
mtr,27,
trpa,27,
trpb,27,
trpc,27,
trpd,27,
trpe,27,
trpl,27,
yaia,27,
tyrr,27,
arof,27,
arop,27,
fola,27,
tyra,27,
tyrb,27,
tyrp,27,
xapr,28,
xapa,28,
xapb,28,
ypdb,29,
yhjx,29,
yqhc,30,
dkga,30,
yqhd,30,
zntr,31,
znta,31,
zur,32,
ykgm,32,
ykgo,32,
znua,32,
znub,32,
znuc,32,
