name,__glayCluster,
acrr,0,
mara,0,
marr,0,
soxr,0,
soxs,0,
adiy,0,
gadx,0,
gade,0,
evga,0,
cadc,0,
gadw,0,
rcsa,0,
uvry,0,
rob,0,
phop,0,
rcsb,0,
torr,0,
acra,0,
acrb,0,
marb,0,
micf,0,
adia,0,
gadb,0,
gadc,0,
acna,0,
cada,0,
cadb,0,
fumc,0,
rpos,0,
soda,0,
argd,0,
acrd,0,
glga,0,
glgc,0,
glgp,0,
mdte,0,
mdtf,0,
naga,0,
nmpc,0,
tnaa,0,
tnab,0,
tnac,0,
uhpt,0,
fabz,0,
lpxa,0,
lpxd,0,
rpra,0,
envr,0,
emrk,0,
emry,0,
evgs,0,
frc,0,
oxc,0,
ydep,0,
yegr,0,
yfde,0,
yfdv,0,
yfdx,0,
amtb,0,
glnk,0,
gnd,0,
zwf,0,
hdea,0,
hdeb,0,
yhid,0,
flic,0,
hded,0,
pura,0,
gady,0,
slp,0,
asnb,0,
btub,0,
lon,0,
muri,0,
uspe,0,
ybas,0,
ybat,0,
osmc,0,
fpr,0,
inaa,0,
nfo,0,
nfsa,0,
poxb,0,
pqia,0,
pqib,0,
rimk,0,
tolc,0,
ybao,0,
ybjc,0,
ybjn,0,
ygia,0,
ygib,0,
ygic,0,
ynce,0,
mpra,0,
emra,0,
emrb,0,
tora,0,
torc,0,
tord,0,
nhar,0,
nhaa,0,
heml,0,
phoq,0,
bord,0,
dcud,0,
glgb,0,
glgx,0,
mgta,0,
ompt,0,
rstb,0,
slyb,0,
ybjg,0,
bdm,0,
lola,0,
osmb,0,
rara,0,
aslb,0,
flda,0,
fldb,0,
ompn,0,
pgi,0,
riba,0,
ydbk,0,
uhpa,0,
cysb,1,
cbl,1,
ssua,1,
ssub,1,
ssuc,1,
ssud,1,
ssue,1,
taua,1,
taub,1,
tauc,1,
taud,1,
cysa,1,
cysc,1,
cysd,1,
cysh,1,
cysi,1,
cysj,1,
cysk,1,
cysm,1,
cysn,1,
cysp,1,
cysu,1,
cysw,1,
hslj,1,
yciw,1,
yfbr,1,
ygeh,1,
yoac,1,
ada,2,
aidb,2,
argp,2,
dnaa,2,
fis,2,
glng,2,
hupa,2,
hupb,2,
mtlr,2,
cspa,2,
hns,2,
nac,2,
yeil,2,
purr,2,
lrp,2,
hdfr,2,
leuo,2,
bglj,2,
stpa,2,
asnc,2,
alka,2,
alkb,2,
gltb,2,
gltd,2,
gltf,2,
acnb,2,
ptsg,2,
argo,2,
dapb,2,
dapd,2,
dnan,2,
gdha,2,
lysa,2,
lysc,2,
lysp,2,
nrda,2,
nrdb,2,
recf,2,
yfae,2,
argr,2,
arga,2,
argb,2,
argc,2,
arge,2,
argf,2,
argh,2,
argi,2,
arti,2,
artj,2,
artm,2,
artp,2,
artq,2,
asta,2,
astb,2,
astc,2,
astd,2,
aste,2,
cara,2,
carb,2,
hisj,2,
hism,2,
hisp,2,
hisq,2,
infb,2,
mety,2,
nusa,2,
pnp,2,
rbfa,2,
rpso,2,
trub,2,
asna,2,
mioc,2,
ansb,2,
bglb,2,
bglf,2,
bglg,2,
dadx,2,
dusb,2,
gabd,2,
