name,__glayCluster,Unnamed: 2,Unnamed: 3
zwf,0,,
zur,99,,
zras,99,,
zrar,99,,
zrap,99,,
znuc,99,,
znub,99,,
znua,99,,
zntr,99,,
znta,99,,
ytfe,99,,
ysga,2,,
yrbl,7,,
yqji,99,,
yqjh,99,,
yqja,56,,
yqhd,99,,
yqhc,99,,
yqae,56,,
ypdb,99,,
yoji,25,,
yoeb,99,,
yoag,99,,
yoac,99,,
ynfk,8,,
ynfh,22,,
ynfg,22,,
ynff,22,,
ynfe,22,,
ynce,0,,
ykgo,99,,
ykgm,99,,
yjjz,11,,
yjjq,28,,
yjiy,99,,
yjhc,99,,
yjhb,99,,
yjch,10,,
yiis,19,,
yidq,56,,
yiao,99,,
yian,99,,
yiam,99,,
yial,99,,
yiak,99,,
yiaj,99,,
yhjx,99,,
yhjc,33,,
yhja,81,,
yhid,35,,
yhhy,11,,
yhfa,8,,
yhch,99,,
yhbt,6,,
yhbs,6,,
ygic,0,,
ygib,0,,
ygeh,99,,
ygea,99,,
ygba,2,,
ygau,56,,
ygac,11,,
yfir,28,,
yfib,28,,
yfdx,27,,
yfdv,27,,
yfde,27,,
yfbr,99,,
yfae,51,,
yeiw,8,,
yeip,8,,
yeil,25,,
yeib,99,,
yeht,99,,
yegr,27,,
yegh,33,,
yefm,99,,
yedx,99,,
yedw,99,,
yecr,2,,
yebg,99,,
yebe,56,,
year,99,,
ydjm,99,,
ydiv,46,,
ydiu,99,,
ydhy,99,,
ydhx,99,,
ydhw,99,,
ydhv,99,,
ydhu,99,,
ydht,99,,
ydfx,99,,
ydfw,99,,
ydfh,33,,
ydfe,99,,
ydfd,99,,
ydep,27,,
ydeo,19,,
yden,58,,
ydem,99,,
ydej,2,,
ydea,48,,
ydcv,21,,
ydcu,21,,
ydct,21,,
ydcs,21,,
ydbk,0,,
yciw,99,,
ychh,8,,
ychf,81,,
ycdz,99,,
ycct,6,,
yccj,6,,
ycca,56,,
ybjn,0,,
ybjg,41,,
ybjc,0,,
ybit,99,,
ybhl,28,,
ybfn,58,,
ybfe,99,,
ybdz,11,,
ybdn,99,,
ybby,99,,
ybbw,99,,
ybat,1,,
ybas,1,,
ybao,0,,
yaiw,56,,
yaia,99,,
yafq,99,,
yafp,99,,
yafo,99,,
yafn,99,,
yaeq,8,,
yaep,8,,
xylr,99,,
xylh,99,,
xylg,99,,
xylf,99,,
xylb,99,,
xyla,99,,
xsea,8,,
xdhc,2,,
xdhb,2,,
xdha,2,,
xapr,99,,
xapb,99,,
xapa,99,,
wrba,6,,
uxur,20,,
uxub,20,,
uxua,20,,
uxac,20,,
uxab,20,,
uxaa,20,,
uvry,27,,
uvrd,99,,
uvrc,99,,
uvrb,99,,
uvra,99,,
uspe,1,,
uspa,40,,
uraa,2,,
upp,2,,
ung,56,,
umud,99,,
umuc,99,,
ular,99,,
ulag,99,,
ulaf,99,,
ulae,99,,
ulad,99,,
ulac,99,,
ulab,99,,
ulaa,99,,
uidr,20,,
uidc,20,,
uidb,20,,
uida,20,,
uhpt,27,,
uhpa,27,,
ugpq,33,,
ugpe,33,,
ugpc,33,,
ugpb,33,,
ugpa,33,,
udp,99,,
ubix,53,,
ubig,8,,
ubic,22,,
ubia,22,,
tyru,10,,
tyrr,99,,
tyrp,99,,
tyrb,99,,
tyra,99,,
tyna,21,,
tsx,99,,
tsr,56,,
trxc,81,,
trxa,8,,
trub,99,,
trpr,99,,
trpl,99,,
trpe,99,,
trpd,99,,
trpc,99,,
trpb,99,,
trpa,99,,
trmd,2,,
trma,10,,
trg,10,,
trer,99,,
trec,99,,
treb,99,,
tpx,2,,
torr,35,,
tord,35,,
torc,35,,
tora,35,,
topa,10,,
tonb,11,,
tolc,0,,
tnac,35,,
tnab,35,,
tnaa,35,,
tktb,33,,
thrw,10,,
thrv,25,,
thru,10,,
thrt,10,,
thiq,99,,
thip,99,,
tdh,25,,
tdcr,99,,
tdcg,99,,
tdcf,99,,
tdce,99,,
tdcd,99,,
tdcc,99,,
tdcb,99,,
tdca,99,,
tbpa,99,,
taud,99,,
tauc,99,,
taub,99,,
taua,99,,
tar,2,,
tap,2,,
tam,99,,
tala,99,,
sula,99,,
sufs,81,,
sufe,81,,
sufd,81,,
sufc,81,,
sufb,81,,
sufa,81,,
sucd,11,,
succ,11,,
sucb,11,,
suca,11,,
stpa,29,,
ssue,99,,
ssud,99,,
ssuc,99,,
ssub,99,,
ssua,99,,
ssrs,29,,
ssb,99,,
srlr,99,,
srle,99,,
srld,99,,
srlb,99,,
srla,99,,
sra,28,,
spy,56,,
spf,8,,
spec,8,,
speb,53,,
spea,53,,
soxs,0,,
soxr,0,,
sohb,8,,
sodb,8,,
soda,0,,
slyb,41,,
slya,99,,
slt,56,,
slp,35,,
sgrs,99,,
sgrr,99,,
sgbu,99,,
sgbh,99,,
sgbe,99,,
sfsa,8,,
seta,99,,
sert,10,,
serc,25,,
sera,21,,
secb,8,,
sdia,46,,
sdhd,11,,
sdhc,11,,
sdhb,11,,
sdha,11,,
sdaa,25,,
sbmc,99,,
sbma,56,,
sbcd,33,,
sbcc,33,,
ryhb,11,,
ryba,81,,
ruvb,99,,
ruva,99,,
rtcr,99,,
rtcb,99,,
rtca,99,,
rstb,41,,
rsta,99,,
rsec,56,,
rseb,56,,
rsea,56,,
rrsh,25,,
rrsg,25,,
rrsc,25,,
rrla,25,,
rrfa,25,,
rpsu,99,,
rpss,2,,
rpsr,8,,
rpsq,2,,
rpsp,2,,
rpso,99,,
rpsj,2,,
