"SUID","__glayCluster","name","selected","shared name"
"12483","30","cyob","false","cyob"
"12481","30","cyoa","false","cyoa"
"12480","30","pdhr","false","pdhr"
"12478","31","paay","false","paay"
"12477","31","paax","false","paax"
"12475","18","ychf","false","ychf"
"12471","18","uof","false","uof"
"12469","18","trxc","false","trxc"
"12460","18","oxys","false","oxys"
"12457","18","katg","false","katg"
"12455","18","isrc","false","isrc"
"12453","18","hemh","false","hemh"
"12449","18","grxa","false","grxa"
"12447","18","flu","false","flu"
"12445","18","fhuf","false","fhuf"
"12443","18","dsbg","false","dsbg"
"12441","18","ahpf","false","ahpf"
"12439","18","ahpc","false","ahpc"
"12433","25","ompf","false","ompf"
"12431","25","ompc","false","ompc"
"12428","25","dtpa","false","dtpa"
"12420","32","glnl","false","glnl"
"12417","32","glna","false","glna"
"12414","33","nrdi","false","nrdi"
"12412","33","nrdh","false","nrdh"
"12409","33","nrdf","false","nrdf"
"12407","33","nrde","false","nrde"
"12403","33","nrdr","false","nrdr"
"12401","34","nimt","false","nimt"
"12400","34","nimr","false","nimr"
"12398","35","nike","false","nike"
"12396","35","nikd","false","nikd"
"12394","35","nikc","false","nikc"
"12392","35","nikb","false","nikb"
"12390","35","nika","false","nika"
"12389","35","nikr","false","nikr"
"12387","25","pgad","false","pgad"
"12385","25","pgac","false","pgac"
"12383","25","pgab","false","pgab"
"12381","25","pgaa","false","pgaa"
"12380","25","nhar","false","nhar"
"12365","12","narp","false","narp"
"12334","12","dcus","false","dcus"
"12332","12","dcua","false","dcua"
"12330","12","aspa","false","aspa"
"12328","36","yjhc","false","yjhc"
"12326","36","yjhb","false","yjhb"
"12322","36","nans","false","nans"
"12320","36","nanm","false","nanm"
"12316","36","nanc","false","nanc"
"12313","36","nanr","false","nanr"
"12311","37","umph","false","umph"
"12309","37","nage","false","nage"
"12307","37","nagb","false","nagb"
"12305","37","naga","false","naga"
"12303","37","glmu","false","glmu"
"12301","37","glms","false","glms"
"12300","37","nagc","false","nagc"
"12298","38","murq","false","murq"
"12296","38","murp","false","murp"
"12295","38","murr","false","murr"
"12292","12","cspd","false","cspd"
"12290","39","emrb","false","emrb"
"12288","39","emra","false","emra"
"12287","39","mpra","false","mpra"
"12285","32","narx","false","narx"
"12276","32","modc","false","modc"
"12274","32","modb","false","modb"
"12272","32","moda","false","moda"
"12270","32","moae","false","moae"
"12268","32","moad","false","moad"
"12266","32","moac","false","moac"
"12264","32","moab","false","moab"
"12262","32","moaa","false","moaa"
"12244","32","ccmh","false","ccmh"
"12242","32","ccmg","false","ccmg"
"12240","32","ccmf","false","ccmf"
"12238","32","ccme","false","ccme"
"12236","32","ccmd","false","ccmd"
"12234","32","ccmc","false","ccmc"
"12232","32","ccmb","false","ccmb"
"12230","32","ccma","false","ccma"
"12228","40","mngb","false","mngb"
"12226","40","mnga","false","mnga"
"12225","40","mngr","false","mngr"
"12223","25","rpma","false","rpma"
"12221","25","rplu","false","rplu"
"12219","25","ibag","false","ibag"
"12214","18","ptsi","false","ptsi"
"12212","18","ptsh","false","ptsh"
"12209","18","crr","false","crr"
"12208","18","mlc","false","mlc"
"12204","41","glya","false","glya"
"12202","41","mete","false","mete"
"12200","41","metc","false","metc"
"12198","42","melb","false","melb"
"12196","42","mela","false","mela"
"12195","42","melr","false","melr"
"12190","9","mcba","false","mcba"
"12189","9","mcbr","false","mcbr"
"12186","9","flic","false","flic"
"12183","9","ecpa","false","ecpa"
"12181","18","zwf","false","zwf"
"12178","18","ybjn","false","ybjn"
"12176","18","ybjc","false","ybjc"
"12173","18","rimk","false","rimk"
"12171","18","pura","false","pura"
