name,__glayCluster,,
YGR264C,38,,
YLR263W,38,,
YGR268C,38,,
YOL092W,38,,
YBL063W,38,,
YBR284W,38,,
YGL251C,38,,
YGR280C,38,,
YBR184W,38,,
YPR164W,38,,
YML042W,38,,
YMR281W,38,,
YOR100C,38,,
YER044C-A,38,,
YLL031C,38,,
YHR037W,38,,
YDR091C,38,,
YBL015W,38,,
YDR284C,38,,
YJR060W,37,,
YIR017C,37,,
YPL254W,37,,
YOR344C,37,,
YHR041C,37,,
YHR112C,37,,
YJL109C,37,,
YER071C,37,,
YIL126W,37,,
YOR327C,37,,
YOL101C,37,,
YOR054C,37,,
YNL094W,37,,
YDR141C,37,,
YJR088C,37,,
YDL051W,37,,
YOL100W,37,,
YMR301C,37,,
YAL054C,37,,
YGR224W,37,,
YGL207W,37,,
YIL031W,37,,
YOR099W,37,,
YPL235W,37,,
YNR051C,37,,
YJL133W,37,,
YGL256W,37,,
YJL133C-A,37,,
YMR216C,37,,
YIR006C,37,,
YFR049W,37,,
YER100W,37,,
YBL017C,37,,
YBL016W,37,,
YBR255C-A,37,,
YMR196W,37,,
YIL074C,37,,
YNL221C,37,,
YDL006W,37,,
YER072W,37,,
YNL095C,37,,
YNL063W,37,,
YIL088C,37,,
YKL192C,37,,
YAL026C,37,,
YIL033C,37,,
YNL064C,37,,
YIR007W,37,,
YER099C,37,,
YHR113W,37,,
YLL010C,37,,
YGR200C,37,,
YIL127C,37,,
YFL018C,37,,
YOL064C,37,,
YCR088W,37,,
YOR328W,37,,
YEL043W,37,,
YNL232W,37,,
YPL236C,37,,
YHR042W,37,,
YML018C,37,,
YHR089C,37,,
YJR089W,37,,
YJL166W,37,,
YGR223C,37,,
YDL052C,37,,
YJL209W,37,,
YGL257C,37,,
YBR135W,37,,
YER114C,37,,
YPL206C,37,,
YML017W,37,,
YMR217W,37,,
YFL017W-A,37,,
YNL220W,37,,
YCR087C-A,37,,
YBR133C,37,,
YPL204W,37,,
YOR098C,37,,
YAL053W,37,,
YKL191W,37,,
YIL122W,36,,
YPL089C,36,,
YML081W,36,,
YER161C,36,,
YJL106W,36,,
YBR158W,36,,
YGL158W,36,,
YDR525W-A,36,,
YPL252C,36,,
YJL107C,36,,
YDR524W-A,36,,
YLR332W,36,,
YNL139C,36,,
YHR175W,36,,
YOL087C,36,,
YJL148W,36,,
YDR309C,36,,
YEL050C,36,,
YBR159W,36,,
YKR103W,36,,
YOL086W-A,36,,
YDR524C-B,36,,
YNR050C,36,,
YBR157C,36,,
YHR206W,35,,
YPR009W,35,,
YKL038W,35,,
YPL041C,35,,
YBR054W,35,,
YLR257W,35,,
YHR004C,35,,
YER010C,35,,
YER011W,35,,
YKR075C,35,,
YOL039W,35,,
YNR013C,35,,
YJL115W,35,,
YNL234W,35,,
YJL116C,35,,
YER154W,35,,
YLL019C,35,,
YGL038C,35,,
YKR076W,35,,
YOR273C,35,,
YNL014W,35,,
YER153C,35,,
YOR274W,35,,
YHR094C,35,,
YNL097C-A,35,,
YCR073W-A,35,,
YER149C,35,,
YNR014W,35,,
YIL113W,35,,
YCR073C,35,,
YOL040C,35,,
YIL114C,35,,
YNL098C,35,,
YER150W,35,,
YPR013C,34,,
YOL108C,34,,
YJL168C,34,,
YDR123C,34,,
YHL020C,34,,
YDR169C,34,,
YJL153C,34,,
YBL106C,34,,
YNR017W,34,,
YML075C,34,,
YDR169C-A,34,,
YNL169C,34,,
YOR317W,34,,
YKL182W,34,,
YOR316C-A,34,,
YGR157W,34,,
YJL140W,34,,
YJL167W,34,,
YCR057C,34,,
YBR029C,34,,
YDR147W,34,,
YDR497C,34,,
YBR030W,34,,
YJL141C,34,,
YJR104C,34,,
YPL231W,34,,
YDR050C,34,,
YPR159W,34,,
YER026C,34,,
YCR005C,34,,
YOR316C,34,,
YER043C,34,,
YLR034C,34,,
YNR016C,34,,
YHR123W,34,,
YOL028C,33,,
YER148W,33,,
YDR423C,33,,
YBL008W,33,,
YML007W,33,,
YJR122W,33,,
YBL033C,33,,
YGL114W,33,,
YBL032W,33,,
YBL008W-A,33,,
YNL087W,33,,
YKL040C,33,,
YLR074C,33,,
YLR298C,33,,
YLR297W,33,,
YJR105W,33,,
YER090W,33,,
YKR052C,33,,
YKL086W,33,,
YGR209C,33,,
YLR299W,33,,
YKL039W,33,,
YMR318C,33,,
YKR061W,33,,
YMR038C,33,,
YOR163W,33,,
YDL124W,33,,
YPL091W,33,,
YPR048W,33,,
YPL171C,33,,
YKL087C,33,,
YER141W,33,,
YHR029C,33,,
YPL170W,33,,
YHR007C-A,33,,
YDL125C,33,,
YHR007C,33,,
YLR075W,33,,
YGR233C,33,,
YNL213C,33,,
YER147C,33,,
YBR179C,33,,
YNL212W,33,,
YGR234W,33,,
YJL100W,33,,
YNL134C,33,,
YLR193C,33,,
YKR071C,33,,
YDL204W,33,,
YER089C,33,,
YJL101C,33,,
YDL205C,33,,
YBR008C,33,,
YDL106C,32,,
YNL027W,32,,
YOR162C,32,,
YMR053C,32,,
YDR279W,32,,
YDL225W,32,,
YBR110W,32,,
YOL119C,32,,
YPL239W,32,,
YER048W-A,32,,
YOL082W,32,,
YDL058W,32,,
YGR204C-A,32,,
YNL029C,32,,
YKL009W,32,,
YOR368W,32,,
YMR283C,32,,
YDR307W,32,,
YER013W,32,,
YIL076W,32,,
YBR044C,32,,
YLR412W,32,,
YLL014W,32,,
YOR353C,32,,
YDL059C,32,,
YBR109C,32,,
YMR284W,32,,
YPL240C,32,,
YMR054W,32,,
YGR205W,32,,
YKL010C,32,,
YIL077C,32,,
YLR439W,32,,
YNL042W-B,32,,
YKL101W,32,,
YDR306C,32,,
YDR064W,32,,
YBR238C,32,,
YFR034C,31,,
YCL034W,31,,
YGR254W,31,,
YCL035C,31,,
YBR296C,31,,
YHR136C,31,,
YDR421W,31,,
YML121W,31,,
YJL117W,31,,
YDR281C,31,,
YBR296C-A,31,,
YML123C,31,,
YLR267W,31,,
YJR058C,31,,
YEL001C,31,,
YGR253C,31,,
YHR137W,31,,
YOL136C,31,,
YJR059W,31,,
YER001W,31,,
YBR240C,30,,
YLR005W,30,,
YPL214C,30,,
YLR004C,30,,
YOL055C,30,,
YDR438W,30,,
YPL213W,30,,
YBR092C,30,,
YDL080C,30,,
YDR216W,29,,
YJR140C,29,,
YDL119C,29,,
YKL016C,29,,
YIL146C,29,,
YPR108W-A,29,,
YPL147W,29,,
YPR109W,29,,
YNR006W,29,,
YNL100W,29,,
YER133W,29,,
YPL148C,29,,
YAL022C,29,,
YDL117W,29,,
YJR141W,29,,
YER111C,28,,
YLR182W,28,,
YLR055C,28,,
YNL309W,28,,
YMR179W,28,,
YOR378W,28,,
YMR307W,28,,
YDL003W,28,,
YDR263C,28,,
YPL267W,28,,
YLR056W,28,,
YDL018C,28,,
YER112W,28,,
YLR104W,28,,
YDR225W,28,,
YJR054W,28,,
YKL096W-A,28,,
YGR041W,28,,
YLR103C,28,,
YNR009W,28,,
YPR185W,28,,
YEL040W,28,,
YGR222W,28,,
YOL012C,28,,
YGR109W-B,28,,
YHR149C,28,,
YLR438W,28,,
YOR373W,28,,
YIL121W,28,,
YGL179C,28,,
YDR113C,28,,
YGL178W,28,,
YDR224C,28,,
YGR109C,28,,
YOL011W,28,,
YOR075W,28,,
YPL255W,28,,
YOR247W,28,,
YGR221C,28,,
YBR071W,28,,
YGR014W,28,,
YDR115W,28,,
YHR061C,28,,
YPL256C,28,,
YBR163W,28,,
YNL298W,28,,
YIL026C,28,,
YLR437C,28,,
YBR161W,28,,
YDL055C,28,,
YGR109W-A,28,,
YOR246C,28,,
YHR150W,28,,
YBR070C,28,,
YOR064C,27,,
YKL109W,27,,
YGL191W,27,,
YNL055C,27,,
YBL045C,27,,
YBL029C-A,27,,
YPL271W,27,,
YNL052W,27,,
YDR322C-A,27,,
YPL272C,27,,
YPR020W,27,,
YBL044W,27,,
YLR038C,27,,
YDL005C,27,,
YEL024W,27,,
YDL181W,27,,
YDL004W,27,,
YMR256C,27,,
YEL025C,27,,
YLR295C,27,,
YOR065W,27,,
YGR104C,27,,
YPL270W,27,,
YLR395C,27,,
YMR042W,26,,
YML099C,26,,
YPL177C,26,,
YCR106W,26,,
YBR015C,26,,
YGL157W,26,,
YOL058W,26,,
YGR100W,26,,
YDR452W,26,,
YER069W,26,,
YMR032W,26,,
YFL023W,26,,
YDR434W,26,,
YOL140W,26,,
YFL024C,26,,
YJL088W,26,,
YNL050C,26,,
YBR016W,26,,
YMR031C,26,,
YER048C,26,,
YPR127W,26,,
YML098W,26,,
YKL043W,25,,
YPL016W,25,,
YDL048C,25,,
YBR112C,25,,
YMR018W,25,,
YMR015C,25,,
YAL040C,25,,
YMR195W,25,,
YOR276W,25,,
YHL024W,25,,
YDL047W,25,,
