name,__glayCluster,,
zwf,16,,
zur,102,,
zras,9,,
zrar,9,,
zrap,9,,
znuc,102,,
znub,102,,
znua,102,,
zntr,101,,
znta,101,,
ytfe,85,,
ysga,0,,
yrbl,63,,
yqji,12,,
yqjh,12,,
yqja,43,,
yqhd,100,,
yqhc,100,,
yqae,43,,
ypdb,99,,
yoji,14,,
yoeb,22,,
yoag,85,,
yoac,71,,
ynfk,3,,
ynfh,11,,
ynfg,11,,
ynff,11,,
ynfe,11,,
ynce,16,,
ykgo,102,,
ykgm,102,,
yjjz,4,,
yjjq,45,,
yjiy,70,,
yjhc,93,,
yjhb,93,,
yjch,3,,
yiis,28,,
yidq,43,,
yiao,64,,
yian,64,,
yiam,64,,
yial,64,,
yiak,64,,
yiaj,64,,
yhjx,99,,
yhjc,18,,
yhja,5,,
yhid,31,,
yhhy,4,,
yhfa,3,,
yhch,93,,
yhbt,13,,
yhbs,13,,
ygic,16,,
ygib,19,,
ygeh,71,,
ygea,29,,
ygba,0,,
ygau,43,,
ygac,4,,
yfir,45,,
yfib,45,,
yfdx,84,,
yfdv,84,,
yfde,84,,
yfbr,71,,
yfae,38,,
yeiw,3,,
yeip,3,,
yeil,14,,
yeib,17,,
yeht,70,,
yegr,84,,
yegh,18,,
yefm,22,,
yedx,75,,
yedw,75,,
yecr,0,,
yebg,15,,
yebe,43,,
year,85,,
ydjm,15,,
ydiv,6,,
ydiu,90,,
ydhy,11,,
ydhx,85,,
ydhw,11,,
ydhv,85,,
ydhu,85,,
ydht,85,,
ydfx,79,,
ydfw,79,,
ydfh,18,,
ydfe,79,,
ydfd,79,,
ydep,84,,
ydeo,28,,
yden,29,,
ydem,47,,
ydej,0,,
ydea,35,,
ydcv,73,,
ydcu,73,,
ydct,73,,
ydcs,73,,
ydbk,16,,
yciw,71,,
ychh,3,,
ychf,5,,
ycdz,77,,
ycct,13,,
yccj,13,,
ycca,43,,
ybjn,16,,
ybjg,19,,
ybjc,16,,
ybit,2,,
ybhl,45,,
ybfn,47,,
ybfe,15,,
ybdz,4,,
ybdn,71,,
ybby,27,,
ybbw,27,,
ybat,31,,
ybas,31,,
ybao,16,,
yaiw,43,,
yaia,97,,
yafq,15,,
yafp,15,,
yafo,15,,
yafn,15,,
yaeq,3,,
yaep,3,,
xylr,29,,
xylh,29,,
xylg,29,,
xylf,29,,
xylb,29,,
xyla,29,,
xsea,3,,
xdhc,0,,
xdhb,0,,
xdha,0,,
xapr,98,,
xapb,98,,
xapa,98,,
wrba,13,,
uxur,68,,
uxub,68,,
uxua,68,,
uxac,68,,
uxab,68,,
uxaa,68,,
uvry,84,,
uvrd,15,,
uvrc,15,,
uvrb,15,,
uvra,15,,
uspe,31,,
uspa,23,,
uraa,0,,
upp,0,,
ung,43,,
umud,15,,
umuc,15,,
ular,67,,
ulag,67,,
ulaf,67,,
ulae,67,,
ulad,67,,
ulac,67,,
ulab,67,,
ulaa,67,,
uidr,68,,
uidc,68,,
uidb,68,,
uida,68,,
uhpt,84,,
uhpa,84,,
ugpq,18,,
ugpe,18,,
ugpc,18,,
ugpb,18,,
ugpa,18,,
udp,77,,
ubix,40,,
ubig,3,,
ubic,11,,
ubia,11,,
tyru,69,,
tyrr,97,,
tyrp,97,,
tyrb,97,,
tyra,97,,
tyna,73,,
tsx,77,,
tsr,43,,
trxc,5,,
trxa,3,,
trub,39,,
trpr,97,,
trpl,97,,
trpe,97,,
trpd,97,,
trpc,97,,
trpb,97,,
trpa,97,,
trmd,0,,
trma,69,,
trg,3,,
trer,37,,
trec,37,,
treb,37,,
tpx,0,,
torr,11,,
tord,11,,
torc,11,,
tora,11,,
topa,69,,
tonb,4,,
tolc,16,,
tnac,11,,
tnab,11,,
tnaa,11,,
tktb,18,,
thrw,69,,
thrv,14,,
thru,69,,
thrt,69,,
thiq,96,,
thip,96,,
tdh,14,,
tdcr,66,,
tdcg,66,,
tdcf,66,,
tdce,66,,
tdcd,66,,
tdcc,66,,
tdcb,66,,
tdca,66,,
tbpa,96,,
taud,71,,
tauc,71,,
taub,71,,
taua,71,,
tar,0,,
tap,0,,
tam,55,,
tala,56,,
sula,15,,
sufs,5,,
sufe,5,,
sufd,5,,
sufc,5,,
sufb,5,,
sufa,5,,
sucd,4,,
succ,4,,
sucb,4,,
suca,4,,
stpa,46,,
ssue,71,,
ssud,71,,
ssuc,71,,
ssub,71,,
ssua,71,,
ssrs,46,,
ssb,15,,
srlr,65,,
srle,65,,
srld,65,,
srlb,65,,
srla,65,,
sra,45,,
spy,43,,
spf,3,,
spec,3,,
speb,40,,
spea,40,,
soxs,16,,
soxr,16,,
sohb,3,,
sodb,3,,
soda,16,,
slyb,19,,
slya,51,,
slt,43,,
slp,28,,
sgrs,96,,
sgrr,96,,
sgbu,64,,
sgbh,64,,
sgbe,64,,
sfsa,3,,
seta,96,,
sert,69,,
serc,14,,
sera,73,,
secb,3,,
sdia,6,,
sdhd,4,,
sdhc,4,,
sdhb,4,,
sdha,4,,
sdaa,14,,
sbmc,15,,
sbma,43,,
sbcd,18,,
sbcc,18,,
ryhb,4,,
ryba,5,,
ruvb,15,,
ruva,15,,
rtcr,95,,
rtcb,95,,
rtca,95,,
rstb,19,,
rsta,83,,
rsec,43,,
rseb,43,,
rsea,43,,
rrsh,14,,
rrsg,14,,
rrsc,14,,
rrla,14,,
rrfa,14,,
rpsu,15,,
rpss,0,,
rpsr,3,,
rpsq,0,,
rpsp,0,,
rpso,39,,
rpsj,0,,
rpsi,0,,
rpsf,3,,
rpsc,0,,
rpra,20,,
rpos,31,,
rpoh,77,,
rpoe,43,,
rpod,15,,
rpmc,0,,
rpma,13,,
rplw,0,,
