name,__glayCluster,Unnamed: 2,Unnamed: 3
fur,0,,
oxyr,0,,
yqji,0,,
rpos,0,,
cira,0,,
enta,0,,
entb,0,,
entc,0,,
entd,0,,
ente,0,,
feca,0,,
fecb,0,,
fepa,0,,
fiu,0,,
cdar,0,,
gard,0,,
gark,0,,
garl,0,,
garp,0,,
garr,0,,
gudd,0,,
gudp,0,,
gudx,0,,
rnpb,0,,
amtb,0,,
aspc,0,,
entf,0,,
fepe,0,,
fes,0,,
glnd,0,,
glnk,0,,
gnd,0,,
hcp,0,,
hcr,0,,
katg,0,,
ybdz,0,,
yhja,0,,
dps,0,,
crl,0,,
exbb,0,,
exbd,0,,
feci,0,,
fecr,0,,
fepb,0,,
fepc,0,,
fepd,0,,
fepg,0,,
fhua,0,,
fhub,0,,
fhuc,0,,
fhud,0,,
fhue,0,,
fhuf,0,,
gpma,0,,
gspc,0,,
gspd,0,,
gspe,0,,
gspf,0,,
gspg,0,,
gsph,0,,
gspi,0,,
gspj,0,,
gspk,0,,
gspl,0,,
gspm,0,,
gspo,0,,
mnth,0,,
ryhb,0,,
sufa,0,,
sufb,0,,
sufc,0,,
sufd,0,,
sufe,0,,
sufs,0,,
tonb,0,,
ygac,0,,
yhhy,0,,
yjjz,0,,
yqjh,0,,
mntr,0,,
ryba,0,,
dsbg,0,,
flu,0,,
gor,0,,
grxa,0,,
hemh,0,,
isrc,0,,
oxys,0,,
trxc,0,,
ychf,0,,
fear,1,,
nac,1,,
asnc,1,,
gdha,1,,
asna,1,,
mioc,1,,
feab,1,,
nupc,1,,
sera,1,,
tyna,1,,
coda,1,,
codb,1,,
ydcs,1,,
ydct,1,,
ydcu,1,,
ydcv,1,,
rbsr,2,,
purr,2,,
gcvh,2,,
gcvp,2,,
gcvt,2,,
guaa,2,,
guab,2,,
rbsa,2,,
rbsb,2,,
rbsc,2,,
rbsd,2,,
rbsk,2,,
purm,2,,
purn,2,,
pyrd,2,,
pyrc,2,,
gcva,2,,
gcvb,2,,
purd,2,,
purh,2,,
cvpa,2,,
glnb,2,,
hfld,2,,
purb,2,,
purc,2,,
pure,2,,
purf,2,,
purk,2,,
purl,2,,
spea,2,,
speb,2,,
ubix,2,,
add,2,,
basr,3,,
csgd,3,,
puta,3,,
qseb,3,,
flhc,3,,
flhd,3,,
ompr,3,,
mlra,3,,
yjjq,3,,
lrha,3,,
bola,3,,
rsta,3,,
micf,3,,
fadl,3,,
csge,3,,
csgf,3,,
csgg,3,,
cspi,3,,
dgka,3,,
fimb,3,,
hha,3,,
qsec,3,,
yrbl,3,,
ampc,3,,
dacc,3,,
ompf,3,,
putp,3,,
csga,3,,
csgb,3,,
csgc,3,,
ompc,3,,
flgm,3,,
flgn,3,,
flia,3,,
flie,3,,
flif,3,,
flig,3,,
flih,3,,
flii,3,,
flij,3,,
flik,3,,
nlpa,3,,
pepd,3,,
wrba,3,,
yccj,3,,
ycct,3,,
yhbs,3,,
yhbt,3,,
envy,3,,
narg,3,,
narh,3,,
nari,3,,
narj,3,,
sra,3,,
fime,3,,
rplu,3,,
rpma,3,,
ecnb,3,,
asr,3,,
ybhl,3,,
yfib,3,,
yfir,3,,
glcc,4,,
pdhr,4,,
lexa,4,,
dinj,4,,
yafq,4,,
mraz,4,,
sdia,4,,
glcb,4,,
glcd,4,,
glcf,4,,
glcg,4,,
ssb,4,,
uvra,4,,
fecc,4,,
fecd,4,,
fece,4,,
sbmc,4,,
ddlb,4,,
dinb,4,,
dind,4,,
dinf,4,,
ding,4,,
dnag,4,,
