Time	CCNA2	CCNB1	CCNE1	CDC2	CDC6	CDKN3	E2F1	PCNA	RFC4
26	-0.721705	0.15465	0.359322	-0.865233	-0.471109	0.322845	-0.154526	-0.446784	-0.189053
27	-0.458768	0.0017329999999999997	0.309731	-0.685951	0.22225999999999999	-0.171078	0.288871	0.22369	0.101881
28	-0.5185810000000001	-0.161717	0.6952689999999999	-0.5682510000000001	0.416767	-0.039529	0.48363199999999995	0.019021	0.070809
29	-0.306865	-0.10435499999999999	0.375601	-0.553941	0.42568599999999995	-0.240188	0.441158	0.487756	0.178264
30	-0.36842800000000003	-0.004683	0.289696	-0.001254	0.371992	-0.383506	0.250448	0.272577	0.24076199999999998
31	-0.019667	-0.266504	0.28215300000000004	0.174257	0.32900999999999997	-0.021297999999999997	0.38701199999999997	0.358815	0.11321600000000001
32	0.052389	-0.017573	0.026751	0.614884	0.017096	-0.10833800000000002	0.214102	0.289117	0.09876
33	0.11339400000000001	0.100503	-0.229492	0.613008	-0.30394699999999997	-0.02525	0.235629	0.28780100000000003	-0.05298200000000001
34	0.023981	0.303319	-0.42950699999999997	0.43310699999999996	-0.287443	0.280538	-0.296238	-0.063043	-0.051004
35	0.249651	0.044903	-0.350263	0.438042	-0.267698	0.19009500000000001	-0.178748	0.02476	-0.186575
36	0.309697	-0.005429	-0.633798	0.415732	-0.22844899999999999	0.157753	-0.238986	-0.175323	-0.109426
37	0.23492800000000003	0.332552	-0.418908	0.157106	-0.37706300000000004	0.054706	-0.129279	-0.214669	-0.17524800000000001
38	0.22006599999999998	-0.058875	-0.434532	-0.139758	-0.433174	0.494307	-0.24636100000000002	-0.11928599999999999	-0.016271
39	-0.159146	0.187048	-0.095867	0.021465	-0.526516	0.201283	-0.12106199999999999	-0.302698	-0.034957
40	0.014516999999999999	-0.059738	-0.029223000000000002	-0.45794700000000005	-0.26958499999999996	0.21946	-0.30392800000000003	-0.03506	0.022548
41	-0.344727	0.11910699999999999	0.167349	-0.551487	-0.061350999999999996	-0.088716	0.059797	-0.11288	-0.137638
42	-0.217817	0.044662	-0.0372	-0.375551	0.13823	-0.012155	0.060006	0.146278	0.15318900000000002
43	-0.6072770000000001	-0.277265	0.27473000000000003	-0.6240020000000001	0.006481000000000001	-0.014063999999999998	0.361102	-0.17793	0.12111199999999998
44	-0.292958	0.155524	0.240761	-0.093221	0.287091	0.068704	0.406941	0.043724	0.254374
45	-0.46181400000000006	-0.254919	0.144965	-0.22326100000000001	0.276574	-0.093777	0.507123	0.357094	0.173525
46	-0.039298	0.047319	0.14108099999999998	0.026808	0.189726	0.017464	0.175714	0.525311	0.232199
