Time	CCNA2	CCNB1	CCNE1	CDC2	CDC6	CDKN3	E2F1	PCNA	RFC4
0	0.017909999999999995	-0.225967	0.255383	0.30817	0.514082	-0.3962395	0.473919	0.48837699999999995	0.34617749999999997
1	-0.058487	-0.480196	-0.019423	0.11593800000000001	0.636145	-0.48800600000000005	0.352952	0.49855	0.23924099999999998
2	0.261801	-0.153828	-0.092572	0.41531999999999997	0.66584	-0.793592	0.080114	0.224131	0.206617
3	-0.051501	-0.004136	-0.189855	0.325781	0.216126	-0.471975	0.20318699999999998	0.09496900000000001	0.24312399999999998
4	0.3846	0.20697600000000002	-0.4677	0.600688	0.150169	-0.403816	-0.225586	-0.078303	0.072234
5	0.474758	0.059522000000000005	-0.331496	0.718743	-0.08379199999999999	-0.07233300000000001	-0.386873	-0.27369499999999997	-0.145082
6	0.643753	0.064829	-0.649647	1.048877	-0.48948500000000006	0.344998	-0.757563	-0.662443	-0.20894400000000002
7	0.469271	0.281541	-0.627474	1.335711	-0.640548	0.344699	-0.8465959999999999	-0.675284	-0.110824
8	0.67967	0.463789	-0.36272600000000005	1.161726	-0.703117	0.650983	-1.185242	-0.795782	-0.211569
9	0.42538400000000004	0.54793	-0.532644	-0.265331	-0.5160520000000001	0.12407	-0.762269	-0.537082	-0.519871
10	0.47985	0.374208	-0.139676	-1.169912	-0.25105700000000003	0.43640500000000004	-0.590025	-0.62703	-0.565666
11	-0.190895	0.138786	0.01892	-1.3580729999999999	-0.301935	-0.051046	-0.432622	-0.576385	-0.314136
12	-0.4764	-0.188916	0.496766	-1.420894	0.068147	0.165265	-0.021554	-0.521518	-0.411234
13	-0.8168529999999999	-0.154839	1.021544	-1.244607	0.440457	-0.056682	0.263312	-0.250949	0.05335
14	-0.649149	-0.35646700000000003	0.656878	-0.804391	0.618825	-0.22630799999999998	0.206314	0.25155500000000003	0.181276
15	-0.525994	-0.43084700000000004	1.026148	-0.488679	0.574708	-0.056655	0.679025	0.534301	0.196901
16	-0.27078800000000003	-0.212864	0.390868	-0.030681	0.558578	-0.274717	0.519935	0.44646899999999995	0.252183
17	0.23235	-0.12231199999999999	0.526541	0.144077	0.7709010000000001	-0.46407600000000004	0.803833	0.8655290000000001	0.187364
18	0.22554200000000002	-0.005065999999999999	-0.019927	0.506376	0.43215299999999995	-0.214901	0.365045	0.319377	0.09581
19	0.093202	-0.169762	-0.24351599999999998	0.465995	0.028495	-0.300598	-0.10880799999999999	0.087474	0.055050999999999996
20	0.556858	0.025212000000000002	-0.45982700000000004	0.75483	-0.052996	0.067364	-0.026251999999999998	0.240749	0.122998
21	0.494379	0.113944	-0.34779499999999997	0.718314	-0.338546	0.080066	-0.249025	-0.155538	-0.12873900000000002
22	0.48945900000000003	0.288566	-0.6357189999999999	0.677439	-0.497308	0.69075	-0.371216	-0.27178	-0.040102
23	0.483806	0.305302	-0.369247	0.30438699999999996	-0.532668	0.47249399999999997	-0.483592	-0.215529	-0.264709
24	0.178198	-0.003653	-0.22573800000000002	-0.332057	-0.5416350000000001	0.44456899999999994	-0.351298	-0.359283	-0.336731
25	-0.271648	-0.247236	0.13813599999999998	-0.752067	-0.8240940000000001	0.249968	-0.337886	-0.398021	-0.303726
