Time	BRCA1	BUB1B	CCNA2	CCNB1	CCNE1	CCNF	CDC20	CDC25A	CDC25B	CDC25C	CKS2	DHFR	E2F1	NFAT	PCNA	PLK	STK15	TYMS
0	0.2048775	-0.0964985	0.017909999999999995	-0.225967	0.255383	-0.592552	-0.562814	0.167271	-0.12225999999999998	-0.0472785	-0.4987785	0.5859380000000001	0.473919	-0.48295299999999997	0.48837699999999995	-1.0100975	-0.7087954999999999	0.13411099999999998
1	0.09980800000000001	-0.045471	-0.058487	-0.480196	-0.019423	-0.48147700000000004	-0.045369	0.321386	-0.11224	0.001117	-0.552884	0.6836439999999999	0.352952	-0.210186	0.49855	-1.050354	-0.746408	0.10651300000000001
2	0.17460699999999998	-0.142208	0.261801	-0.153828	-0.092572	-0.64252	-0.23889200000000002	0.096011	0.026788	-0.07058099999999999	-0.250651	0.368425	0.080114	-0.284559	0.224131	-0.830944	-0.387848	0.023543
3	0.050003	0.100084	-0.051501	-0.004136	-0.189855	-0.31151999999999996	-0.38149299999999997	0.111811	-0.197129	0.031506	-0.371366	0.061132000000000006	0.20318699999999998	-0.407113	0.09496900000000001	-0.933336	-0.551401	0.13450299999999998
4	0.12954300000000002	0.133392	0.3846	0.20697600000000002	-0.4677	0.11426300000000002	-0.19965	0.285673	-0.285053	-0.010819	0.015406	0.165165	-0.225586	-0.354178	-0.078303	-0.064724	0.23020500000000002	-0.054549
5	-0.023385	0.428763	0.474758	0.059522000000000005	-0.331496	0.9236129999999999	0.370423	-0.104429	0.31567	0.163524	0.07955	0.028702	-0.386873	-0.157959	-0.27369499999999997	0.41658599999999996	0.637455	0.060374000000000004
6	-0.013034	0.39126500000000003	0.643753	0.064829	-0.649647	1.201786	0.182973	-0.076248	0.243061	0.207994	0.63979	-0.154862	-0.757563	-0.342889	-0.662443	0.624467	1.038781	-0.189834
7	0.081493	0.734845	0.469271	0.281541	-0.627474	1.364052	0.695625	0.16827	0.204182	0.443169	0.8797309999999999	-0.124798	-0.8465959999999999	0.048527999999999995	-0.675284	0.9129799999999999	1.297097	-0.015923
8	-0.058317999999999995	0.651463	0.67967	0.463789	-0.36272600000000005	1.0305870000000001	0.650284	-0.075975	0.46401800000000004	0.44009499999999996	0.6880310000000001	-0.252919	-1.185242	0.070091	-0.795782	1.306154	1.230961	-0.273701
9	-0.12837300000000001	0.42826099999999995	0.42538400000000004	0.54793	-0.532644	0.24781599999999998	0.415728	-0.268418	0.40834299999999996	0.171992	0.567833	-0.156114	-0.762269	-0.122688	-0.537082	0.851291	1.007527	-0.324277
10	-0.315641	0.536732	0.47985	0.374208	-0.139676	-0.163971	0.08561	-0.337943	0.16051700000000002	-0.069351	0.374143	-0.25137	-0.590025	0.11117	-0.62703	0.884437	0.8172020000000001	-0.332778
11	-0.0645	0.263823	-0.190895	0.138786	0.01892	-0.6052930000000001	0.33508899999999997	-0.11765199999999999	-0.181111	-0.13762	0.10525599999999999	-0.33412	-0.432622	0.03598	-0.576385	0.500653	-0.005967	-0.35440900000000003
12	0.216979	-0.43676499999999996	-0.4764	-0.188916	0.496766	-0.59455	0.002449	-0.002151	-0.107222	-0.013768	-0.45466899999999993	-0.200175	-0.021554	-0.093439	-0.521518	0.082149	-0.544271	-0.119281
13	-0.060160000000000005	-0.485443	-0.8168529999999999	-0.154839	1.021544	-0.8103520000000001	-0.6256510000000001	0.22830599999999998	-0.350281	-0.150283	-1.0653190000000001	-0.054315999999999996	0.263312	-0.171558	-0.250949	-0.6722520000000001	-1.056093	-0.1107
14	-0.090067	-0.8386889999999999	-0.649149	-0.35646700000000003	0.656878	-0.589917	-0.476549	0.48359300000000005	-0.21068800000000001	-0.135338	-1.173812	0.178424	0.206314	-0.140337	0.25155500000000003	-0.9912690000000001	-1.198221	0.047475
15	0.224002	-0.5906319999999999	-0.525994	-0.43084700000000004	1.026148	-0.607139	-0.715958	0.437968	-0.395938	-0.23001100000000002	-1.1443450000000002	-0.033087	0.679025	-0.045231	0.534301	-1.340917	-1.338948	-0.060235000000000004
16	0.148396	-0.49105699999999997	-0.27078800000000003	-0.212864	0.390868	-0.397756	-0.344026	0.208925	-0.215664	-0.00044100000000000004	-0.7540399999999999	0.085401	0.519935	-0.164903	0.44646899999999995	-0.680887	-0.729046	0.10898800000000002
17	0.202007	0.041632999999999996	0.23235	-0.12231199999999999	0.526541	-0.227096	-0.41995699999999997	0.19819900000000001	0.008964	-0.187315	-0.603793	0.10637	0.803833	-0.009897	0.8655290000000001	-0.704819	-0.559552	0.075543
18	0.268254	-0.062636	0.22554200000000002	-0.005065999999999999	-0.019927	0.135735	-0.470242	-0.060405999999999994	0.008609	0.019221000000000002	-0.22792199999999999	0.282316	0.365045	0.106556	0.319377	-0.35344699999999996	-0.061850999999999996	0.129856
19	0.491096	0.30883499999999997	0.093202	-0.169762	-0.24351599999999998	0.701915	0.679611	-0.24989899999999998	0.227465	0.299453	0.19314	-0.010129	-0.10880799999999999	-0.499892	0.087474	0.112651	0.167471	-0.156319
