Time	BRCA1	BUB1B	CCNA2	CCNB1	CCNE1	CCNF	CDC20	CDC25A	CDC25B	CDC25C	CKS2	DHFR	E2F1	NFAT	PCNA	PLK	STK15	TYMS
20	-0.127903	0.311683	0.556858	0.025212000000000002	-0.45982700000000004	1.009544	0.081068	-0.066945	0.165218	0.479804	0.563884	0.090818	-0.026251999999999998	0.044895	0.240749	0.49176800000000004	0.637204	0.303792
21	-0.060890999999999994	0.186389	0.494379	0.113944	-0.34779499999999997	0.575183	-0.143441	-0.23806599999999997	0.225044	0.319373	0.481896	-0.012947	-0.249025	-0.078988	-0.155538	0.714376	0.673779	-0.048395
22	-0.06186799999999999	0.501938	0.48945900000000003	0.288566	-0.6357189999999999	0.79299	0.22768000000000002	-0.379681	0.18346600000000002	0.39445	0.611007	0.127649	-0.371216	0.042768	-0.27178	1.0962690000000002	0.9447450000000001	-0.057713
23	-0.163473	0.755764	0.483806	0.305302	-0.369247	0.519042	1.0310489999999999	-0.373452	0.35532600000000003	0.083866	0.677349	0.097254	-0.483592	0.5378850000000001	-0.215529	1.146028	0.728939	-0.013284
24	-0.22694	0.303773	0.178198	-0.003653	-0.22573800000000002	0.162078	0.42879700000000004	-0.298708	0.35789899999999997	0.135212	0.571595	-0.248836	-0.351298	0.267396	-0.359283	0.807867	0.42	0.064837
25	0.073209	-0.139823	-0.271648	-0.247236	0.13813599999999998	-0.225131	0.36293200000000003	-0.05635	0.025084	-0.054895000000000006	0.158742	-0.614132	-0.337886	0.154177	-0.398021	0.331212	-0.089532	0.018581999999999998
26	-0.18828	-0.821398	-0.721705	0.15465	0.359322	-0.486621	-0.064544	0.562126	-0.080373	0.088733	-0.06511499999999999	-0.38048000000000004	-0.154526	0.10584	-0.446784	-0.040536	-0.472603	0.238961
27	0.043881	-0.12936199999999998	-0.458768	0.0017329999999999997	0.309731	-0.30362100000000003	0.172881	0.11659800000000001	-0.028575	-0.368081	-0.519929	-0.066866	0.288871	0.06655599999999999	0.22369	-0.32195999999999997	-0.466884	-0.077588
28	-0.069255	-0.8380799999999999	-0.5185810000000001	-0.161717	0.6952689999999999	-0.336131	-0.553313	0.177181	-0.45023500000000005	-0.312219	-0.556553	-0.08766499999999999	0.48363199999999995	0.12734600000000001	0.019021	-0.6420399999999999	-0.811856	0.049960000000000004
29	0.038093	-0.342502	-0.306865	-0.10435499999999999	0.375601	-0.381542	-0.26257800000000003	0.213112	-0.302641	-0.138499	-0.6963630000000001	-0.022909	0.441158	0.155596	0.487756	-0.7898029999999999	-0.594228	-0.152176
30	0.082338	-0.27872399999999997	-0.36842800000000003	-0.004683	0.289696	-0.191477	-0.327617	0.274904	-0.154564	-0.069222	-0.078183	-0.156898	0.250448	-0.059011	0.272577	-0.40060500000000004	-0.239735	0.22687
31	0.041832	-0.05785	-0.019667	-0.266504	0.28215300000000004	0.027761	0.20595500000000003	0.32754	-0.040604	-0.020526	-0.171799	0.111569	0.38701199999999997	0.058751	0.358815	-0.316083	-0.184117	0.08131100000000001
32	0.046418	-0.068712	0.052389	-0.017573	0.026751	0.291613	-0.028097000000000004	0.09443	0.0096	0.284523	0.389337	0.038941	0.214102	0.41000600000000004	0.289117	0.007094	0.269412	0.286186
33	0.092888	0.35988000000000003	0.11339400000000001	0.100503	-0.229492	0.583067	0.391337	-0.28310599999999997	0.191026	-0.154196	0.302137	-0.14474	0.235629	0.186348	0.28780100000000003	0.508797	0.5124350000000001	0.260676
34	-0.004839	0.052860000000000004	0.023981	0.303319	-0.42950699999999997	0.551974	-0.131905	-0.190419	0.169604	0.120126	0.660614	-0.256307	-0.296238	0.27812800000000004	-0.063043	0.749308	0.602577	0.040895999999999995
35	0.060861	0.329484	0.249651	0.044903	-0.350263	0.56262	0.282749	-0.214452	0.169845	0.014362	0.5552699999999999	0.131717	-0.178748	0.143805	0.02476	0.596774	0.635724	0.049866
36	-0.22219299999999997	0.498547	0.309697	-0.005429	-0.633798	0.344881	0.005184	-0.204673	0.130063	0.049937	0.669611	-0.004026	-0.238986	0.176362	-0.175323	0.7179939999999999	0.652675	0.10304200000000001
37	-0.128271	0.41898900000000006	0.23492800000000003	0.332552	-0.418908	0.28591	0.36330100000000004	-0.336045	0.085648	-0.11284000000000001	0.317874	-0.029693999999999998	-0.129279	0.206985	-0.214669	0.6579520000000001	0.407342	0.03743
38	-0.263443	0.13475499999999999	0.22006599999999998	-0.058875	-0.434532	-0.023548	0.163664	-0.336419	0.232677	0.205823	0.571928	0.103627	-0.24636100000000002	-0.045576	-0.11928599999999999	0.518443	0.362092	0.037442
39	-0.071793	0.081463	-0.159146	0.187048	-0.095867	0.043246	0.658461	-0.265201	0.098272	-0.122423	0.689755	-0.221354	-0.12106199999999999	0.095058	-0.302698	0.48562299999999997	0.43691499999999994	-0.099172
40	-0.33716799999999997	-0.000831	0.014516999999999999	-0.059738	-0.029223000000000002	-0.17488099999999998	-0.071494	0.10348099999999999	0.152699	0.015293000000000001	0.166694	-0.074101	-0.30392800000000003	0.157298	-0.03506	0.10826300000000001	-0.097036	-0.060162
41	-0.06777999999999999	-0.303626	-0.344727	0.11910699999999999	0.167349	-0.108679	0.088138	-0.22544899999999998	-0.305746	-0.44674899999999995	-0.166505	0.050936	0.059797	0.11702	-0.11288	-0.157864	-0.204008	-0.19388699999999998
42	-0.109372	0.07935700000000001	-0.217817	0.044662	-0.0372	-0.45988	-0.375375	0.021812	-0.181316	-0.129804	-0.34738	0.059949	0.060006	-0.004109000000000001	0.146278	-0.09485199999999999	-0.18844	-0.11795
43	-0.20524699999999999	-0.32627399999999995	-0.6072770000000001	-0.277265	0.27473000000000003	-0.5182	0.075062	-0.23172800000000002	-0.349076	-0.23947399999999996	-0.26377399999999995	-0.099376	0.361102	0.002042	-0.17793	-0.44759	-0.444266	-0.273939
44	-0.108661	-0.513894	-0.292958	0.155524	0.240761	-0.368203	-0.456707	0.004915	-0.058114	-0.24769000000000002	-0.32792899999999997	-0.092287	0.406941	0.06023200000000001	0.043724	-0.43582600000000005	-0.48808	-0.009548000000000001
45	0.197153	-0.590346	-0.46181400000000006	-0.254919	0.144965	-0.529001	-0.357263	0.117166	-0.320391	-0.177123	-0.332465	-0.09477200000000001	0.507123	-0.091572	0.357094	-0.6397609999999999	-0.358582	-0.022316
46	-0.127829	-0.452532	-0.039298	0.047319	0.14108099999999998	-0.114695	-0.254316	0.037231	-0.101913	0.07549	0.030837	0.038865	0.175714	0.297666	0.525311	-0.31394299999999997	-0.091886	0.165382
