name,__glayCluster,Unnamed: 2
nuoe,2,
nuof,2,
nuog,2,
nuoh,2,
nuoi,2,
nuoj,2,
nuok,2,
nuol,2,
nuom,2,
nuon,2,
pflb,2,
prfa,2,
prmc,2,
puua,2,
puub,2,
puuc,2,
puud,2,
puue,2,
puup,2,
rplb,2,
rplc,2,
rpld,2,
rplp,2,
rplv,2,
rplw,2,
rpmc,2,
rpsc,2,
rpsj,2,
rpsq,2,
rpss,2,
sdha,2,
sdhb,2,
sdhc,2,
sdhd,2,
suca,2,
sucb,2,
succ,2,
sucd,2,
tpx,2,
ubia,2,
ubic,2,
ybdn,2,
ydea,2,
aspa,2,
cysg,2,
dcua,2,
dcub,2,
fixa,2,
fixb,2,
fixc,2,
fixx,2,
nirb,2,
nirc,2,
nird,2,
frda,2,
frdb,2,
frdc,2,
frdd,2,
acre,2,
acrf,2,
adhe,2,
bcsb,2,
bcsz,2,
ccmd,2,
ccme,2,
ccmh,2,
cheb,2,
cher,2,
chey,2,
chez,2,
dcus,2,
dmsd,2,
dppa,2,
dppb,2,
dppc,2,
dppd,2,
dppf,2,
fdhf,2,
fdng,2,
fdnh,2,
fdni,2,
napa,2,
napb,2,
napc,2,
napd,2,
napf,2,
napg,2,
naph,2,
nark,2,
nika,2,
nikb,2,
nikc,2,
nikd,2,
nike,2,
norv,2,
norw,2,
nrdd,2,
nrdg,2,
nrfa,2,
nrfb,2,
nrfc,2,
nrfd,2,
nrfe,2,
nrff,2,
nrfg,2,
ompw,2,
ompx,2,
pept,2,
phem,2,
pita,2,
rimm,2,
rpls,2,
rplt,2,
rpsp,2,
tap,2,
tar,2,
trmd,2,
upp,2,
uraa,2,
xdha,2,
xdhb,2,
xdhc,2,
ydej,2,
ydht,2,
ydhu,2,
ydhv,2,
ydhw,2,
ydhx,2,
ydhy,2,
yecr,2,
ygba,2,
ynfe,2,
ynff,2,
ynfg,2,
ynfh,2,
ysga,2,
ytfe,2,
ogt,2,
year,2,
yoag,2,
nrde,2,
nrdf,2,
nrdh,2,
nrdi,2,
iscr,2,
isca,2,
iscs,2,
iscu,2,
ydiu,2,
narp,2,
norr,2,
yiis,2,
basr,3,
csgd,3,
puta,3,
qseb,3,
flhc,3,
flhd,3,
ompr,3,
cpxr,3,
baer,3,
fliz,3,
mlra,3,
yjjq,3,
lrha,3,
bola,3,
rsta,3,
baes,3,
mdta,3,
mdtb,3,
mdtc,3,
mdtd,3,
spy,3,
csge,3,
csgf,3,
csgg,3,
cspi,3,
dgka,3,
hha,3,
qsec,3,
yrbl,3,
ampc,3,
dacc,3,
ompf,3,
putp,3,
baca,3,
chea,3,
chew,3,
cpxa,3,
cpxp,3,
csga,3,
csgb,3,
csgc,3,
degp,3,
dsba,3,
dsbc,3,
mota,3,
motb,3,
ompc,3,
ppid,3,
psd,3,
rpoe,3,
rsea,3,
rseb,3,
rsec,3,
sbma,3,
slt,3,
tsr,3,
ung,3,
yaiw,3,
ycca,3,
yebe,3,
ygau,3,
yidq,3,
yqae,3,
yqja,3,
flgm,3,
flgn,3,
flia,3,
flie,3,
flif,3,
flig,3,
flih,3,
flii,3,
flij,3,
flik,3,
nlpa,3,
pepd,3,
wrba,3,
yccj,3,
ycct,3,
yhbs,3,
yhbt,3,
envy,3,
narg,3,
narh,3,
nari,3,
narj,3,
rplu,3,
rpma,3,
ecnb,3,
asr,3,
ybhl,3,
yfib,3,
yfir,3,
idnr,4,
gntr,4,
gntk,4,
gntt,4,
gntu,4,
gntx,4,
idnd,4,
idnk,4,
idno,4,
idnt,4,
eda,4,
edd,4,
kdgr,4,
xylr,5,
ascg,5,
prpr,5,
crp,5,
arac,5,
chbr,5,
fucr,5,
gals,5,
glpr,5,
gutm,5,
laci,5,
lsrr,5,
mali,5,
malt,5,
melr,5,
mhpr,5,
nagc,5,
rbsr,5,
rhar,5,
rhas,5,
srlr,5,
tdca,5,
uxur,5,
yiaj,5,
zrar,5,
exur,5,
iclr,5,
galr,5,
creb,5,
trer,5,
tdcr,5,
agar,5,
agaa,5,
agab,5,
agac,5,
agad,5,
agai,5,
agas,5,
agav,5,
agaw,5,
kbay,5,
kbaz,5,
araa,5,
arab,5,
arad,5,
arae,5,
araf,5,
arag,5,
arah,5,
araj,5,
xyla,5,
xylb,5,
ydem,5,
yden,5,
ygea,5,
acea,5,
aceb,5,
acek,5,
acnb,5,
gata,5,
gatb,5,
gatc,5,
gatd,5,
gaty,5,
gatz,5,
glpd,5,
glta,5,
mdh,5,
ptsg,5,
rhat,5,
treb,5,
trec,5,
infb,5,
ascb,5,
ascf,5,
htpg,5,
ybit,5,
aaea,5,
aaeb,5,
aaer,5,
aaex,5,
aer,5,
agp,5,
ampd,5,
ampe,5,
chba,5,
chbb,5,
chbc,5,
chbf,5,
chbg,5,
cpdb,5,
crr,5,
csie,5,
cspd,5,
cspe,5,
csta,5,
cyaa,5,
dksa,5,
dsda,5,
dsdx,5,
ebga,5,
ebgc,5,
envz,5,
epd,5,
exut,5,
fbaa,5,
fuca,5,
fuci,5,
fuck,5,
fuco,5,
fucp,5,
fucu,5,
gale,5,
galk,5,
galm,5,
galp,5,
galt,5,
gapa,5,
gcd,5,
