acrr	mara	-
acrr	marr	-
acrr	soxr	-
acrr	soxs	-
ada	aidb	+
adiy	gadx	+
arca	beti	-
arca	fnr	-
arca	gade	+
arca	gadx	+
arca	lldr	-
arca	puur	-
arca	xylr	+
argp	dnaa	+
ascg	prpr	-
basr	csgd	+
basr	puta	-
basr	qseb	+
crp	arac	+
crp	caif	+
crp	chbr	+
crp	csgd	+
crp	cytr	+-
crp	dcur	+
crp	fear	+
crp	fis	+
crp	flhc	+
crp	flhd	+
crp	fucr	+
crp	fur	+
crp	gade	-
crp	gadx	-
crp	gals	+
crp	glcc	+
crp	glng	+
crp	glpr	+
crp	gutm	+
crp	hupa	+
crp	hupb	+
crp	hyfr	+
crp	idnr	+
crp	laci	+
crp	lsrr	+
crp	mali	+
crp	malt	+
crp	mara	+
crp	marr	+
crp	melr	+
crp	mhpr	+
crp	mtlr	+
crp	nagc	+-
crp	ompr	+
crp	oxyr	+
crp	pdhr	+
crp	prpr	+
crp	puur	-
crp	rbsr	+
crp	rhar	+
crp	rhas	+
crp	srlr	+
crp	tdca	+
crp	uxur	+
crp	xylr	+
crp	yiaj	-
crp	zrar	+
cpxr	baer	+
cpxr	csgd	-
cpxr	mara	+
cpxr	marr	+
csgd	fliz	-
cspa	hns	+
cysb	cbl	+
evga	gade	+
evga	ydeo	+
exur	uxur	-
fnr	arca	+
fnr	cadc	+
fnr	caif	+
fnr	dcur	+
fnr	fhla	+
fnr	gadw	-
fnr	gadx	-
fnr	hyfr	-
fnr	nac	-
fnr	narl	-
fnr	nikr	+
fnr	pdhr	+-
fnr	soxr	-
fnr	soxs	-
fnr	tdca	+
fnr	yeil	-
fnr	yqji	+
fadr	accb	+
fadr	iclr	+
fhla	hyfr	+
fis	crp	-
fis	gadx	-
fis	glcc	-
fis	glng	+
fis	hns	+
fis	hupa	+
fis	hupb	-
fis	mara	+
fis	marr	+
fis	mtlr	-
fis	xylr	-
fliz	csgd	-
fliz	flhc	-
fliz	flhd	-
fliz	gade	-
fliz	mlra	-
fur	flhc	-
fur	flhd	-
fur	fnr	-
fur	metj	-
fur	nac	-
fur	purr	-
fur	soxr	-
fur	soxs	-
gade	gadw	+
gade	gadx	+
gade	lrp	+
gade	rcsa	+
gadw	gade	+
gadw	gadx	+-
gadx	gade	+
gadx	gadw	+
gadx	hns	+
galr	gals	-
gals	galr	-
gntr	idnr	-
gutm	srlr	+
hdfr	flhc	-
hdfr	flhd	-
hipb	hipa	-
leuo	bglj	+
leuo	cadc	-
leuo	yjjq	+
lexa	dinj	-
lexa	uvry	-
lexa	yafq	-
lrha	flhc	-
lrha	flhd	-
lrp	aidb	-
lrp	malt	+
lrp	stpa	+
lrp	yeil	+
mara	marr	+
mara	puta	+
mara	rob	-
marr	mara	-
metj	metr	-
mlra	cadc	+
mlra	csgd	+
mode	narl	+
nac	asnc	-
nac	fear	+
nagc	chbr	-
nagc	creb	-
narl	caif	-
narl	dcur	-
narl	nikr	-
ompr	bola	-
ompr	csgd	+
ompr	flhc	-
ompr	flhd	-
oxyr	fur	+
pdhr	mraz	-
phob	argp	+
phob	cusr	+
phob	fear	-
phob	gadw	+
phob	gadx	+
phob	prpr	-
phob	ydfh	+
phop	cysb	+
phop	gade	+
phop	gadw	+
phop	rsta	+
phop	trer	-
phop	ydeo	-
qseb	flhc	+
qseb	flhd	+
rcsb	gadx	-
rcsb	ydeo	+
relb	rele	-
rhar	rhas	+
rhas	rhar	+
rob	mara	+
rob	marr	+
rsta	csgd	-
sdia	gadw	+
soxr	soxs	+
soxs	fur	+
soxs	mara	+
soxs	marr	+
soxs	rob	-
stpa	leuo	-
tdcr	tdca	+
torr	gadx	-
ydeo	gade	+
ydeo	gadw	+
yedw	cusr	+
yefm	yoeb	-
yjjq	flhc	-
yjjq	flhd	-
accb	accc	-
acrr	acra	-
acrr	acrb	-
acrr	marb	-
acrr	micf	-
ada	alka	+
ada	alkb	+
adiy	adia	+
adiy	gada	+
adiy	gadb	+
adiy	gadc	+
adiy	gltb	+
adiy	gltd	+
adiy	gltf	+
agar	agaa	-
agar	agab	-
agar	agac	-
agar	agad	-
agar	agai	-
agar	agas	-
agar	agav	-
agar	agaw	-
agar	kbay	-
agar	kbaz	-
allr	alla	-
allr	allb	-
allr	gcl	-
allr	glxk	-
allr	glxr	-
allr	hyi	-
allr	ybbw	-
allr	ybby	-
appy	appa	+
appy	appb	+
appy	appc	+
appy	hyaa	+
appy	hyab	+
appy	hyac	+
appy	hyad	+
appy	hyae	+
appy	hyaf	+
arac	araa	+
arac	arab	+
arac	arad	+
arac	arae	+
arac	araf	+
arac	arag	+
arac	arah	+
arac	araj	+
arac	xyla	-
arac	xylb	-
arac	ydem	-
arac	yden	-
arac	ygea	+
arca	acea	-
arca	aceb	-
arca	acee	-
arca	acef	-
arca	acek	-
arca	acka	+
arca	acna	-
arca	acnb	-
arca	alda	-
arca	appa	+
arca	appb	+
arca	appc	+
arca	beta	-
arca	betb	-
arca	bett	-
arca	cada	-
arca	cadb	-
arca	caia	+
arca	caib	+
arca	caic	+
arca	caid	+
arca	caie	+
arca	cait	+
arca	citc	-
arca	citd	-
arca	cite	-
arca	citf	-
arca	citg	-
arca	citx	-
arca	cyda	+
arca	cydb	+
arca	cydc	+
arca	cydd	+
arca	cyoa	-
arca	cyob	-
arca	cyoc	-
arca	cyod	-
arca	cyoe	-
arca	dcta	-
arca	dcuc	+
arca	fada	-
arca	fadb	-
arca	fadd	-
arca	fade	-
arca	fadh	-
arca	fadl	-
arca	foca	+
arca	fuma	-
arca	fumb	+
arca	fumc	-
arca	gada	+
arca	gata	-
arca	gatb	-
arca	gatc	-
arca	gatd	-
arca	gaty	-
arca	gatz	-
arca	glcb	-
arca	glcd	-
arca	glcf	-
arca	glcg	-
arca	glpa	-
arca	glpb	-
arca	glpc	-
arca	glpd	-
arca	glta	-
arca	hema	+
arca	hyaa	+
arca	hyab	+
arca	hyac	+
arca	hyad	+
arca	hyae	+
arca	hyaf	+
arca	hyba	-
arca	hybb	-
arca	hybc	-
arca	hybd	-
arca	hybe	-
arca	hybf	-
arca	hybg	-
arca	hybo	-
arca	icd	-
arca	lldd	-
arca	lldp	-
arca	lpd	-
arca	mdh	-
arca	moea	+
arca	moeb	+
arca	ndh	-
arca	nuoa	-
arca	nuob	-
arca	nuoc	-
arca	nuoe	-
arca	nuof	-
arca	nuog	-
arca	nuoh	-
arca	nuoi	-
arca	nuoj	-
arca	nuok	-
arca	nuol	-
arca	nuom	-
arca	nuon	-
arca	oppa	-
arca	oppb	-
arca	oppc	-
arca	oppd	-
arca	oppf	-
arca	pflb	+
arca	prfa	+
arca	prmc	+
arca	ptsg	-
arca	puua	-
arca	puub	-
arca	puuc	-
arca	puud	-
arca	puue	-
arca	puup	-
arca	rhat	-
arca	rplb	-
arca	rplc	-
arca	rpld	-
arca	rplp	-
arca	rplv	-
arca	rplw	-
arca	rpmc	-
arca	rpos	-
arca	rpsc	-
arca	rpsj	-
arca	rpsq	-
arca	rpss	-
arca	sdha	+
arca	sdhb	+
arca	sdhc	+
arca	sdhd	+
arca	soda	-
arca	ssb	-
arca	suca	+
arca	sucb	+
arca	succ	+
arca	sucd	+
arca	tpx	-
arca	treb	+
arca	trec	+
arca	ubia	-
arca	ubic	-
arca	uvra	-
arca	ybdn	+
arca	ydea	-
argp	argo	+
argp	dapb	+
argp	dapd	+
argp	dnan	+
argp	gdha	+
argp	lysa	+
argp	lysc	+
argp	lysp	+
argp	nrda	+
argp	nrdb	+
argp	recf	+
argp	yfae	+
argr	arga	-
argr	argb	-
argr	argc	-
argr	argd	-
argr	arge	-
argr	argf	-
argr	argg	-
argr	argh	-
argr	argi	-
argr	arti	-
argr	artj	-
argr	artm	-
argr	artp	-
argr	artq	-
argr	asta	+
argr	astb	+
argr	astc	+
argr	astd	+
argr	aste	+
argr	cara	-
argr	carb	-
argr	gltb	-
argr	gltd	-
argr	gltf	-
argr	hisj	-
argr	hism	-
argr	hisp	-
argr	hisq	-
argr	infb	-
argr	mety	-
argr	nusa	-
argr	pnp	-
argr	rbfa	-
argr	rpso	-
argr	trub	-
arsr	arsb	-
arsr	arsc	-
ascg	ascb	-
ascg	ascf	-
ascg	htpg	-
ascg	ybit	-
asnc	asna	+
asnc	mioc	-
atoc	atoa	+
atoc	atob	+
atoc	atod	+
atoc	atoe	+
baer	acrd	+
baer	baes	+
baer	mdta	+
baer	mdtb	+
baer	mdtc	+
baer	mdtd	+
baer	spy	+
basr	csge	+
basr	csgf	+
basr	csgg	+
basr	cspi	+
basr	dgka	+
basr	fimb	+
basr	hha	+
basr	qsec	+
basr	yrbl	-
beti	beta	-
beti	betb	-
beti	bett	-
bira	bioa	-
bira	biob	-
bira	bioc	-
bira	biod	-
bira	biof	-
bola	ampc	+-
bola	dacc	+-
crp	aaea	+
crp	aaeb	+
crp	aaer	-
crp	aaex	+
crp	acea	-
crp	aceb	-
crp	acee	+
crp	acef	+
crp	acek	-
crp	acna	+
crp	acnb	+
crp	acs	+
crp	actp	+
crp	aer	+
crp	agaa	+
crp	agav	+
crp	agaw	+
crp	agp	+
crp	alda	+
crp	aldb	+
crp	ampd	-
crp	ampe	-
crp	ansb	+
crp	araa	+
crp	arab	+
crp	arad	+
crp	arae	+
crp	araf	+
crp	arag	+
crp	arah	+
crp	araj	+
crp	argg	+
crp	aroa	-
crp	ascb	+
crp	ascf	+
crp	aspa	+
crp	bglb	+
crp	bglf	+
crp	bglg	+
crp	caia	+
crp	caib	+
crp	caic	+
crp	caid	+
crp	caie	+
crp	cait	+
crp	cdd	+
crp	chba	+
crp	chbb	+
crp	chbc	+
crp	chbf	+
crp	chbg	+
crp	cira	+
crp	citc	-
crp	citd	-
crp	cite	-
crp	citf	-
crp	citg	-
crp	citx	-
crp	cpdb	+
crp	crr	+
crp	csge	+
crp	csgf	+
crp	csgg	+
crp	csie	+
crp	cspd	+
crp	cspe	+
crp	csta	+
crp	cyaa	-
crp	cyoa	+
crp	cyob	+
crp	cyoc	+
