name,__glayCluster,,
aaea,10,,
aaeb,10,,
aaer,10,,
aaex,10,,
acca,1,,
accb,1,,
accc,1,,
accd,1,,
acea,19,,
aceb,19,,
acee,24,,
acef,24,,
acek,19,,
acka,19,,
acna,8,,
acnb,11,,
acra,8,,
acrb,8,,
acrd,8,,
acre,19,,
acrf,19,,
acrr,8,,
acs,11,,
actp,11,,
ada,5,,
add,5,,
adhe,5,,
adia,10,,
adic,12,,
adiy,10,,
aer,19,,
agaa,10,,
agab,10,,
agac,10,,
agad,10,,
agai,10,,
agar,10,,
agas,10,,
agav,10,,
agaw,10,,
agp,10,,
ahpc,18,,
ahpf,18,,
aidb,5,,
alda,5,,
aldb,11,,
alka,5,,
alkb,5,,
alla,4,,
allb,4,,
allr,4,,
amn,12,,
ampc,10,,
ampd,10,,
ampe,10,,
amtb,10,,
ansb,11,,
apag,11,,
apah,11,,
appa,19,,
appb,19,,
appc,19,,
appy,19,,
araa,10,,
arab,10,,
arac,10,,
arad,10,,
arae,10,,
araf,10,,
arag,10,,
arah,10,,
araj,10,,
arca,19,,
arga,10,,
argb,10,,
argc,10,,
argd,8,,
arge,10,,
argf,10,,
argg,10,,
argh,10,,
argi,10,,
argo,5,,
argp,5,,
argr,10,,
argu,11,,
argw,11,,
argx,11,,
aroa,5,,
arof,30,,
arog,30,,
aroh,30,,
arol,30,,
arom,30,,
arop,30,,
arsb,6,,
arsc,6,,
arsr,6,,
arti,10,,
artj,10,,
artm,10,,
artp,10,,
artq,10,,
ascb,10,,
ascf,10,,
ascg,10,,
aslb,8,,
asna,5,,
asnb,10,,
asnc,5,,
aspa,19,,
aspc,18,,
asr,11,,
asta,10,,
astb,10,,
astc,10,,
astd,10,,
aste,10,,
atoa,7,,
atob,7,,
atoc,7,,
atod,7,,
atoe,7,,
avta,5,,
baca,8,,
baer,8,,
baes,8,,
basr,8,,
bcsb,19,,
bcsz,19,,
bdm,10,,
beta,19,,
betb,19,,
beti,19,,
bett,19,,
bglb,11,,
bglf,11,,
bglg,11,,
bglj,11,,
bioa,9,,
biob,9,,
bioc,9,,
biod,9,,
biof,9,,
bira,9,,
bola,10,,
bord,8,,
btub,10,,
cada,10,,
cadb,10,,
cadc,10,,
caia,19,,
caib,19,,
caic,19,,
caid,19,,
caie,19,,
caif,19,,
cait,19,,
cara,5,,
carb,5,,
cbl,14,,
cbpa,11,,
cbpm,11,,
ccma,19,,
ccmb,19,,
ccmc,19,,
ccmd,19,,
ccme,19,,
ccmf,19,,
ccmg,19,,
ccmh,19,,
cdar,18,,
cdd,19,,
chba,0,,
chbb,0,,
chbc,0,,
chbf,0,,
chbg,0,,
chbr,0,,
chea,8,,
cheb,19,,
cher,19,,
chew,8,,
chey,19,,
chez,19,,
cira,18,,
citc,19,,
citd,19,,
cite,19,,
citf,19,,
citg,19,,
citx,19,,
coda,5,,
codb,5,,
copa,19,,
cpdb,10,,
cpxa,8,,
cpxp,8,,
cpxr,8,,
crea,0,,
creb,0,,
crec,0,,
cred,0,,
crl,18,,
crp,10,,
crr,0,,
csga,8,,
csgb,8,,
csgc,8,,
csgd,8,,
csge,10,,
csgf,10,,
csgg,10,,
csie,10,,
csir,5,,
cspa,11,,
cspd,10,,
cspe,10,,
cspi,8,,
csta,10,,
cueo,19,,
cuer,19,,
cusa,12,,
cusb,12,,
cusc,12,,
cusf,12,,
cusr,12,,
cuss,12,,
cvpa,5,,
cyaa,10,,
cyda,19,,
cydb,19,,
cydc,19,,
cydd,19,,
cynr,13,,
cyns,13,,
cynt,13,,
cynx,13,,
cyoa,12,,
cyob,12,,
cyoc,12,,
cyod,12,,
cyoe,12,,
cysa,14,,
cysb,14,,
cysc,14,,
cysd,14,,
cysg,19,,
cysh,14,,
cysi,14,,
cysj,14,,
cysk,14,,
cysm,14,,
cysn,14,,
cysp,14,,
cysu,14,,
cysw,14,,
cytr,19,,
dacc,10,,
dada,5,,
dadx,5,,
dapb,5,,
dapd,5,,
dcta,19,,
dcua,19,,
dcub,19,,
dcuc,19,,
dcud,8,,
dcur,19,,
dcus,19,,
ddlb,24,,
degp,8,,
deoa,19,,
deob,19,,
deoc,19,,
deod,19,,
deor,19,,
dgka,8,,
dhak,15,,
dhal,15,,
dhar,15,,
dica,16,,
dicb,16,,
dicc,16,,
dinb,24,,
dind,24,,
dinf,24,,
ding,24,,
dini,0,,
dinj,24,,
dkga,33,,
dksa,10,,
dmsa,19,,
dmsb,19,,
dmsc,19,,
dmsd,19,,
dnaa,5,,
dnag,24,,
