Entrez	Official Symbol	Synonyms	Experiment Symbol
890	CCNA2	CCN1|CCNA	CCNA2
281667	CCNA2	CCNA	CCNA2
12428	Ccna2	AA408589|Ccn-1|Ccn1|Ccna|CycA2|Cyca	CCNA2
57820	CCNB1IP1	C14orf18|HEI10	CCNB1
891	CCNB1	CCNB	CCNB1
898	CCNE1	CCNE	CCNE1
983	CDK1	CDC2|CDC28A|P34CDC2	CDC2
5424	POLD1	CDC2|CRCS10|MDPL|POLD	CDC2
23834	Cdc6	CDC18L	CDC6
1033	CDKN3	CDI1|CIP2|KAP|KAP1	CDKN3
1869	E2F1	E2F-1|RBAP1|RBBP3|RBP3	E2F1
13555	E2f1	E2F-1|mKIAA4009	E2F1
5111	PCNA	ATLD2	PCNA
398425	MGC53867	PCNA	PCNA
18538	Pcna	-	PCNA
817506	PCNA2	A. THALIANA PROLIFERATING CELL NUCLEAR ANTIGEN 2|ATPCNA2|F16P2.5|F16P2_5|proliferating cell nuclear antigen 2	PCNA
837249	PCNA1	ATPCNA1|F22G5.29|F22G5_29|PROLIFERATING CELLULAR NUCLEAR ANTIGEN|PROLIFERATING CELLULAR NUCLEAR ANTIGEN 1	PCNA
5984	RFC4	A1|RFC37	RFC4
