Entrez	Official Symbol	Synonyms	Experiment Symbol
5594	MAPK1	ERK|ERK-2|ERK2|ERT1|MAPK2|P42MAPK|PRKM1|PRKM2|p38|p40|p41|p41mapk|p42-MAPK	ERK
5595	MAPK3	ERK-1|ERK1|ERT2|HS44KDAP|HUMKER1A|P44ERK1|P44MAPK|PRKM3|p44-ERK1|p44-MAPK	ERK
26413	Mapk1	9030612K14Rik|AA407128|AU018647|C78273|ERK|Erk2|MAPK2|PRKM2|Prkm1|p41mapk|p42mapk	ERK
116590	Mapk1	Erk2	ERK
5597	MAPK6	ERK3|HsT17250|PRKM6|p97MAPK	ERK
26417	Mapk3	Erk-1|Erk1|Ert2|Esrk1|Mnk1|Mtap2k|Prkm3|p44|p44erk1|p44mapk	ERK
5599	MAPK8	JNK|JNK-46|JNK1|JNK1A2|JNK21B1/2|PRKM8|SAPK1|SAPK1c	JNK
5602	MAPK10	JNK3|JNK3A|PRKM10|SAPK1b|p493F12|p54bSAPK	JNK
5601	MAPK9	JNK-55|JNK2|JNK2A|JNK2ALPHA|JNK2B|JNK2BETA|PRKM9|SAPK|SAPK1a|p54a|p54aSAPK	JNK
3551	IKBKB	IKK-beta|IKK2|IKKB|IMD15|NFKBIKB	IKK
1147	CHUK	IKBKA|IKK-alpha|IKK1|IKKA|NFKBIKA|TCF16	IKK
16151	Ikbkg	1110037D23Rik|AI848108|AI851264|AW124339|IKK[g]|NEMO	IKK
16150	Ikbkb	AI132552|IKK-2|IKK-beta|IKK2|IKK[b]|IKKbeta	IKK
12675	Chuk	AI256658|Chuk1|Fbx24|Fbxo24|IKBKA|IKK1|Ikka|NFKBIKA	IKK
5605	MAP2K2	CFC4|MAPKK2|MEK2|MKK2|PRKMK2	MK2
9261	MAPKAPK2	MAPKAP-K2|MK-2|MK2	MK2
6416	MAP2K4	JNKK|JNKK1|MAPKK4|MEK4|MKK4|PRKMK4|SAPKK-1|SAPKK1|SEK1|SERK1|SKK1	MEK
4214	MAP3K1	MAPKKK1|MEKK|MEKK 1|MEKK1|SRXY6	MEK
5604	MAP2K1	CFC3|MAPKK1|MEK1|MKK1|PRKMK1	MEK
26395	Map2k1	MAPKK1|MEKK1|Mek1|Prkmk1	MEK
26398	Map2k4	JNKK1|MEK4|MKK4|PRKMK4|Sek1|Serk1	MEK
379991	map2k1	mek-2	MEK
2309	FOXO3	AF6q21|FKHRL1|FKHRL1P2|FOXO2|FOXO3A	FKHR
2308	FOXO1	FKH1|FKHR|FOXO1A	FKHR
56458	Foxo1	AI876417|Afxh|FKHR|Fkhr1|Foxo1a	FKHR
3667	IRS1	HIRS-1	IRS1-Ser
3667	IRS1	HIRS-1	IRS1-Tyr
25467	Irs1	IRS1IRM	IRS1-Tyr
841	CASP8	ALPS2B|CAP4|Casp-8|FLICE|MACH|MCH5	Caspase-8
1956	EGFR	ERBB|ERBB1|HER1|NISBD2|PIG61|mENA	EGFR
13649	Egfr	9030024J15Rik|AI552599|Erbb|Errb1|Errp|Wa5|wa-2|wa2	EGFR
208	AKT2	HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA	Akt
207	AKT1	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA	Akt
10000	AKT3	MPPH|MPPH2|PKB-GAMMA|PKBG|PRKBG|RAC-PK-gamma|RAC-gamma|STK-2	Akt
11651	Akt1	Akt|PKB|PKB/Akt|PKBalpha|Rac	Akt
11652	Akt2	2410016A19Rik|AW554154|PKB|PKBbeta	Akt
23797	Akt3	AI851531|D930002M15Rik|Nmf350	Akt
