name,__glayCluster,,
zwf,0,,
zur,84,,
zras,8,,
zrar,8,,
zrap,8,,
znuc,84,,
znub,84,,
znua,84,,
zntr,83,,
znta,83,,
ytfe,73,,
ysga,1,,
yrbl,42,,
yqji,13,,
yqjh,13,,
yqja,41,,
yqhd,82,,
yqhc,82,,
yqae,41,,
ypdb,81,,
yoji,49,,
yoeb,26,,
yoag,73,,
yoac,9,,
ynfk,2,,
ynfh,12,,
ynfg,12,,
ynff,12,,
ynfe,12,,
ynce,0,,
ykgo,84,,
ykgm,84,,
yjjz,13,,
yjjq,59,,
yjiy,80,,
yjhc,42,,
yjhb,42,,
yjch,58,,
yiis,10,,
yidq,41,,
yiao,7,,
yian,7,,
yiam,7,,
yial,7,,
yiak,7,,
yiaj,7,,
yhjx,81,,
yhjc,20,,
yhja,4,,
yhid,22,,
yhhy,13,,
yhfa,2,,
yhch,42,,
yhbt,21,,
yhbs,21,,
ygic,0,,
ygib,0,,
ygia,0,,
ygeh,9,,
ygea,32,,
ygba,1,,
ygau,41,,
ygac,13,,
yfir,59,,
yfib,59,,
yfdx,29,,
yfdv,29,,
yfde,29,,
yfbr,9,,
yfae,37,,
yeiw,2,,
yeip,2,,
yeil,49,,
yeib,18,,
yeht,80,,
yegr,29,,
yegh,20,,
yefm,26,,
yedx,25,,
yedw,25,,
yecr,1,,
yebg,16,,
yebe,41,,
year,73,,
ydjm,16,,
ydiv,16,,
ydiu,4,,
ydhy,73,,
ydhx,73,,
ydhw,73,,
ydhv,73,,
ydhu,73,,
ydht,73,,
ydfx,68,,
ydfw,68,,
ydfh,20,,
ydfe,68,,
ydfd,68,,
ydep,22,,
ydeo,10,,
yden,32,,
ydem,44,,
ydej,1,,
ydea,1,,
ydcv,11,,
ydcu,11,,
ydct,11,,
ydcs,11,,
ydbk,0,,
yciw,9,,
ychh,2,,
ychf,4,,
ycdz,3,,
ycct,21,,
yccj,21,,
ycca,41,,
ybjn,0,,
ybjg,27,,
ybjc,0,,
ybit,62,,
ybhl,59,,
ybfn,44,,
ybfe,16,,
ybdz,13,,
ybdn,1,,
ybby,31,,
ybbw,31,,
ybat,29,,
ybas,29,,
ybao,0,,
yaiw,41,,
yaia,77,,
yafq,16,,
yafp,16,,
yafo,16,,
yafn,16,,
yaeq,2,,
yaep,2,,
xylr,32,,
xylh,32,,
xylg,32,,
xylf,32,,
xylb,32,,
xyla,32,,
xsea,2,,
xdhc,1,,
xdhb,1,,
xdha,1,,
xapr,79,,
xapb,79,,
xapa,79,,
wrba,21,,
valy,58,,
valx,58,,
valu,58,,
valt,58,,
uxur,6,,
uxub,6,,
uxua,6,,
uxac,6,,
uxab,6,,
uxaa,6,,
uvry,22,,
uvrd,16,,
uvrc,16,,
uvrb,16,,
uvra,16,,
uspe,29,,
uspa,14,,
uraa,1,,
upp,1,,
ung,41,,
umud,16,,
umuc,16,,
ular,78,,
ulag,78,,
ulaf,78,,
ulae,78,,
ulad,78,,
ulac,78,,
ulab,78,,
ulaa,78,,
uidr,6,,
uidc,6,,
uidb,6,,
uida,6,,
uhpt,22,,
uhpa,22,,
ugpq,20,,
ugpe,20,,
ugpc,20,,
ugpb,20,,
ugpa,20,,
udp,3,,
ubix,15,,
ubig,2,,
ubic,1,,
ubia,1,,
tyrv,58,,
tyru,58,,
tyrt,58,,
tyrr,77,,
tyrp,77,,
tyrb,77,,
tyra,77,,
tyna,11,,
tufb,58,,
tsx,3,,
tsr,41,,
trxc,4,,
trxa,2,,
trub,38,,
trpr,77,,
trpl,77,,
trpe,77,,
trpd,77,,
trpc,77,,
trpb,77,,
trpa,77,,
trmd,1,,
trma,58,,
trg,58,,
trer,27,,
trec,27,,
treb,27,,
tpx,1,,
tpr,58,,
torr,22,,
tord,22,,
torc,22,,
tora,22,,
topa,58,,
tonb,13,,
tolc,0,,
tnac,22,,
tnab,22,,
tnaa,22,,
tktb,20,,
thrw,58,,
thrv,49,,
thru,58,,
thrt,58,,
thiq,76,,
thip,76,,
tfaq,13,,
tdh,49,,
tdcr,24,,
tdcg,24,,
tdcf,24,,
tdce,24,,
tdcd,24,,
tdcc,24,,
tdcb,24,,
tdca,24,,
tbpa,76,,
taud,9,,
tauc,9,,
taub,9,,
taua,9,,
tar,1,,
tap,1,,
tam,2,,
tala,19,,
sula,16,,
sufs,4,,
sufe,4,,
sufd,4,,
sufc,4,,
sufb,4,,
sufa,4,,
sucd,13,,
succ,1,,
sucb,1,,
suca,1,,
stpa,17,,
ssue,9,,
ssud,9,,
ssuc,9,,
ssub,9,,
ssua,9,,
ssrs,17,,
ssb,16,,
srlr,63,,
srle,63,,
srld,63,,
srlb,63,,
srla,63,,
sra,59,,
spy,41,,
spf,2,,
spec,2,,
speb,15,,
spea,15,,
soxs,0,,
soxr,0,,
sohb,2,,
sodb,2,,
soda,0,,
slyb,27,,
slya,51,,
slt,41,,
slp,29,,
sgrs,76,,
sgrr,76,,
sgbu,7,,
sgbh,7,,
sgbe,7,,
sfsa,2,,
seta,76,,
serx,58,,
sert,58,,
serc,49,,
sera,11,,
secb,2,,
sdia,16,,
sdhd,1,,
sdhc,1,,
sdhb,1,,
sdha,1,,
sdaa,49,,
sbmc,16,,
sbma,41,,
sbcd,20,,
sbcc,20,,
ryhb,13,,
ryba,4,,
ruvb,16,,
ruva,16,,
rtcr,75,,
rtcb,75,,
rtca,75,,
rstb,27,,
rsta,21,,
rsec,41,,
rseb,41,,
rsea,41,,
rrsh,49,,
rrsg,49,,
rrse,49,,
rrsd,49,,
rrsc,49,,
rrsb,49,,
rrsa,49,,
rrlh,49,,
rrlg,49,,
rrle,49,,
