G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.4684155	0.3703197	0.1099646	0.9725005	0.3740296	0.1680570	0.2546723	0.0304204	0.0686578
0.0138028	0.0000000	0.0613758	0.0243461	0.9766080	0.0605682	0.0403904	0.1973709	0.0074496	0.0727899
0.0610232	0.5109680	0.0000000	0.1873040	0.9569273	0.4768653	0.1812502	0.2893356	0.0486671	0.0456373
0.0416005	0.4466514	0.4156673	0.0000000	1.0214175	0.4743125	0.1888215	0.2959933	0.0472528	0.0333500
0.8139626	0.8643932	0.6657534	0.6201828	0.0000000	0.9595323	0.7966515	0.8482851	0.7548113	1.0550826
0.0474766	0.5168264	0.3090760	0.1161527	1.0305211	0.0000000	0.1614241	0.2918023	0.0523931	0.0481834
0.0594512	0.4640439	0.4187692	0.1607226	0.9558155	0.5024553	0.0000000	0.3438743	0.0790802	0.0309319
0.0772984	0.5592335	0.4140245	0.1382720	0.9481565	0.5289646	0.2520899	0.0000000	0.0730453	0.0448943
0.0749403	0.4592088	0.3924534	0.1723624	1.0440709	0.4876040	0.1746012	0.3140693	0.0000000	0.0519138
0.0839567	0.4783388	0.4245906	0.1359488	0.9824660	0.4270901	0.1758349	0.2407544	0.0723148	0.0000000
