G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.9840644	0.0665290	0.8523071	0.1232780	0.1856955	0.8943210	0.5519685	0.5996092	0.6598815	0.9998137
0.7994752	0.1865453	1.0000000	0.0838978	0.1876648	0.3341594	1.0000000	0.4618608	0.2594242	0.9817810
1.0000000	0.1711768	0.8447614	0.1378891	0.2670610	0.5246721	1.0000000	0.3344459	0.3744791	0.9999904
1.0000000	0.1497300	1.0000000	0.0693430	0.1876648	0.5250704	1.0000000	0.5183586	0.3744791	0.9817829
0.9010665	0.1847462	1.0000000	0.0838978	0.1517048	0.6878353	0.8036160	0.6460413	0.5607138	0.9817542
1.0000000	0.1736127	1.0000000	0.0838978	0.1124332	0.4917333	0.5839900	0.5628665	0.7045819	0.9998949
0.9950009	0.1359772	0.9391182	0.0575582	0.1914697	0.4453225	1.0000000	0.5183586	0.3524510	0.9817816
1.0000000	0.1581510	1.0000000	0.0711889	0.1216260	0.5803322	0.9116499	0.5733378	0.4289115	0.9999737
0.6867453	0.1421283	0.8429931	0.1387287	0.0988378	0.5602534	1.0000000	0.5183586	0.3744791	0.9999846
0.8975671	0.0097517	1.0000000	0.0487745	0.1632039	0.7056765	0.7831535	0.6603133	0.5830410	0.9999636
