G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0336915	0.6039074	0.0919739	0.1285515	0.7567211	0.1747144	0.1726750	0.0672715	0.7177546	0.3725951
0.0328125	0.8308835	0.0039150	0.1853876	0.6431931	0.1857097	0.1949191	0.1673277	0.6436507	0.2064521
0.1031352	0.7147273	0.0370355	0.2140563	0.6915474	0.6125370	0.1235532	0.2162697	0.4471395	0.4032432
0.1539411	0.4951691	0.0024015	0.1894486	0.5885695	0.2150168	0.2303893	0.1686483	0.5390894	0.5484096
0.2951502	0.3424566	0.0123747	0.0728670	0.4708292	0.0516244	0.2279482	0.0034518	0.5967945	0.4896305
0.0956840	0.5156440	0.1040129	0.1853443	0.5139538	0.2281201	0.1239215	0.1653320	0.6792796	0.3122576
0.0920451	0.8031981	0.0670518	0.0013245	0.5124121	0.2013372	0.1136122	0.1408537	0.5347749	0.4569417
0.0773780	0.5475986	0.0078144	0.1298522	0.8112978	0.3369130	0.0550769	0.0982204	0.6882536	0.2454277
0.0402379	0.6775371	0.0105163	0.1058174	0.7480278	0.0941870	0.1487404	0.0012697	0.7070109	0.3710662
0.1221088	0.4054483	0.0024776	0.2200563	0.4529148	0.2363208	0.2086000	0.2540120	0.7419645	0.4714348
