G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0249788	0.2467322	0.3072280	0.1662779	0.2823703	0.1960423	0.1191473	0.7494667	0.7499610	0.0797128
0.2032118	0.0174721	0.0015016	0.1515456	0.2146996	0.3236951	0.3305998	0.4015829	0.4504488	0.0064237
0.1481419	0.2024820	0.3756919	0.3424989	0.4215850	0.2025457	0.3361993	0.4980472	0.6269233	0.0184652
0.1764842	0.0450907	0.3546718	0.2213660	0.4203891	0.2776992	0.1362493	0.8479798	0.5625700	0.0096695
0.2494987	0.2013077	0.0203938	0.3207313	0.2766041	0.1503065	0.3132178	0.8006620	0.6742407	0.0046123
0.0004986	0.0150181	0.0024388	0.0125557	0.7303962	0.7565372	0.2909570	0.7381050	0.5862073	0.2846074
0.0321756	0.0929253	0.0050313	0.5136796	0.7389092	0.2444836	0.4042119	0.7560513	0.5488136	0.2506266
0.0009829	0.0784596	0.1187227	0.0688786	0.4937860	0.2569271	0.4614853	0.7680347	0.3963403	0.0078252
0.0322868	0.1369528	0.1714428	0.5486205	0.7122860	0.3279935	0.5218328	0.7975750	0.6910340	0.0053688
0.1177782	0.0494789	0.1209364	0.0514802	0.5150712	0.2192912	0.2153827	0.7747050	0.5012459	0.2795938
