G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.8677033	0.1147722	0.7840615	0.3266977	0.1252516	0.5079664	0.6057888	0.0452440	1.0207045	0.1597760
0.8828344	0.0822041	1.0671673	0.4680457	0.0084945	0.4479174	0.0074121	0.0183434	0.8945389	0.2574606
0.8857963	0.0512247	1.0597516	0.6244565	0.1131783	0.4647026	0.2733365	0.0288547	0.9634093	0.1316150
0.9865351	0.0717080	0.9505309	0.6425231	0.0094850	0.3928954	0.0398191	0.0502576	0.8767402	0.0794144
0.7684375	0.0813857	0.9254173	0.5158573	0.0031507	0.4034433	0.2258635	0.0195319	0.9685942	0.1766537
0.9742115	0.1217164	0.9818590	0.5626946	0.0676860	0.3278599	0.0145658	0.0289474	1.0528460	0.2550681
0.8071810	0.0160648	1.0009560	0.5437034	0.0013602	0.3871490	0.2518166	0.0370584	1.0229786	0.1713037
1.0119752	0.0077221	0.9631254	0.5577872	0.1354434	0.3592447	0.0154880	0.0364834	1.0103692	0.2280607
0.8213810	0.1051975	1.0372978	0.6473997	0.1175547	0.0886373	0.0073855	0.0463811	1.1184221	0.1099901
0.8858927	0.0618362	1.0846779	0.6899453	0.0959190	0.4729234	0.0005138	0.0479257	0.9977746	0.1826285
