G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.9713332	0.7116099	0.7644844	0.9998898	0.8080746	1.0000000	0.7237334	0.3336957	0.1942286	0.2031292
0.9714757	0.9116523	0.8763316	0.9999169	0.7858977	1.0000000	0.9117868	0.3413635	0.1310289	0.3756747
0.9999483	1.0000000	0.8668239	0.9218310	0.6146627	0.6286568	0.6997288	0.6176532	0.4877384	0.5501434
0.9709723	0.5526957	0.7640256	0.9220819	0.6332785	1.0000000	0.6802642	0.4667384	0.1432685	0.4514359
0.9715117	1.0000000	0.8429759	0.9999413	0.7581395	1.0000000	0.7769905	0.4555704	0.1942287	0.4875986
0.9741248	0.8094749	0.7958759	0.9999077	0.7251540	1.0000000	0.7447462	0.4513082	0.1942286	0.4747085
0.9715164	0.9329681	0.9504908	0.9222377	0.9572318	1.0000000	0.7671327	0.4667384	0.1803288	0.4875986
0.9998544	0.7653104	0.7646017	0.9997389	0.8645917	0.7744087	0.6979530	0.5507802	0.2268013	0.5087449
0.9999164	0.8626749	0.9534442	0.9999124	0.8469251	1.0000000	0.8412905	0.4667384	0.1055954	0.4441961
0.9999126	0.9121850	0.9406389	0.9221992	0.8173148	1.0000000	0.7634998	0.4667384	0.1942287	0.4103331
