YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C
0.0000000	0.8307266	0.3578915	0.7631043	0.6429871	1.1132568	0.0160710	0.0000000	0.9122482	0.9848848
0.9907111	0.9821205	0.0000000	0.9209760	0.3283720	0.5229155	1.0363475	0.0000000	0.9791782	1.0660032
0.9251593	0.7711253	0.0150581	0.0000000	0.0000000	0.9163601	0.2942286	0.4560278	0.9562243	1.0392145
0.9699970	1.0132479	0.0170275	0.0000000	0.4647669	0.7763019	0.6866661	0.2602363	0.0000000	0.9380337
0.8746649	0.7625017	0.3989924	1.0431723	0.0000000	0.6993505	0.5971286	0.3218944	0.0000000	1.0725072
1.1047680	0.8108781	0.3078089	0.7123564	0.6170426	1.0274355	0.0000000	0.0144579	0.0000000	0.9737403
