YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W
0.6311608	0.4038981	0.4063448	0.6547141	0.0874139	0.4112129	0.6104364	0.1135539	0.6818857	0.1568112
0.7254328	0.0829198	0.3490578	0.5923487	0.0599596	0.6295138	0.6912849	0.3477923	0.5517473	0.2479059
0.8008417	0.3600754	0.3158574	0.5727555	0.0822957	0.5743137	0.6930064	0.4740493	0.6243769	0.2368067
0.7166558	0.2716881	0.3216680	0.7135728	0.0310130	0.5146008	0.7383444	0.5008980	0.6499414	0.0102199
0.6489981	0.4230492	0.3129581	0.4774807	0.1205987	0.4252459	0.7333288	0.3825527	0.7464427	0.1624642
0.7625783	0.3236534	0.2263026	0.7305740	0.0324455	0.6031221	0.5947516	0.3050903	0.5453654	0.0219347
0.6073292	0.2450092	0.3405651	0.7224794	0.1023352	0.6023525	0.6329399	0.7385106	0.7483424	0.2256446
0.5857056	0.1757985	0.2817543	0.6740505	0.1123923	0.4313693	0.7879772	0.3396860	0.5202079	0.1833339
0.6977465	0.2118384	0.2182688	0.4844358	0.0749187	0.4879514	0.7482758	0.2018080	0.7377976	0.2217102
0.7506743	0.0862541	0.3474373	0.6959128	0.1132295	0.5803038	0.6343771	0.5113766	0.3747892	0.2606061
