YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W
0.0000000	0.5328820	0.3382137	0.7539036	0.2465801	0.4784040	0.8598511	0.6325118	0.4982295	0.8159334
0.0292750	0.0000000	0.3314699	0.8082889	0.2840366	0.4289241	0.7310397	0.6509482	0.3957309	0.6452828
0.4462484	0.7852049	0.0000000	0.6456403	0.2174315	0.3371467	0.7248418	0.6779872	0.4401443	0.7367572
0.1107569	0.2176364	0.9014236	0.0000000	0.2580070	0.3491517	0.7481286	0.7124669	0.3911944	0.7382105
0.5203278	0.6629935	0.3229689	0.7335941	0.0000000	0.3380847	0.6966160	0.6103218	0.3838976	0.7254977
0.4530567	0.6077538	0.3869121	0.7912360	0.0088402	0.0000000	0.8031736	0.5625799	0.3978971	0.7113814
0.4263455	0.5051691	0.3062024	0.6131170	0.2848596	0.0165436	0.0000000	0.4925097	0.3872925	0.7527208
0.4883926	0.6608271	0.3035010	0.6907825	0.2031817	0.1460427	0.2187775	0.0000000	0.4031288	0.6674845
0.3826563	0.5664702	0.4142649	0.7939575	0.1369600	0.3629247	0.6067282	0.2609727	0.0000000	0.8357568
0.4989253	0.4974658	0.3459740	0.7066603	0.2642688	0.4409084	0.7382485	0.7330178	0.0113249	0.0000000
