"Time"	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W

0	0.9227163	0.1146719	0.1874815	0.2701716	0.9999934	0.0232878	0.4167553	0.9901422	0.0745021	0.6520078
50	0.9226337	0.1146961	0.1872201	0.2767537	0.7963559	0.0233055	0.4167554	0.9901422	0.0745022	0.6519803
100	0.9225901	0.1146029	0.1812636	0.3150165	0.6179137	0.0233152	0.4167555	0.9901422	0.0745022	0.6521078
150	0.9226283	0.1138310	0.1638326	0.3717610	0.5388195	0.0233125	0.4167554	0.9901422	0.0745022	0.6531826
200	0.9229334	0.1119719	0.1421618	0.4205988	0.5083708	0.0232707	0.4167550	0.9901422	0.0745021	0.6559448
250	0.9236854	0.1095532	0.1242027	0.4521730	0.4971928	0.0231571	0.4167539	0.9901422	0.0745018	0.6598511
300	0.9248297	0.1073369	0.1121083	0.4693787	0.4931631	0.0229681	0.4167523	0.9901422	0.0745015	0.6637696
350	0.9261199	0.1056876	0.1048632	0.4777787	0.4917209	0.0227351	0.4167507	0.9901423	0.0745012	0.6669593
400	0.9273089	0.1046077	0.1008281	0.4815852	0.4912064	0.0225003	0.4167492	0.9901424	0.0745009	0.6692305
450	0.9282598	0.1039565	0.0986899	0.4832215	0.4910230	0.0222948	0.4167481	0.9901424	0.0745007	0.6707079
500	0.9289458	0.1035849	0.0975980	0.4838984	0.4909578	0.0221329	0.4167473	0.9901425	0.0745005	0.6716089
550	0.9294041	0.1033812	0.0971026	0.4700325	0.6945724	0.0220150	0.4167468	0.9901425	0.0745004	0.6721323
600	0.9296925	0.1032789	0.0979370	0.4114991	0.8730066	0.0219344	0.4167465	0.9901426	0.0745004	0.6724125
650	0.9298617	0.1032817	0.1026739	0.3501456	0.9520979	0.0218828	0.4167464	0.9901426	0.0745003	0.6724482
700	0.9299340	0.1034906	0.1135897	0.3097404	0.9825456	0.0218552	0.4167463	0.9901426	0.0745003	0.6720349
750	0.9298860	0.1040820	0.1297670	0.2881658	0.9937233	0.0218552	0.4167463	0.9901426	0.0745003	0.6708274
