YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.0592129	0.6229047	0.4821757	0.3618443	0.4906420	0.1454487	0.3341821	0.5315368	0.4983050	0.0636113
0.1677948	0.4042473	0.3915072	0.3008420	0.5528935	0.2059202	0.4216805	0.1668161	0.2793312	0.2191520
0.0963252	0.8453697	0.3237641	0.5080996	0.6308390	0.1447414	0.3328608	0.7392954	0.6728755	0.0624906
0.0958565	0.8494836	0.3209863	0.2566595	0.6368532	0.1101355	0.2332731	0.7438401	0.6768827	0.0250676
0.1044044	0.7436546	0.4188230	0.3188358	0.2696570	0.1224225	0.2797432	0.6700346	0.6027343	0.0348986
0.1120701	0.6716709	0.5068057	0.3802900	0.4784305	0.0705464	0.3254657	0.5958514	0.5428507	0.0102825
0.1120495	0.6718993	0.5065562	0.3802097	0.4781561	0.1007063	0.1626985	0.5959808	0.5430178	0.0195742
0.1117895	0.6741672	0.5034498	0.3781855	0.4713926	0.2050487	0.4205912	0.2991951	0.5449801	0.2160812
0.1029189	0.7610916	0.4001823	0.3064050	0.5471078	0.1948899	0.4085334	0.2097527	0.3075756	0.1820610
0.1119881	0.6721602	0.5063058	0.3799680	0.4767818	0.1409355	0.3251248	0.5967350	0.5434456	0.0284162
