YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.0000003	0.0703799	0.1039396	0.1977659	0.2493944	0.6262668	0.0681266	0.0094006	0.9819995	1.0000000
0.1734324	0.0000002	0.1039396	0.1977659	0.2493944	0.6262668	0.0681266	0.0092959	0.9819995	1.0000000
0.1734322	0.0701397	0.0000000	0.1977659	0.2493944	0.6262668	0.0681266	0.0093993	0.9819996	1.0000000
0.0296046	0.0701403	0.0233229	0.0000001	0.2493944	0.6262668	0.0681266	0.0083751	0.9999999	1.0000000
0.6568684	0.6855636	0.9981118	0.9999997	0.0000000	0.9076189	0.5679495	0.7038664	0.1929497	1.0000000
0.6285803	0.6846540	0.9970084	0.9172369	0.0046705	0.0000000	0.5649075	0.7023924	0.2240624	1.0000000
0.2059895	0.0758734	0.2345712	0.3172547	0.0229670	0.0741912	0.0000000	0.0234354	0.9659420	1.0000000
0.1734324	0.0703799	0.1039396	0.1977659	0.2493944	0.6262668	0.0681266	0.0000008	0.9819995	1.0000000
0.1444651	0.0701606	0.0560124	0.1653743	0.3392750	0.7316296	0.1304553	0.4521900	0.0000000	1.0000000
0.1734324	0.0703799	0.1039396	0.1977659	0.2493944	0.6262668	0.0681266	0.0083760	1.0000000	0.0000000
