YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.0710689	0.0556223	0.4334465	0.7656462	0.9994996	0.0122689	0.9374259	0.9328078	0.6958690	0.6503911
0.1014336	0.0278112	0.4334465	0.7656461	0.9994996	0.0122689	0.9374262	0.9328086	0.6958687	0.6503895
0.1270531	0.0456932	0.2161852	0.7682796	0.9994251	0.0131452	0.8835641	0.8181410	0.5415566	0.7858290
0.1987933	0.0917819	0.6539794	0.3823845	0.9995039	0.0122178	0.9411310	0.9446257	0.7284111	0.6220167
0.1341477	0.0503628	0.3683426	0.9485804	0.4997580	0.0123194	0.9336943	0.9214766	0.6704264	0.6728652
0.1421363	0.0556253	0.4334881	0.7655317	0.9998765	0.0061344	0.9374262	0.9328101	0.6958795	0.6503862
0.1420343	0.0555266	0.4322219	0.7689464	0.9887752	0.0554485	0.4687050	0.9327242	0.6955372	0.6505712
0.1387432	0.0533878	0.4094099	0.8276716	0.8251823	0.2341740	0.2942761	0.4647864	0.6880049	0.6572117
0.1399302	0.0541786	0.4184529	0.8035342	0.8986708	0.1695873	0.3281404	0.4793249	0.3785952	0.9073231
0.1441517	0.0569448	0.4457201	0.7365732	0.9994789	0.0125422	0.9186894	0.8833903	0.6085970	0.3639711
