"Time"	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W

0	0.7369475	1.0234480	1.1137957	0.1188920	0.1464410	0.2426073	1.0883786	1.0510388	0.0881411	1.0205315
50	0.7968850	0.9920572	0.8046406	0.7757731	0.2029842	0.0727828	0.9630154	1.0303241	0.0848716	1.0282714
100	0.7939446	0.9345576	0.1117102	0.9083979	0.4052307	0.0278479	1.0968933	0.9242648	0.0771917	0.9886861
150	0.7660966	0.9235505	0.0298919	0.9290959	0.6006981	0.0169835	0.9724346	0.8773890	0.0907410	0.9466749
200	0.7760010	1.0612572	0.0200774	0.9977474	0.7193530	0.0069961	0.9523775	0.9570405	0.0825767	1.0155979
250	0.7786966	1.0409746	0.0102351	0.9773711	0.8026849	0.0158537	1.0207950	1.0874060	0.1278255	0.9706127
300	0.8252599	0.9853129	0.0134109	0.8894118	0.8378258	0.0152133	0.9660461	1.1145107	0.1049412	1.0806951
350	0.8878164	1.0101248	0.0080631	0.9691872	0.8311375	0.0173734	1.0206693	1.0649691	0.1002834	1.1135001
400	0.8515587	1.0361876	0.0080646	0.9860312	0.7983761	0.0086713	1.0588909	1.0181906	0.0910128	1.0357341
450	0.8923017	0.9983404	0.0279574	0.9393142	0.8544164	0.0143997	1.0820450	0.9705330	0.0904568	0.9736294
500	0.8762382	0.9622567	0.0077354	0.9990751	0.7791044	0.0039146	1.1330255	0.9793721	0.0918556	1.0209147
550	0.8070358	1.0225000	0.0133459	0.5920303	0.8327267	0.1287957	1.0855286	0.9606880	0.0755989	1.0737105
600	0.7658430	1.0037142	0.0441111	0.5441602	0.6531085	0.1569881	1.0468624	0.9918571	0.1290207	1.0759633
650	0.7729737	1.0495927	0.0572614	0.4270729	0.4614932	0.1812475	0.9886787	1.0108398	0.1072628	0.9811983
700	0.7942068	1.1075397	0.1658588	0.2976147	0.4375543	0.1854392	0.9007423	0.9861164	0.1031043	0.9537176
750	0.7602286	1.0693820	0.3329958	0.2167872	0.3570767	0.2042278	0.9850158	0.9550637	0.1019402	0.8939963
800	0.8313498	1.0505256	0.7425992	0.1656086	0.2759317	0.2290928	1.0107869	1.0139586	0.1288349	1.0652039
850	0.8452229	0.9488573	0.8559876	0.1258518	0.2015372	0.2162244	1.1098195	1.0357588	0.1033484	1.1076915
900	0.7429622	0.9964625	0.8985143	0.0924307	0.1531931	0.2061774	1.1214563	0.9675311	0.0993235	1.0217971
950	0.7562426	1.0454873	0.9517137	0.0977117	0.1353611	0.1596472	1.0301509	1.0354091	0.1265324	1.0525230
1000	0.7551003	1.0043570	0.9904353	0.0752373	0.1153305	0.1893821	1.0568755	0.9996160	0.1089518	0.9578647

0	0.7369475	1.0234480	1.1137957	0.1188920	0.1464410	0.2426073	1.0883786	1.0510388	0.0881411	1.0205315
50	0.7306530	0.9936136	0.3227935	0.2853358	0.1570315	0.1961614	0.9437806	0.9419517	0.1810527	0.2434376
100	0.7171161	0.9718124	0.2064712	0.2923799	0.1676006	0.2384698	0.8868147	1.0131684	0.2472157	0.1340648
150	0.6877150	1.0868264	0.1530049	0.3840881	0.2065006	0.2412445	0.9366697	1.0035814	0.4251820	0.0937137
