YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.3824020	0.0593072	0.3683594	0.8221553	0.9999558	0.0038631	0.8990804	0.8481131	0.6046167	0.5412011
0.0047379	0.0068304	0.3954184	0.8660436	0.9999695	0.0032022	0.9429425	0.9596130	0.7707369	0.5801129
0.4737124	0.2765104	0.3720114	0.9367755	0.6842379	0.0027090	0.9413364	0.9367837	0.7059345	0.6416135
0.0472609	0.0404283	0.3592776	0.9785760	0.9995016	0.0122508	0.9387132	0.9449980	0.6468711	0.6938746
0.0023205	0.0039647	0.3574711	0.8057091	0.8558647	0.0025647	0.9575103	0.9271618	0.6807584	0.6637002
0.0311710	0.0291280	0.4956546	0.6301351	0.9995240	0.0119783	0.9595319	0.9868482	0.9620642	0.1871537
0.1063595	0.0040380	0.3614538	0.7460399	0.9999727	0.0030391	0.9100242	0.8697509	0.6358853	0.6534798
0.3454324	0.0025801	0.3262744	0.8648280	0.8315204	0.0121799	0.9438766	0.9513542	0.7188676	0.6303983
0.3526206	0.2558317	0.2971538	0.9973074	0.9498953	0.0121395	0.9468004	0.9078645	0.6052263	0.7311767
0.5666955	0.3998344	0.3669306	0.9531759	0.7716880	0.0121874	0.9432462	0.8988171	0.6278806	0.6161044
