"Time"	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C

0	0.0866047	0.9413821	0.0329128	0.9662938	0.8229719	0.7809034	0.8003472	1.0000000	0.7722568	1.0000000
50	0.0866202	0.9349728	0.0329129	0.9662727	0.8229554	0.7809044	0.8003472	1.0000000	0.9048665	1.0000000
100	0.0866675	0.9331375	0.0329130	0.9662631	0.8229482	0.7809048	0.8003472	1.0000000	0.9491746	1.0000000
150	0.0867073	0.9326119	0.0329130	0.9662587	0.8229451	0.7809050	0.8003472	1.0000000	0.9639789	1.0000000
200	0.0867303	0.9324614	0.0329130	0.9662568	0.8229437	0.7809051	0.8003472	1.0000000	0.9689253	1.0000000
250	0.0867414	0.9324182	0.0329130	0.9662559	0.8229432	0.7809051	0.8003472	1.0000000	0.9705780	1.0000000
300	0.0867462	0.9324059	0.0329130	0.9662555	0.8229429	0.7809051	0.8003472	1.0000000	0.9711302	1.0000000
350	0.0867481	0.9324023	0.0329131	0.9662554	0.8229428	0.7809051	0.8003472	1.0000000	0.9713147	1.0000000
400	0.0867489	0.9324013	0.0329131	0.9662553	0.8229428	0.7809051	0.8003472	1.0000000	0.9713763	1.0000000
450	0.0867492	0.9324010	0.0329131	0.9662553	0.8229427	0.7809051	0.8003472	1.0000000	0.9713969	1.0000000
500	0.0867493	0.9324009	0.0329131	0.9662553	0.8229427	0.7809051	0.8003472	1.0000000	0.9714038	1.0000000
550	0.0867287	0.9388215	0.0329131	0.9662553	0.8229427	0.7809051	0.8003472	1.0000000	0.8387524	1.0000000
600	0.0866790	0.9406605	0.0329131	0.9662552	0.8229427	0.7809051	0.8003472	1.0000000	0.7944296	1.0000000
650	0.0866388	0.9411872	0.0329131	0.9662552	0.8229427	0.7809051	0.8003472	1.0000000	0.7796199	1.0000000
700	0.0866162	0.9413381	0.0329131	0.9662552	0.8229427	0.7809051	0.8003472	1.0000000	0.7746716	1.0000000
750	0.0866054	0.9413813	0.0329131	0.9662552	0.8229427	0.7809051	0.8003472	1.0000000	0.7730182	1.0000000
800	0.0866008	0.9413937	0.0329131	0.9662552	0.8229427	0.7809051	0.8003472	1.0000000	0.7724657	1.0000000
850	0.0865989	0.9413972	0.0329131	0.9662552	0.8229427	0.7809051	0.8003472	1.0000000	0.7722812	1.0000000
900	0.0865982	0.9413982	0.0329131	0.9662552	0.8229427	0.7809051	0.8003472	1.0000000	0.7722195	1.0000000
950	0.0865979	0.9413985	0.0329131	0.9662552	0.8229427	0.7809051	0.8003472	1.0000000	0.7721989	1.0000000
1000	0.0865978	0.9413986	0.0329131	0.9662552	0.8229427	0.7809051	0.8003472	1.0000000	0.7721920	1.0000000

0	0.0866047	0.9413821	0.0329128	0.9662938	0.8229719	0.7809034	0.8003472	1.0000000	0.7722568	1.0000000
50	0.0871766	0.7809656	0.0329129	0.9662711	0.8227828	0.7848420	0.9220477	1.0000000	0.8942135	1.0000000
100	0.0891249	0.7350200	0.0329130	0.9661917	0.8208570	0.7946754	0.9580395	1.0000000	0.9349614	1.0000000
150	0.0913699	0.7218605	0.0329132	0.9658288	0.8166341	0.8029703	0.9686836	1.0000000	0.9485720	1.0000000
200	0.0930002	0.7180911	0.0329136	0.9650697	0.8117576	0.8079699	0.9718315	1.0000000	0.9531052	1.0000000
250	0.0939058	0.7170109	0.0329146	0.9640678	0.8076802	0.8105577	0.9727625	1.0000000	0.9545918	1.0000000
300	0.0943331	0.7167001	0.0329159	0.9630736	0.8048593	0.8117878	0.9730378	1.0000000	0.9550510	1.0000000
350	0.0945152	0.7166093	0.0329174	0.9622606	0.8031324	0.8123416	0.9731192	1.0000000	0.9551659	1.0000000
400	0.0945879	0.7165811	0.0329187	0.9616824	0.8021609	0.8125819	0.9731433	1.0000000	0.9551710	1.0000000
450	0.0946157	0.7165709	0.0329197	0.9613119	0.8016468	0.8126834	0.9731504	1.0000000	0.9551477	1.0000000
500	0.0946261	0.7165663	0.0329205	0.9610925	0.8013868	0.8127254	0.9731526	1.0000000	0.9551230	1.0000000
550	0.0928919	0.8769884	0.0329209	0.9609720	0.8013947	0.8096667	0.8514526	1.0000000	0.8322495	1.0000000
600	0.0898095	0.9229348	0.0329212	0.9609737	0.8029340	0.8009557	0.8154611	1.0000000	0.7911640	1.0000000
650	0.0879854	0.9360939	0.0329213	0.9612958	0.8067098	0.7925130	0.8048170	1.0000000	0.7774382	1.0000000
700	0.0871574	0.9398627	0.0329209	0.9620458	0.8114226	0.7868648	0.8016691	1.0000000	0.7729161	1.0000000
750	0.0868151	0.9409427	0.0329199	0.9630521	0.8156160	0.7837312	0.8007381	1.0000000	0.7715461	1.0000000
800	0.0866800	0.9412536	0.0329186	0.9640452	0.8186641	0.7821746	0.8004628	1.0000000	0.7712798	1.0000000
850	0.0866283	0.9413451	0.0329171	0.9648500	0.8206035	0.7814542	0.8003814	1.0000000	0.7713878	1.0000000
900	0.0866090	0.9413740	0.0329158	0.9654196	0.8217278	0.7811363	0.8003573	1.0000000	0.7715919	1.0000000
950	0.0866019	0.9413849	0.0329148	0.9657849	0.8223367	0.7810005	0.8003502	1.0000000	0.7717854	1.0000000
