YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W
0.0000000	0.5314131	0.8909629	0.8362681	0.9251130	0.4775458	0.9409324	0.7120412	0.4547920	0.7377810
0.0795632	0.0000000	0.9100904	0.7874306	0.9082915	0.5769334	0.9516143	0.7178837	0.4537638	0.6732420
0.6059317	0.9445826	0.0000000	0.7487275	0.8936932	0.5337782	1.0310249	0.6630401	0.4637022	0.7428996
0.4235581	0.5581094	0.6607220	0.0000000	0.3981581	0.9875860	0.6152188	0.5855301	0.4739516	0.7464216
0.4802377	0.5833521	0.9446797	0.7864450	0.0000000	0.5754828	1.0052998	0.9033509	0.6373865	0.4645202
0.4701251	0.5443450	0.9632571	1.1075499	1.0642604	0.0000000	1.0486498	0.7437880	0.4179827	0.7184768
0.6000181	0.9409571	0.0281397	1.1183119	1.0235471	0.0418865	0.0000000	0.7547491	0.4640031	0.6688395
0.3956923	0.5533085	0.6383375	0.8795977	0.7777715	0.5819248	0.5362786	0.0000000	0.5764542	0.8405541
0.0685514	0.0123414	0.6857619	0.8182538	0.8998814	0.6223174	0.6624926	0.0398913	0.0000000	0.8785830
0.0714483	0.0827902	0.6958636	0.8219957	0.8853778	0.5164906	0.6379166	0.0250448	0.0798172	0.0000000
