YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.0000007	0.9694794	0.8082697	0.1371225	0.1412597	0.9980364	0.9422887	0.7070866	0.5109484	1.0000000
0.0236041	0.0000005	0.8082697	0.1371225	0.1412597	0.9980364	0.9422887	0.3672362	0.8556705	1.0000000
0.0501516	0.0512413	0.0000000	0.1371225	0.1412597	0.9980364	0.9422887	0.3672378	0.8556657	1.0000000
0.9930516	0.9912225	0.9999996	0.0000001	0.1412582	0.9980423	0.9436143	0.7126247	0.5060660	1.0000000
0.9929284	0.9856881	0.9223119	0.0896138	0.0000017	0.9980409	0.9433021	0.7108620	0.5073929	1.0000000
0.0502266	0.0512932	0.0883496	0.7776302	1.0000000	0.0000000	0.6193558	0.3672377	0.8556657	1.0000000
0.0502259	0.0512932	0.0883497	0.7776294	0.9999976	0.0088984	0.0000000	0.3672376	0.8556657	1.0000000
0.9925997	0.9694794	0.8082697	0.1371225	0.1412597	0.9980364	0.9422887	0.0000000	0.5109484	1.0000000
0.9925997	0.9694794	0.8082697	0.1371225	0.1412597	0.9980364	0.9422887	1.0000000	0.0000009	1.0000000
0.0502306	0.0512933	0.0883502	0.7776267	0.9999898	0.0139553	0.0043765	0.5905288	0.6133617	0.0000000
