YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.0000000	0.0377743	0.0856265	0.7908708	0.8530441	0.6546843	0.2074051	0.7387922	0.5893562	0.6257456
0.7438337	0.0000000	0.0640477	0.7868586	0.7927773	0.8000707	0.2147292	0.6127964	0.6889712	0.8197523
0.8227174	0.0255405	0.0000000	0.6468344	0.7052693	0.7380922	0.2099377	0.6166328	0.6486614	0.7854844
0.2565973	0.6052923	0.7358523	0.0000000	0.7318893	0.6713863	0.0328509	0.6520274	0.6681679	0.7698808
0.2963804	0.6849752	0.6565328	0.0284049	0.0000000	0.7346959	0.0256930	0.2794873	0.0700279	0.0396094
0.7563517	0.1352536	0.2675619	0.2003423	0.0103994	0.0000000	0.1943887	0.5975816	0.3728545	0.2369381
0.6661695	0.0267262	0.0648225	0.7273798	0.7885763	0.7451344	0.0000000	0.7615151	0.7515937	0.9053570
0.8296081	0.0506131	0.1063685	0.7870057	0.6894183	0.8580413	0.1711574	0.0000000	0.7418902	0.6745409
0.6313511	0.0415107	0.0337771	0.7946682	0.7772241	0.9304390	0.1850584	0.2319928	0.0000000	0.7368732
0.8267404	0.0519800	0.0487853	0.5476166	0.6483150	0.7312534	0.2136151	0.2137243	0.0051490	0.0000000
