YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.0000000	0.3200756	0.5000542	0.4332396	0.5135492	0.1075782	0.0928077	0.6694565	0.6739319	0.7052931
0.7420457	0.0000000	0.6561026	0.3432789	0.4447128	0.1250828	0.0857130	0.7724326	0.5783867	0.7323614
0.8406387	0.0427935	0.0000000	0.3824300	0.4544224	0.1363736	0.0949267	0.6344935	0.6109990	0.6364611
0.8993596	0.0166377	0.0263786	0.0000000	0.3286250	0.2050800	0.0876936	0.7164640	0.0364249	0.8986221
0.3180281	0.4572033	0.6426607	0.4973384	0.0000000	0.0896701	0.1631433	0.6610302	0.7261543	0.8504432
0.5228468	0.3117477	0.5552532	0.4221569	0.6537116	0.0000000	0.0890294	0.7103663	0.6219181	0.6554473
0.5181551	0.3131062	0.6660544	0.5040387	0.5525411	0.0333480	0.0000000	0.8299239	0.6958912	0.8411921
0.5084745	0.2910076	0.4694192	0.5943564	0.3972348	0.5584196	0.8065145	0.0000000	0.7021346	0.8043382
0.6472200	0.2740815	0.6128600	0.4818472	0.5199043	0.1223273	0.0460857	0.7533005	0.0000000	0.7026041
0.5070253	0.3885923	0.5840789	0.4397163	0.5865376	0.1723616	0.0844914	0.7452085	0.7174670	0.0000000
